Date,Open,High,Low,Close,Volume,Adj Close
2013-01-02,34.92,35.40,34.10,35.12,13767900,32.71
2013-01-03,35.00,35.00,34.16,34.83,16739300,32.44
2013-01-04,34.62,34.89,34.25,34.39,21372100,32.03
2013-01-07,34.15,35.45,34.15,34.46,17897100,32.10
2013-01-08,34.29,34.64,33.36,33.71,17863300,31.40
2013-01-09,33.61,33.95,33.61,33.90,18800400,31.58
2013-01-10,33.66,34.00,33.33,34.00,15658100,31.67
2013-01-11,33.59,33.90,33.35,33.85,11191500,31.91
2013-01-14,34.01,34.25,33.80,34.09,11584900,32.13
2013-01-15,33.71,34.72,33.71,34.60,13040200,32.61
2013-01-16,34.47,35.54,34.45,35.54,16512700,33.50
2013-01-17,35.75,36.70,35.75,36.42,14424800,34.33
2013-01-18,36.43,37.32,36.04,37.32,17842200,35.18
2013-01-22,36.98,37.25,35.93,36.42,15809700,34.33
2013-01-23,36.91,37.84,36.50,37.80,10981600,35.63
2013-01-24,37.79,38.52,37.23,37.46,11327100,35.31
2013-01-25,37.52,37.84,36.64,37.60,8934600,35.44
2013-01-28,37.65,37.87,36.71,36.89,7140100,34.77
2013-01-29,36.71,37.46,36.25,37.31,8838500,35.17
2013-01-30,36.81,37.53,36.81,36.93,10841800,34.81
2013-01-31,36.84,36.93,36.27,36.69,10720700,34.58
2013-02-01,36.84,37.20,36.52,37.18,9527500,35.05
2013-02-04,36.64,37.30,36.55,37.28,6348000,35.14
2013-02-05,37.42,37.73,37.18,37.20,7284400,35.06
2013-02-06,36.96,37.28,36.86,37.14,5738900,35.01
2013-02-07,37.57,37.57,35.80,36.42,9872500,34.33
2013-02-08,36.37,36.42,35.83,36.25,13858700,34.17
2013-02-11,36.13,36.18,35.75,35.85,6032100,33.79
2013-02-12,35.77,35.90,35.20,35.42,7473800,33.39
2013-02-13,35.42,35.57,35.15,35.27,4859800,33.25
2013-02-14,35.05,36.73,35.01,36.57,7570100,34.47
2013-02-15,36.93,37.81,36.93,37.58,13296300,35.42
2013-02-19,37.54,38.33,37.11,38.19,8292700,36.00
2013-02-20,38.16,39.13,37.61,38.61,8096400,36.39
2013-02-21,38.49,39.03,38.19,38.78,7260900,36.55
2013-02-22,38.79,38.85,38.14,38.46,4490400,36.25
2013-02-25,38.54,38.61,37.37,37.37,4665600,35.22
2013-02-26,37.60,37.60,36.96,37.09,4463000,34.96
2013-02-27,36.97,36.98,36.40,36.73,12238400,34.62
2013-02-28,36.66,37.14,36.50,36.92,10321000,34.80
2013-03-01,36.80,38.07,36.55,37.81,8929400,35.64
2013-03-04,37.53,38.25,37.53,38.24,5420800,36.04
2013-03-05,38.45,38.57,37.29,37.51,6650400,35.36
2013-03-06,37.56,37.86,37.37,37.74,5489500,35.57
2013-03-07,37.65,38.01,37.44,37.49,4442500,35.34
2013-03-08,37.64,37.65,37.16,37.34,4114500,35.20
2013-03-11,37.25,38.15,37.08,37.67,4614400,35.51
2013-03-12,37.70,38.30,37.05,37.17,6523900,35.04
2013-03-13,37.20,37.59,37.04,37.17,3710600,35.04
2013-03-14,37.43,37.59,36.86,37.56,9859700,35.40
2013-03-15,37.44,38.54,37.28,38.50,12208300,36.29
2013-03-18,38.05,38.49,37.99,38.16,5178700,35.97
2013-03-19,38.25,38.40,37.84,38.36,5108400,36.16
2013-03-20,38.50,39.19,38.41,39.06,7072900,36.82
2013-03-21,38.82,38.97,38.48,38.49,4736100,36.28
2013-03-22,38.57,38.97,38.30,38.97,3323400,36.73
2013-03-25,39.12,39.52,38.93,39.32,6065000,37.06
2013-03-26,39.57,40.52,39.57,40.21,7249500,37.90
2013-03-27,40.22,40.29,39.66,40.15,4274800,37.85
2013-03-28,40.26,40.80,39.78,40.78,7263400,38.44
2013-04-01,39.96,41.14,39.96,41.12,5740000,38.76
2013-04-02,41.22,41.22,40.52,40.71,5510700,38.37
2013-04-03,40.75,41.45,40.35,40.57,4122100,38.24
2013-04-04,40.77,41.78,40.62,41.60,20687600,39.21
2013-04-05,41.31,41.50,41.09,41.31,14089800,38.94
2013-04-08,41.27,41.87,41.07,41.77,16449200,39.37
2013-04-09,41.96,43.56,41.80,42.55,8673900,40.11
2013-04-10,42.65,43.77,42.50,43.62,7809200,41.12
2013-04-11,43.42,43.71,43.11,43.20,6494100,41.10
2013-04-12,42.97,43.29,42.62,43.09,4199800,40.99
2013-04-15,42.87,43.03,41.41,41.44,7152500,39.42
2013-04-16,41.67,42.53,41.13,42.45,6998000,40.38
2013-04-17,42.14,42.43,41.42,42.24,5046200,40.18
2013-04-18,42.37,42.64,41.89,42.32,5009000,40.26
2013-04-19,42.51,42.58,42.20,42.39,6493200,40.33
2013-04-22,43.00,44.83,42.88,44.20,8531300,42.05
2013-04-23,44.61,46.32,44.40,45.14,9378100,42.94
2013-04-24,45.14,45.34,43.94,44.32,5541300,42.16
2013-04-25,44.75,44.79,43.76,44.24,5236900,42.09
2013-04-26,44.95,46.31,44.75,45.84,10096800,43.61
2013-04-29,45.83,45.93,45.05,45.23,6024700,43.03
2013-04-30,45.05,46.23,45.01,46.05,6798600,43.81
2013-05-01,45.74,46.09,45.55,45.55,6398100,43.33
2013-05-02,45.68,45.68,43.86,43.99,9649400,41.85
2013-05-03,44.31,44.77,43.83,44.68,4641200,42.50
2013-05-06,44.95,44.95,44.15,44.59,4085700,42.42
2013-05-07,44.50,45.00,44.42,44.91,3745600,42.72
2013-05-08,45.01,45.05,43.39,43.49,6973200,41.37
2013-05-09,43.34,44.45,43.25,44.24,5046900,42.09
2013-05-10,44.21,45.01,44.20,45.01,4455800,42.82
2013-05-13,44.79,44.79,44.17,44.54,3738400,42.37
2013-05-14,44.09,45.52,44.09,45.35,5760300,43.14
2013-05-15,45.72,46.93,45.48,46.03,6702500,43.79
2013-05-16,46.06,46.90,46.01,46.21,4605300,43.96
2013-05-17,46.03,47.34,45.85,47.17,5244800,44.87
2013-05-20,47.12,47.14,46.07,46.26,3537800,44.01
