Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,50.00,50.81,49.87,50.19,5803800,14.64
2000-12-13,50.69,52.81,50.56,51.81,7000600,15.12
2000-12-14,50.37,50.87,47.75,48.12,17118500,14.04
2000-12-15,45.50,47.87,45.44,46.81,32598700,13.66
2000-12-18,47.94,50.00,47.56,49.56,17980600,14.46
2000-12-19,49.06,50.75,49.06,50.31,15929900,14.68
2000-12-20,50.00,50.31,48.06,48.81,9590200,14.24
2000-12-21,48.75,49.87,48.00,48.12,10996000,14.04
2000-12-22,48.19,48.25,46.69,47.37,6362200,13.82
2000-12-26,47.00,48.75,47.00,48.19,4104200,14.06
2000-12-27,48.81,50.56,48.37,48.56,5631500,14.17
2000-12-28,48.62,49.37,47.94,48.50,5397400,14.15
2000-12-29,48.44,48.94,47.87,48.44,4274200,14.13
2001-01-02,48.12,49.12,48.00,48.12,5243800,14.04
2001-01-03,48.37,49.56,46.94,47.06,11035200,13.73
2001-01-04,45.62,46.50,42.25,42.75,31523900,12.47
2001-01-05,43.19,43.75,42.31,43.00,16300100,12.55
2001-01-08,42.50,43.50,42.12,42.56,10008700,12.42
2001-01-09,42.81,44.25,42.75,43.50,8979300,12.69
2001-01-10,43.69,44.37,42.44,42.56,7409900,12.47
2001-01-11,42.81,43.56,42.00,42.06,11252100,12.33
2001-01-12,42.44,43.87,42.19,43.56,8935800,12.77
2001-01-16,43.50,45.75,43.50,45.00,11165600,13.19
2001-01-17,45.00,45.19,43.56,44.25,9598300,12.97
2001-01-18,45.00,45.87,44.44,45.06,8587100,13.21
2001-01-19,44.50,45.00,44.00,44.06,7406200,12.91
2001-01-22,44.75,44.94,43.87,44.19,5924300,12.95
2001-01-23,44.44,44.56,43.44,44.00,8053300,12.90
2001-01-24,43.19,43.62,42.87,43.25,12685400,12.68
2001-01-25,44.12,46.00,43.94,45.62,10707500,13.37
2001-01-26,45.87,46.87,45.75,46.19,7636900,13.54
2001-01-29,46.95,47.20,45.40,45.45,4866100,13.32
2001-01-30,45.85,45.94,44.56,45.05,6004700,13.20
2001-01-31,44.95,45.20,43.44,44.86,6800500,13.15
2001-02-01,44.90,46.00,44.62,46.00,4897600,13.48
2001-02-02,46.00,46.25,45.29,45.51,4615800,13.34
2001-02-05,45.29,46.53,45.29,46.33,5031400,13.58
2001-02-06,46.33,47.55,46.22,47.17,8109600,13.82
2001-02-07,47.17,47.73,47.01,47.56,6346800,13.94
2001-02-08,47.51,49.20,47.51,48.29,8079800,14.15
2001-02-09,48.90,48.91,47.81,48.40,7686700,14.18
2001-02-12,48.90,49.50,48.70,49.50,9060000,14.51
2001-02-13,48.55,48.65,47.48,47.66,10283000,13.97
2001-02-14,47.91,47.99,47.27,47.41,4028900,13.89
2001-02-15,47.65,47.95,46.39,47.95,6862600,14.05
2001-02-16,48.30,48.50,47.26,48.50,7297400,14.21
2001-02-20,48.30,48.67,48.10,48.67,5967000,14.26
2001-02-21,48.85,50.00,48.75,50.00,7921000,14.65
2001-02-22,49.60,50.55,48.87,49.95,8756100,14.64
2001-02-23,49.50,49.50,47.87,48.90,5853800,14.33
2001-02-26,49.25,49.30,48.55,49.20,4980400,14.42
2001-02-27,49.20,49.46,48.00,48.62,7796300,14.25
2001-02-28,48.84,49.88,48.45,48.99,7877000,14.36
2001-03-01,48.90,49.99,48.50,49.83,5607700,14.60
2001-03-02,49.75,49.90,48.66,49.68,6294200,14.56
2001-03-05,49.60,49.63,48.52,48.97,3525400,14.35
2001-03-06,49.30,49.31,47.71,48.02,5575200,14.07
2001-03-07,47.91,48.05,45.92,47.13,7118100,13.81
2001-03-08,47.25,48.75,46.90,48.50,6186700,14.21
2001-03-09,48.51,48.98,47.40,47.76,6994700,14.00
2001-03-12,47.25,48.55,47.18,47.19,4668600,13.83
2001-03-13,47.15,48.03,46.29,47.88,6319700,14.03
2001-03-14,47.50,47.51,46.10,46.28,7801500,13.56
2001-03-15,46.28,46.50,45.35,46.28,8433000,13.56
2001-03-16,45.50,45.50,44.09,45.00,14248800,13.19
2001-03-19,44.05,45.00,44.01,44.75,8216700,13.11
2001-03-20,44.80,44.80,43.20,43.30,7943300,12.69
2001-03-21,44.00,44.60,43.70,44.00,9007000,12.90
