Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,99.94,100.00,97.63,99.50,170400,1533.11
2000-12-13,99.19,99.31,97.63,97.75,211300,1506.15
2000-12-14,97.50,97.75,95.00,96.56,258700,1487.85
2000-12-15,95.00,96.38,93.75,95.75,449900,1475.33
2000-12-18,95.25,98.44,95.00,98.38,245400,1515.78
2000-12-19,98.44,98.94,93.38,94.00,278700,1448.37
2000-12-20,94.13,95.31,92.50,93.31,244700,1437.77
2000-12-21,94.50,96.94,94.19,96.88,217200,1492.66
2000-12-22,97.00,98.81,95.94,96.81,161700,1491.70
2000-12-26,96.81,97.75,96.06,97.56,129600,1503.26
2000-12-27,97.56,100.94,97.56,99.50,441600,1533.11
2000-12-28,99.38,100.06,97.75,99.06,186700,1526.37
2000-12-29,99.63,100.19,98.50,98.56,131000,1518.67
2001-01-02,98.31,98.31,95.88,96.88,253500,1492.66
2001-01-03,96.88,97.88,95.06,95.94,442200,1478.22
2001-01-04,95.94,96.00,88.00,89.00,619200,1371.32
2001-01-05,90.25,90.88,87.31,87.88,305100,1353.99
2001-01-08,88.38,89.81,87.56,88.44,256800,1362.66
2001-01-09,88.25,88.94,87.00,87.00,241500,1340.51
2001-01-10,86.63,88.25,86.06,86.50,352900,1332.80
2001-01-11,87.50,87.75,83.31,84.31,373900,1299.10
2001-01-12,84.31,84.50,80.81,82.19,459900,1266.36
2001-01-16,82.25,84.94,82.00,84.81,332600,1306.80
2001-01-17,85.50,86.31,84.69,85.00,350700,1309.69
2001-01-18,85.00,86.63,84.56,86.50,276000,1332.80
2001-01-19,86.00,86.63,83.63,84.13,408600,1296.21
2001-01-22,84.13,85.75,83.50,84.63,261400,1303.91
2001-01-23,85.50,86.38,83.19,86.00,309500,1325.10
2001-01-24,86.25,87.94,85.75,87.88,321900,1353.99
2001-01-25,88.31,89.31,87.69,88.63,222500,1365.55
2001-01-26,89.63,89.63,87.25,87.75,151600,1352.06
2001-01-29,88.75,89.49,87.12,87.38,156600,1346.36
2001-01-30,87.13,87.44,85.50,87.30,266500,1345.13
2001-01-31,86.50,87.00,83.75,85.02,320900,1310.00
2001-02-01,85.45,86.89,85.00,85.54,217300,1318.01
2001-02-02,85.54,86.55,84.50,86.39,203000,1331.11
2001-02-05,87.95,88.70,87.03,88.19,167800,1358.84
2001-02-06,88.44,88.49,86.20,86.55,179100,1333.57
2001-02-07,86.80,87.79,86.51,86.90,160600,1338.97
2001-02-08,86.90,87.55,84.25,85.70,253200,1320.48
2001-02-09,85.70,86.75,84.75,86.68,193000,1335.58
2001-02-12,87.75,89.50,87.65,89.50,268300,1379.03
2001-02-13,89.50,89.51,88.46,88.98,277000,1371.02
2001-02-14,88.98,89.09,86.01,86.02,220300,1325.41
2001-02-15,86.02,86.70,85.66,86.62,205300,1334.65
2001-02-16,86.80,87.19,86.15,86.62,189200,1334.65
2001-02-20,86.62,86.70,84.20,84.60,169300,1303.53
2001-02-21,84.60,85.50,81.15,81.30,291800,1252.68
2001-02-22,83.00,83.00,79.62,82.05,298400,1264.24
2001-02-23,82.06,82.40,79.73,80.85,191600,1245.75
2001-02-26,80.60,81.75,80.40,81.50,179400,1255.76
2001-02-27,81.50,84.73,81.50,84.62,250700,1303.84
2001-02-28,85.40,85.40,81.46,81.80,270400,1260.94
2001-03-01,81.80,82.93,80.70,82.15,298000,1266.33
2001-03-02,82.00,83.22,81.10,82.25,233200,1267.87
2001-03-05,83.50,83.56,81.06,82.05,173200,1264.79
2001-03-06,83.00,83.15,80.70,80.98,164300,1248.30
2001-03-07,81.75,82.44,81.40,82.08,186400,1265.25
2001-03-08,82.50,84.50,82.00,83.78,171500,1291.46
2001-03-09,83.70,83.85,81.33,81.72,149600,1259.70
2001-03-12,81.25,81.95,77.08,78.10,272000,1203.90
2001-03-13,78.99,79.75,77.51,78.79,263200,1214.54
2001-03-14,77.10,77.95,74.09,75.70,416200,1166.91
2001-03-15,76.20,79.97,76.15,78.75,347100,1213.92
2001-03-16,78.75,80.05,77.95,78.00,446300,1202.36
2001-03-19,78.00,78.20,76.25,77.00,296100,1186.95
2001-03-20,78.00,79.64,76.95,77.05,297600,1187.72
2001-03-21,76.55,77.20,75.20,75.49,320500,1163.67
2001-03-22,75.05,75.20,72.64,75.12,407900,1157.97
2001-03-23,74.50,76.48,74.02,75.45,239600,1163.05
2001-03-26,75.75,77.67,75.75,77.67,187200,1197.27
2001-03-27,77.05,79.26,76.85,79.22,200000,1221.17
2001-03-28,79.21,79.22,77.70,79.17,136500,1220.40
2001-03-29,79.00,79.70,78.00,78.11,200800,1204.06
2001-03-30,79.00,80.50,78.95,80.50,302200,1240.90
2001-04-02,81.00,83.72,80.75,82.95,278500,1278.66
2001-04-03,82.00,82.15,79.70,80.21,250800,1236.43
2001-04-04,78.00,78.00,75.00,76.84,915800,1184.48
2001-04-05,77.10,77.51,76.70,77.44,443700,1193.73
2001-04-06,77.95,77.95,76.01,76.55,339200,1180.01
2001-04-09,77.00,77.20,76.00,76.18,293000,1174.31
2001-04-10,77.25,78.00,76.50,77.08,278800,1188.18
2001-04-11,77.09,77.34,76.80,76.99,209200,1186.79
2001-04-12,77.00,77.80,76.99,77.80,184100,1199.28
2001-04-16,77.50,77.80,76.72,77.55,144800,1195.42
2001-04-17,77.41,78.50,76.86,78.50,163600,1210.07
2001-04-18,79.20,81.00,78.45,80.01,341800,1233.34
2001-04-19,80.25,81.83,80.25,81.65,323200,1258.63
2001-04-20,81.65,81.65,79.00,79.00,314200,1217.78
2001-04-23,79.40,79.40,77.77,77.99,220200,1202.21
2001-04-24,77.99,78.24,77.00,77.20,274300,1190.03
2001-04-25,77.21,78.76,77.20,78.66,201800,1212.53
2001-04-26,78.75,81.30,78.43,79.85,320900,1230.88
2001-04-27,80.25,80.98,80.25,80.70,204400,1243.98
2001-04-30,81.30,82.19,81.27,81.80,329900,1260.94
2001-05-01,81.80,83.50,81.40,82.90,253700,1277.89
2001-05-02,82.90,82.99,81.86,82.20,232300,1267.10
2001-05-03,82.20,82.89,81.10,82.70,209300,1274.81
2001-05-04,82.40,84.45,82.10,84.35,286400,1300.25
2001-05-07,84.10,84.37,83.82,84.19,223000,1297.78
2001-05-08,84.50,84.65,83.76,84.00,201400,1294.85
2001-05-09,83.99,84.00,83.12,83.86,247500,1292.69
2001-05-10,84.00,84.10,82.00,83.00,244300,1279.44
2001-05-11,83.00,83.00,81.53,82.10,400800,1265.56
2001-05-14,82.35,82.90,82.11,82.35,239400,1269.42
2001-05-15,82.45,82.95,82.05,82.95,219200,1278.66
2001-05-16,83.15,84.80,82.65,84.71,296600,1305.79
2001-05-17,84.75,84.80,83.55,83.86,248900,1292.69
2001-05-18,84.20,84.23,82.96,83.62,166700,1288.99
2001-05-21,83.62,84.99,83.24,84.68,192000,1305.33
2001-05-22,84.67,84.67,82.63,83.20,256900,1282.52
2001-05-23,83.00,83.30,81.40,82.00,263100,1264.02
2001-05-24,82.50,83.18,82.40,82.61,148000,1273.42
2001-05-25,82.80,82.90,82.10,82.31,96300,1268.80
2001-05-29,82.50,82.50,81.75,82.23,133500,1267.57
2001-05-30,82.60,82.73,81.50,81.66,157700,1259.35
2001-05-31,81.50,81.70,80.42,81.00,181000,1249.17
2001-06-01,81.35,81.60,79.89,80.09,157300,1235.13
2001-06-04,80.00,81.09,79.99,81.07,145700,1250.25
2001-06-05,81.07,81.75,80.80,81.70,180900,1259.96
2001-06-06,81.68,81.95,81.00,81.00,141500,1249.17
2001-06-07,81.50,81.74,81.00,81.10,173500,1250.71
2001-06-08,81.50,81.50,80.40,80.76,88900,1245.47
2001-06-11,80.80,81.08,80.40,80.95,119700,1248.40
2001-06-12,80.95,80.97,80.02,80.86,130900,1247.01
2001-06-13,81.25,81.49,80.52,80.52,151200,1241.77
2001-06-14,80.52,81.00,80.36,80.75,191300,1245.31
2001-06-15,80.50,82.20,80.49,81.85,381200,1262.28
2001-06-18,82.10,83.01,81.86,82.55,238500,1273.07
2001-06-19,82.70,83.90,82.70,83.66,264000,1290.19
2001-06-20,83.66,83.99,83.32,83.75,348800,1291.58
