Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,43.00,43.44,42.44,42.81,2396100,29.85
2000-12-13,42.62,43.06,42.12,42.69,2600500,29.76
2000-12-14,40.75,41.12,40.19,40.69,2381400,28.37
2000-12-15,38.88,40.56,38.88,39.94,3969800,27.85
2000-12-18,39.94,41.94,39.81,41.50,2522500,28.93
2000-12-19,41.25,42.88,41.00,42.31,2201200,29.50
2000-12-20,41.50,41.81,40.62,40.94,2325700,28.54
2000-12-21,40.00,41.50,39.88,41.31,2897300,28.80
2000-12-22,41.88,42.56,41.31,41.38,2410800,28.85
2000-12-26,42.00,42.44,41.31,41.94,1203900,29.24
2000-12-27,43.38,43.62,42.94,43.62,2131700,30.42
2000-12-28,43.12,43.50,42.38,43.44,1234900,30.29
2000-12-29,43.50,44.19,43.38,43.56,1559600,30.37
2001-01-02,42.94,42.94,39.94,41.00,2751800,28.59
2001-01-03,41.12,42.06,39.94,40.75,3199000,28.41
2001-01-04,39.75,40.19,37.25,37.94,4700400,26.45
2001-01-05,38.50,38.94,37.88,38.06,2463300,26.54
2001-01-08,38.00,39.69,37.94,39.69,2250000,27.67
2001-01-09,39.50,39.56,38.00,38.50,1828100,26.84
2001-01-10,38.00,38.25,36.75,37.88,3618900,26.41
2001-01-11,37.62,38.00,35.50,36.50,3638600,25.45
2001-01-12,36.06,36.25,33.56,34.94,4907900,24.36
2001-01-16,35.00,36.94,34.94,36.25,3693400,25.27
2001-01-17,36.88,37.12,36.00,36.12,2557300,25.19
2001-01-18,36.12,36.50,34.00,35.38,4917500,24.66
2001-01-19,34.88,35.12,33.88,34.75,3679600,24.23
2001-01-22,35.06,37.50,34.50,37.06,3407200,25.84
2001-01-23,36.44,37.94,35.81,37.69,2816800,26.28
2001-01-24,37.50,38.62,37.25,38.31,2066800,26.71
2001-01-25,38.75,38.94,37.44,37.81,3118400,26.36
2001-01-26,38.25,38.38,37.12,37.88,1625600,26.41
2001-01-29,38.00,38.30,37.63,37.63,1115900,26.24
2001-01-30,37.39,38.81,37.35,38.73,2477600,27.00
2001-01-31,38.70,39.50,37.49,38.88,3711900,27.11
2001-02-01,38.88,39.25,38.00,39.02,2163300,27.21
2001-02-02,38.82,40.25,38.75,40.25,2703200,28.06
2001-02-05,39.80,40.39,39.70,40.20,2161300,28.03
2001-02-06,40.19,40.25,39.40,40.04,1832400,27.92
2001-02-07,40.50,41.30,40.37,40.82,4040300,28.46
2001-02-08,40.82,41.49,40.79,41.28,2649200,28.78
2001-02-09,40.45,41.40,40.40,41.40,1713800,28.86
2001-02-12,41.60,42.00,41.51,42.00,1611200,29.28
2001-02-13,42.00,42.00,40.78,41.37,2186400,28.84
2001-02-14,41.00,42.00,41.00,41.26,2369500,28.77
2001-02-15,41.26,41.30,40.55,41.10,1689100,28.66
2001-02-16,41.25,42.10,41.00,41.66,2261500,29.05
2001-02-20,41.89,41.89,40.60,41.25,2637000,28.76
2001-02-21,40.60,40.98,39.00,39.54,3273200,27.57
2001-02-22,38.75,39.80,38.30,39.63,3059300,27.63
2001-02-23,39.00,39.90,39.00,39.75,1877700,27.71
2001-02-26,40.00,40.25,39.60,40.24,1756400,28.19
2001-02-27,39.90,41.60,39.85,41.55,3152300,29.11
2001-02-28,41.89,41.90,39.75,39.86,2354700,27.92
2001-03-01,40.80,41.20,39.90,41.00,3510700,28.72
2001-03-02,41.00,41.80,40.50,41.44,1652500,29.03
2001-03-05,41.68,41.87,41.04,41.70,2103000,29.21
2001-03-06,41.88,42.06,40.90,41.53,1907500,29.09
2001-03-07,41.75,41.94,41.15,41.70,1761500,29.21
2001-03-08,41.95,42.29,41.72,41.98,2015400,29.41
2001-03-09,42.08,42.08,41.15,41.32,2334700,28.95
2001-03-12,42.00,42.20,39.85,40.10,3686300,28.09
2001-03-13,40.15,40.15,39.18,39.49,2588200,27.67
2001-03-14,37.80,39.98,37.75,39.51,3511300,27.68
2001-03-15,39.45,40.90,39.45,40.07,2225100,28.07
2001-03-16,40.00,40.80,39.70,39.80,2533000,27.88
2001-03-19,39.56,39.90,38.34,39.29,2178100,27.53
2001-03-20,39.53,39.70,38.69,38.69,2075200,27.11
2001-03-21,38.55,38.99,38.00,38.27,2206100,26.81
2001-03-22,38.80,39.40,37.50,38.24,3740700,26.79
2001-03-23,38.40,39.90,38.27,39.21,2680400,27.47
2001-03-26,39.45,40.15,39.45,39.68,1500200,27.80
2001-03-27,39.92,40.40,39.22,39.75,2625300,27.85
2001-03-28,39.35,39.65,39.31,39.45,2694600,27.64
2001-03-29,39.45,40.30,39.32,40.13,2634100,28.11
2001-03-30,40.35,41.94,40.23,41.94,2920400,29.38
2001-04-02,41.90,43.45,41.65,41.97,4392900,29.40
2001-04-03,41.90,41.91,40.99,41.50,2393900,29.07
2001-04-04,40.25,42.01,40.25,41.81,4183100,29.29
2001-04-05,41.88,42.78,41.78,42.50,2951900,29.77
2001-04-06,42.15,42.48,40.85,41.15,1948900,28.83
2001-04-09,41.35,41.42,40.70,41.00,2010600,28.72
2001-04-10,41.10,41.59,40.52,40.90,1893300,28.65
2001-04-11,40.75,41.02,40.18,40.96,1926700,28.70
2001-04-12,40.90,41.49,40.23,40.75,1382300,28.55
2001-04-16,40.65,41.25,40.50,41.15,1182500,28.83
2001-04-17,40.95,41.16,40.25,40.98,1342500,28.71
2001-04-18,41.25,42.56,41.10,42.50,3162700,29.77
2001-04-19,43.90,44.60,43.72,44.25,6588100,31.00
2001-04-20,44.10,44.10,42.32,42.58,3174400,29.83
2001-04-23,42.58,42.90,41.99,42.89,1957600,30.05
2001-04-24,42.40,42.70,41.22,41.23,2706000,28.88
2001-04-25,40.90,41.60,40.40,41.30,2308100,28.93
2001-04-26,40.75,41.70,40.20,41.00,3316600,28.72
2001-04-27,41.20,42.48,41.14,42.26,1946700,29.61
2001-04-30,42.00,42.65,41.55,41.75,1615700,29.25
2001-05-01,42.00,42.14,41.52,42.12,1333600,29.51
2001-05-02,42.00,42.11,41.11,41.38,1376200,28.99
2001-05-03,40.90,41.31,40.72,41.17,1589900,28.84
2001-05-04,41.18,41.40,40.66,41.35,1762400,28.97
2001-05-07,41.47,41.72,41.15,41.22,1519000,28.88
2001-05-08,41.46,41.95,41.41,41.90,1390000,29.35
2001-05-09,41.70,42.25,41.69,42.09,1793100,29.49
2001-05-10,42.50,42.58,41.34,42.01,1505300,29.43
2001-05-11,41.90,42.54,41.53,41.83,946300,29.30
2001-05-14,41.84,42.38,41.70,42.00,1126700,29.42
