Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,61.37,63.44,60.50,62.69,2765400,24.65
2000-12-13,62.37,63.69,61.69,61.75,1849400,24.28
2000-12-14,61.87,62.25,58.31,58.50,2320200,23.00
2000-12-15,58.50,60.19,58.37,59.13,3412400,23.25
2000-12-18,60.12,64.62,60.06,64.31,3471200,25.29
2000-12-19,64.31,65.75,63.88,64.12,3077400,25.21
2000-12-20,63.75,64.62,61.25,61.87,2694400,24.33
2000-12-21,61.87,62.75,61.44,62.56,2390200,24.60
2000-12-22,62.00,64.19,62.00,64.12,1717200,25.21
2000-12-26,65.38,70.00,65.38,69.44,2814200,27.30
2000-12-27,69.50,71.88,68.50,71.81,4787000,28.24
2000-12-28,71.81,74.19,70.62,73.19,3168600,28.78
2000-12-29,73.25,73.25,69.88,70.06,3666800,27.55
2001-01-02,69.62,72.88,69.12,70.81,6787800,27.84
2001-01-03,70.88,70.88,66.00,66.12,5491600,26.00
2001-01-04,65.94,66.00,62.94,63.00,5697600,24.77
2001-01-05,64.50,68.62,64.19,67.38,4821200,26.49
2001-01-08,68.25,69.44,67.50,68.06,3451600,26.76
2001-01-09,69.38,69.50,65.38,66.56,4082400,26.17
2001-01-10,66.56,67.75,66.19,66.44,3477200,26.12
2001-01-11,67.25,68.25,66.25,66.56,3937000,26.17
2001-01-12,66.50,66.50,64.25,65.06,3126400,25.58
2001-01-16,65.12,65.62,64.00,65.12,3913400,25.61
2001-01-17,64.38,64.38,61.25,61.87,5459000,24.33
2001-01-18,60.00,60.37,58.25,59.63,7330000,23.45
2001-01-19,58.81,61.25,58.56,60.19,5475600,23.67
2001-01-22,60.87,62.06,60.63,61.44,3204200,24.16
2001-01-23,61.50,63.12,60.50,61.50,3413200,24.18
2001-01-24,62.75,63.12,61.13,61.44,3703400,24.16
2001-01-25,62.37,64.19,62.25,63.88,6183200,25.12
2001-01-26,64.12,64.62,61.63,61.94,4427000,24.35
2001-01-29,61.70,61.85,60.70,60.77,3748000,23.90
2001-01-30,60.10,60.20,57.50,58.36,5780200,22.95
2001-01-31,59.00,59.40,57.00,57.60,4866400,22.65
2001-02-01,58.20,58.64,56.66,57.12,4551800,22.46
2001-02-02,57.75,60.52,57.74,60.15,4651200,23.65
2001-02-05,60.05,61.96,60.05,60.39,3681200,23.75
2001-02-06,59.75,62.20,59.01,61.86,3567600,24.32
2001-02-07,62.10,63.19,60.70,62.75,3702200,24.67
2001-02-08,62.75,63.24,61.80,62.00,3383600,24.38
2001-02-09,61.50,64.10,61.50,62.70,3866200,24.65
2001-02-12,62.71,63.14,61.50,62.52,2954800,24.58
2001-02-13,62.00,63.73,61.95,63.22,2561600,24.86
2001-02-14,63.95,64.70,62.06,62.20,4353600,24.46
2001-02-15,61.20,61.75,59.95,61.03,3979000,24.00
2001-02-16,62.10,63.30,60.91,61.38,4605400,24.14
2001-02-20,62.05,62.90,61.75,62.60,3196400,24.62
2001-02-21,64.00,65.50,61.85,62.07,5521400,24.41
2001-02-22,62.00,62.44,60.25,61.12,3731000,24.03
2001-02-23,61.60,61.70,59.20,60.04,2828800,23.61
2001-02-26,60.04,61.10,59.86,60.69,2815200,23.86
2001-02-27,60.50,61.98,60.30,60.55,2169600,23.81
2001-02-28,61.10,61.10,58.66,58.70,3045400,23.08
2001-03-01,59.00,59.42,58.45,59.29,3013000,23.31
2001-03-02,59.95,61.15,59.45,60.83,2514200,23.92
2001-03-05,61.70,62.70,61.47,62.44,2059400,24.55
2001-03-06,63.00,65.00,62.70,64.80,3927800,25.48
2001-03-07,66.00,67.40,65.50,67.03,5365600,26.36
2001-03-08,67.50,68.50,66.40,68.50,5371600,26.94
2001-03-09,68.50,68.50,66.88,67.40,3133000,26.50
2001-03-12,66.20,66.20,63.30,65.10,5491200,25.60
2001-03-13,65.30,65.30,62.61,63.53,5179600,24.98
2001-03-14,62.90,63.90,61.76,62.49,5015800,24.57
2001-03-15,63.30,63.30,60.93,61.66,2318800,24.25
2001-03-16,61.70,62.75,60.51,60.71,3655200,23.87
2001-03-19,61.50,62.76,61.00,61.86,2990200,24.32
2001-03-20,62.20,63.88,62.10,62.72,3744400,24.66
