Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,65.75,66.30,64.21,65.60,2208400,29.78
2000-12-13,65.02,66.09,64.46,65.31,2083600,29.65
2000-12-14,64.50,65.05,60.60,61.00,3277200,27.69
2000-12-15,61.25,63.15,61.09,61.25,3412600,27.81
2000-12-18,60.75,64.65,60.75,63.84,4126800,28.98
2000-12-19,65.25,67.70,65.00,67.25,4300200,30.53
2000-12-20,67.25,67.30,64.28,64.79,2253600,29.41
2000-12-21,65.50,66.11,63.25,64.50,2887600,29.28
2000-12-22,64.50,64.98,63.59,64.90,1962800,29.46
2000-12-26,65.95,72.50,65.60,71.95,4314600,32.66
2000-12-27,72.00,72.60,69.50,72.24,3461600,32.79
2000-12-28,73.50,75.95,71.85,74.85,6012200,33.98
2000-12-29,74.60,74.70,70.75,71.08,3716000,32.27
2001-01-02,71.08,73.97,69.00,69.26,6293800,31.44
2001-01-03,68.10,69.00,63.63,64.60,7440800,29.33
2001-01-04,65.20,65.67,59.50,61.00,8188800,27.69
2001-01-05,61.50,64.58,61.50,63.75,5541800,28.94
2001-01-08,64.35,65.85,63.56,64.02,5363000,29.06
2001-01-09,64.50,64.80,61.00,61.65,7454400,27.99
2001-01-10,62.50,62.88,60.80,61.00,5459200,27.69
2001-01-11,62.75,63.25,60.80,61.75,6329000,28.03
2001-01-12,61.75,62.10,60.50,61.35,3586600,27.85
2001-01-16,61.75,63.45,61.53,63.22,5158200,28.70
2001-01-17,62.65,62.65,59.00,59.65,4452000,27.08
2001-01-18,58.10,58.88,55.95,57.04,7117600,25.89
2001-01-19,55.75,58.45,55.65,56.91,6101800,25.84
2001-01-22,58.25,59.30,57.55,59.20,3442000,26.87
2001-01-23,59.20,60.72,58.50,60.20,3138400,27.33
2001-01-24,60.45,60.79,58.60,58.77,3445200,26.68
2001-01-25,59.80,62.78,59.40,62.52,3496000,28.38
2001-01-26,62.55,63.80,59.25,59.75,3652200,27.12
2001-01-29,60.50,60.50,58.52,59.00,2145800,26.78
2001-01-30,58.90,58.90,55.65,57.35,5270200,26.04
2001-01-31,58.15,59.00,56.69,56.90,4010000,25.83
2001-02-01,58.00,58.00,53.95,54.63,8385800,24.80
2001-02-02,55.50,60.11,55.40,60.11,12343400,27.29
2001-02-05,59.10,62.50,59.05,61.40,5033600,27.87
2001-02-06,61.05,63.80,60.31,63.45,4415600,28.80
2001-02-07,63.95,65.35,62.35,64.73,5859000,29.39
2001-02-08,64.87,65.60,63.82,64.31,3744600,29.19
