Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,56.25,56.63,55.38,56.19,2546400,40.80
2000-12-13,56.44,58.06,56.25,56.50,3977400,41.03
2000-12-14,56.50,56.56,54.50,55.44,4788900,40.26
2000-12-15,55.19,55.44,53.63,54.63,6330400,39.67
2000-12-18,55.38,57.94,55.31,56.75,5531500,41.21
2000-12-19,57.13,57.88,54.38,54.94,5354800,39.90
2000-12-20,54.94,55.00,50.94,51.44,7309900,37.36
2000-12-21,53.00,53.00,51.50,52.56,6110000,38.17
2000-12-22,53.00,53.88,52.56,53.19,4318700,38.63
2000-12-26,53.44,53.69,52.63,53.25,3877700,38.67
2000-12-27,54.19,54.50,53.19,53.19,7166100,38.63
2000-12-28,54.25,54.50,53.50,54.00,3565100,39.22
2000-12-29,54.50,55.44,54.38,54.94,4380400,39.90
2001-01-02,54.50,54.69,51.56,52.00,4394200,37.76
2001-01-03,51.50,57.06,51.44,55.94,8964100,40.69
2001-01-04,56.56,56.81,53.75,54.19,8212700,39.41
2001-01-05,53.25,53.31,50.50,51.56,6354800,37.50
2001-01-08,51.88,51.88,48.63,48.94,8780900,35.59
2001-01-09,49.00,49.50,46.19,46.94,9962500,34.14
2001-01-10,46.75,48.00,46.25,46.69,10738700,33.96
2001-01-11,46.56,48.56,46.13,47.88,8168200,34.82
2001-01-12,48.94,48.94,46.94,47.94,7101500,34.87
2001-01-16,47.94,48.94,47.44,48.31,5665300,35.14
2001-01-17,49.56,50.06,48.94,49.44,7992200,35.96
2001-01-18,50.63,50.69,49.06,49.63,5143100,36.09
2001-01-19,49.63,49.88,47.06,48.63,8082800,35.37
2001-01-22,48.88,49.13,44.19,45.00,15301900,32.73
2001-01-23,46.25,47.38,46.00,46.50,20240000,33.82
2001-01-24,47.50,47.50,45.56,46.25,13560200,33.64
2001-01-25,47.13,47.63,46.00,46.38,8627500,33.73
2001-01-26,46.38,47.13,45.88,46.63,7936100,33.91
2001-01-29,47.30,48.32,47.25,47.61,7397100,34.63
2001-01-30,47.00,48.11,46.74,47.91,9105600,34.85
2001-01-31,47.80,48.50,46.00,47.10,8894000,34.26
2001-02-01,47.10,47.84,47.10,47.49,5913500,34.54
2001-02-02,47.49,49.95,47.40,48.11,8685100,34.99
2001-02-05,48.24,49.06,47.95,48.41,4038900,35.21
2001-02-06,48.41,48.42,46.80,46.99,5816200,34.18
2001-02-07,47.35,48.15,45.50,46.37,7726000,33.73
2001-02-08,46.50,48.35,46.46,47.10,6204700,34.26
2001-02-09,47.90,47.99,46.95,47.03,3911600,34.21
2001-02-12,47.05,48.20,47.05,48.11,3973200,34.99
2001-02-13,48.02,48.50,46.30,46.78,5539500,34.03
2001-02-14,47.00,47.12,46.18,46.64,4299700,33.92
2001-02-15,47.05,47.26,46.31,46.86,4285200,34.08
2001-02-16,46.92,47.48,46.24,47.22,4902700,34.35
2001-02-20,47.30,47.43,45.10,45.98,5657700,33.44
2001-02-21,45.28,45.82,43.74,43.97,5472800,31.98
2001-02-22,43.97,44.67,41.89,44.50,9997400,32.37
2001-02-23,44.70,45.17,43.50,44.90,5653100,32.66
2001-02-26,44.94,45.23,43.70,45.20,6721300,32.88
2001-02-27,44.75,45.85,44.36,45.44,6331300,33.05
2001-02-28,45.50,45.63,43.70,43.88,6286600,31.92
2001-03-01,43.48,43.73,42.00,43.00,8327700,31.28
2001-03-02,42.75,44.49,42.38,43.75,6751500,31.82
2001-03-05,44.00,44.15,42.51,43.29,3761900,31.49
2001-03-06,43.82,44.40,42.55,42.99,5831600,31.27
2001-03-07,43.10,44.20,43.01,44.20,4731700,32.15
2001-03-08,44.80,45.17,43.80,44.43,4062200,32.32
2001-03-09,44.18,44.19,42.30,42.73,5561400,31.08
2001-03-12,42.05,42.07,39.93,40.40,8127900,29.38
2001-03-13,41.00,41.70,40.30,41.63,6583900,30.28
2001-03-14,39.25,40.44,38.00,38.48,11794500,27.99
2001-03-15,40.10,40.50,39.15,39.80,12311600,28.95
2001-03-16,39.80,40.38,38.10,38.18,12009300,27.77
2001-03-19,39.25,39.25,38.08,38.76,7162400,28.19
