Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,83.62,85.12,83.38,84.50,98811400,31.82
2000-12-13,84.31,86.25,84.19,85.06,2896600,32.48
2000-12-14,85.81,85.81,84.31,85.00,1216000,32.46
2000-12-15,84.62,85.00,84.62,84.94,2388600,32.44
2000-12-18,84.69,85.94,84.56,85.31,2004400,32.58
2000-12-19,85.12,86.19,84.88,86.19,1788800,32.91
2000-12-20,86.00,86.38,83.88,84.50,2609800,32.27
2000-12-21,84.75,85.00,82.88,84.88,2317400,32.41
2000-12-22,84.81,84.81,83.06,83.62,1425200,31.94
2000-12-26,83.62,85.94,83.62,85.44,1019600,32.63
2000-12-27,85.50,88.00,85.25,87.12,2693200,33.27
2000-12-28,87.31,88.94,87.31,88.62,1630600,33.84
2000-12-29,88.25,89.94,88.06,88.31,1364000,33.73
2001-01-02,88.44,90.44,88.31,89.62,3303800,34.23
2001-01-03,89.62,91.12,85.00,86.38,3786000,32.99
2001-01-04,85.62,85.88,80.12,81.50,4994800,31.12
2001-01-05,82.38,83.50,81.69,83.00,6387000,31.70
2001-01-08,83.25,85.81,83.19,85.00,3513200,32.46
2001-01-09,86.88,86.88,85.81,85.88,4769800,32.79
2001-01-10,85.88,86.94,83.69,84.94,2575800,32.44
2001-01-11,85.19,86.19,82.00,84.62,3204600,32.32
2001-01-12,84.62,85.12,82.50,83.44,1920800,31.86
2001-01-16,83.44,84.88,82.75,84.81,2449200,32.39
2001-01-17,84.94,85.06,82.75,83.06,3031400,31.72
2001-01-18,83.56,85.12,83.44,85.00,3340400,32.46
2001-01-19,85.00,86.12,82.69,83.06,2582600,31.72
2001-01-22,82.69,87.38,82.69,86.88,3305200,33.18
2001-01-23,86.38,86.38,83.50,85.00,3902600,32.46
2001-01-24,83.38,83.50,81.50,83.31,4559000,31.82
2001-01-25,83.88,86.56,83.19,86.56,4720000,33.06
2001-01-26,86.56,89.00,86.44,87.56,2348200,33.44
2001-01-29,87.15,89.50,87.15,87.73,2281200,33.50
2001-01-30,87.74,87.95,86.65,87.50,1172600,33.41
2001-01-31,87.85,88.00,85.80,87.88,1925200,33.56
