Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,54.50,54.63,53.81,54.31,1932700,42.37
2000-12-13,54.50,55.00,53.06,53.31,2298200,41.59
2000-12-14,52.38,54.25,51.56,53.81,2861600,41.98
2000-12-15,52.50,54.06,52.50,53.19,3012600,41.49
2000-12-18,53.69,54.50,53.44,53.44,3744700,41.69
2000-12-19,53.69,54.94,52.06,52.31,2365800,40.81
2000-12-20,52.44,54.19,51.56,52.94,2351500,41.30
2000-12-21,53.00,55.75,53.00,55.00,3202500,42.91
2000-12-22,57.00,57.00,54.94,55.50,2396500,43.30
2000-12-26,55.00,55.87,54.94,55.56,1312400,43.34
2000-12-27,56.75,57.38,56.38,56.63,3195200,44.17
2000-12-28,57.38,57.50,56.56,56.56,1203000,44.12
2000-12-29,56.31,57.31,55.19,55.19,1406700,43.05
2001-01-02,55.75,55.94,54.44,55.00,2158400,42.91
2001-01-03,55.50,56.19,53.19,56.00,4344500,43.69
2001-01-04,56.12,58.12,55.81,56.25,3525000,43.88
2001-01-05,55.75,56.00,54.12,54.56,2667600,42.56
2001-01-08,54.12,54.56,53.69,54.31,1293800,42.37
2001-01-09,54.44,55.06,52.56,53.12,1874100,41.44
2001-01-10,53.00,54.31,52.56,53.37,2090900,41.64
2001-01-11,53.75,55.00,53.37,53.50,2328200,41.74
2001-01-12,52.75,53.00,50.00,50.38,3249500,39.30
2001-01-16,50.50,52.38,50.44,51.88,3238400,40.47
2001-01-17,51.88,52.31,50.19,50.69,3310300,39.68
2001-01-18,51.19,51.19,49.00,49.50,4087000,38.75
2001-01-19,49.75,49.81,46.81,47.38,5110000,37.09
2001-01-22,47.63,50.44,47.63,50.44,5482000,39.48
2001-01-23,50.75,52.50,50.63,51.94,2398600,40.66
2001-01-24,52.94,52.94,51.75,52.06,2053700,40.76
2001-01-25,52.13,53.00,50.69,52.44,2009400,41.05
2001-01-26,52.75,53.87,51.94,53.44,1777400,41.83
2001-01-29,53.00,54.75,52.00,54.04,2270600,42.30
2001-01-30,53.60,55.50,53.10,55.25,2108600,43.25
2001-01-31,54.70,55.00,53.72,54.73,2107600,42.84
2001-02-01,54.20,54.50,53.60,54.18,1577100,42.41
2001-02-02,53.93,54.74,53.26,53.70,1729500,42.04
2001-02-05,54.00,54.96,53.20,54.96,1670600,43.02
2001-02-06,54.10,54.30,53.04,53.75,1765300,42.08
2001-02-07,53.50,54.36,53.40,53.92,1140400,42.21
2001-02-08,53.55,54.34,52.70,53.21,1588300,41.65
2001-02-09,53.40,53.95,53.01,53.95,1228100,42.23
2001-02-12,53.70,54.76,53.67,54.30,1805500,42.51
2001-02-13,53.90,54.60,53.71,54.02,2459200,42.29
2001-02-14,54.55,54.63,53.61,53.80,1509000,42.12
2001-02-15,54.00,54.00,52.78,53.70,1280200,42.04
2001-02-16,53.70,54.62,53.20,54.00,2288400,42.27
2001-02-20,53.50,53.50,50.15,50.66,3578900,39.66
2001-02-21,50.10,51.08,49.67,50.35,3517300,39.41
2001-02-22,50.55,50.70,47.80,50.25,3094500,39.34
2001-02-23,49.95,50.99,49.25,50.71,1973800,39.70
2001-02-26,51.25,51.45,49.77,51.10,2973100,40.00
2001-02-27,51.70,52.58,50.85,51.95,1920500,40.67
2001-02-28,52.00,52.20,50.85,51.78,2661100,40.53
2001-03-01,51.80,51.84,50.70,51.45,3270100,40.28
2001-03-02,51.50,52.47,51.00,51.35,2402100,40.20
2001-03-05,51.10,51.29,49.76,50.85,1780400,39.81
2001-03-06,51.05,51.68,50.01,50.74,1635400,39.72
2001-03-07,50.15,51.65,50.15,51.47,2292600,40.29
2001-03-08,50.50,51.42,49.47,50.65,2848700,39.65
2001-03-09,50.40,50.41,48.50,49.20,2782200,38.51
