Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,66.56,67.94,66.56,67.75,2483700,35.89
2000-12-13,68.38,70.94,68.38,70.69,6046000,37.45
2000-12-14,69.63,70.13,68.25,68.63,5056300,36.36
2000-12-15,67.63,69.19,67.25,68.19,8043600,36.13
2000-12-18,67.94,70.44,67.13,68.56,3343100,36.33
2000-12-19,68.50,70.88,68.06,70.06,4309300,37.12
2000-12-20,70.06,72.94,70.00,71.56,6599200,37.91
2000-12-21,71.00,71.19,68.00,69.50,6475400,36.82
2000-12-22,68.88,69.13,67.06,68.38,4853300,36.23
2000-12-26,68.38,70.88,68.38,70.00,2721800,37.09
2000-12-27,70.13,72.50,70.00,71.94,4045300,38.11
2000-12-28,71.94,73.56,71.63,73.25,3382300,38.81
2000-12-29,74.00,74.88,73.75,73.94,3976600,39.17
2001-01-02,73.00,73.50,70.88,71.50,4460300,37.88
2001-01-03,71.44,71.50,66.44,66.81,9099200,35.53
2001-01-04,64.50,64.69,60.75,63.06,14731600,33.54
2001-01-05,65.00,66.25,62.13,64.31,10095300,34.21
2001-01-08,65.31,66.69,64.06,65.06,4596800,34.60
2001-01-09,65.00,68.25,65.00,66.56,5487200,35.40
2001-01-10,67.75,67.88,65.19,65.94,5673400,35.07
2001-01-11,66.00,66.00,63.00,64.50,5871100,34.30
2001-01-12,64.56,67.31,64.56,67.19,4274600,35.73
2001-01-16,66.94,68.19,66.00,67.94,3838500,36.13
2001-01-17,67.50,67.69,65.13,66.00,5551900,35.10
2001-01-18,66.50,69.56,66.06,67.44,7732500,35.87
2001-01-19,66.38,68.31,65.38,66.06,4689600,35.14
2001-01-22,65.63,67.19,65.56,66.94,3393200,35.60
2001-01-23,66.13,66.75,64.25,66.25,5797300,35.24
2001-01-24,64.50,65.25,63.38,64.88,9629600,34.50
2001-01-25,64.00,65.38,64.00,64.38,12237600,34.24
2001-01-26,64.88,65.25,63.75,64.06,6275200,34.07
2001-01-29,64.80,64.95,61.25,62.15,6101000,33.06
2001-01-30,62.20,62.70,61.35,62.33,5551400,33.15
2001-01-31,61.53,61.89,60.10,61.89,8381900,32.92
2001-02-01,61.50,63.61,61.50,63.12,7323000,33.57
2001-02-02,64.10,65.07,63.35,64.59,6030500,34.35
2001-02-05,64.75,65.40,64.03,64.30,3566000,34.20
2001-02-06,64.22,64.79,63.40,63.55,2947800,33.80
2001-02-07,64.20,65.22,63.25,64.98,4567800,34.56
2001-02-08,65.10,65.25,63.76,64.69,3073600,34.41
2001-02-09,63.85,65.04,63.85,64.26,2765000,34.18
2001-02-12,64.85,65.53,64.02,65.16,3524300,34.66
2001-02-13,65.90,65.90,62.60,63.04,3364800,33.53
2001-02-14,63.40,63.50,61.72,62.25,3336300,33.11
2001-02-15,62.00,64.30,61.05,63.30,6671300,33.67
2001-02-16,63.30,63.31,62.27,62.99,4602300,33.50
2001-02-20,62.48,63.15,62.48,62.76,3058600,33.38
2001-02-21,63.50,63.85,62.50,62.50,3287400,33.24
2001-02-22,61.50,62.27,60.60,61.75,4574300,32.84
2001-02-23,61.20,62.08,61.02,61.94,4465500,32.94
2001-02-26,62.05,63.60,61.65,63.60,3432600,33.83
2001-02-27,62.00,62.55,61.20,62.06,5880100,33.01
2001-02-28,62.35,63.50,62.00,63.41,5772000,33.73
2001-03-01,63.40,63.46,62.25,63.28,4116100,33.66
2001-03-02,63.10,64.50,63.00,64.20,3940300,34.15
2001-03-05,63.40,63.50,62.81,63.40,2645200,33.72
2001-03-06,63.75,63.95,61.79,62.00,4354500,32.98
2001-03-07,62.00,62.00,59.25,60.60,7082700,32.23
2001-03-08,60.60,61.96,60.25,61.91,4816800,32.93
2001-03-09,62.70,64.00,62.50,63.20,5402600,33.61
2001-03-12,63.20,63.95,61.54,62.00,4874700,32.98
2001-03-13,61.90,61.91,58.69,61.00,7026200,32.44
2001-03-14,59.60,60.30,58.00,58.89,6087000,31.32
2001-03-15,57.60,58.87,56.90,58.64,6158100,31.19
2001-03-16,57.00,58.00,55.66,56.15,10010000,29.86
2001-03-19,57.00,59.06,56.75,58.51,4594200,31.12
2001-03-20,57.60,59.00,56.20,56.70,6452400,30.16
2001-03-21,56.70,57.00,54.15,54.75,4824000,29.12
2001-03-22,54.00,55.20,50.80,55.00,8180600,29.25
2001-03-23,56.50,57.20,55.00,56.55,5221800,30.08
2001-03-26,57.00,58.00,56.40,57.35,3644400,30.50
2001-03-27,57.35,58.75,57.20,58.26,4036100,30.99
2001-03-28,57.60,59.20,57.60,58.67,3196500,31.20
2001-03-29,59.50,60.73,58.55,59.57,5111300,31.68
2001-03-30,60.35,60.50,57.60,59.40,5637900,31.59
2001-04-02,58.75,59.45,57.28,58.25,3789900,30.98
2001-04-03,57.50,58.35,54.50,55.50,7831000,29.52
2001-04-04,55.22,56.95,55.15,56.60,4700300,30.25
2001-04-05,58.20,58.40,57.00,58.16,3561000,31.09
2001-04-06,58.16,58.55,55.98,57.50,3360200,30.73
2001-04-09,56.70,58.50,56.70,58.50,3412000,31.27
2001-04-10,59.30,59.30,56.59,58.40,4046200,31.22
2001-04-11,57.00,57.01,55.76,56.36,4627400,30.12
