Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,2300.00,2313.00,2262.00,2273.00,625000,45.46
2000-12-13,2278.00,2300.00,2265.00,2280.00,650000,45.60
2000-12-14,2268.00,2319.00,2238.00,2238.00,785000,44.76
2000-12-15,2240.00,2259.00,2207.00,2238.00,590000,44.76
2000-12-18,2240.00,2267.00,2222.00,2261.00,405000,45.22
2000-12-19,2245.00,2247.00,2221.00,2227.00,520000,44.54
2000-12-20,2217.00,2227.00,2170.00,2176.00,380000,43.52
2000-12-21,2176.00,2231.00,2171.00,2171.00,515000,43.42
2000-12-22,2170.00,2228.00,2165.00,2185.00,625000,43.70
2000-12-26,2190.00,2219.00,2176.00,2199.00,690000,43.98
2000-12-27,2195.00,2256.00,2192.00,2256.00,555000,45.12
2000-12-28,2235.00,2328.00,2235.00,2305.00,540000,46.10
2000-12-29,2322.00,2375.00,2292.00,2354.00,910000,47.08
2001-01-02,2373.00,2475.00,2365.00,2411.00,2300000,48.22
2001-01-03,2411.00,2430.00,2310.00,2335.00,1105000,46.70
2001-01-04,2330.00,2340.00,2252.00,2294.00,1110000,45.88
2001-01-05,2290.00,2290.00,2240.00,2249.00,830000,44.98
2001-01-08,2253.00,2275.00,2182.00,2242.00,805000,44.84
2001-01-09,2254.00,2305.00,2198.00,2200.00,990000,44.00
2001-01-10,2206.00,2243.00,2150.00,2243.00,1325000,44.86
2001-01-11,2246.00,2259.00,2148.00,2170.00,925000,43.40
2001-01-12,2165.00,2198.00,2142.00,2190.00,900000,43.80
2001-01-16,2194.00,2255.00,2191.00,2227.00,895000,44.54
2001-01-17,2260.00,2283.00,2240.00,2255.00,430000,45.10
2001-01-18,2258.00,2289.00,2255.00,2269.00,465000,45.38
2001-01-19,2276.00,2280.00,2238.00,2242.00,305000,44.84
2001-01-22,2226.00,2254.00,2226.00,2242.00,530000,44.84
2001-01-23,2245.00,2257.00,2211.00,2236.00,575000,44.72
2001-01-24,2228.00,2231.00,2209.00,2216.00,370000,44.32
2001-01-25,2203.00,2231.00,2203.00,2224.00,320000,44.48
2001-01-26,2232.00,2241.00,2220.00,2224.00,400000,44.48
2001-01-29,2230.00,2253.00,2215.00,2229.00,475000,44.58
2001-01-30,2229.00,2278.00,2217.00,2276.00,705000,45.52
2001-01-31,2278.00,2278.00,2232.00,2250.00,605000,45.00
2001-02-01,2250.00,2300.00,2246.00,2300.00,960000,46.00
2001-02-02,2302.00,2349.00,2297.00,2332.00,605000,46.64
2001-02-05,2332.00,2343.50,2275.00,2301.00,825000,46.02
2001-02-06,2308.00,2313.00,2275.00,2275.00,295000,45.50
