Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,52.69,52.81,51.63,52.63,1138300,373.35
2000-12-13,53.00,53.69,51.69,53.00,1227400,376.01
2000-12-14,51.38,51.94,50.38,50.75,1342700,360.04
2000-12-15,49.81,50.75,48.06,48.06,2604500,340.98
2000-12-18,49.25,50.31,49.19,49.38,1700900,350.29
2000-12-19,49.44,51.00,49.00,50.25,2484700,356.50
2000-12-20,49.63,50.00,47.69,48.00,1608000,340.53
2000-12-21,47.88,49.50,47.25,48.75,1567100,345.86
2000-12-22,49.69,50.38,48.88,50.06,1007600,355.17
2000-12-26,50.94,51.44,50.69,50.94,725700,361.37
2000-12-27,49.81,51.25,49.81,50.88,899100,360.93
2000-12-28,51.56,52.06,51.06,51.25,978900,363.59
2000-12-29,51.75,52.19,51.00,51.06,931400,362.26
2001-01-02,51.75,51.88,50.06,50.50,1324600,358.27
2001-01-03,50.50,55.00,50.38,54.94,3399100,389.75
2001-01-04,55.13,57.38,54.94,55.69,2825900,395.07
2001-01-05,55.25,55.56,52.50,53.69,2292600,380.88
2001-01-08,53.63,54.13,52.75,53.38,1213800,378.67
2001-01-09,53.38,53.81,52.13,52.19,1328900,370.24
2001-01-10,52.06,54.38,51.88,53.94,1526400,382.66
2001-01-11,54.00,55.31,53.75,55.00,1390300,390.20
2001-01-12,54.75,54.81,52.31,53.13,1345900,376.89
2001-01-16,52.56,54.88,52.00,54.69,1479100,387.98
2001-01-17,54.50,54.94,53.06,53.81,1350400,381.77
2001-01-18,53.94,54.25,53.38,54.25,1414600,384.88
2001-01-19,54.25,54.88,54.00,54.38,1209900,385.76
2001-01-22,54.69,55.25,53.00,53.88,1570900,382.21
2001-01-23,54.25,55.44,53.81,54.88,1174800,389.31
2001-01-24,55.19,56.31,54.56,55.81,1573500,395.96
2001-01-25,56.00,56.63,54.50,55.31,1262100,392.41
2001-01-26,55.38,55.75,54.56,55.19,1237100,391.53
2001-01-29,55.70,56.40,55.40,56.20,948200,398.71
2001-01-30,56.50,56.54,55.51,56.20,1210200,398.71
2001-01-31,56.70,56.99,55.20,55.97,1559000,397.08
2001-02-01,55.75,56.60,55.53,56.11,1031100,399.07
2001-02-02,56.11,56.69,55.00,55.46,865400,394.45
2001-02-05,56.20,56.50,55.51,56.30,896000,400.42
2001-02-06,56.30,56.30,55.00,55.13,892800,392.10
2001-02-07,55.65,55.69,54.06,54.36,1011900,386.62
2001-02-08,54.75,54.97,53.75,54.10,972000,384.77
2001-02-09,54.45,54.50,53.50,54.05,1129400,384.42
2001-02-12,54.05,55.50,54.03,55.45,788800,394.38
2001-02-13,55.50,55.96,54.25,54.59,1085900,388.26
2001-02-14,54.70,54.84,53.50,53.65,1077000,381.57
2001-02-15,53.90,54.70,53.56,54.07,981500,384.56
2001-02-16,53.40,54.95,53.37,54.00,1120400,384.06
2001-02-20,54.01,54.29,50.75,51.20,1362200,364.15
2001-02-21,50.51,51.30,47.95,48.30,1835300,343.52
2001-02-22,48.45,49.18,46.30,48.60,2191900,345.66
2001-02-23,48.50,49.10,45.50,48.20,1772900,342.81
2001-02-26,48.50,50.30,48.22,50.30,1339500,357.75
2001-02-27,50.00,51.70,48.85,49.80,1629500,354.19
2001-02-28,50.00,50.20,48.40,49.18,1469700,349.78
2001-03-01,48.30,48.87,47.26,48.65,1447100,346.01
2001-03-02,48.20,49.49,47.52,48.00,1398600,341.39
2001-03-05,48.40,48.76,47.47,48.25,1201100,343.17
2001-03-06,49.40,49.75,48.33,48.63,1219900,345.87
2001-03-07,49.00,50.48,48.52,50.45,1000800,358.81
2001-03-08,50.45,51.50,50.00,50.75,1109100,360.95
2001-03-09,50.25,50.26,48.80,49.13,1090300,349.43
2001-03-12,47.75,48.20,46.25,47.10,1782100,334.99
2001-03-13,47.05,48.39,46.30,48.39,1990200,344.16
2001-03-14,45.50,46.85,44.10,44.90,2535100,319.34
2001-03-15,45.95,46.90,45.85,46.40,1766200,330.01
2001-03-16,46.05,47.27,45.50,45.50,2023700,323.61
2001-03-19,46.05,46.75,44.65,46.30,1308100,329.30
2001-03-20,46.95,46.95,43.75,44.30,1696200,315.07
2001-03-21,44.31,45.00,41.59,42.25,2109100,300.49
2001-03-22,41.80,42.15,39.00,40.60,3046000,288.76
2001-03-23,41.50,43.10,41.25,42.85,1957700,304.76
2001-03-26,43.60,44.40,43.12,44.20,1384600,314.36
2001-03-27,44.35,46.50,43.15,46.45,2087900,330.36
2001-03-28,45.70,45.80,44.55,45.10,1438200,320.76
2001-03-29,44.80,45.38,44.22,44.70,1119100,317.92
2001-03-30,44.65,45.05,43.60,44.98,1717400,319.91
2001-04-02,44.55,46.25,44.10,46.07,1566100,327.66
2001-04-03,44.80,45.45,43.06,43.70,1508200,310.81
2001-04-04,43.25,43.95,41.40,42.70,2094100,303.69
2001-04-05,43.86,45.00,43.50,45.00,1628500,320.05
2001-04-06,44.40,44.73,42.75,42.75,1656800,304.05
2001-04-09,43.45,44.00,42.70,42.83,1116500,304.62
2001-04-10,44.20,46.00,44.05,45.40,1634600,322.90
2001-04-11,46.50,47.50,46.00,46.34,1369200,329.58
2001-04-12,46.17,47.42,46.00,47.30,962300,336.41
2001-04-16,47.90,48.10,46.20,46.95,1155800,333.92
2001-04-17,46.90,47.93,46.25,47.92,1021100,340.82
2001-04-18,48.60,52.49,48.30,50.05,2272800,355.97
2001-04-19,49.80,51.44,49.71,50.30,1486100,357.75
2001-04-20,50.29,50.29,48.55,49.42,1422100,351.49
2001-04-23,49.45,49.45,48.05,48.49,1055100,344.87
2001-04-24,48.85,49.80,48.21,48.70,1033500,346.37
2001-04-25,48.75,49.70,48.26,49.30,1000900,350.63
2001-04-26,49.28,50.35,49.01,49.51,1009900,352.13
2001-04-27,50.45,51.00,49.86,50.91,1060700,362.09
2001-04-30,51.48,51.48,49.15,49.15,1137100,349.57
2001-05-01,49.20,50.47,48.93,50.40,977700,358.46
2001-05-02,50.40,51.03,49.90,50.60,1055400,359.88
2001-05-03,50.00,51.00,49.51,51.00,950200,363.73
2001-05-04,50.00,51.25,49.75,50.78,1091300,362.16
2001-05-07,50.05,50.86,49.70,50.65,877000,361.24
2001-05-08,50.65,50.65,49.60,49.80,899100,355.17
2001-05-09,49.10,49.60,48.91,49.45,893800,352.68
2001-05-10,50.00,50.18,49.46,49.60,929600,353.75
2001-05-11,49.95,50.13,48.91,49.26,684900,351.32
2001-05-14,49.26,50.10,49.10,50.10,793400,357.31
