Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,42.38,43.62,41.88,42.38,4090800,15.04
2000-12-13,42.38,43.19,41.44,41.69,2747000,14.80
2000-12-14,40.94,40.94,40.12,40.69,2137600,14.44
2000-12-15,40.75,41.44,40.75,40.81,4576800,14.49
2000-12-18,40.81,42.62,40.12,42.31,3673200,15.02
2000-12-19,42.31,43.38,41.44,42.88,5395200,15.22
2000-12-20,42.88,43.31,41.25,43.06,5809600,15.29
2000-12-21,43.06,44.88,42.25,44.75,5965000,15.89
2000-12-22,44.75,46.75,44.19,46.62,5743600,16.55
2000-12-26,46.62,47.75,46.44,47.75,3715400,16.95
2000-12-27,47.56,47.56,46.38,47.50,3737200,16.86
2000-12-28,47.50,47.69,46.19,47.62,2558600,16.91
2000-12-29,47.62,47.94,46.81,47.31,3051800,16.80
2001-01-02,47.25,47.25,45.62,46.31,3285000,16.44
2001-01-03,46.31,46.69,43.56,46.50,7564000,16.51
2001-01-04,46.50,49.62,46.50,48.69,9149400,17.28
2001-01-05,48.50,48.50,45.31,45.88,7057800,16.29
2001-01-08,45.88,46.00,45.12,45.75,3752000,16.24
2001-01-09,45.75,45.75,44.88,45.69,3836600,16.22
2001-01-10,45.62,45.62,44.06,45.06,3655000,16.00
2001-01-11,45.06,45.44,44.12,45.44,3371000,16.13
2001-01-12,45.25,45.25,42.69,43.69,3494200,15.51
2001-01-16,43.69,44.69,43.06,44.69,4239400,15.86
2001-01-17,44.69,45.62,44.31,45.00,4460200,15.98
2001-01-18,42.06,42.06,40.00,41.75,9166400,14.93
2001-01-19,41.06,41.06,39.81,40.62,5502600,14.53
2001-01-22,40.62,41.44,39.81,40.88,4659800,14.62
2001-01-23,40.88,42.00,40.75,41.62,5792400,14.89
2001-01-24,41.62,42.88,41.00,42.19,3670200,15.09
2001-01-25,42.44,44.06,42.44,43.31,3517600,15.49
2001-01-26,43.31,43.75,42.56,43.25,3094400,15.47
2001-01-29,43.16,43.80,42.81,43.10,2439600,15.42
2001-01-30,43.10,44.50,42.25,44.40,4675200,15.88
2001-01-31,44.40,45.00,44.00,44.22,3889000,15.82
2001-02-01,44.22,44.60,43.70,44.33,2737600,15.86
2001-02-02,44.33,44.92,43.90,44.27,2387400,15.84
2001-02-05,44.27,44.38,43.73,43.77,1823000,15.66
2001-02-06,43.77,44.06,43.31,43.52,2298200,15.57
2001-02-07,43.52,43.89,43.38,43.61,1773800,15.60
2001-02-08,43.61,43.75,42.81,43.18,1954000,15.45
2001-02-09,43.18,43.25,42.49,43.00,3121800,15.38
2001-02-12,43.13,43.85,43.13,43.13,3180600,15.43
2001-02-13,43.15,44.15,43.15,43.26,2898400,15.47
2001-02-14,43.26,44.50,42.82,42.92,2694800,15.35
2001-02-15,43.41,45.00,43.41,44.12,3487000,15.78
2001-02-16,44.12,44.68,43.50,43.67,3326200,15.62
2001-02-20,43.40,43.40,41.80,41.80,4236800,14.95
2001-02-21,41.80,42.28,40.90,40.96,3115000,14.65
2001-02-22,40.96,41.45,40.20,40.69,3247400,14.56
2001-02-23,40.69,40.77,39.75,40.09,3277600,14.34
2001-02-26,40.56,41.88,40.56,41.63,2167600,14.89
2001-02-27,41.63,42.65,41.55,42.49,3713600,15.20
2001-02-28,42.49,43.18,41.55,41.60,3025200,14.88
2001-03-01,41.60,42.75,41.52,42.00,3337000,15.02
2001-03-02,42.14,43.46,42.14,42.68,2591600,15.27
2001-03-05,43.30,44.70,43.30,44.33,3643000,15.86
2001-03-06,44.33,45.20,44.14,44.51,3706000,15.92
2001-03-07,45.10,46.81,45.10,46.80,6538000,16.74
2001-03-08,46.95,48.00,46.95,47.79,7539400,17.10
2001-03-09,47.77,47.77,46.30,46.84,5092800,16.76
2001-03-12,46.80,46.80,44.78,44.96,4708200,16.08
2001-03-13,44.96,46.23,44.87,46.05,4328600,16.47
2001-03-14,45.49,45.49,44.55,44.79,4435600,16.02
2001-03-15,44.79,45.20,44.40,45.00,2643600,16.10
2001-03-16,45.00,45.55,44.25,44.60,5420800,15.95
2001-03-19,44.60,45.30,44.01,45.14,2889400,16.15
2001-03-20,45.14,45.57,43.75,43.87,4723800,15.69
2001-03-21,43.25,43.25,41.55,42.18,5537800,15.09
2001-03-22,41.97,41.97,40.15,41.37,4427400,14.80
2001-03-23,41.37,41.98,40.54,41.77,4683200,14.94
2001-03-26,42.23,43.75,42.23,42.94,4582600,15.36
2001-03-27,42.94,44.80,42.47,44.80,4729400,16.03
2001-03-28,44.80,45.51,43.57,45.50,4884800,16.28
2001-03-29,44.75,44.75,43.26,44.62,6493200,15.96
2001-03-30,44.62,44.93,43.77,44.38,3046800,15.88
2001-04-02,44.38,45.70,43.80,44.44,4333600,15.90
2001-04-03,43.95,43.95,41.50,42.16,6232800,15.08
2001-04-04,42.16,43.93,41.90,43.55,3690000,15.58
2001-04-05,43.55,46.00,43.55,45.78,4707800,16.38
2001-04-06,45.09,45.09,43.88,44.55,4044600,15.94
2001-04-09,44.57,45.69,44.57,44.98,4280200,16.09
2001-04-10,45.00,47.00,45.00,45.70,5092000,16.35
2001-04-11,45.70,46.10,44.92,45.14,3430400,16.15
2001-04-12,45.14,47.01,44.95,47.01,3300200,16.82
2001-04-16,47.01,47.24,45.62,46.75,3760800,16.72
2001-04-17,46.51,46.51,45.43,45.75,5792800,16.37
2001-04-18,45.75,49.00,45.65,48.45,7891400,17.33
2001-04-19,48.00,48.00,46.96,47.68,3230600,17.18
2001-04-20,47.68,48.22,46.86,47.88,3095800,17.25
2001-04-23,47.88,48.40,47.75,48.25,3266800,17.38
2001-04-24,48.25,49.16,48.20,48.30,5042400,17.40
2001-04-25,48.30,50.03,47.55,50.00,5245800,18.01
2001-04-26,50.00,50.40,49.12,49.35,5166800,17.78
2001-04-27,49.42,50.83,49.42,50.31,4117400,18.12
2001-04-30,50.31,51.49,50.20,50.20,5055000,18.08
2001-05-01,50.20,51.00,49.56,50.78,4617200,18.29
2001-05-02,50.78,51.01,49.40,50.30,4183200,18.12
2001-05-03,50.25,50.25,48.94,50.04,2766400,18.03
2001-05-04,50.04,50.60,49.05,50.55,4072200,18.21
2001-05-07,50.55,52.12,50.10,51.51,5946200,18.56
2001-05-08,51.65,52.25,51.65,51.85,4680800,18.68
2001-05-09,51.85,52.70,51.63,52.00,3524200,18.73
2001-05-10,52.16,54.01,52.16,53.43,5403800,19.25
2001-05-11,53.43,53.90,52.97,53.20,5804600,19.16
2001-05-14,53.20,53.21,52.40,52.82,3302800,19.03
2001-05-15,52.82,53.60,51.80,53.14,6048200,19.14
2001-05-16,53.14,56.50,52.71,55.91,7436400,20.14
2001-05-17,55.91,56.05,55.25,55.25,7476400,19.90
2001-05-18,55.25,55.50,54.30,55.25,3682600,19.90
2001-05-21,55.25,55.70,54.20,55.70,4775200,20.07
2001-05-22,55.70,56.50,55.45,56.20,4368400,20.25
2001-05-23,56.20,56.83,54.90,55.00,6325200,19.81
2001-05-24,55.00,55.25,54.00,54.40,6181000,19.60
2001-05-25,54.40,54.65,53.84,54.00,3140600,19.45
2001-05-29,54.00,55.29,53.52,55.14,3883800,19.86
2001-05-30,55.00,55.00,53.26,53.40,4958800,19.24
2001-05-31,53.54,54.70,53.54,54.16,2933600,19.51
2001-06-01,54.16,55.09,53.79,54.85,3008000,19.76
2001-06-04,54.85,56.04,54.38,55.78,2770600,20.09
2001-06-05,55.78,55.95,54.94,55.89,3469800,20.13
2001-06-06,55.85,55.85,54.44,54.65,2307400,19.69
2001-06-07,54.65,55.13,53.93,54.98,3108000,19.81
2001-06-08,54.98,54.98,53.56,54.33,2791800,19.57
2001-06-11,54.10,54.10,52.80,53.36,3129600,19.22
2001-06-12,53.36,54.06,53.00,53.82,3202800,19.39
2001-06-13,53.82,54.48,53.75,54.04,1698200,19.47
2001-06-14,54.04,54.60,53.55,54.19,4250600,19.52
2001-06-15,54.19,54.48,53.95,54.15,6508600,19.51
2001-06-18,54.15,54.81,54.05,54.46,2958200,19.62
2001-06-19,54.46,54.70,53.69,53.89,4550200,19.41
2001-06-20,54.00,55.73,54.00,55.50,4243600,19.99
2001-06-21,55.50,56.50,55.32,55.99,5216600,20.17
2001-06-22,55.89,55.89,54.29,54.65,3723400,19.69
2001-06-25,54.64,54.64,52.60,52.65,5444400,18.97
2001-06-26,52.65,53.70,51.71,53.20,7310200,19.16
2001-06-27,53.20,53.95,52.00,52.29,5119800,18.84
2001-06-28,52.29,52.86,50.40,50.66,9970000,18.25
2001-06-29,49.75,50.90,49.50,50.05,8198400,18.03
2001-07-02,50.05,52.25,50.05,51.96,4130200,18.72
2001-07-03,51.96,52.28,51.60,51.99,2145800,18.73
2001-07-05,51.99,52.20,51.55,51.68,3213600,18.62
2001-07-06,51.68,51.75,49.60,49.60,3758600,17.87
2001-07-09,50.00,51.15,50.00,50.40,2726600,18.16
2001-07-10,50.40,50.92,48.77,48.78,4267800,17.57
2001-07-11,48.85,50.08,48.85,49.00,4122600,17.65
2001-07-12,49.90,52.05,49.90,51.90,4698000,18.70
2001-07-13,51.90,52.69,51.90,52.48,4343800,18.91
2001-07-16,52.45,52.45,50.15,50.37,3250800,18.15
2001-07-17,51.40,54.50,51.40,53.55,10336200,19.29
2001-07-18,53.55,53.83,51.84,52.68,6169800,19.10
2001-07-19,52.89,54.83,52.89,54.20,6136000,19.65
2001-07-20,54.20,54.95,53.75,54.00,3240400,19.58
2001-07-23,54.00,54.45,53.06,53.90,2934800,19.54
2001-07-24,53.90,54.20,52.68,52.90,6603800,19.18
2001-07-25,52.90,53.60,52.31,53.00,7029400,19.22
2001-07-26,53.00,53.10,51.90,52.57,4773200,19.06
2001-07-27,52.57,52.75,52.20,52.75,4358600,19.13
2001-07-30,53.30,53.77,53.08,53.55,2818200,19.42
2001-07-31,54.00,55.50,53.75,55.10,5094800,19.98
2001-08-01,54.85,55.72,53.50,53.95,5074000,19.56
2001-08-02,54.25,54.73,53.50,54.60,3682400,19.80
2001-08-03,54.45,54.56,53.24,54.45,2265200,19.74
2001-08-06,54.00,54.02,52.29,52.95,2360600,19.20
2001-08-07,52.75,53.57,52.45,53.30,2774800,19.33
2001-08-08,52.70,53.30,52.51,52.76,4668400,19.13
2001-08-09,52.20,52.41,51.38,52.35,4725600,18.98
2001-08-10,52.30,54.51,51.70,53.65,4256400,19.45
2001-08-13,53.30,54.32,53.28,54.02,2607200,19.59
2001-08-14,53.75,54.07,53.28,53.86,3528400,19.53
2001-08-15,53.88,55.37,53.88,55.23,4810400,20.03
2001-08-16,55.20,55.20,54.07,54.15,4940400,19.64
2001-08-17,54.25,54.47,53.06,53.75,3456600,19.49
2001-08-20,53.60,53.60,52.25,52.75,4281000,19.13
2001-08-21,53.00,53.09,52.26,52.41,5605600,19.00
2001-08-22,52.60,53.30,52.25,53.30,5213800,19.33
2001-08-23,52.60,52.60,50.86,51.80,5342400,18.78
2001-08-24,51.80,52.28,51.00,52.24,4917000,18.94
2001-08-27,52.30,52.68,52.20,52.46,2026600,19.02
2001-08-28,52.45,52.46,51.57,52.14,2104800,18.91
2001-08-29,52.00,52.00,50.86,51.17,3142200,18.55
2001-08-30,50.80,51.40,49.50,50.00,3885600,18.13
2001-08-31,49.90,51.18,49.55,50.00,3360200,18.13
2001-09-04,50.01,51.45,49.40,50.38,5479800,18.27
2001-09-05,50.80,50.80,49.79,50.30,3536600,18.24
2001-09-06,50.55,51.75,50.54,51.13,6206800,18.54
2001-09-07,51.14,51.14,48.75,48.86,5106400,17.72
2001-09-10,48.00,48.35,47.05,48.10,5512000,17.44
2001-09-17,47.00,48.45,43.85,44.69,8090600,16.21
2001-09-18,45.50,47.45,44.90,45.71,5560200,16.58
2001-09-19,45.85,46.35,43.30,44.40,4928400,16.10
2001-09-20,44.50,44.97,41.45,41.70,5984200,15.12
2001-09-21,41.70,44.10,40.31,44.05,9900000,15.97
2001-09-24,45.05,47.41,45.05,46.12,5672400,16.72
2001-09-25,46.12,46.78,45.09,46.38,4536800,16.82
2001-09-26,45.80,45.80,43.67,44.07,6343400,15.98
2001-09-27,44.10,44.50,42.63,43.80,4878400,15.88
2001-09-28,43.80,45.49,43.30,44.80,4313000,16.25
2001-10-01,44.85,44.85,43.35,43.98,4220200,15.95
2001-10-02,44.23,45.72,44.07,45.40,3610600,16.46
2001-10-03,45.15,47.80,44.70,47.42,4648200,17.20
2001-10-04,47.50,48.37,47.36,47.43,4269400,17.20
2001-10-05,47.82,48.25,47.00,48.25,3797400,17.50
2001-10-08,47.70,47.70,46.27,46.64,4105400,16.91
2001-10-09,46.11,47.04,46.00,46.90,2772600,17.01
2001-10-10,45.80,47.50,45.50,47.31,6813000,17.16
2001-10-11,47.56,49.90,47.47,49.30,4795400,17.88
2001-10-12,48.60,48.98,47.70,48.55,5467200,17.60
2001-10-15,48.05,48.35,47.70,48.20,2232000,17.48
2001-10-16,47.00,48.20,46.60,48.03,6628600,17.42
2001-10-17,48.10,48.40,46.83,46.92,5843200,17.01
2001-10-18,46.58,46.95,45.87,46.39,3185600,16.95
2001-10-19,46.80,46.80,45.30,45.76,3867600,16.72
2001-10-22,45.66,46.70,45.40,46.57,5437600,17.01
2001-10-23,47.00,47.06,45.96,46.18,2885000,16.87
2001-10-24,46.15,46.45,45.20,45.45,3301000,16.60
2001-10-25,45.05,46.73,44.31,46.37,3676600,16.94
2001-10-26,46.45,47.61,46.42,47.30,2532400,17.28
2001-10-29,47.10,47.50,45.70,45.70,2402000,16.70
2001-10-30,45.70,45.70,44.60,44.91,3526200,16.41
2001-10-31,45.45,45.65,44.68,44.72,3441600,16.34
2001-11-01,45.20,45.35,43.70,45.20,4934600,16.51
2001-11-02,45.10,45.80,44.65,45.71,3090600,16.70
2001-11-05,45.95,46.47,45.80,46.10,3519400,16.84
2001-11-06,46.25,47.80,45.74,47.79,4498600,17.46
2001-11-07,47.60,48.85,47.20,48.30,4813400,17.65
2001-11-08,48.40,49.81,48.30,48.39,4637600,17.68
2001-11-09,48.58,48.95,47.61,48.25,2983200,17.63
2001-11-12,48.05,48.76,47.00,47.78,2079800,17.46
2001-11-13,48.75,49.39,48.40,48.96,3655000,17.89
2001-11-14,49.95,49.97,48.30,48.38,4704000,17.68
2001-11-15,48.30,48.30,47.42,47.97,4999800,17.53
2001-11-16,48.50,49.25,48.15,49.10,5166600,17.94
2001-11-19,49.35,50.15,48.76,50.01,4674200,18.27
2001-11-20,49.50,49.74,48.52,49.20,4779200,17.97
2001-11-21,49.20,49.35,48.27,48.42,3313200,17.69
2001-11-23,48.42,48.64,48.19,48.64,2175000,17.77
2001-11-26,48.89,49.25,48.35,49.25,2495200,17.99
2001-11-27,48.65,49.25,47.95,48.70,3714000,17.79
2001-11-28,48.70,48.70,48.00,48.19,2016200,17.61
2001-11-29,48.19,48.40,47.55,48.20,3087000,17.61
2001-11-30,47.75,48.19,47.33,47.42,3615200,17.32
2001-12-03,47.42,47.50,46.70,47.41,3487000,17.32
2001-12-04,47.65,48.49,47.22,48.46,2364400,17.70
2001-12-05,49.00,51.00,48.85,50.55,4670600,18.47
2001-12-06,50.95,51.69,50.47,50.51,4728800,18.45
2001-12-07,50.20,51.65,50.11,51.15,4309200,18.69
2001-12-10,51.15,51.15,49.90,50.01,4095000,18.27
2001-12-11,50.01,51.10,50.00,50.50,2909200,18.45
2001-12-12,50.50,51.05,50.21,51.00,3784600,18.63
2001-12-13,50.65,51.15,50.10,50.21,2454000,18.34
2001-12-14,50.03,50.24,48.70,50.07,4585600,18.29
2001-12-17,49.70,50.56,49.70,49.90,2463000,18.23
2001-12-18,50.50,51.77,50.46,51.36,2632000,18.76
2001-12-19,51.36,52.15,51.02,52.05,3861600,19.02
2001-12-20,51.80,51.81,50.54,50.60,2752600,18.49
