Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,58.50,59.90,58.35,58.98,4037600,22.03
2000-12-13,58.80,58.81,57.80,58.15,2997800,21.72
2000-12-14,57.25,58.00,57.25,57.76,3088000,21.57
2000-12-15,55.70,57.55,55.50,57.16,5375400,21.35
2000-12-18,57.50,59.40,57.50,59.23,2215200,22.12
2000-12-19,59.25,60.15,58.30,59.02,2785800,22.04
2000-12-20,58.75,60.00,58.75,59.31,2295600,22.15
2000-12-21,59.31,60.83,59.26,60.83,4101800,22.72
2000-12-22,59.88,60.44,58.76,59.76,2581600,22.32
2000-12-26,60.00,62.66,60.00,62.35,2584400,23.29
2000-12-27,63.50,64.97,63.44,64.56,3656800,24.11
2000-12-28,64.45,65.05,62.89,64.50,2890000,24.09
2000-12-29,65.25,65.69,64.45,64.55,2540000,24.11
2001-01-02,63.35,64.40,62.42,62.50,3234000,23.34
2001-01-03,64.75,64.75,59.40,60.11,5100000,22.45
2001-01-04,60.50,60.50,55.75,55.92,8699400,20.89
2001-01-05,56.90,58.45,56.79,57.60,4510600,21.51
2001-01-08,57.61,59.30,57.61,58.86,4684000,21.98
2001-01-09,59.25,60.15,57.95,59.95,4910800,22.39
2001-01-10,59.60,59.73,58.55,59.16,2970400,22.10
2001-01-11,59.30,59.30,57.90,58.16,3423200,21.72
2001-01-12,58.16,58.85,57.10,57.90,2856800,21.63
2001-01-16,57.90,58.45,57.00,57.90,3030200,21.63
2001-01-17,57.90,57.90,55.89,56.55,2873000,21.12
2001-01-18,56.53,58.09,55.60,56.88,3026200,21.25
2001-01-19,56.88,57.40,55.50,56.65,2802600,21.16
2001-01-22,56.66,57.30,55.85,56.78,2788800,21.21
2001-01-23,57.03,58.27,56.82,57.73,2749200,21.56
2001-01-24,57.32,58.49,56.04,58.10,2841400,21.76
2001-01-25,57.30,58.75,56.26,58.35,2803800,21.85
2001-01-26,58.55,59.12,56.90,57.01,3021600,21.35
2001-01-29,57.02,57.15,55.75,56.38,2488600,21.12
2001-01-30,56.50,59.31,56.40,58.72,3565800,21.99
2001-01-31,58.47,60.10,57.05,60.08,3374200,22.50
2001-02-01,60.08,61.50,60.08,61.08,4760600,22.88
2001-02-02,61.15,61.75,59.91,60.80,3541000,22.77
2001-02-05,60.80,61.45,59.70,59.85,3516400,22.42
2001-02-06,60.05,60.79,59.25,60.05,2478400,22.49
2001-02-07,58.00,59.40,57.48,59.35,10432400,22.23
2001-02-08,59.60,60.10,58.50,59.91,5343400,22.44
2001-02-09,60.08,60.10,59.20,59.38,2211800,22.24
2001-02-12,59.38,59.61,57.50,58.82,3202000,22.03
2001-02-13,58.82,58.83,57.60,58.00,3961200,21.72
2001-02-14,58.00,58.00,56.30,56.40,4497000,21.12
2001-02-15,56.10,57.19,55.81,56.70,3723600,21.24
2001-02-16,58.25,59.39,58.20,59.25,4063600,22.19
2001-02-20,59.50,60.25,59.25,60.05,2877200,22.49
2001-02-21,59.80,60.00,58.30,59.15,3691200,22.15
2001-02-22,59.70,60.25,58.35,59.25,4147400,22.19
2001-02-23,59.00,59.09,57.40,58.40,2825800,21.87
2001-02-26,57.60,58.50,57.35,58.15,2759600,21.78
2001-02-27,58.10,59.40,58.02,58.75,3416000,22.00
2001-02-28,59.00,59.42,58.60,59.05,2216600,22.12
2001-03-01,58.80,59.00,57.26,57.55,2392000,21.55
2001-03-02,57.40,58.52,57.40,58.12,3081000,21.77
2001-03-05,58.20,58.60,57.45,58.50,2092800,21.91
2001-03-06,58.50,58.50,57.60,57.80,2447200,21.65
2001-03-07,57.20,59.10,57.20,58.18,3433200,21.79
2001-03-08,58.75,60.30,58.35,60.00,3189000,22.47
2001-03-09,60.00,60.10,58.20,58.90,2250200,22.06
2001-03-12,58.25,59.00,56.69,56.85,2893800,21.29
2001-03-13,56.90,56.90,55.25,56.40,2928400,21.12
2001-03-14,56.15,56.40,55.05,55.47,2918400,20.78
2001-03-15,55.47,55.47,53.25,54.90,4126200,20.56
2001-03-16,53.50,55.25,53.50,54.22,4838800,20.31
2001-03-19,54.00,54.33,53.38,53.45,2833600,20.02
2001-03-20,53.45,54.98,53.40,53.66,4046600,20.10
2001-03-21,53.50,53.60,51.35,51.35,4904600,19.23
2001-03-22,50.75,51.25,48.50,51.00,6359800,19.10
2001-03-23,50.75,51.80,50.30,51.50,5829600,19.29
2001-03-26,52.40,53.20,51.77,53.10,4004000,19.89
2001-03-27,53.05,55.70,52.85,55.21,5860200,20.68
2001-03-28,55.20,55.61,53.75,55.41,3422000,20.75
2001-03-29,55.25,55.25,53.60,54.20,3570800,20.30
2001-03-30,54.20,55.58,53.77,55.26,2498000,20.70
2001-04-02,55.40,56.33,54.40,54.85,2825400,20.54
2001-04-03,54.70,54.80,53.10,53.40,3189400,20.00
2001-04-04,53.15,54.80,52.29,54.05,3050200,20.24
2001-04-05,54.50,55.50,53.30,55.50,2947000,20.79
2001-04-06,54.50,54.65,52.10,53.75,3298600,20.13
2001-04-09,52.00,53.42,52.00,52.10,5604200,19.51
2001-04-10,51.60,52.25,51.36,51.55,4896800,19.31
2001-04-11,51.55,51.60,50.60,51.26,4111600,19.20
2001-04-12,51.70,53.20,51.50,53.20,3740800,19.93
2001-04-16,53.50,53.96,52.90,53.35,2279200,19.98
2001-04-17,52.70,53.25,52.26,52.87,3249400,19.80
2001-04-18,53.10,53.31,51.50,51.75,6061600,19.38
2001-04-19,53.00,53.25,52.35,52.57,6557000,19.69
2001-04-20,52.65,53.65,51.90,53.30,5099400,19.96
2001-04-23,53.50,53.97,52.85,53.04,3262600,19.87
2001-04-24,52.65,53.20,52.12,52.40,3496600,19.68
2001-04-25,52.40,53.50,52.18,53.38,2992000,20.05
2001-04-26,53.50,54.66,53.00,53.80,4396000,20.21
2001-04-27,54.50,55.85,54.25,55.65,3880600,20.90
2001-04-30,56.30,56.90,55.25,55.85,3329000,20.98
2001-05-01,56.50,57.09,55.50,56.46,5687400,21.21
2001-05-02,56.25,56.70,55.20,56.00,4706200,21.04
2001-05-03,56.00,56.30,55.20,55.85,2610600,20.98
2001-05-04,55.90,56.96,55.70,56.80,1849400,21.34
2001-05-07,56.85,57.34,56.76,57.18,1895000,21.48
2001-05-08,57.40,57.50,56.30,57.28,2392000,21.52
2001-05-09,57.50,57.85,56.90,57.39,1872000,21.56
2001-05-10,57.75,58.00,57.39,58.00,2211200,21.79
2001-05-11,58.40,58.74,57.65,58.14,1768400,21.84
2001-05-14,58.35,58.38,57.85,58.19,2153200,21.86
2001-05-15,58.20,58.32,56.50,56.70,4564600,21.30
2001-05-16,56.90,58.60,56.35,58.52,4119400,21.98
2001-05-17,58.85,59.06,57.59,58.05,2957400,21.81
2001-05-18,58.05,58.30,57.00,57.40,2460400,21.56
2001-05-21,57.15,57.80,56.70,57.60,2385200,21.64
2001-05-22,56.95,57.26,56.17,56.22,3180800,21.12
2001-05-23,56.20,57.25,56.20,56.78,3099800,21.33
2001-05-24,56.65,57.40,56.50,57.19,1591400,21.48
2001-05-25,56.95,57.25,56.41,56.78,1379600,21.33
2001-05-29,56.78,58.20,56.71,57.98,2398200,21.78
2001-05-30,57.90,58.09,56.92,57.53,2269400,21.61
2001-05-31,57.25,57.42,56.44,56.64,3290200,21.28
2001-06-01,56.75,57.46,56.18,57.25,1859800,21.51
2001-06-04,57.50,57.58,56.50,57.46,1984600,21.58
2001-06-05,57.65,58.40,57.24,58.20,2122400,21.86
2001-06-06,58.45,59.05,58.08,58.45,3070000,21.96
2001-06-07,58.70,59.25,58.56,58.75,2625000,22.07
2001-06-08,58.70,58.96,58.10,58.87,2218600,22.11
2001-06-11,58.88,58.88,58.40,58.82,1670200,22.10
2001-06-12,58.90,59.05,58.20,58.83,2007000,22.10
2001-06-13,58.30,58.60,57.80,57.90,2413400,21.75
2001-06-14,57.85,58.15,57.10,57.71,1917000,21.68
2001-06-15,57.72,58.50,57.37,57.90,5860800,21.75
2001-06-18,57.90,58.20,57.40,57.91,2543000,21.75
2001-06-19,57.90,58.31,57.49,58.18,2714200,21.86
2001-06-20,57.95,59.78,57.95,59.20,2976000,22.24
2001-06-21,59.40,61.00,58.85,61.00,4543800,22.91
2001-06-22,60.40,60.41,58.95,59.35,3683400,22.29
2001-06-25,59.45,59.59,57.85,58.90,3920200,22.13
2001-06-26,58.60,60.70,58.43,60.70,4602400,22.80
2001-06-27,60.50,60.75,59.91,60.60,2879600,22.76
2001-06-28,60.75,61.00,60.33,60.95,2956400,22.90
2001-06-29,60.95,61.00,58.89,58.99,6990000,22.16
2001-07-02,58.99,60.21,58.99,59.98,4171000,22.53
2001-07-03,60.00,60.45,59.38,60.25,1415000,22.63
2001-07-05,60.10,60.10,59.05,59.63,2311200,22.40
2001-07-06,59.63,59.70,58.80,59.04,2006200,22.18
2001-07-09,59.04,59.07,58.00,58.43,3962600,21.95
2001-07-10,58.55,58.55,57.00,57.25,5028800,21.51
2001-07-11,57.50,57.55,54.30,55.25,8892400,20.75
2001-07-12,55.45,55.59,54.00,54.88,6944600,20.62
2001-07-13,54.25,55.35,54.00,55.21,4277400,20.74
2001-07-16,55.10,56.70,55.00,55.85,3809600,20.98
2001-07-17,56.35,56.55,55.89,56.30,3210600,21.15
2001-07-18,55.80,56.28,55.00,55.28,4192800,20.77
2001-07-19,55.80,56.06,55.01,55.40,3554000,20.81
2001-07-20,55.40,56.15,55.40,55.81,2849800,20.97
2001-07-23,54.50,54.95,53.20,54.65,5614600,20.53
