Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,35.97,36.25,35.19,35.69,177100,21.04
2000-12-13,36.75,38.88,36.75,38.50,368800,22.70
2000-12-14,37.69,38.25,36.94,37.56,206200,22.15
2000-12-15,37.19,38.25,37.12,37.44,127200,22.08
2000-12-18,38.94,39.00,37.38,37.50,197700,22.11
2000-12-19,38.00,38.62,37.50,37.88,154200,22.33
2000-12-20,37.38,37.38,36.00,36.19,153100,21.34
2000-12-21,36.00,38.62,36.00,37.38,244200,22.04
2000-12-22,37.50,40.00,37.50,39.69,150600,23.40
2000-12-26,39.94,40.44,38.94,39.12,66600,23.07
2000-12-27,39.63,41.00,39.44,40.56,156400,23.92
2000-12-28,40.62,41.88,40.38,41.00,86700,24.18
2000-12-29,40.88,42.00,40.88,41.31,146100,24.36
2001-01-02,40.94,41.25,39.75,39.94,176500,23.55
2001-01-03,40.06,41.94,39.75,41.62,244000,24.55
2001-01-04,41.50,42.06,41.00,41.00,210900,24.18
2001-01-05,41.09,41.50,39.94,40.69,128200,23.99
2001-01-08,40.44,40.75,39.50,40.69,163500,23.99
2001-01-09,40.69,43.06,40.69,42.19,272700,24.88
2001-01-10,42.25,42.38,41.00,41.62,93600,24.55
2001-01-11,41.50,43.00,41.50,42.56,116700,25.10
2001-01-12,42.31,44.50,42.31,43.42,164200,25.60
2001-01-16,43.62,44.75,43.62,44.62,327400,26.31
2001-01-17,44.62,45.81,43.50,43.50,175900,25.65
2001-01-18,43.62,44.50,42.94,43.94,105400,25.91
2001-01-19,44.62,44.75,43.25,44.31,178500,26.13
2001-01-22,44.62,44.75,43.56,43.62,107700,25.72
2001-01-23,43.78,43.78,41.88,42.50,116200,25.06
2001-01-24,43.06,43.38,41.31,42.12,206200,24.84
2001-01-25,42.12,42.19,40.12,41.31,373500,24.36
2001-01-26,41.25,41.50,40.75,41.50,94600,24.47
2001-01-29,41.19,43.19,41.00,42.75,230500,25.21
2001-01-30,42.69,42.69,41.50,41.88,92500,24.69
2001-01-31,41.69,42.75,41.62,42.31,343600,24.95
2001-02-01,42.12,42.50,41.31,42.25,67200,24.91
2001-02-02,42.00,42.50,40.81,41.19,115500,24.29
2001-02-05,41.44,43.69,41.44,43.06,140400,25.39
2001-02-06,43.00,44.13,42.87,43.19,112500,25.47
2001-02-07,42.87,44.13,42.87,43.62,90700,25.72
2001-02-08,43.94,44.62,43.94,43.94,118900,25.91
2001-02-09,43.97,44.00,43.25,43.38,115500,25.58
2001-02-12,43.41,43.88,43.12,43.50,168900,25.65
2001-02-13,43.75,44.37,43.38,43.38,56400,25.58
2001-02-14,44.00,44.00,41.81,42.31,122700,24.95
2001-02-15,42.31,43.00,42.19,42.25,60700,24.91
2001-02-16,41.88,42.38,41.56,42.06,81000,24.80
2001-02-20,42.06,43.38,42.06,42.50,72300,25.06
2001-02-21,42.38,42.69,41.62,42.19,58000,24.88
