Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,53.37,53.62,52.81,53.19,2237300,13.04
2000-12-13,53.37,55.00,53.25,54.50,2369000,13.36
2000-12-14,54.50,54.56,52.25,52.50,2280900,12.87
2000-12-15,53.00,53.62,52.44,53.00,3234300,12.99
2000-12-18,53.50,54.69,53.31,54.12,3068000,13.27
2000-12-19,54.31,55.62,53.69,53.87,2488200,13.21
2000-12-20,52.75,53.44,52.62,52.94,1869800,12.98
2000-12-21,53.00,53.75,52.62,53.44,2742600,13.10
2000-12-22,54.12,54.62,53.00,54.62,1887600,13.39
2000-12-26,54.69,56.87,54.69,56.37,3026000,13.82
2000-12-27,56.75,58.25,56.19,57.87,4408400,14.19
2000-12-28,58.12,58.87,57.25,58.19,1942700,14.26
2000-12-29,58.25,58.50,56.56,56.87,1979200,13.94
2001-01-02,57.12,58.75,56.87,57.06,2363800,13.99
2001-01-03,56.50,57.00,55.25,55.56,2812400,13.62
2001-01-04,55.00,55.19,53.00,54.87,2767300,13.45
2001-01-05,54.81,56.87,54.81,55.87,2212700,13.70
2001-01-08,55.94,56.97,55.69,55.94,1424000,13.71
2001-01-09,55.81,55.94,54.06,55.06,2215800,13.50
2001-01-10,54.62,55.00,53.81,54.06,1889500,13.25
2001-01-11,54.75,55.50,54.37,54.62,2183600,13.39
2001-01-12,54.56,55.12,54.31,55.12,2763100,13.51
2001-01-16,55.37,56.87,55.31,56.81,3681600,13.93
2001-01-17,57.44,57.44,55.37,55.44,4978700,13.59
2001-01-18,55.75,55.75,54.62,55.12,1864300,13.51
2001-01-19,55.19,55.62,54.69,55.25,2495800,13.54
2001-01-22,55.56,57.00,55.50,56.44,2802700,13.83
2001-01-23,56.62,57.25,56.37,57.00,2349400,13.97
2001-01-24,56.94,57.37,56.50,56.75,2860700,13.91
2001-01-25,57.81,58.81,57.62,58.06,3971000,14.23
2001-01-26,58.25,58.50,56.81,56.87,3363400,13.94
2001-01-29,57.49,57.49,56.65,57.27,1728400,14.04
2001-01-30,57.70,57.80,56.47,57.60,1818900,14.12
2001-01-31,59.00,59.00,58.00,58.63,2984800,14.37
2001-02-01,58.50,58.50,57.32,58.04,2119000,14.23
2001-02-02,58.24,58.71,57.96,58.13,2125100,14.25
2001-02-05,52.85,53.57,51.70,53.35,35424600,13.08
2001-02-06,53.70,54.00,52.90,54.00,17784700,13.24
2001-02-07,54.00,55.05,53.75,54.85,13989700,13.45
2001-02-08,54.85,54.94,54.26,54.80,10950000,13.43
2001-02-09,55.20,55.85,55.08,55.75,8208900,13.67
2001-02-12,56.60,56.67,56.00,56.34,10666400,13.81
2001-02-13,56.34,57.19,56.00,57.16,7761800,14.01
2001-02-14,57.10,57.15,55.87,56.56,12059800,13.86
2001-02-15,56.80,56.80,55.75,56.10,10194100,13.75
2001-02-16,56.35,56.45,55.53,55.97,6016100,13.80
2001-02-20,55.97,56.59,55.70,55.99,4012500,13.81
2001-02-21,55.96,56.04,55.37,55.50,4923400,13.69
2001-02-22,55.73,55.87,55.27,55.40,5810900,13.66
2001-02-23,55.41,55.54,54.57,55.04,5598700,13.57
2001-02-26,55.19,55.40,54.96,55.00,5439900,13.56
2001-02-27,55.49,55.60,54.76,55.00,4170900,13.56
2001-02-28,55.00,55.01,53.20,53.31,5163200,13.15
2001-03-01,53.01,53.94,53.00,53.50,5786300,13.19
2001-03-02,53.55,55.20,53.35,54.96,5594500,13.55
2001-03-05,54.97,55.60,54.87,55.38,4833100,13.66
2001-03-06,55.38,55.68,54.85,55.42,3839600,13.67
2001-03-07,55.69,56.24,55.62,56.19,6389700,13.86
2001-03-08,56.20,57.63,56.04,57.62,8868200,14.21
2001-03-09,57.63,58.15,57.10,57.48,5198600,14.18
2001-03-12,57.40,57.41,56.18,56.27,4501200,13.88
2001-03-13,56.27,56.28,54.73,55.15,3986000,13.60
2001-03-14,54.79,54.85,54.22,54.70,4478700,13.49
2001-03-15,54.99,55.19,54.25,55.05,3510600,13.58
2001-03-16,55.05,55.21,54.71,54.96,5779200,13.55
2001-03-19,55.00,56.10,55.00,55.52,5184100,13.69
2001-03-20,55.52,56.80,54.90,55.76,5073400,13.75
2001-03-21,55.77,55.77,54.37,55.01,4785600,13.57
2001-03-22,54.99,54.99,52.50,53.34,5963900,13.16
2001-03-23,53.65,54.56,53.00,54.40,6403600,13.42
2001-03-26,54.40,54.80,53.91,53.92,5290900,13.30
2001-03-27,54.10,54.80,54.04,54.14,4863000,13.35
2001-03-28,54.03,54.09,53.52,53.59,4812400,13.22
2001-03-29,53.55,53.55,52.15,53.39,6272100,13.17
2001-03-30,53.44,55.30,53.44,55.05,4520900,13.58
2001-04-02,55.11,55.50,53.31,53.47,4936500,13.19
2001-04-03,53.55,53.90,52.78,52.99,4655800,13.07
2001-04-04,53.50,54.80,53.46,53.97,5641400,13.31
2001-04-05,53.97,55.53,53.80,55.49,6166200,13.69
2001-04-06,55.49,55.49,53.90,55.07,4512500,13.58
2001-04-09,55.57,56.27,55.57,56.26,3638300,13.88
2001-04-10,57.00,57.87,56.90,57.59,5933200,14.20
2001-04-11,57.59,57.93,56.40,56.47,9834200,13.93
2001-04-12,56.40,57.19,56.35,56.60,11834700,13.96
2001-04-16,57.08,58.10,57.00,58.09,7899000,14.33
2001-04-17,58.09,58.25,57.70,58.08,7590800,14.32
2001-04-18,58.07,58.59,57.40,57.80,7211100,14.26
2001-04-19,58.00,58.40,57.35,57.35,9925700,14.14
2001-04-20,57.36,58.25,57.18,57.27,4575500,14.12
2001-04-23,58.00,59.10,57.86,58.68,6189000,14.47
2001-04-24,59.08,59.50,59.00,59.20,4463700,14.60
2001-04-25,59.45,59.93,59.06,59.85,4821600,14.76
2001-04-26,59.98,60.25,59.80,59.98,6251200,14.88
2001-04-27,60.10,60.30,59.62,60.00,5588200,14.88
2001-04-30,60.00,60.45,59.57,59.60,6873700,14.78
2001-05-01,59.61,59.79,58.99,59.25,4859900,14.70
2001-05-02,58.40,58.41,56.40,56.63,8008400,14.05
2001-05-03,56.65,56.70,55.40,56.29,5372300,13.96
2001-05-04,56.65,57.57,56.64,57.46,4454800,14.25
2001-05-07,58.00,58.23,57.41,57.91,3188100,14.36
2001-05-08,57.91,58.59,57.42,58.22,3213600,14.44
2001-05-09,58.51,59.60,58.50,59.53,6014000,14.77
2001-05-10,59.54,60.20,59.31,59.49,5563500,14.76
2001-05-11,59.50,59.57,59.00,59.51,3150600,14.76
2001-05-14,59.70,61.27,59.67,61.13,4478700,15.16
2001-05-15,61.13,62.49,61.00,62.32,6085600,15.46
2001-05-16,62.99,64.31,62.80,64.15,11710000,15.91
2001-05-17,64.40,66.75,64.10,65.87,11562300,16.34
2001-05-18,66.00,68.00,66.00,67.52,9554000,16.75
2001-05-21,67.52,67.52,66.86,67.27,6153600,16.69
2001-05-22,67.28,67.90,66.81,66.86,6922300,16.58
2001-05-23,66.80,67.20,66.20,66.33,6398900,16.45
2001-05-24,66.50,66.59,65.80,65.90,6380500,16.35
2001-05-25,65.70,65.84,64.47,64.99,5395900,16.12
2001-05-29,65.24,65.62,64.73,64.98,4763600,16.12
2001-05-30,64.95,65.00,64.40,64.85,3611800,16.09
2001-05-31,64.86,65.10,64.12,64.74,7017500,16.06
2001-06-01,64.60,64.75,64.10,64.48,3546500,15.99
2001-06-04,65.00,65.49,64.63,64.85,5125900,16.09
2001-06-05,64.84,64.84,64.06,64.52,4184000,16.00
2001-06-06,63.75,63.75,62.16,63.30,5403200,15.70
2001-06-07,63.35,63.39,62.28,62.28,4664200,15.45
2001-06-08,62.60,62.95,61.76,62.50,2620900,15.50
2001-06-11,62.75,62.97,62.05,62.36,4129200,15.47
2001-06-12,62.30,62.75,62.20,62.73,3873400,15.56
2001-06-13,62.63,62.89,61.52,62.11,3626500,15.41
2001-06-14,62.12,62.15,60.68,60.77,2892200,15.07
2001-06-15,60.20,61.45,60.20,60.67,4722400,15.05
2001-06-18,60.94,60.94,59.90,60.01,4705600,14.88
2001-06-19,60.26,60.60,59.63,60.46,3145100,15.00
2001-06-20,60.36,60.98,59.61,59.74,3891500,14.82
2001-06-21,59.77,59.80,57.56,58.15,6015800,14.42
2001-06-22,58.15,58.70,57.16,58.60,4853600,14.54
2001-06-25,58.60,58.67,57.50,57.52,6600400,14.27
2001-06-26,57.64,58.00,57.45,57.88,4084600,14.36
2001-06-27,57.20,57.21,55.45,55.95,6147500,13.88
2001-06-28,55.90,56.03,55.26,55.60,7420500,13.79
2001-06-29,55.80,57.25,55.60,57.00,5680300,14.14
2001-07-02,57.18,57.33,56.30,56.52,4780400,14.02
2001-07-03,57.25,57.25,56.32,56.85,1991000,14.10
2001-07-05,57.30,57.93,56.78,57.50,5153200,14.26
2001-07-06,57.75,58.15,57.05,57.43,4466900,14.24
2001-07-09,57.50,57.50,56.65,56.82,4629300,14.09
2001-07-10,56.81,57.30,56.45,56.96,5101500,14.13
2001-07-11,56.60,56.60,55.56,56.00,3958100,13.89
2001-07-12,55.75,57.06,55.10,55.50,4400500,13.77
2001-07-13,55.50,56.71,55.15,55.82,5615500,13.85
2001-07-16,55.57,55.99,54.95,55.00,4835200,13.64
2001-07-17,55.00,55.00,53.56,53.67,5824600,13.31
2001-07-18,53.55,53.68,52.77,53.12,7687800,13.18
2001-07-19,54.00,54.59,53.60,54.00,3969700,13.39
2001-07-20,54.45,55.13,54.45,54.91,3931900,13.62
2001-07-23,55.30,55.65,54.36,55.15,3997500,13.68
2001-07-24,55.16,55.16,52.60,52.99,6338800,13.14
2001-07-25,53.25,55.65,53.05,55.61,5602900,13.79
2001-07-26,55.95,56.48,55.89,56.27,4324700,14.05
2001-07-27,56.44,57.20,55.56,56.97,2789300,14.22
2001-07-30,57.30,57.74,56.95,57.44,4175400,14.34
2001-07-31,57.50,57.89,56.95,57.09,3708600,14.25
2001-08-01,57.85,58.44,56.86,56.96,4967400,14.22
2001-08-02,57.25,57.58,56.28,57.56,4103500,14.37
2001-08-03,57.99,57.99,56.65,56.66,3694700,14.15
2001-08-06,56.70,57.01,56.00,56.27,2379500,14.05
2001-08-07,56.70,57.48,56.60,57.15,5053500,14.27
2001-08-08,57.80,57.80,56.70,57.00,5819600,14.23
2001-08-09,56.80,57.21,56.55,56.86,4246000,14.20
2001-08-10,57.15,58.05,57.01,57.94,4007200,14.46
2001-08-13,58.19,58.32,57.50,57.56,2851800,14.37
2001-08-14,57.62,57.97,57.50,57.90,3420800,14.46
2001-08-15,58.50,59.34,58.00,59.22,5757900,14.78
2001-08-16,59.00,59.20,58.41,58.95,4161500,14.72
2001-08-17,58.45,58.55,57.82,58.02,2078600,14.48
2001-08-20,58.02,58.14,57.62,57.70,2013500,14.41
2001-08-21,57.95,58.55,57.68,57.81,2257000,14.43
2001-08-22,58.50,59.50,57.55,57.65,4693300,14.39
2001-08-23,57.90,58.91,57.80,58.60,8206300,14.63
2001-08-24,59.10,59.50,58.70,59.37,2833700,14.82
2001-08-27,59.40,59.74,58.75,58.76,3356300,14.67
2001-08-28,59.00,59.00,58.17,58.27,2411500,14.55
2001-08-29,59.00,59.73,58.43,58.50,3331100,14.60
2001-08-30,58.85,59.40,58.14,58.23,4223400,14.54
2001-08-31,58.20,58.60,57.50,57.50,4131300,14.36
2001-09-04,58.00,59.00,57.95,58.56,3461500,14.62
2001-09-05,58.91,59.38,57.95,59.19,3489100,14.78
2001-09-06,59.19,59.86,59.00,59.40,3850300,14.83
2001-09-07,59.41,59.83,59.16,59.17,4772000,14.77
2001-09-10,59.27,59.35,58.31,58.56,2737400,14.62
2001-09-17,58.57,59.25,57.50,58.59,6764900,14.63
2001-09-18,57.70,58.15,55.63,55.65,6296300,13.89
2001-09-19,55.70,55.85,52.17,52.84,6832500,13.19
2001-09-20,52.44,53.41,52.25,53.25,5573700,13.29
2001-09-21,52.75,55.05,51.95,54.17,6865100,13.52
2001-09-24,53.10,53.96,50.75,51.50,8026500,12.86
2001-09-25,52.00,52.00,50.00,50.87,6230200,12.70
2001-09-26,51.30,51.57,50.30,50.40,4511200,12.58
2001-09-27,50.40,52.53,50.40,52.35,4456900,13.07
2001-09-28,52.50,53.94,52.30,53.94,4791700,13.47
2001-10-01,53.94,53.94,52.25,53.08,3593500,13.25
2001-10-02,52.55,54.00,52.33,53.95,3147700,13.47
2001-10-03,53.94,54.48,53.00,53.59,4287100,13.38
2001-10-04,53.80,54.50,53.50,54.27,5532600,13.55
2001-10-05,54.55,54.93,53.50,54.35,4307900,13.57
2001-10-08,54.36,55.74,53.80,54.99,2597800,13.73
2001-10-09,55.30,55.71,54.95,55.57,2756000,13.87
2001-10-10,55.97,57.62,55.50,57.43,3489600,14.34
2001-10-11,57.41,57.62,56.02,56.95,3942400,14.22
2001-10-12,56.95,57.50,56.38,57.50,4726100,14.36
2001-10-15,57.25,57.25,55.07,56.10,4631600,14.01
2001-10-16,56.09,57.30,55.87,57.00,4868800,14.23
2001-10-17,57.50,58.01,56.68,56.92,7721200,14.21
2001-10-18,56.60,56.69,54.63,54.77,4116600,13.67
2001-10-19,54.78,55.50,53.56,54.90,5101000,13.71
2001-10-22,55.50,55.67,54.76,55.30,3399800,13.81
2001-10-23,55.00,56.83,54.76,55.74,5023800,13.92
2001-10-24,55.74,56.25,55.07,55.72,3514200,13.91
2001-10-25,55.22,56.86,55.22,56.83,3285200,14.19
2001-10-26,56.58,57.99,56.58,57.91,2672600,14.46
2001-10-29,57.56,58.25,57.26,57.60,3446000,14.47
2001-10-30,57.09,57.09,55.05,55.25,3734600,13.88
