Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,33.00,34.12,32.38,33.19,5832400,27.58
2000-12-13,33.50,33.62,32.50,32.75,6521500,27.22
2000-12-14,33.50,35.38,31.75,34.94,18573700,29.03
2000-12-15,34.94,35.94,34.25,34.88,9228000,28.98
2000-12-18,35.00,36.88,34.94,36.44,8417400,30.28
2000-12-19,36.38,36.44,33.88,33.94,5798600,28.20
2000-12-20,33.75,35.31,33.69,34.44,5202600,28.62
2000-12-21,34.25,36.69,34.00,35.62,6113600,29.61
2000-12-22,35.58,37.81,35.56,37.38,9668200,31.06
2000-12-26,37.12,37.38,35.31,36.06,3611900,29.97
2000-12-27,35.81,37.56,35.38,37.19,9210100,30.90
2000-12-28,37.19,38.75,37.12,38.62,5505500,32.10
2000-12-29,39.00,41.50,38.88,39.94,7229800,33.19
2001-01-02,40.00,41.56,40.00,41.19,13349400,34.23
2001-01-03,40.88,42.75,39.19,42.69,16253500,35.48
2001-01-04,41.75,44.81,41.75,43.62,19779200,36.25
2001-01-05,43.62,43.88,40.00,41.31,11955900,34.33
2001-01-08,40.81,42.06,40.06,41.94,4264300,34.85
2001-01-09,42.00,43.00,41.69,41.81,5973600,34.75
2001-01-10,41.06,41.31,39.00,40.69,10842500,33.81
2001-01-11,40.56,41.69,39.75,41.31,5128800,34.33
2001-01-12,41.38,44.06,40.44,43.06,7726600,35.79
2001-01-16,43.25,43.94,42.88,43.56,5344300,36.20
2001-01-17,43.88,44.25,41.06,41.44,5520100,34.44
2001-01-18,41.88,42.44,41.25,41.44,4920800,34.44
2001-01-19,41.44,41.69,40.31,40.44,6090600,33.61
2001-01-22,41.00,42.88,39.75,42.25,7135600,35.11
2001-01-23,42.00,42.81,41.62,42.50,5472400,35.32
2001-01-24,42.50,43.00,41.38,42.94,6070400,35.68
2001-01-25,42.81,43.56,41.19,43.19,7484700,35.89
2001-01-26,43.44,43.69,41.12,41.25,5766900,34.28
2001-01-29,41.88,44.25,41.44,44.06,5208000,36.62
2001-01-30,44.00,44.12,42.88,43.75,3954100,36.36
2001-01-31,43.75,46.38,43.69,46.25,9318900,38.44
2001-02-01,45.88,46.31,44.38,46.25,6449600,38.44
2001-02-02,45.88,46.38,43.88,43.94,6157500,36.51
2001-02-05,44.38,44.38,42.02,43.19,5229800,35.89
2001-02-06,43.06,45.12,43.00,43.75,5585600,36.36
2001-02-07,43.75,45.31,43.56,45.25,4313200,37.60
2001-02-08,45.62,46.00,42.81,42.88,5656000,35.63
2001-02-09,42.94,43.88,40.81,41.31,4396200,34.33
2001-02-12,41.69,42.69,41.38,42.44,4024300,35.27
2001-02-13,42.75,43.50,41.31,42.94,3532500,35.68
2001-02-14,43.00,44.31,42.88,43.69,3786800,36.31
2001-02-15,43.94,44.00,41.88,42.81,5465100,35.58
2001-02-16,41.88,43.50,41.62,42.69,4396800,35.48
2001-02-20,42.38,44.25,42.38,44.12,5130100,36.67
2001-02-21,43.81,44.25,41.00,42.00,6097200,34.90
2001-02-22,42.00,42.31,40.56,41.88,4175700,34.80
2001-02-23,41.81,42.06,39.75,41.38,5331300,34.38
2001-02-26,41.88,43.00,41.81,42.88,3528900,35.63
2001-02-27,42.88,43.31,41.92,43.00,5412200,35.73
2001-02-28,43.12,43.75,40.94,41.75,4541200,34.70
2001-03-01,41.38,41.50,39.19,40.31,5401200,33.50
2001-03-02,40.06,40.19,38.06,38.69,6332700,32.15
2001-03-05,38.88,39.25,37.00,37.69,4652800,31.32
2001-03-06,38.12,40.19,37.50,37.81,12305400,31.42
2001-03-07,38.12,40.06,37.94,39.94,9365700,33.19
2001-03-08,40.19,43.11,39.31,40.19,18114700,33.40
2001-03-09,39.75,40.62,39.00,39.38,5296300,32.72
2001-03-12,39.12,39.50,37.69,37.94,5325400,31.53
2001-03-13,38.12,39.38,37.50,38.06,4371300,31.63
2001-03-14,37.19,37.50,36.12,36.50,5568400,30.33
2001-03-15,37.38,38.06,36.75,37.62,3920600,31.27
2001-03-16,36.61,37.62,36.50,37.12,5875900,30.85
2001-03-19,37.12,38.44,35.56,38.19,4065200,31.74
2001-03-20,39.19,40.75,38.75,39.50,9488400,32.83
2001-03-21,39.19,39.94,38.25,38.38,4836200,31.89
2001-03-22,38.69,38.75,35.69,37.25,5285000,30.96
2001-03-23,37.56,37.69,35.31,37.06,7811600,30.80
2001-03-26,37.75,38.50,37.00,37.88,2949400,31.48
2001-03-27,37.94,38.81,37.06,37.94,6082000,31.53
2001-03-28,37.69,38.56,36.56,37.69,4666900,31.32
2001-03-29,37.50,38.17,36.88,37.94,2704700,31.53
2001-03-30,37.94,39.38,37.19,39.25,3652700,32.62
2001-04-02,38.81,38.81,36.00,36.19,8848900,30.07
2001-04-03,36.62,37.12,33.88,34.06,8917700,28.31
2001-04-04,34.34,36.00,34.00,35.00,5525300,29.09
2001-04-05,35.88,36.12,35.12,36.00,5340200,29.92
2001-04-06,35.62,36.25,34.69,35.56,3632200,29.55
2001-04-09,36.09,36.10,34.65,34.79,2902900,28.91
2001-04-10,35.10,36.00,34.95,35.73,4764000,29.69
2001-04-11,36.10,36.57,35.07,36.27,5322500,30.14
2001-04-12,36.13,36.40,35.12,36.31,5121000,30.18
2001-04-16,36.25,36.38,34.87,34.97,5238300,29.06
2001-04-17,34.84,36.50,34.55,36.28,6327600,30.15
2001-04-18,36.85,40.37,36.65,38.36,7148500,31.88
2001-04-19,38.01,38.27,35.87,36.98,8050700,30.73
2001-04-20,36.66,36.92,35.30,36.55,3014500,30.37
2001-04-23,36.80,37.60,36.17,36.24,3089900,30.12
2001-04-24,33.29,34.91,33.17,34.28,16655300,28.49
2001-04-25,34.39,35.00,33.90,34.97,3808600,29.06
2001-04-26,35.00,35.60,34.61,34.78,2985100,28.90
2001-04-27,35.29,37.00,34.50,35.32,5103100,29.35
2001-04-30,35.74,36.32,34.90,34.93,4457200,29.03
2001-05-01,35.04,36.00,34.81,35.92,4024800,29.85
2001-05-02,35.93,36.26,35.62,36.04,3877400,29.95
2001-05-03,36.00,36.22,35.24,35.40,3386400,29.42
2001-05-04,34.83,36.27,34.47,35.87,4599900,29.81
2001-05-07,35.65,35.75,34.51,34.74,3045400,28.87
2001-05-08,35.00,35.04,33.95,34.77,6955200,28.90
2001-05-09,34.61,34.96,34.33,34.81,5220300,28.93
2001-05-10,36.01,37.29,35.90,35.94,8143400,29.87
2001-05-11,36.04,36.50,35.41,35.49,5808800,29.49
2001-05-14,35.50,36.30,35.35,36.11,3786900,30.01
2001-05-15,36.09,36.50,35.43,35.55,2574100,29.54
2001-05-16,35.53,36.40,34.83,36.15,3377200,30.04
2001-05-17,36.14,36.60,36.06,36.30,4841200,30.17
2001-05-18,36.33,38.40,35.67,35.78,3500300,29.73
2001-05-21,35.89,37.06,35.64,37.03,5857700,30.77
2001-05-22,37.15,38.48,37.08,37.89,4740200,31.49
2001-05-23,37.86,37.90,36.71,36.85,3513500,30.62
2001-05-24,36.96,37.82,36.60,37.80,4340800,31.41
2001-05-25,37.86,38.07,37.12,37.60,3664000,31.25
2001-05-29,37.69,37.70,36.60,36.78,3001700,30.57
2001-05-30,36.35,37.85,36.20,37.29,6675900,30.99
2001-05-31,37.10,39.39,36.75,38.91,14358600,32.34
2001-06-01,39.21,39.78,37.50,38.78,6726600,32.23
2001-06-04,38.95,38.95,38.05,38.49,3682000,31.99
2001-06-05,38.55,40.00,38.54,39.75,3655200,33.03
