Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,30.38,30.56,29.75,30.31,5853500,25.29
2000-12-13,30.31,30.69,29.63,29.75,5115400,24.82
2000-12-14,29.75,29.87,28.62,29.00,7115200,24.19
2000-12-15,29.00,29.75,28.25,29.38,9259500,24.51
2000-12-18,29.38,29.94,28.81,29.31,5142100,24.45
2000-12-19,29.31,29.63,29.06,29.13,5938000,24.30
2000-12-20,27.75,27.75,26.81,27.06,9134600,22.58
2000-12-21,27.06,27.69,26.50,27.69,6425700,23.10
2000-12-22,27.44,27.44,26.00,26.44,7757800,22.06
2000-12-26,26.75,27.12,26.75,26.94,4884300,22.47
2000-12-27,26.94,28.56,26.94,28.31,8591000,23.62
2000-12-28,28.31,28.88,27.63,28.75,4715200,23.98
2000-12-29,28.75,29.13,28.44,28.94,4629300,24.14
2001-01-02,28.44,28.44,27.63,27.94,6547200,23.31
2001-01-03,28.00,31.37,28.00,31.06,10282100,25.91
2001-01-04,31.06,33.44,30.88,31.94,10503500,26.64
2001-01-05,31.94,32.63,31.31,31.50,6499400,26.28
2001-01-08,31.50,31.56,29.56,30.12,5068500,25.13
2001-01-09,30.12,31.00,29.87,30.12,4770200,25.13
2001-01-10,30.12,30.56,29.87,30.38,3363000,25.34
2001-01-11,30.38,31.37,29.31,29.50,5961500,24.61
2001-01-12,29.75,31.88,29.75,31.56,8355300,26.33
2001-01-16,31.81,33.25,31.81,33.06,6506700,27.58
2001-01-17,33.06,34.00,32.56,33.38,6343700,27.84
2001-01-18,33.38,33.44,32.06,33.12,4831800,27.63
2001-01-19,33.12,33.44,32.38,32.69,5079300,27.27
2001-01-22,31.31,31.31,30.50,31.13,6231200,25.97
2001-01-23,31.13,31.25,29.87,30.00,8185400,25.03
2001-01-24,30.00,31.06,29.87,30.50,8368500,25.44
2001-01-25,30.50,30.75,30.00,30.06,5868100,25.08
2001-01-26,29.94,29.94,29.31,29.81,9087700,24.87
2001-01-29,29.57,31.00,29.57,30.82,5216500,25.71
2001-01-30,30.82,31.30,29.95,30.90,4833800,25.78
2001-01-31,30.90,30.92,30.33,30.45,5117100,25.40
2001-02-01,30.45,31.70,30.26,31.50,5896700,26.28
2001-02-02,31.25,31.25,30.55,30.75,5302200,25.65
2001-02-05,30.75,30.80,29.81,30.43,6055700,25.39
2001-02-06,31.00,32.10,31.00,31.61,9265100,26.37
2001-02-07,31.61,32.85,31.00,31.00,8182700,25.86
2001-02-08,31.08,32.50,31.08,32.13,7137700,26.80
2001-02-09,32.13,32.13,31.25,31.95,4972800,26.65
