Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,53.50,54.70,53.50,54.68,1638400,24.37
2000-12-13,54.99,56.34,54.20,54.20,1891400,24.18
2000-12-14,55.00,55.39,52.20,52.60,1860000,23.47
2000-12-15,52.55,54.35,52.24,53.93,1657800,24.06
2000-12-18,54.50,57.84,54.30,55.80,2208400,24.90
2000-12-19,56.50,58.24,56.40,56.79,1857600,25.34
2000-12-20,56.75,57.00,55.60,55.99,1218800,24.98
2000-12-21,56.30,56.30,55.18,56.06,2605000,25.01
2000-12-22,55.99,57.00,55.87,56.81,1374200,25.35
2000-12-26,57.25,62.42,57.25,60.88,2040800,27.16
2000-12-27,62.00,62.20,60.64,61.36,1697800,27.38
2000-12-28,61.20,62.20,61.00,61.42,1390000,27.40
2000-12-29,61.60,61.75,59.50,60.97,1352600,27.20
2001-01-02,60.00,61.70,58.40,59.00,1945600,26.32
2001-01-03,59.75,59.90,56.14,56.26,1723600,25.10
2001-01-04,56.05,56.06,52.55,53.81,2474000,24.01
2001-01-05,54.00,58.25,53.85,57.90,2351600,25.83
2001-01-08,58.10,59.66,56.88,58.68,1858400,26.18
2001-01-09,59.00,59.85,56.20,56.90,2472600,25.39
2001-01-10,57.50,58.71,57.35,58.18,1573200,25.96
2001-01-11,58.18,59.45,58.10,59.05,1344000,26.35
2001-01-12,59.45,59.45,56.65,57.14,1916800,25.49
2001-01-16,59.25,59.45,57.85,59.44,2074800,26.52
2001-01-17,58.90,58.90,57.49,57.89,2410400,25.83
2001-01-18,57.89,57.89,53.90,55.02,3456800,24.55
2001-01-19,54.81,56.29,53.61,54.85,1917400,24.47
2001-01-22,55.00,56.35,55.00,55.78,1600600,24.89
2001-01-23,55.75,57.70,55.41,56.81,1023400,25.35
2001-01-24,56.82,58.60,56.82,57.73,1172400,25.76
2001-01-25,58.10,59.50,58.00,59.21,1181800,26.42
2001-01-26,59.50,60.00,57.87,58.44,1907200,26.07
2001-01-29,58.25,58.25,56.48,56.49,1145200,25.20
2001-01-30,56.49,56.50,55.25,55.83,2316400,24.91
2001-01-31,55.83,56.95,54.71,54.80,2622800,24.45
2001-02-01,55.15,55.35,52.30,53.78,2884200,23.99
2001-02-02,53.50,55.90,53.40,55.71,3521200,24.86
2001-02-05,55.45,57.99,55.45,57.99,2230400,25.87
2001-02-06,57.99,58.15,57.02,58.10,1640600,25.92
2001-02-07,58.49,59.24,57.31,58.99,1707000,26.32
2001-02-08,59.60,59.60,58.64,58.66,1414600,26.17
2001-02-09,58.66,59.84,58.60,59.71,1313400,26.64
2001-02-12,59.75,59.75,58.50,59.05,924200,26.35
2001-02-13,58.25,59.50,58.25,59.00,1462000,26.32
2001-02-14,59.59,59.92,57.90,58.01,1691400,25.88
2001-02-15,58.50,58.60,56.65,57.72,1195600,25.75
2001-02-16,58.50,59.10,57.05,57.59,1526000,25.69
2001-02-20,58.00,58.80,57.85,58.59,1343600,26.14
2001-02-21,59.50,59.75,57.20,57.20,2270800,25.52
2001-02-22,58.75,58.75,56.51,57.82,1309400,25.80
2001-02-23,57.82,58.15,56.23,56.31,988400,25.12
2001-02-26,55.75,57.98,55.75,57.70,1925400,25.74
2001-02-27,57.70,58.75,57.60,58.58,2551000,26.14
2001-02-28,59.25,59.25,56.79,57.00,2018600,25.43
2001-03-01,58.00,58.85,57.06,58.74,3221800,26.21
2001-03-02,59.25,59.98,58.60,59.00,2177600,26.32
2001-03-05,59.50,60.85,59.30,60.48,1746600,26.98
2001-03-06,60.49,61.20,60.15,61.16,1751400,27.29
2001-03-07,62.50,64.10,62.44,63.58,2913400,28.37
2001-03-08,64.00,65.90,63.20,65.30,3654400,29.13
2001-03-09,65.25,66.75,65.00,66.30,2842200,29.58
2001-03-12,65.50,65.60,63.25,63.95,3014600,28.53
2001-03-13,64.00,64.25,61.00,63.00,2467600,28.13
2001-03-14,62.00,63.02,61.10,61.95,1144200,27.66
2001-03-15,62.40,62.40,60.90,61.69,1043400,27.54
2001-03-16,61.69,62.29,61.50,61.68,1851200,27.54
2001-03-19,62.50,63.41,61.91,63.38,2136800,28.30
2001-03-20,63.10,65.50,63.00,64.04,1701200,28.59
2001-03-21,64.00,64.02,62.41,62.89,1305600,28.08
2001-03-22,62.60,62.61,58.17,59.60,2069000,26.61
2001-03-23,59.61,61.00,59.50,60.00,1667600,26.79
2001-03-26,60.50,61.25,59.90,59.97,1359400,26.78
2001-03-27,59.99,60.75,58.00,58.00,2502200,25.90
2001-03-28,58.00,59.40,57.15,58.54,1685000,26.14
2001-03-29,58.55,58.65,56.24,56.45,1946000,25.20
2001-03-30,56.00,59.15,56.00,58.20,2703400,25.99
2001-04-02,58.20,58.21,55.13,55.75,1588600,24.89
2001-04-03,56.75,56.75,52.49,52.50,2806200,23.44
2001-04-04,52.90,55.20,52.40,55.09,2838200,24.60
2001-04-05,55.10,56.45,54.05,56.35,1701000,25.16
2001-04-06,56.35,57.60,55.40,57.20,1378200,25.54
2001-04-09,57.45,59.60,57.45,59.51,1400400,26.57
2001-04-10,60.50,61.27,59.78,60.54,1574400,27.03
2001-04-11,60.90,60.95,58.65,59.00,1151200,26.34
2001-04-12,59.50,60.55,58.47,59.00,1581400,26.34
2001-04-16,59.70,60.31,58.90,60.31,1577800,26.93
2001-04-17,59.75,60.50,59.15,60.05,1466800,26.81
2001-04-18,60.00,60.15,58.00,58.39,2061200,26.07
2001-04-19,58.55,58.80,55.19,55.50,3714400,24.78
2001-04-20,56.25,57.40,55.20,55.24,3085000,24.66
2001-04-23,55.90,58.00,55.77,57.93,1946000,25.87
2001-04-24,58.50,58.98,57.60,57.92,1176600,25.86
2001-04-25,58.39,59.70,57.74,58.80,1647400,26.25
2001-04-26,59.40,59.89,59.25,59.30,2287200,26.48
