Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,89.94,89.94,81.25,82.12,14614500,78.47
2000-12-13,85.00,85.12,77.12,77.88,16747100,74.41
2000-12-14,77.62,79.12,74.62,74.62,18516300,71.30
2000-12-15,71.50,71.50,65.00,68.12,34628100,65.09
2000-12-18,69.75,71.00,64.31,65.81,18179600,62.88
2000-12-19,66.50,70.62,62.50,63.00,19712800,60.19
2000-12-20,59.50,59.75,54.06,55.62,33022200,53.15
2000-12-21,55.50,62.00,54.69,59.25,24378500,56.61
2000-12-22,62.50,68.69,62.38,68.25,17155500,65.21
2000-12-26,69.00,69.12,62.88,65.31,10255100,62.40
2000-12-27,66.31,68.38,63.38,67.31,9913600,64.32
2000-12-28,68.00,69.94,67.56,68.56,9635900,65.51
2000-12-29,68.94,69.25,65.62,66.50,8955900,63.54
2001-01-02,59.62,60.50,53.12,54.31,24207800,51.89
2001-01-03,53.00,67.88,53.00,67.81,28527400,64.79
2001-01-04,68.12,72.50,66.00,70.69,19823900,67.54
2001-01-05,70.38,70.38,63.25,64.38,13471100,61.51
2001-01-08,63.00,63.88,59.31,61.50,12531400,58.76
2001-01-09,63.00,66.75,61.94,63.75,16273600,60.91
2001-01-10,62.56,69.00,62.00,68.69,15789800,65.63
2001-01-11,68.69,75.25,67.69,73.12,18940600,69.87
2001-01-12,73.50,73.88,67.50,68.81,20254200,65.75
2001-01-16,70.00,72.12,69.00,69.88,10340600,66.76
2001-01-17,74.00,74.00,72.06,72.31,14006900,69.09
2001-01-18,73.12,76.50,71.81,76.00,14336100,72.62
2001-01-19,77.00,78.69,75.31,77.31,16196900,73.87
2001-01-22,76.00,77.31,73.50,76.50,14017200,73.09
2001-01-23,77.25,79.81,73.50,79.56,21423000,76.02
2001-01-24,79.25,82.00,78.06,79.44,17959700,75.90
2001-01-25,79.00,79.44,74.88,76.50,12372900,73.09
2001-01-26,75.00,79.19,75.00,79.06,12151900,75.54
2001-01-29,77.00,80.41,77.00,79.89,6802000,76.33
2001-01-30,79.64,79.74,76.41,78.75,8870900,75.24
2001-01-31,79.50,80.25,75.26,75.99,10896200,72.61
2001-02-01,75.40,78.69,75.26,77.60,9059200,74.14
2001-02-02,78.50,78.50,71.00,72.20,12497900,68.99
2001-02-05,71.62,71.75,68.75,69.76,13287400,66.65
2001-02-06,69.76,73.25,69.16,70.00,10923900,66.88
2001-02-07,68.00,68.75,62.48,65.39,24092000,62.48
2001-02-08,64.00,64.50,59.50,59.50,18656200,58.09
2001-02-09,60.49,60.50,56.26,56.40,19499400,55.06
2001-02-12,56.18,56.18,50.00,54.16,29926800,52.87
2001-02-13,55.20,58.56,54.75,55.31,21023000,54.00
2001-02-14,55.59,59.00,51.95,56.50,18992700,55.16
2001-02-15,58.89,62.00,57.00,58.10,17451300,56.72
2001-02-16,55.25,56.20,53.10,54.05,17665100,52.77
2001-02-20,55.70,55.74,49.12,49.27,18051900,48.10
2001-02-21,47.82,50.00,41.50,42.95,37012900,41.93
2001-02-22,37.00,41.00,34.00,40.35,57889300,39.39
