Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,76.62,77.94,76.50,77.88,2700200,26.66
2000-12-13,78.00,78.12,74.50,75.00,3382800,25.68
2000-12-14,74.75,74.75,71.25,72.00,4544600,24.65
2000-12-15,72.19,72.81,71.12,71.25,5546800,24.40
2000-12-18,72.38,74.00,72.31,74.00,4972200,25.34
2000-12-19,74.00,74.31,70.25,72.75,4787400,24.91
2000-12-20,71.38,72.12,71.38,71.94,4124800,24.63
2000-12-21,72.00,72.38,71.56,72.19,2981200,24.72
2000-12-22,72.38,72.94,71.62,72.94,3080800,24.97
2000-12-26,73.12,74.75,72.50,74.25,2194400,25.42
2000-12-27,74.38,78.00,74.31,77.25,3185200,26.45
2000-12-28,77.25,79.06,76.44,78.81,2481600,26.99
2000-12-29,78.94,79.62,78.44,78.81,2521600,26.99
2001-01-02,78.81,79.25,76.00,76.31,2527000,26.13
2001-01-03,76.88,76.94,73.62,75.94,4015600,26.00
2001-01-04,75.94,76.19,70.25,72.19,5891200,24.72
2001-01-05,73.00,75.25,72.50,72.94,4641200,24.97
2001-01-08,72.94,75.44,72.62,75.44,3213400,25.83
2001-01-09,75.69,77.38,74.56,76.00,3476200,26.02
2001-01-10,76.25,76.62,75.06,75.81,3395400,25.96
2001-01-11,76.19,78.00,75.00,77.50,2717400,26.54
2001-01-12,77.38,77.62,75.62,76.69,2347400,26.26
2001-01-16,76.69,78.00,76.44,77.56,2455600,26.56
2001-01-17,76.69,76.75,72.88,74.88,3877200,25.64
2001-01-18,73.38,73.69,71.19,72.88,4513200,24.95
2001-01-19,73.12,73.38,71.25,72.75,3167400,24.91
2001-01-22,72.75,73.31,70.75,72.38,2615400,24.78
2001-01-23,72.62,73.94,71.12,73.75,3906400,25.25
2001-01-24,74.00,75.25,73.38,74.69,2244600,25.57
2001-01-25,74.69,75.19,73.88,74.50,2153000,25.51
2001-01-26,74.44,74.44,71.94,72.62,2271800,24.87
2001-01-29,72.62,73.00,71.25,71.39,2310200,24.44
2001-01-30,71.55,74.50,70.00,73.70,3630000,25.23
2001-01-31,74.50,77.40,74.50,76.00,4371000,26.02
2001-02-01,75.75,75.80,73.16,73.60,2317000,25.20
2001-02-02,73.40,73.47,71.75,72.60,2811200,24.86
2001-02-05,73.20,75.75,73.02,75.70,2345600,25.92
2001-02-06,75.10,76.19,74.90,75.00,1928200,25.68
2001-02-07,75.00,75.72,74.55,75.56,1584200,25.87
2001-02-08,75.57,76.11,75.40,75.52,1044400,25.86
2001-02-09,75.00,75.42,71.24,71.74,5018400,24.56
2001-02-12,71.25,72.44,71.00,71.26,3105800,24.40
2001-02-13,71.50,72.40,70.10,70.10,4575400,24.00
2001-02-14,70.60,71.40,70.29,70.70,2943400,24.34
2001-02-15,70.75,73.20,70.75,72.88,2434400,25.09
2001-02-16,72.75,72.76,68.50,69.46,5461400,23.91
2001-02-20,69.46,69.46,64.75,67.26,9075400,23.16
2001-02-21,67.01,68.35,64.81,67.01,6905400,23.07
2001-02-22,67.01,67.01,64.87,66.36,4207200,22.85
2001-02-23,66.35,66.50,64.95,65.05,4498000,22.40
2001-02-26,65.70,67.70,65.40,67.43,4104200,23.21
2001-02-27,67.85,69.19,67.58,67.79,2808400,23.34
2001-02-28,68.20,68.40,65.68,66.90,3530400,23.03
2001-03-01,66.90,66.90,63.42,65.90,5939400,22.69
2001-03-02,65.90,67.41,64.42,66.32,4389400,22.83
2001-03-05,66.00,68.20,65.70,67.60,2673000,23.27
2001-03-06,68.60,69.81,68.50,68.87,3006800,23.71
2001-03-07,68.88,69.85,67.10,67.20,3513600,23.14
2001-03-08,67.80,68.30,66.70,67.90,2974200,23.38
2001-03-09,67.90,69.79,65.96,69.79,10113200,24.03
2001-03-12,69.79,71.20,68.95,70.18,8006200,24.16
2001-03-13,70.19,70.19,67.90,69.12,9595400,23.80
2001-03-14,68.30,69.30,66.30,66.31,7467000,22.83
2001-03-15,66.75,67.25,65.71,66.97,5515000,23.06
2001-03-16,66.35,66.35,61.02,61.78,9870400,21.27
2001-03-19,62.98,64.50,62.40,64.50,6044000,22.21
2001-03-20,65.00,66.62,63.61,63.66,8019000,21.92
2001-03-21,63.16,63.17,59.00,59.81,11570800,20.59
2001-03-22,60.81,60.81,57.75,59.98,10274800,20.65
2001-03-23,61.50,61.65,59.62,59.99,5899400,20.65
2001-03-26,60.24,64.15,60.20,63.76,6945800,21.95
2001-03-27,62.20,66.00,62.12,63.55,7764800,21.88
2001-03-28,62.70,62.71,59.69,61.01,6515200,21.00
2001-03-29,60.95,61.45,59.90,60.47,3816600,20.82
2001-03-30,61.40,63.10,60.90,62.00,4319200,21.35
2001-04-02,61.85,63.37,60.55,61.60,3317000,21.21
2001-04-03,62.00,62.10,59.35,60.00,5134200,20.66
2001-04-04,59.95,60.79,59.55,60.10,6642200,20.69
2001-04-05,61.70,63.59,61.50,62.95,3349800,21.67
2001-04-06,62.25,62.69,60.89,61.25,3854800,21.09
2001-04-09,59.60,62.43,59.60,62.20,3728000,21.41
2001-04-10,63.00,64.79,61.00,63.66,5560400,21.92
2001-04-11,64.66,64.84,62.80,63.22,4610400,21.77
2001-04-12,63.95,65.96,63.38,65.00,4467400,22.38
2001-04-16,65.00,65.00,64.01,64.70,2450200,22.28
2001-04-17,64.70,64.99,64.01,64.05,3140600,22.05
2001-04-18,65.00,67.56,64.65,66.90,9207800,23.03
2001-04-19,67.15,67.15,65.15,65.91,5215600,22.69
2001-04-20,66.16,66.44,64.99,65.34,3705000,22.50
