Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,65.55,68.00,65.55,67.65,2976000,20.04
2000-12-13,66.60,68.29,66.01,66.01,2891000,19.55
2000-12-14,66.30,66.30,64.72,65.35,1775400,19.36
2000-12-15,64.50,65.87,63.25,63.74,3223600,18.88
2000-12-18,65.40,65.40,63.45,64.13,3092200,19.00
2000-12-19,64.20,66.14,64.20,66.03,2724200,19.56
2000-12-20,66.50,69.20,66.50,68.30,2823000,20.23
2000-12-21,68.25,68.80,66.63,67.24,2135200,19.92
2000-12-22,67.30,68.75,66.78,68.47,1534400,20.28
2000-12-26,68.50,70.99,68.40,70.50,2171400,20.88
2000-12-27,70.55,71.00,70.20,70.85,3532200,20.99
2000-12-28,70.65,70.65,69.20,69.36,2925400,20.55
2000-12-29,69.40,70.45,69.26,70.21,1710800,20.80
2001-01-02,69.75,69.75,67.41,67.88,2468200,20.11
2001-01-03,68.00,69.00,62.85,62.95,5550200,18.65
2001-01-04,59.25,60.60,56.80,60.33,8606600,17.87
2001-01-05,59.75,62.09,59.00,59.70,4011800,17.68
2001-01-08,60.90,62.00,60.70,61.72,3169800,18.28
2001-01-09,61.50,62.50,61.00,62.50,2792400,18.51
2001-01-10,62.45,62.70,59.05,59.25,3571200,17.55
2001-01-11,59.00,59.00,54.54,56.66,4906600,16.78
2001-01-12,55.66,57.74,55.45,56.96,5306800,16.87
2001-01-16,57.20,57.20,53.60,55.50,4957600,16.44
2001-01-17,55.25,59.35,55.25,58.55,4555400,17.34
2001-01-18,57.25,59.80,57.00,58.65,2661400,17.37
2001-01-19,57.50,59.41,56.51,59.37,2132600,17.59
2001-01-22,59.55,60.40,58.50,59.35,1920600,17.58
2001-01-23,59.60,61.15,59.39,60.11,2331400,17.81
2001-01-24,59.00,61.45,59.00,61.00,2262600,18.07
2001-01-25,61.25,62.09,61.00,61.74,2684400,18.29
2001-01-26,61.30,62.42,59.82,60.83,1717200,18.02
2001-01-29,61.95,62.97,61.15,61.91,2066200,18.34
2001-01-30,61.40,62.03,60.85,61.14,1234200,18.11
2001-01-31,61.00,61.01,59.91,60.51,2668400,17.92
2001-02-01,60.12,60.73,60.12,60.68,2198400,17.98
2001-02-02,60.68,61.85,60.31,61.14,2332800,18.11
2001-02-05,61.00,62.21,61.00,61.32,3010400,18.16
2001-02-06,61.20,61.78,60.98,61.50,1568800,18.22
2001-02-07,61.75,62.77,61.75,62.75,2619800,18.59
2001-02-08,62.75,64.24,62.75,64.06,1525400,18.98
2001-02-09,63.96,65.70,63.86,65.25,1810600,19.33
2001-02-12,65.48,66.49,63.75,64.74,1841000,19.18
2001-02-13,64.28,65.72,63.26,64.00,3902800,19.12
2001-02-14,64.25,65.56,63.52,64.74,2037800,19.34
2001-02-15,64.90,64.90,63.80,64.00,1652200,19.12
2001-02-16,64.90,65.98,64.00,64.13,2228600,19.16
2001-02-20,65.35,66.22,64.29,64.86,2897800,19.38
2001-02-21,65.20,66.71,65.20,65.25,2041200,19.50
2001-02-22,65.26,67.40,64.90,66.44,3085600,19.85
2001-02-23,66.90,67.48,63.76,64.71,2184200,19.33
2001-02-26,64.71,66.35,64.71,65.05,1422000,19.44
2001-02-27,65.30,66.35,65.12,65.44,1555400,19.55
2001-02-28,65.60,65.85,63.91,65.37,1679600,19.53
2001-03-01,65.55,66.99,64.85,65.57,1702800,19.59
2001-03-02,65.97,66.78,65.30,66.63,2306600,19.91
2001-03-05,67.00,67.15,66.24,66.28,1245600,19.80
2001-03-06,65.94,66.35,65.10,65.23,1331000,19.49
2001-03-07,65.25,65.75,64.25,64.66,2408400,19.32
2001-03-08,65.15,65.92,64.52,65.30,1532400,19.51
2001-03-09,65.30,65.74,64.62,64.70,2169200,19.33
2001-03-12,64.71,65.25,64.38,64.95,2380600,19.41
2001-03-13,64.40,64.55,63.53,63.98,1658400,19.12
2001-03-14,63.73,63.73,61.80,62.22,1752200,18.59
2001-03-15,62.85,63.75,62.66,63.50,2751000,18.97
2001-03-16,63.03,64.25,63.03,63.95,3290600,19.11
2001-03-19,63.85,64.19,62.52,63.49,1874200,18.97
2001-03-20,63.49,63.69,62.33,62.63,1672200,18.71
2001-03-21,62.88,64.49,62.40,62.95,2420000,18.81
2001-03-22,62.96,63.15,59.25,61.00,3568000,18.23
