Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,8.31,8.31,8.19,8.25,625600,2.75
2000-12-13,8.25,8.25,7.69,7.88,734200,2.63
2000-12-14,7.88,8.19,7.88,8.12,609600,2.71
2000-12-15,8.12,8.31,8.00,8.00,2425400,2.67
2000-12-18,8.00,8.44,8.00,8.25,1074400,2.75
2000-12-19,8.31,8.31,8.00,8.12,1045800,2.71
2000-12-20,8.12,8.44,8.12,8.31,1217000,2.77
2000-12-21,8.38,8.88,8.25,8.81,1256200,2.94
2000-12-22,8.88,8.94,8.69,8.88,715800,2.96
2000-12-26,8.81,9.00,8.75,8.94,603000,2.98
2000-12-27,8.81,8.81,8.31,8.75,1596400,2.92
2000-12-28,8.69,9.12,8.69,9.12,2058400,3.05
2000-12-29,9.00,9.06,8.50,8.56,813200,2.86
2001-01-02,8.56,9.00,8.31,8.31,775600,2.77
2001-01-03,8.38,8.81,8.31,8.81,808600,2.94
2001-01-04,8.81,8.88,8.31,8.31,1151200,2.77
2001-01-05,8.31,8.69,8.31,8.31,836200,2.77
2001-01-08,8.44,8.69,8.44,8.69,568200,2.90
2001-01-09,8.69,8.75,8.56,8.62,1269400,2.88
2001-01-10,8.62,8.88,8.56,8.75,1779800,2.92
2001-01-11,8.75,8.81,8.44,8.81,773800,2.94
2001-01-12,8.81,9.00,8.56,8.94,496400,2.98
2001-01-16,8.94,9.06,8.81,9.00,1362200,3.00
2001-01-17,9.06,9.12,8.88,9.06,705000,3.02
2001-01-18,9.12,10.75,9.12,10.62,7964800,3.55
2001-01-19,10.94,11.00,10.56,10.88,3307000,3.63
2001-01-22,10.81,11.88,10.81,11.88,5267800,3.96
2001-01-23,11.75,11.88,11.38,11.88,2168400,3.96
2001-01-24,11.62,11.69,11.31,11.56,1389200,3.86
2001-01-25,11.44,12.12,11.44,11.50,1922800,3.84
2001-01-26,11.31,11.38,10.94,11.12,1904600,3.71
2001-01-29,11.12,11.33,11.11,11.22,749400,3.74
2001-01-30,11.22,11.47,11.15,11.44,1065400,3.82
2001-01-31,11.48,11.88,11.46,11.70,1120600,3.90
2001-02-01,11.71,12.54,11.70,12.54,1720800,4.19
2001-02-02,12.45,12.94,12.23,12.78,1479000,4.27
2001-02-05,12.70,12.88,12.50,12.83,1688800,4.28
2001-02-06,12.75,12.75,12.45,12.65,740200,4.22
2001-02-07,12.52,12.90,12.42,12.81,1107000,4.28
2001-02-08,12.81,12.95,12.58,12.82,987000,4.28
2001-02-09,12.80,12.93,12.76,12.89,482400,4.30
2001-02-12,12.93,12.94,12.70,12.73,709600,4.25
2001-02-13,12.75,13.07,12.57,12.57,1282400,4.20
2001-02-14,12.62,12.73,12.19,12.34,1079800,4.12
2001-02-15,12.25,12.68,12.23,12.61,1380000,4.21
2001-02-16,12.70,12.84,12.46,12.46,1148800,4.16
2001-02-20,12.47,12.53,12.01,12.01,1169000,4.01
2001-02-21,12.05,12.50,12.05,12.29,1807800,4.10
2001-02-22,12.32,13.62,12.32,13.36,2648000,4.46
2001-02-23,13.35,13.74,13.04,13.15,2615600,4.39
2001-02-26,13.20,14.20,13.16,14.09,2290600,4.70
2001-02-27,13.95,14.25,13.80,14.00,2134000,4.67
2001-02-28,13.95,14.05,13.66,14.05,1849800,4.69
2001-03-01,14.20,14.20,13.77,14.04,1532600,4.69
2001-03-02,13.95,14.09,13.88,14.04,1344600,4.69
2001-03-05,13.99,14.55,13.00,14.55,1225200,4.86
2001-03-06,14.48,14.48,14.05,14.27,1154600,4.76
2001-03-07,14.30,14.40,14.05,14.25,1235600,4.76
2001-03-08,14.25,14.55,14.25,14.45,1840200,4.82
2001-03-09,14.50,14.69,14.35,14.35,2249600,4.79
2001-03-12,14.36,14.48,13.62,13.68,1784000,4.57
2001-03-13,13.60,13.60,12.80,13.16,1560000,4.39
2001-03-14,13.08,13.08,12.65,12.81,975800,4.28
2001-03-15,12.81,12.81,12.30,12.75,1065600,4.26
2001-03-16,12.72,12.72,12.13,12.45,2467600,4.16
2001-03-19,12.43,12.75,12.43,12.65,934200,4.22
2001-03-20,12.65,12.89,12.60,12.66,864800,4.23
2001-03-21,12.95,12.95,12.51,12.66,1510800,4.23
2001-03-22,12.75,12.75,11.97,12.41,1202200,4.14
2001-03-23,12.45,12.57,12.30,12.53,951800,4.18
2001-03-26,12.52,12.62,12.42,12.61,891200,4.21
2001-03-27,12.60,13.14,12.50,13.01,867600,4.34
2001-03-28,12.95,12.96,12.20,12.43,576800,4.15
2001-03-29,12.40,13.00,12.40,12.76,1173000,4.26
2001-03-30,12.85,13.05,12.84,13.05,1526000,4.36
2001-04-02,13.05,13.06,12.60,12.70,1052200,4.24
2001-04-03,12.69,12.70,12.24,12.49,1298000,4.17
2001-04-04,12.48,13.65,12.48,13.49,2386800,4.50
2001-04-05,13.49,13.81,13.43,13.59,956800,4.54
2001-04-06,13.55,13.78,13.10,13.12,805600,4.38
2001-04-09,13.32,13.83,13.32,13.60,689000,4.54
2001-04-10,13.60,13.85,13.60,13.70,1008000,4.57
2001-04-11,13.60,13.78,13.41,13.78,1162200,4.60
2001-04-12,13.78,13.95,13.60,13.95,604000,4.66
2001-04-16,14.20,14.30,14.07,14.18,1628600,4.73
2001-04-17,14.17,14.23,13.94,14.23,621200,4.75
2001-04-18,14.23,14.23,13.91,14.00,4051800,4.67
2001-04-19,14.00,14.00,13.89,13.90,2497400,4.64
2001-04-20,13.80,13.90,13.80,13.89,1090600,4.64
2001-04-23,13.90,14.04,13.83,13.90,958600,4.64
2001-04-24,13.85,14.00,13.78,14.00,919600,4.67
2001-04-25,14.00,14.10,13.95,13.98,1741400,4.67
2001-04-26,14.00,14.35,13.95,14.33,1590600,4.78
2001-04-27,14.40,14.40,14.09,14.25,982000,4.76
2001-04-30,14.35,14.35,14.05,14.16,785200,4.73
2001-05-01,14.35,14.44,14.20,14.44,957200,4.82
2001-05-02,14.44,14.50,14.34,14.40,1160200,4.81
2001-05-03,14.30,14.30,13.90,14.00,1506200,4.67
2001-05-04,13.95,14.00,13.88,14.00,533400,4.67
2001-05-07,14.05,14.10,13.85,13.90,1328200,4.64
2001-05-08,13.89,14.00,13.86,13.97,1362400,4.66
2001-05-09,13.95,14.27,13.90,14.13,2838400,4.72
2001-05-10,14.25,14.50,14.24,14.50,3595600,4.84
2001-05-11,14.58,14.59,14.25,14.38,1456800,4.80
2001-05-14,14.40,14.55,14.18,14.50,868200,4.84
2001-05-15,14.50,14.55,14.40,14.50,1962400,4.84
2001-05-16,14.45,15.42,14.45,15.41,3027200,5.14
2001-05-17,15.52,15.80,15.31,15.65,1440600,5.22
2001-05-18,15.64,16.60,15.64,16.20,2312400,5.41
2001-05-21,17.15,17.15,16.58,16.98,2708400,5.67
2001-05-22,16.70,16.70,16.20,16.46,2784200,5.49
2001-05-23,16.48,16.48,15.80,15.98,1581400,5.33
2001-05-24,16.10,16.50,15.83,16.06,2097200,5.36
2001-05-25,16.03,16.34,15.85,16.17,1118200,5.40
2001-05-29,16.10,16.10,15.85,15.98,1203000,5.33
2001-05-30,16.00,16.00,15.33,15.68,1826600,5.23
2001-05-31,15.68,16.10,15.66,15.67,1214200,5.23
2001-06-01,15.65,16.03,15.51,15.98,784400,5.33
2001-06-04,16.08,16.30,15.96,16.29,696600,5.44
2001-06-05,16.30,16.40,15.90,16.39,807000,5.47
2001-06-06,16.35,16.35,15.59,15.63,705800,5.22
2001-06-07,15.64,15.70,15.19,15.39,830400,5.14
2001-06-08,15.30,16.10,15.15,15.95,722400,5.32
2001-06-11,15.80,15.80,15.30,15.31,1003800,5.11
2001-06-12,15.32,15.60,15.13,15.17,1635600,5.06
2001-06-13,15.17,15.17,14.57,14.98,1707200,5.00
2001-06-14,14.92,14.99,14.65,14.68,1474600,4.90
2001-06-15,14.60,15.00,14.25,15.00,2546800,5.01
2001-06-18,14.95,15.09,14.85,14.97,916000,5.00
2001-06-19,15.00,15.17,14.59,14.66,642200,4.89
2001-06-20,14.60,14.61,13.90,14.00,1024400,4.67
2001-06-21,14.05,14.13,13.49,13.70,1441200,4.57
2001-06-22,13.68,13.84,13.10,13.11,1106000,4.38
2001-06-25,13.50,13.60,12.90,12.93,1200400,4.32
2001-06-26,12.93,13.00,12.51,12.78,1616800,4.27
