Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,47.65,48.20,46.62,47.13,1711000,44.37
2000-12-13,46.88,47.45,46.15,46.28,1330200,43.57
2000-12-14,44.00,44.00,41.25,41.97,4580600,39.51
2000-12-15,40.60,41.00,38.25,39.20,3607500,36.90
2000-12-18,39.00,39.40,37.30,37.52,2381900,35.32
2000-12-19,37.80,39.09,37.49,37.75,2408400,35.54
2000-12-20,37.90,38.03,36.60,37.25,2073400,35.07
2000-12-21,37.25,37.95,36.35,37.64,1331700,35.43
2000-12-22,37.15,38.70,36.90,38.53,1433200,36.27
2000-12-26,37.75,38.50,37.41,38.15,964100,35.91
2000-12-27,38.50,39.20,37.75,38.79,1383600,36.52
2000-12-28,38.25,39.18,38.00,38.82,1178100,36.54
2000-12-29,38.81,40.25,38.81,39.96,1048500,37.62
2001-01-02,39.45,39.97,38.20,38.20,936600,35.96
2001-01-03,38.21,41.26,38.00,41.06,2203000,38.65
2001-01-04,43.00,45.00,42.70,44.26,3410600,41.66
2001-01-05,44.70,44.70,43.01,43.81,1485800,41.24
2001-01-08,42.95,43.35,42.67,43.13,1120700,40.60
2001-01-09,42.75,42.95,42.01,42.27,1134400,39.79
2001-01-10,40.70,43.25,40.36,41.91,1895500,39.45
2001-01-11,42.41,43.33,41.20,41.20,1561200,38.78
2001-01-12,41.70,42.32,40.85,41.50,1044300,39.07
2001-01-16,41.51,43.15,41.45,42.35,893300,39.87
2001-01-17,42.55,44.25,42.55,43.75,1334100,41.18
2001-01-18,42.50,42.85,41.50,41.50,1549500,39.07
2001-01-19,41.10,41.64,39.90,39.91,2299800,37.57
2001-01-22,39.99,42.35,39.82,41.23,1137300,38.81
2001-01-23,41.48,43.50,41.48,42.84,1946300,40.33
2001-01-24,42.50,43.24,42.04,42.04,751700,39.57
2001-01-25,42.20,43.85,41.76,43.40,1176700,40.86
2001-01-26,43.75,44.45,43.56,43.71,1057200,41.15
2001-01-29,43.35,44.60,43.30,44.03,1223500,41.45
2001-01-30,44.70,45.15,44.05,44.44,1067800,41.83
2001-01-31,45.25,45.95,45.05,45.38,1677700,42.72
2001-02-01,45.40,45.52,44.42,45.27,799000,42.62
2001-02-02,45.11,45.30,44.28,44.29,744700,41.69
2001-02-05,44.00,44.39,43.83,44.18,553400,41.59
2001-02-06,43.78,44.51,43.78,43.80,750100,41.23
2001-02-07,44.15,44.15,42.90,43.09,624700,40.56
2001-02-08,43.75,45.00,43.58,44.86,1424600,42.23
2001-02-09,44.70,44.71,43.00,43.33,1241700,40.79
2001-02-12,43.45,44.10,43.22,43.68,966500,41.12
2001-02-13,44.40,44.95,44.17,44.70,1371200,42.08
2001-02-14,44.70,44.70,43.65,43.65,683500,41.09
2001-02-15,43.85,45.20,43.83,45.12,949100,42.47
2001-02-16,44.85,45.01,44.10,44.59,688900,41.98
2001-02-20,44.30,45.00,43.28,43.28,1759300,40.74
2001-02-21,43.28,43.45,42.00,42.01,871800,39.55
2001-02-22,41.60,42.45,41.20,42.00,1004300,39.54
2001-02-23,42.15,42.49,41.11,41.68,717000,39.24
2001-02-26,41.26,41.55,40.30,41.45,1757700,39.02
2001-02-27,41.00,42.63,41.00,41.70,1283900,39.25
2001-02-28,41.70,41.70,40.89,40.93,1051200,38.53
2001-03-01,40.47,41.11,40.20,41.02,1062800,38.61
2001-03-02,40.85,42.49,40.59,41.95,968400,39.49
2001-03-05,41.95,42.74,41.66,42.48,674800,39.99
2001-03-06,42.50,43.55,42.31,43.12,571100,40.59
2001-03-07,43.00,43.98,43.00,43.20,1097700,40.67
2001-03-08,43.30,44.20,43.25,43.85,863500,41.28
2001-03-09,43.35,44.24,42.60,43.92,995400,41.34
2001-03-12,43.58,43.65,41.88,41.90,1125300,39.44
2001-03-13,41.65,42.30,40.38,42.00,1696100,39.54
2001-03-14,40.75,41.50,40.52,41.18,1305000,38.77
2001-03-15,41.43,41.80,41.30,41.32,1195600,38.90
