Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,30.88,31.00,30.38,30.69,1031000,12.07
2000-12-13,30.62,30.75,30.31,30.56,1493700,12.02
2000-12-14,30.31,30.31,28.88,29.50,1438000,11.61
2000-12-15,29.25,29.25,28.06,28.69,926600,11.29
2000-12-18,29.50,30.25,29.25,29.50,801200,11.61
2000-12-19,29.87,30.50,29.44,29.44,1052000,11.58
2000-12-20,29.69,29.69,28.62,28.81,974100,11.34
2000-12-21,28.69,28.88,28.25,28.62,1076000,11.26
2000-12-22,28.62,28.62,27.88,28.00,1312200,11.02
2000-12-26,28.06,28.19,26.87,27.00,1027600,10.62
2000-12-27,27.37,27.75,27.19,27.69,2346600,10.89
2000-12-28,27.75,28.25,27.75,28.19,1741400,11.09
2000-12-29,29.13,29.44,28.62,29.06,1611900,11.43
2001-01-02,30.00,30.00,29.50,29.87,2283600,11.75
2001-01-03,29.87,33.25,29.50,33.25,3723800,13.08
2001-01-04,32.75,33.38,32.69,33.38,3705900,13.13
2001-01-05,33.75,33.75,31.56,31.63,2385500,12.44
2001-01-08,32.00,32.06,30.62,31.00,1826500,12.20
2001-01-09,31.19,31.56,30.62,31.25,1322600,12.30
2001-01-10,30.88,31.06,30.62,31.06,1953100,12.22
2001-01-11,31.50,34.06,31.50,34.00,4463000,13.38
2001-01-12,33.75,35.19,33.50,34.81,1705200,13.70
2001-01-16,34.81,35.00,34.25,34.63,781900,13.62
2001-01-17,35.44,35.94,34.63,34.63,1255600,13.62
2001-01-18,35.44,35.81,35.19,35.69,1412500,14.04
2001-01-19,35.69,35.69,35.06,35.19,658800,13.84
2001-01-22,35.19,35.19,34.19,34.25,1489900,13.48
2001-01-23,33.75,33.75,32.94,33.38,2084200,13.13
2001-01-24,33.50,34.19,33.44,34.00,1474900,13.38
2001-01-25,34.25,34.69,34.25,34.50,1383500,13.57
2001-01-26,34.00,34.00,33.44,33.69,1409100,13.25
2001-01-29,33.27,34.55,33.23,34.40,1251900,13.53
2001-01-30,34.40,34.50,33.75,34.41,1222300,13.54
2001-01-31,34.45,34.68,34.40,34.62,955100,13.62
2001-02-01,34.55,34.80,34.50,34.78,737800,13.68
2001-02-02,34.95,34.95,33.95,34.30,1470000,13.50
2001-02-05,33.00,34.00,32.65,34.00,1374000,13.38
2001-02-06,33.58,34.44,33.56,33.82,1347300,13.31
2001-02-07,35.00,35.25,34.30,34.47,1025800,13.56
2001-02-08,34.65,35.15,34.15,34.42,1156200,13.54
2001-02-09,34.40,35.15,34.00,34.40,1742300,13.53
2001-02-12,35.05,36.00,35.05,36.00,1132200,14.16
2001-02-13,36.50,37.40,36.40,36.49,2707000,14.36
2001-02-14,37.00,37.10,35.95,36.58,1546500,14.39
2001-02-15,36.40,36.75,36.30,36.51,545600,14.36
2001-02-16,36.20,37.00,36.00,36.30,2575900,14.28
2001-02-20,35.60,35.75,35.20,35.69,3697300,14.04
2001-02-21,35.00,35.40,32.60,32.90,10662300,12.94
2001-02-22,32.45,32.45,31.75,31.99,4460300,12.59
2001-02-23,31.99,31.99,31.50,31.81,3590200,12.52
2001-02-26,31.95,32.10,31.80,32.10,4290500,12.63
2001-02-27,32.20,32.40,31.90,32.10,3400300,12.63
2001-02-28,32.50,32.50,31.76,31.97,1764500,12.58
2001-03-01,32.00,32.35,31.80,32.25,2479000,12.69
2001-03-02,30.75,31.35,30.75,30.94,2859600,12.17
2001-03-05,30.85,31.00,30.15,30.39,1904000,11.96
2001-03-06,30.05,31.35,30.00,30.58,3345200,12.03
2001-03-07,30.80,31.00,30.60,31.00,2739400,12.20
2001-03-08,30.75,31.68,30.70,31.50,2354700,12.39
2001-03-09,31.70,31.70,30.65,30.90,1826500,12.16
2001-03-12,30.62,30.62,28.75,28.78,1608100,11.32
2001-03-13,28.70,28.80,28.00,28.50,2779500,11.21
2001-03-14,28.00,28.90,27.75,28.57,3236100,11.24
2001-03-15,28.70,28.95,28.50,28.75,1994300,11.31
2001-03-16,28.75,28.85,28.30,28.37,1202400,11.16
2001-03-19,28.35,28.59,28.20,28.50,1259900,11.21
2001-03-20,28.40,28.42,27.80,27.86,1297000,10.96
2001-03-21,27.73,27.94,27.10,27.10,3160300,10.66
2001-03-22,26.90,26.90,25.70,26.35,2188800,10.37
2001-03-23,26.75,27.00,26.45,26.95,1757500,10.60
2001-03-26,27.20,27.72,27.10,27.38,1324400,10.77
2001-03-27,27.50,28.35,27.50,28.35,1963500,11.19
2001-03-28,27.50,27.51,26.55,26.55,1117900,10.48
2001-03-29,26.56,26.83,26.26,26.35,1059700,10.40
2001-03-30,26.30,26.85,26.01,26.70,1560800,10.54
2001-04-02,26.10,26.11,25.45,25.50,2153700,10.06
2001-04-03,25.30,25.30,24.77,24.77,2411600,9.77
2001-04-04,25.30,25.30,24.55,24.60,1977300,9.71
2001-04-05,25.30,26.90,25.30,26.90,2273000,10.61
2001-04-06,26.60,26.60,26.05,26.20,1567800,10.34
2001-04-09,26.30,26.30,25.92,25.98,2072900,10.25
2001-04-10,26.10,27.74,26.10,27.50,2748700,10.85
2001-04-11,27.75,28.00,27.55,27.60,2964400,10.89
2001-04-12,27.80,28.75,27.80,28.69,1093900,11.32
2001-04-16,28.65,29.05,28.60,29.01,1206400,11.45
2001-04-17,28.90,29.91,28.82,28.90,2375100,11.40
2001-04-18,29.00,30.45,28.95,29.50,2750700,11.64
2001-04-19,30.80,30.85,30.00,30.20,3571200,11.92
2001-04-20,30.00,30.75,29.76,30.74,2193300,12.13
2001-04-23,31.25,31.44,30.05,30.27,1115000,11.94
2001-04-24,30.50,30.75,30.26,30.35,914400,11.98
2001-04-25,30.90,31.05,30.55,31.05,1277500,12.25
2001-04-26,31.25,31.78,30.70,31.74,1060000,12.52
2001-04-27,31.74,31.74,31.15,31.30,392300,12.35
2001-04-30,32.00,32.56,31.82,32.51,1896500,12.83
2001-05-01,32.35,33.20,32.10,33.20,569100,13.10
2001-05-02,33.20,33.20,32.70,33.00,1640200,13.02
2001-05-03,33.00,33.25,32.95,33.00,2154400,13.02
2001-05-04,32.95,33.06,32.70,32.98,1596700,13.01
2001-05-07,33.10,33.80,33.06,33.70,1214400,13.30
2001-05-08,33.70,33.78,33.00,33.05,1417200,13.04
2001-05-09,33.20,33.90,33.10,33.90,2571900,13.38
2001-05-10,34.50,34.53,34.00,34.09,2643400,13.45
2001-05-11,33.87,34.10,33.27,33.51,1820000,13.22
2001-05-14,33.55,33.55,33.00,33.50,1758600,13.22
2001-05-15,32.85,32.95,32.29,32.40,1815200,12.78
2001-05-16,32.25,33.30,32.12,33.19,1815500,13.10
2001-05-17,33.10,33.82,33.10,33.54,1303600,13.23
2001-05-18,33.38,33.47,33.00,33.47,730300,13.21
2001-05-21,33.25,34.00,33.21,33.95,365600,13.40
2001-05-22,33.15,33.40,33.15,33.32,1921400,13.15
2001-05-23,33.00,33.00,32.65,32.93,2702700,12.99
2001-05-24,32.25,32.35,32.00,32.31,2487000,12.75
2001-05-25,33.00,33.65,32.78,33.42,1184700,13.19
2001-05-29,33.45,33.45,32.65,32.65,1131700,12.88
2001-05-30,32.48,32.48,31.69,31.83,1168200,12.56
2001-05-31,31.00,31.32,30.96,31.06,1217300,12.26
2001-06-01,30.75,30.90,30.31,30.90,1573000,12.19
2001-06-04,30.90,31.65,30.90,31.50,1273500,12.43
2001-06-05,31.25,32.00,31.07,32.00,644100,12.63
2001-06-06,32.00,32.27,31.90,31.96,749300,12.61
2001-06-07,32.15,32.50,32.12,32.50,394600,12.82
2001-06-08,32.50,33.00,32.50,32.66,656500,12.89
2001-06-11,32.67,32.67,32.21,32.23,407000,12.72
2001-06-12,32.00,32.70,31.95,32.56,776300,12.85
2001-06-13,32.20,32.45,32.06,32.11,394300,12.67
2001-06-14,32.40,32.60,32.15,32.42,635500,12.79
2001-06-15,32.60,32.75,32.31,32.64,899200,12.88
2001-06-18,32.55,32.55,31.92,31.99,800700,12.62
2001-06-19,31.99,32.25,31.70,31.70,546300,12.51
2001-06-20,31.80,32.45,31.78,32.38,523600,12.78
2001-06-21,32.40,32.46,32.30,32.35,382600,12.76
2001-06-22,32.34,32.35,31.88,31.90,561900,12.59
2001-06-25,32.00,32.00,31.71,31.80,500500,12.55
2001-06-26,31.75,32.18,31.56,32.15,801900,12.69
2001-06-27,32.30,32.30,31.49,31.49,416100,12.43
2001-06-28,31.50,31.61,31.45,31.49,777400,12.43
2001-06-29,31.80,32.60,31.80,32.40,916600,12.78
2001-07-02,32.40,32.72,32.20,32.70,1273700,12.90
2001-07-03,33.00,33.12,32.70,33.04,1069200,13.04
2001-07-05,32.65,32.74,32.32,32.50,1065600,12.82
2001-07-06,31.58,31.59,30.82,30.98,1022600,12.22
2001-07-09,31.00,31.04,30.81,30.95,552800,12.21
2001-07-10,31.00,31.15,30.65,31.05,925700,12.25
2001-07-11,31.00,31.05,30.35,30.41,1154100,12.00
2001-07-12,30.75,31.42,30.50,31.35,990700,12.37
2001-07-13,31.25,31.50,31.25,31.45,939100,12.41
2001-07-16,32.25,32.35,31.84,31.86,537900,12.57
2001-07-17,31.86,32.14,31.75,32.10,1364700,12.67
2001-07-18,31.25,31.80,31.25,31.70,776700,12.51
2001-07-19,31.00,31.70,31.00,31.26,1507500,12.33
2001-07-20,31.05,31.10,30.36,30.64,1058800,12.09
2001-07-23,31.05,31.50,31.05,31.38,1907800,12.38
2001-07-24,31.50,31.58,31.00,31.06,1396800,12.26
2001-07-25,30.50,30.80,30.20,30.42,1542400,12.00
2001-07-26,30.35,30.59,30.16,30.59,3017000,12.07
2001-07-27,30.50,31.15,29.50,30.77,2405000,12.14
2001-07-30,31.00,31.10,30.27,30.51,3524100,12.04
2001-07-31,31.05,31.20,30.76,30.95,2793300,12.21
2001-08-01,31.95,32.30,31.95,32.20,2516600,12.71
2001-08-02,34.19,34.39,33.25,33.33,4312600,13.15
2001-08-03,33.33,33.40,32.42,32.64,2898800,12.88
2001-08-06,31.90,32.16,31.74,32.16,3405000,12.69
2001-08-07,32.15,32.60,32.10,32.35,1189900,12.76
