Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,73.62,74.81,73.38,73.56,1627600,27.81
2000-12-13,73.75,75.81,73.62,74.50,2576200,28.17
2000-12-14,74.31,76.19,73.19,74.00,1887600,27.98
2000-12-15,73.62,74.38,72.88,74.19,2242400,28.05
2000-12-18,74.06,76.88,73.56,76.19,2443800,28.81
2000-12-19,76.38,77.94,74.88,75.75,1606400,28.64
2000-12-20,75.38,75.44,71.62,73.06,1819800,27.63
2000-12-21,73.31,74.75,73.31,74.50,2398400,28.17
2000-12-22,74.50,75.88,74.00,74.50,1938400,28.17
2000-12-26,74.69,75.19,74.50,74.94,1369000,28.33
2000-12-27,74.81,75.19,74.62,75.19,1649800,28.43
2000-12-28,75.62,77.75,74.94,76.81,1278600,29.04
2000-12-29,76.81,79.00,76.62,78.00,1991000,29.49
2001-01-02,78.19,78.19,74.81,75.06,2653800,28.38
2001-01-03,75.06,75.06,72.12,72.94,2961800,27.58
2001-01-04,72.94,72.94,67.50,69.31,4954200,26.21
2001-01-05,69.19,70.38,68.62,69.19,2352800,26.16
2001-01-08,69.06,69.94,69.00,69.56,1317200,26.30
2001-01-09,69.44,70.62,69.38,69.81,1227200,26.40
2001-01-10,69.88,72.12,69.31,70.00,2106000,26.47
2001-01-11,69.88,70.00,68.38,68.44,1876000,25.88
2001-01-12,68.50,69.00,67.31,67.56,1801600,25.55
2001-01-16,67.94,69.00,66.75,68.62,1666200,25.95
2001-01-17,68.44,69.19,65.38,66.75,2158200,25.33
2001-01-18,67.00,68.56,67.00,67.88,2372800,25.76
2001-01-19,68.00,69.25,67.44,68.38,1576600,25.95
2001-01-22,68.62,70.12,68.06,69.94,1443400,26.54
2001-01-23,69.94,70.06,69.00,69.38,1226000,26.33
2001-01-24,69.94,70.88,69.25,69.88,2170200,26.52
2001-01-25,69.88,72.88,69.81,72.38,3306400,27.47
2001-01-26,72.50,72.75,71.31,71.75,1019000,27.23
2001-01-29,71.15,71.20,70.00,70.80,1347600,26.87
2001-01-30,70.90,70.90,70.10,70.68,1708600,26.83
2001-01-31,70.75,71.27,70.70,70.98,2576800,26.94
2001-02-01,71.00,71.00,69.27,69.93,1710200,26.54
2001-02-02,69.99,70.09,69.50,69.88,2064600,26.52
2001-02-05,69.30,69.66,67.15,68.10,2425000,25.85
2001-02-06,68.35,68.35,67.00,67.30,1766000,25.54
2001-02-07,67.30,67.30,65.00,65.86,2945800,25.00
2001-02-08,66.85,68.00,66.70,67.48,3000400,25.61
2001-02-09,67.50,67.76,66.30,66.75,1483400,25.33
2001-02-12,66.76,66.80,65.41,66.41,2297200,25.21
2001-02-13,67.25,68.75,66.90,68.25,2029800,25.90
2001-02-14,69.00,69.29,68.45,69.15,1981600,26.25
2001-02-15,68.80,69.09,68.20,68.91,2667600,26.15
2001-02-16,69.60,70.75,68.21,70.59,2281400,26.79
2001-02-20,70.80,70.94,69.55,69.99,1735000,26.56
2001-02-21,69.99,71.05,69.52,69.81,1894800,26.50
2001-02-22,69.95,70.15,68.25,68.93,917600,26.16
