Date,Open,High,Low,Close,Volume,Adj Close
2010-11-18,35.00,35.99,33.89,34.19,457044300,33.32
2010-11-19,34.15,34.50,33.11,34.26,107842000,33.39
2010-11-22,34.20,34.48,33.81,34.08,36650600,33.21
2010-11-23,33.95,33.99,33.19,33.25,31170200,32.40
2010-11-24,33.73,33.80,33.22,33.48,26138000,32.63
2010-11-26,33.41,33.81,33.21,33.80,12301200,32.94
2010-11-29,33.80,33.81,33.07,33.80,27776900,32.94
2010-11-30,33.53,34.25,33.36,34.20,57476900,33.33
2010-12-01,34.65,34.95,34.42,34.78,34633200,33.89
2010-12-02,34.92,34.98,34.51,34.68,23196100,33.79
2010-12-03,34.55,34.60,33.97,34.55,19395200,33.67
2010-12-06,34.48,34.78,34.41,34.48,11676500,33.60
2010-12-07,34.75,34.89,34.46,34.68,20823000,33.79
2010-12-08,34.61,34.73,34.33,34.45,12603900,33.57
2010-12-09,34.36,34.43,33.62,33.74,18402200,32.88
2010-12-10,33.85,33.99,33.53,33.81,11741700,32.95
2010-12-13,33.96,34.05,33.70,33.80,11029300,32.94
2010-12-14,33.73,33.92,33.45,33.89,15165600,33.02
2010-12-15,33.81,34.01,33.61,33.61,10182700,32.75
2010-12-16,33.57,33.86,33.56,33.61,9885700,32.75
2010-12-17,33.53,34.00,33.19,34.00,35681600,33.13
2010-12-20,33.91,34.05,33.74,33.76,12476400,32.90
2010-12-21,33.86,33.94,33.72,33.85,9012400,32.99
2010-12-22,33.72,34.95,33.53,34.92,20935100,34.03
2010-12-23,34.67,35.52,34.62,34.81,20529200,33.92
2010-12-27,34.41,34.89,34.19,34.60,7368300,33.72
2010-12-28,35.38,35.67,35.07,35.32,23489000,34.42
2010-12-29,35.47,36.30,35.25,36.02,20960800,35.10
2010-12-30,36.10,36.98,36.02,36.82,16980800,35.88
2010-12-31,36.84,36.96,36.57,36.86,6163900,35.92
2011-01-03,37.32,38.00,37.03,37.06,24874900,36.11
2011-01-04,37.10,37.99,36.68,37.90,32363400,36.93
2011-01-05,37.47,38.30,37.47,38.07,22503900,37.10
2011-01-06,38.24,39.48,38.07,38.90,38556900,37.91
2011-01-07,38.84,39.33,38.51,38.98,19901100,37.98
2011-01-10,39.34,39.36,38.44,38.56,18341600,37.58
2011-01-11,38.66,39.43,38.51,38.75,14856500,37.76
2011-01-12,38.95,39.37,38.37,38.62,16773900,37.63
2011-01-13,38.66,38.71,38.11,38.27,11358300,37.29
2011-01-14,38.18,38.47,38.04,38.20,5894200,37.22
2011-01-18,38.05,38.33,37.32,38.03,8918200,37.06
2011-01-19,37.78,37.93,37.26,37.40,12667700,36.45
2011-01-20,37.11,37.29,36.27,37.18,15844900,36.23
2011-01-21,37.33,37.85,36.82,37.24,9548500,36.29
2011-01-24,37.71,37.86,37.03,37.64,12202800,36.68
2011-01-25,37.85,38.49,37.71,38.40,12318700,37.42
2011-01-26,38.75,38.91,37.86,37.89,11534600,36.92
2011-01-27,38.20,38.95,38.03,38.67,13950000,37.68
2011-01-28,38.00,38.02,36.01,36.60,37134600,35.67
2011-01-31,36.89,37.05,35.89,36.49,13954800,35.56
2011-02-01,36.93,37.23,36.13,36.45,28091600,35.52
2011-02-02,36.46,36.56,35.58,35.68,17434700,34.77
2011-02-03,35.97,36.06,35.13,36.06,19350000,35.14
2011-02-04,36.25,36.73,35.89,36.59,11115000,35.66
2011-02-07,36.95,37.09,36.61,36.70,7328800,35.76
2011-02-08,36.97,37.05,36.40,36.89,6243000,35.95
2011-02-09,36.82,36.91,36.28,36.41,6399300,35.48
2011-02-10,36.17,36.64,35.52,35.88,11542400,34.96
2011-02-11,35.76,36.57,35.55,36.45,13508300,35.52
2011-02-14,36.55,36.56,35.47,36.29,7121200,35.36
2011-02-15,36.19,36.41,35.80,36.11,10336500,35.19
2011-02-16,36.11,36.84,36.02,36.75,8680900,35.81
2011-02-17,36.55,36.70,36.30,36.37,7463000,35.44
2011-02-18,36.42,36.76,36.38,36.51,6815800,35.58
2011-02-22,35.86,36.15,35.45,35.77,13937400,34.86
2011-02-23,35.85,35.94,33.80,34.59,28192500,33.71
2011-02-24,34.90,35.00,32.05,33.02,63562800,32.18
2011-02-25,33.67,34.20,33.05,33.25,29017800,32.40
2011-02-28,33.49,33.74,32.86,33.53,15886400,32.67
2011-03-01,33.69,33.75,32.43,32.95,27321600,32.11
2011-03-02,32.90,33.17,32.59,32.88,14306700,32.04
2011-03-03,33.03,33.17,32.65,33.03,17614800,32.19
2011-03-04,33.07,33.08,32.01,32.39,24240900,31.56
2011-03-07,32.35,32.50,31.52,31.70,15077100,30.89
2011-03-08,31.74,32.82,31.69,32.72,14509400,31.88
2011-03-09,32.74,32.76,32.10,32.25,11225600,31.43
2011-03-10,31.47,31.78,30.95,31.42,38333600,30.62
2011-03-11,31.25,32.06,31.24,31.93,14024000,31.11
2011-03-14,32.14,32.30,31.43,31.59,9976500,30.78
2011-03-15,30.98,32.49,30.65,32.35,21471300,31.52
2011-03-16,32.42,32.53,31.40,31.78,14148900,30.97
2011-03-17,32.18,32.39,31.33,31.44,11025600,30.64
2011-03-18,31.74,31.95,31.42,31.85,9861200,31.04
2011-03-21,32.24,32.30,31.23,31.28,13196500,30.48
2011-03-22,31.28,31.35,30.51,30.74,16982100,29.96
2011-03-23,30.60,31.28,30.20,31.16,23016000,30.36
2011-03-24,31.32,31.60,31.24,31.39,15743100,30.59
