Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,95.50,95.56,91.75,92.44,1789200,80.51
2000-12-13,93.12,95.38,91.81,94.06,2573500,81.92
2000-12-14,91.38,92.12,86.62,87.44,3131400,76.15
2000-12-15,87.00,87.00,83.88,86.69,2963100,75.50
2000-12-18,89.00,90.88,85.88,85.94,3077600,74.85
2000-12-19,87.25,95.00,86.50,89.38,6007800,77.84
2000-12-20,87.75,93.12,87.75,90.00,3840500,78.39
2000-12-21,90.00,94.94,88.69,93.81,3072000,81.71
2000-12-22,95.50,100.56,94.06,98.81,2642900,86.06
2000-12-26,98.50,102.56,97.38,101.81,2198000,88.67
2000-12-27,100.50,102.94,100.00,101.88,1782500,88.73
2000-12-28,101.00,107.50,101.00,107.12,2483600,93.30
2000-12-29,107.19,108.38,106.31,106.94,2075000,93.14
2001-01-02,104.38,105.50,97.50,100.25,3202400,87.31
2001-01-03,100.06,115.50,98.88,115.50,7355200,100.60
2001-01-04,113.75,116.75,111.00,112.75,5867200,98.20
2001-01-05,109.00,111.00,105.75,107.88,4328600,93.96
2001-01-08,106.50,107.31,102.62,106.38,2169500,92.65
2001-01-09,107.62,108.50,103.31,104.75,2295200,91.23
2001-01-10,102.25,108.94,102.25,108.50,2716200,94.50
2001-01-11,108.50,112.12,107.50,110.50,3674000,96.24
2001-01-12,110.44,110.88,108.75,108.75,1806000,94.72
2001-01-16,108.81,113.00,108.06,110.00,2267800,95.81
2001-01-17,109.75,114.88,109.31,110.00,3212700,95.81
2001-01-18,109.50,109.88,107.25,107.50,2583900,93.73
2001-01-19,108.00,111.00,107.81,110.94,2760600,96.73
2001-01-22,110.94,115.00,110.88,113.12,2783800,98.64
2001-01-23,114.25,116.25,114.00,116.00,3270900,101.14
2001-01-24,115.00,120.00,114.00,117.88,5110600,102.78
2001-01-25,117.88,117.88,113.12,113.56,2724100,99.02
2001-01-26,113.00,115.00,111.56,114.69,2446000,100.00
2001-01-29,114.50,117.75,114.50,115.91,1630200,101.06
2001-01-30,116.90,118.70,114.06,118.62,1700000,103.43
2001-01-31,118.62,119.75,113.08,113.75,3500600,99.18
2001-02-01,114.90,118.50,114.50,118.20,2579800,103.06
2001-02-02,117.60,118.85,113.95,113.96,2158900,99.36
2001-02-05,113.75,114.00,111.25,112.10,2540100,97.74
2001-02-06,112.95,112.95,108.35,108.95,2246600,95.00
2001-02-07,109.40,109.95,104.08,105.20,3138200,91.73
2001-02-08,105.70,108.45,105.30,105.95,2716600,92.38
2001-02-09,105.10,109.00,103.10,107.75,2742100,93.95
2001-02-12,107.70,109.50,105.50,109.50,1952500,95.47
2001-02-13,109.90,110.65,105.00,105.90,2213400,92.34
2001-02-14,106.40,106.50,103.39,104.25,2401000,90.90
2001-02-15,105.95,108.25,103.70,107.20,3020000,93.47
2001-02-16,104.50,105.30,101.30,101.50,2620200,88.50
2001-02-20,102.10,102.11,94.35,96.00,3273600,83.70
2001-02-21,96.00,98.60,93.61,94.40,4273900,82.31
2001-02-22,94.41,97.50,91.26,97.20,4517900,84.75
2001-02-23,96.20,97.10,90.25,96.04,4350600,83.74
