Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,44.50,45.50,44.38,45.00,6589300,34.20
2000-12-13,45.12,45.38,44.12,45.19,6351200,34.34
2000-12-14,44.62,44.94,43.75,43.88,5402100,33.35
2000-12-15,42.25,42.75,41.38,41.94,11467700,31.87
2000-12-18,43.31,44.62,43.25,44.12,7372200,33.54
2000-12-19,44.50,44.69,42.44,42.62,7366700,32.40
2000-12-20,41.25,42.00,40.19,41.12,7784300,31.26
2000-12-21,41.06,44.12,41.00,42.88,10168700,32.59
2000-12-22,42.88,44.25,40.00,41.62,10621200,31.64
2000-12-26,41.25,41.94,40.00,40.69,6407000,30.92
2000-12-27,40.75,43.19,40.62,42.75,7302000,32.49
2000-12-28,43.00,44.44,42.81,43.62,4983300,33.16
2000-12-29,43.69,46.94,43.62,45.69,7949100,34.72
2001-01-02,45.69,46.31,44.62,45.56,6497200,34.63
2001-01-03,45.56,51.50,45.06,51.44,17594900,39.09
2001-01-04,49.81,52.50,49.62,51.69,15560100,39.28
2001-01-05,50.00,50.56,49.31,49.75,8803200,37.81
2001-01-08,49.50,49.50,47.00,47.69,7037800,36.24
2001-01-09,47.56,47.75,44.94,45.88,8026000,34.87
2001-01-10,45.81,47.56,45.00,47.44,7515900,36.05
2001-01-11,47.81,49.50,47.50,49.06,6131600,37.29
2001-01-12,49.06,50.25,49.06,49.12,8391900,37.34
2001-01-16,48.75,49.12,47.62,48.88,5983700,37.15
2001-01-17,47.88,48.62,46.06,46.38,8951500,35.25
2001-01-18,46.50,47.12,44.12,44.25,12073100,33.63
2001-01-19,41.75,43.00,41.00,41.00,34361100,31.16
2001-01-22,42.00,43.94,40.94,43.75,15010000,33.25
2001-01-23,43.62,44.88,42.75,44.75,8310800,34.01
2001-01-24,44.81,45.38,44.38,45.06,7287500,34.25
2001-01-25,45.38,46.06,44.19,46.00,9890400,34.96
2001-01-26,45.75,45.75,44.12,44.75,7185400,34.01
2001-01-29,45.30,45.97,44.50,45.50,5499900,34.58
2001-01-30,45.75,46.39,45.43,46.00,9632700,34.96
2001-01-31,46.65,49.00,46.26,48.20,14702100,36.63
2001-02-01,47.52,48.90,47.06,48.65,8844000,36.97
2001-02-02,48.65,48.65,46.57,46.89,5833100,35.64
2001-02-05,46.87,46.91,46.10,46.61,4199700,35.42
2001-02-06,47.11,47.40,45.56,45.65,4063200,34.69
2001-02-07,45.90,46.75,45.07,45.78,5983400,34.79
2001-02-08,46.00,46.25,43.58,43.99,7761100,33.43
2001-02-09,44.50,45.75,44.05,44.43,5922700,33.77
2001-02-12,44.57,45.89,44.44,45.73,5510200,34.76
2001-02-13,45.99,46.64,44.85,46.31,6083500,35.20
2001-02-14,46.75,46.87,45.14,45.72,6110300,34.75
2001-02-15,45.40,45.40,44.00,44.61,6318000,33.90
2001-02-16,45.00,45.00,42.50,43.00,7435300,32.68
2001-02-20,44.48,45.60,43.80,44.09,8286100,33.51
2001-02-21,43.15,43.49,40.80,40.95,8240700,31.12
2001-02-22,41.50,41.50,39.90,40.00,12723600,30.40
2001-02-23,39.95,41.08,39.62,40.01,10725900,30.41
2001-02-26,41.00,43.87,41.00,43.75,10543400,33.25
2001-02-27,44.50,44.96,43.55,44.60,8935800,33.90
2001-02-28,44.60,44.93,42.20,42.50,7979800,32.30
2001-03-01,42.40,42.49,40.75,41.50,7726600,31.54
2001-03-02,40.55,42.40,40.32,41.55,6377600,31.58
2001-03-05,41.80,41.95,41.05,41.43,4188300,31.49
2001-03-06,42.00,42.35,41.13,41.36,6202900,31.46
2001-03-07,41.45,43.90,41.41,43.70,8762300,33.24
2001-03-08,43.90,45.50,43.80,44.72,8456500,34.02
2001-03-09,44.98,45.08,43.60,44.52,7067500,33.87
2001-03-12,43.55,43.98,41.60,42.06,8396100,32.00
2001-03-13,42.06,42.80,41.26,42.70,10060000,32.48
2001-03-14,41.30,42.80,40.50,41.62,7025300,31.66
2001-03-15,43.25,43.75,42.58,43.20,7711500,32.86
2001-03-16,42.55,43.80,41.90,42.26,9820300,32.15
2001-03-19,42.01,43.10,41.00,42.50,8090000,32.33
2001-03-20,43.00,44.14,41.95,41.95,8313400,31.91
2001-03-21,41.95,43.00,41.27,41.50,7536100,31.57
2001-03-22,41.30,41.36,38.11,40.76,14021200,31.01
2001-03-23,40.60,40.60,38.31,39.67,10532600,30.18
2001-03-26,41.60,42.01,41.00,41.35,8100700,31.46
2001-03-27,41.95,43.71,41.60,43.46,8471200,33.06
2001-03-28,43.39,43.45,41.72,43.23,8035200,32.89
2001-03-29,43.40,44.12,42.25,42.66,7181800,32.45
2001-03-30,43.50,43.75,42.67,43.10,7060200,32.79
2001-04-02,43.10,43.52,42.10,42.55,7320100,32.37
2001-04-03,43.15,43.30,41.30,42.60,7647300,32.41
2001-04-04,42.00,43.00,41.80,42.30,7249300,32.18
2001-04-05,43.10,44.00,42.83,43.96,6122500,33.44
2001-04-06,43.15,44.09,42.30,43.78,6806900,33.31
2001-04-09,43.30,43.35,41.76,42.19,6231900,32.10
2001-04-10,43.09,43.39,42.50,43.01,5711500,32.72
2001-04-11,42.05,42.50,40.08,41.50,11755200,31.57
2001-04-12,41.15,41.65,40.05,41.65,6806100,31.69
2001-04-16,40.80,41.90,40.50,41.50,5037600,31.57
2001-04-17,41.50,42.30,40.74,41.91,5187700,31.88
2001-04-18,42.75,46.02,42.52,45.61,14545300,34.70
2001-04-19,45.00,46.09,44.33,46.08,7419700,35.06
2001-04-20,45.84,46.25,45.29,46.21,5638400,35.15
2001-04-23,46.21,47.74,45.81,46.19,6682900,35.14
2001-04-24,45.50,45.94,44.90,45.02,6692400,34.25
2001-04-25,45.55,46.24,45.31,46.02,4606800,35.01
2001-04-26,46.50,47.40,46.15,47.30,4794700,35.98
2001-04-27,47.98,48.40,47.51,48.10,7059000,36.59
2001-04-30,48.10,48.50,46.96,47.10,6381300,35.83
2001-05-01,47.01,49.75,46.75,49.24,7525100,37.46
2001-05-02,48.70,49.75,48.50,48.79,7186700,37.12
2001-05-03,48.54,48.72,47.90,48.51,5144400,36.90
2001-05-04,47.75,49.74,47.61,49.59,5701500,37.73
2001-05-07,49.59,50.20,48.80,49.09,4870800,37.35
2001-05-08,49.49,50.19,48.41,50.01,6602000,38.04
2001-05-09,49.11,49.60,48.02,48.51,6166200,36.90
2001-05-10,49.51,50.25,48.98,49.25,6788400,37.47
2001-05-11,49.20,50.10,49.10,49.88,4914500,37.95
2001-05-14,49.88,49.88,48.40,49.15,5068600,37.39
2001-05-15,50.25,50.84,49.49,50.10,11519500,38.11
2001-05-16,50.00,51.34,49.41,51.21,10689200,38.96
2001-05-17,51.49,52.70,51.35,52.00,6027400,39.56
2001-05-18,51.93,52.70,51.40,52.70,5857900,40.09
2001-05-21,52.70,53.73,51.88,53.38,6873300,40.61
2001-05-22,52.90,53.60,52.00,52.99,5401600,40.31
2001-05-23,52.85,53.20,51.70,52.62,4794300,40.03
2001-05-24,52.50,53.45,51.80,53.45,5039200,40.66
2001-05-25,52.95,53.20,52.28,52.28,3354500,39.77
2001-05-29,52.15,52.36,50.19,50.54,7858700,38.45
2001-05-30,51.25,51.84,49.50,49.99,7964800,38.03
2001-05-31,50.10,50.35,48.40,49.29,8098300,37.50
2001-06-01,49.00,49.29,48.60,49.26,5124600,37.47
2001-06-04,49.50,50.05,48.86,50.00,4721900,38.04
2001-06-05,50.35,50.90,49.50,50.35,7372100,38.30
2001-06-06,49.95,50.24,49.48,49.51,4114200,37.66
2001-06-07,49.35,50.90,49.05,50.71,5732200,38.58
2001-06-08,50.72,51.19,50.35,50.80,3235400,38.65
2001-06-11,50.80,51.10,50.55,50.73,3974500,38.59
2001-06-12,50.78,51.21,49.33,51.11,4186000,38.91
2001-06-13,51.11,51.45,50.45,50.51,3952400,38.46
2001-06-14,50.06,50.60,49.16,49.51,3411400,37.69
2001-06-15,48.95,49.39,48.10,48.90,7731100,37.23
2001-06-18,49.40,50.20,49.00,49.00,4486800,37.31
2001-06-19,49.90,50.09,49.05,49.49,3572300,37.68
2001-06-20,49.49,50.90,48.12,49.24,7581600,37.49
2001-06-21,49.74,51.11,49.25,50.78,6567200,38.66
2001-06-22,50.80,51.04,49.78,50.71,5113500,38.61
2001-06-25,49.75,49.95,48.04,49.00,7937800,37.31
2001-06-26,48.10,48.45,46.60,47.15,9434900,35.90
2001-06-27,46.90,48.25,46.70,46.85,5776800,35.67
2001-06-28,47.20,48.54,46.86,47.00,7310500,35.78
2001-06-29,47.25,47.74,46.55,47.24,7624000,35.97
2001-07-02,46.99,48.25,46.70,47.70,4711300,36.32
2001-07-03,48.05,48.18,47.35,47.89,2435000,36.46
2001-07-05,47.15,47.39,46.26,46.66,6393100,35.52
2001-07-06,46.65,46.65,44.86,45.36,6077400,34.53
2001-07-09,45.45,46.11,45.00,45.99,4042700,35.01
2001-07-10,47.00,47.23,44.96,45.00,6766600,34.26
2001-07-11,45.45,46.05,44.60,45.71,5902300,34.80
2001-07-12,45.71,48.13,45.64,48.00,6943400,36.54
2001-07-13,48.00,49.00,47.23,48.70,5827400,37.08
2001-07-16,48.90,49.48,48.13,49.10,4835000,37.38
2001-07-17,49.10,49.90,48.55,49.52,4311200,37.70
2001-07-18,49.00,49.90,48.47,49.24,5055400,37.49
2001-07-19,49.49,49.97,48.75,49.80,4354400,37.92
2001-07-20,49.80,50.10,49.10,49.40,4102500,37.61
2001-07-23,49.65,49.88,47.97,47.97,3717500,36.52
2001-07-24,48.40,48.40,46.56,47.14,4062200,35.89
2001-07-25,47.60,49.30,46.85,49.21,5720200,37.47
2001-07-26,49.00,49.62,48.70,49.50,6060400,37.69
2001-07-27,49.59,49.70,48.41,49.65,3601600,37.80
2001-07-30,49.65,49.95,48.86,49.55,4135400,37.72
2001-07-31,49.90,50.90,49.28,50.37,7001100,38.35
2001-08-01,50.37,50.70,49.49,49.78,4751900,37.90
2001-08-02,50.14,50.30,49.35,49.78,4275400,37.90
2001-08-03,49.95,49.95,48.60,49.13,3937400,37.40
2001-08-06,49.45,49.65,47.96,48.28,4571800,36.76
2001-08-07,48.75,49.49,48.38,48.99,4658200,37.30
2001-08-08,48.99,49.45,47.75,47.88,5792900,36.45
2001-08-09,48.40,48.75,47.95,48.48,6216500,36.91
2001-08-10,48.85,48.88,47.32,48.46,3746500,36.89
2001-08-13,48.46,48.64,47.40,48.10,5452200,36.62
2001-08-14,49.00,49.95,49.00,49.30,6750600,37.53
2001-08-15,49.50,49.78,48.95,49.19,6004400,37.45
2001-08-16,48.75,49.97,48.75,49.89,5875600,37.98
2001-08-17,49.84,49.84,48.90,49.23,4452300,37.48
2001-08-20,49.02,50.00,48.89,49.80,5670100,37.92
2001-08-21,49.96,49.96,48.10,48.10,5261900,36.62
2001-08-22,48.13,49.00,47.65,48.85,5007100,37.19
2001-08-23,48.70,48.84,47.55,47.99,4275500,36.54
2001-08-24,48.26,49.95,47.90,49.94,6012100,38.02
2001-08-27,49.44,49.58,48.35,48.99,5885100,37.30
2001-08-28,48.55,48.95,47.85,47.90,5532800,36.50
2001-08-29,47.65,47.75,46.60,47.00,6540600,35.81
2001-08-30,46.50,47.16,45.27,45.82,8332600,34.91
2001-08-31,45.85,47.13,45.84,45.95,5730000,35.01
2001-09-04,45.82,48.00,45.81,46.82,6475000,35.68
2001-09-05,46.82,46.82,44.80,45.99,6845700,35.04
2001-09-06,45.26,46.25,43.40,43.55,7881900,33.18
2001-09-07,42.20,43.49,40.00,40.95,19099700,31.20
2001-09-10,40.08,41.30,40.06,40.55,11048500,30.90
2001-09-17,35.50,37.25,35.00,36.20,25283900,27.58
2001-09-18,36.99,38.18,35.25,36.69,17420200,27.96
2001-09-19,37.30,37.68,34.02,35.30,15368500,26.90
2001-09-20,33.30,34.70,32.40,32.80,15620100,24.99
2001-09-21,30.80,33.52,30.30,33.11,18367700,25.23
2001-09-24,33.12,36.52,33.10,36.01,12591500,27.44
2001-09-25,36.74,37.24,35.37,36.30,11481000,27.66
2001-09-26,37.20,37.35,35.55,35.55,8373400,27.09
2001-09-27,36.10,37.10,35.50,36.90,7937500,28.12
2001-09-28,37.25,38.80,36.35,38.37,9380100,29.24
2001-10-01,38.12,38.37,37.10,37.82,8279300,28.82
2001-10-02,38.25,39.36,37.91,39.05,6284500,29.75
2001-10-03,38.85,41.08,38.62,40.83,8645800,31.11
2001-10-04,40.80,40.95,39.19,39.19,8620400,29.86
2001-10-05,39.20,39.51,37.90,39.41,6713400,30.03
2001-10-08,39.41,39.41,38.15,38.37,5532700,29.24
2001-10-09,39.20,39.20,37.55,37.90,8105400,28.88
2001-10-10,38.17,40.29,37.91,40.21,7337700,30.64
2001-10-11,41.00,43.12,41.00,43.10,12261600,32.84
2001-10-12,42.38,42.40,40.19,41.68,9989600,31.76
2001-10-15,40.75,41.23,40.00,40.96,6194600,31.21
2001-10-16,41.21,41.80,40.40,41.62,4728200,31.71
2001-10-17,42.00,42.50,40.40,40.51,6201900,30.87
2001-10-18,40.30,41.79,39.80,40.70,7382200,31.01
2001-10-19,41.10,41.22,40.00,40.41,7786800,30.79
2001-10-22,40.16,40.77,38.78,39.95,8669800,30.44
2001-10-23,40.84,41.03,39.95,40.35,7189900,30.75
2001-10-24,40.34,40.80,39.85,40.20,5536400,30.63
2001-10-25,39.70,40.45,38.75,40.45,8327300,30.82
2001-10-26,40.20,40.64,39.68,40.29,5901300,30.70
2001-10-29,39.75,40.10,38.52,38.62,5679200,29.43
2001-10-30,38.25,38.33,37.15,37.60,8989900,28.65
2001-10-31,37.99,39.01,37.35,38.23,9468300,29.13
2001-11-01,38.23,38.94,37.47,38.40,7256600,29.26
2001-11-02,38.80,40.92,38.40,40.32,11010100,30.72
2001-11-05,41.15,42.15,41.01,41.55,8191800,31.66
2001-11-06,41.55,42.70,41.20,42.70,7596400,32.54
2001-11-07,42.45,42.95,41.70,41.95,5923000,31.96
2001-11-08,42.69,43.60,41.49,41.89,7273600,31.92
2001-11-09,41.89,42.30,41.20,42.11,3969500,32.09
2001-11-12,40.50,41.60,40.00,41.12,6561800,31.33
2001-11-13,43.00,44.63,42.45,44.00,11132500,33.53
2001-11-14,45.00,46.32,44.00,46.23,12221500,35.23
2001-11-15,45.73,46.74,45.42,46.49,7493400,35.42
2001-11-16,46.49,46.50,45.05,45.80,9341800,34.90
2001-11-19,46.00,47.23,45.70,47.07,8395600,35.87
2001-11-20,46.51,46.75,45.90,46.18,5799600,35.19
2001-11-21,45.75,46.43,45.60,46.38,4381100,35.34
2001-11-23,45.85,46.66,45.84,46.58,2671900,35.49
2001-11-26,46.00,46.12,44.80,45.52,7722300,34.68
2001-11-27,44.80,45.00,42.91,43.35,12722800,33.03
2001-11-28,42.75,44.27,42.65,43.80,10684400,33.41
2001-11-29,44.24,44.49,43.55,44.02,7297700,33.58
2001-11-30,45.00,47.00,45.00,46.65,14775400,35.59
2001-12-03,46.66,46.90,46.25,46.39,9213300,35.39
2001-12-04,47.20,48.19,46.92,47.70,10860900,36.39
2001-12-05,47.94,50.40,47.81,49.90,14671400,38.07
2001-12-06,49.10,49.66,48.66,49.15,7409000,37.49
2001-12-07,48.86,49.65,48.60,49.41,4819800,37.69
2001-12-10,49.30,49.31,48.00,48.26,5626600,36.82
2001-12-11,48.00,48.25,47.35,47.97,5020400,36.59
2001-12-12,47.95,48.90,47.73,48.35,6814400,36.88
2001-12-13,47.75,48.35,47.15,48.00,6056100,36.62
2001-12-14,48.00,50.10,47.60,49.81,9046900,38.00
2001-12-17,49.81,50.48,49.16,50.00,7298000,38.14
2001-12-18,50.40,51.05,49.98,50.16,6992000,38.26
2001-12-19,50.05,50.60,49.66,50.60,6364800,38.60
