Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,53.88,54.00,51.50,52.12,6494000,37.34
2000-12-13,52.62,52.75,51.75,52.12,5152000,37.34
2000-12-14,51.25,51.62,50.44,50.56,6371200,36.22
2000-12-15,49.88,50.00,47.88,47.88,7301100,34.30
2000-12-18,48.88,50.44,48.88,49.75,5217800,35.64
2000-12-19,49.94,50.30,48.81,48.88,6021700,35.01
2000-12-20,48.00,48.25,46.00,46.00,5317700,32.96
2000-12-21,46.44,47.38,46.12,46.31,3853100,33.18
2000-12-22,46.56,48.31,46.56,47.75,2589300,34.21
2000-12-26,47.38,48.19,46.81,48.00,3528700,34.39
2000-12-27,47.62,48.69,47.31,47.56,2436700,34.07
2000-12-28,47.88,48.31,47.19,47.94,2618800,34.34
2000-12-29,47.75,48.25,47.12,47.31,2126000,33.90
2001-01-02,46.50,46.50,42.44,44.25,9949000,31.70
2001-01-03,44.25,48.12,43.50,48.12,8868000,34.48
2001-01-04,47.50,48.81,47.38,48.06,3651600,34.43
2001-01-05,47.44,47.62,46.06,46.94,4208200,33.63
2001-01-08,46.00,46.62,44.56,45.69,3562500,32.73
2001-01-09,45.69,46.44,44.12,44.69,5533200,32.01
2001-01-10,44.06,45.50,43.44,45.19,6354400,32.37
2001-01-11,45.88,47.69,45.88,47.38,4945600,33.94
2001-01-12,47.38,47.62,45.50,46.50,4046200,33.31
2001-01-16,46.25,48.19,46.25,47.88,4420000,34.30
2001-01-17,48.69,49.28,47.62,48.00,9644900,34.39
2001-01-18,48.50,49.44,47.62,48.88,4466500,35.01
2001-01-19,49.12,49.38,47.69,48.38,4205700,34.66
2001-01-22,48.12,48.61,46.69,47.06,3782200,33.72
2001-01-23,47.62,48.25,47.33,47.88,4306000,34.30
2001-01-24,47.88,48.38,46.94,47.38,2534800,33.94
2001-01-25,47.25,48.50,47.12,47.31,5136300,33.90
2001-01-26,47.44,48.12,46.00,46.44,5793200,33.27
2001-01-29,46.35,46.70,45.26,45.80,3114900,32.81
2001-01-30,45.80,47.50,45.80,47.37,4511100,33.94
2001-01-31,47.37,48.19,46.90,47.25,4531000,33.85
2001-02-01,47.65,48.20,47.21,47.74,2603100,34.20
2001-02-02,47.55,48.25,47.28,47.70,3479500,34.17
2001-02-05,47.70,49.62,47.65,49.42,3520700,35.41
2001-02-06,49.25,49.70,48.77,49.25,2825300,35.28
2001-02-07,49.00,49.35,48.10,48.55,2211200,34.78
2001-02-08,48.99,49.70,48.50,48.78,2573300,34.95
2001-02-09,48.53,48.65,46.80,47.20,4790400,33.81
2001-02-12,47.50,49.45,47.37,49.06,2933000,35.15
2001-02-13,48.87,49.64,48.69,48.70,2660700,34.89
2001-02-14,48.60,48.69,47.60,47.67,2541200,34.15
2001-02-15,47.55,49.49,47.50,48.50,4518300,34.88
2001-02-16,47.92,48.80,47.70,48.21,2824000,34.68
2001-02-20,48.21,49.84,48.21,49.20,2969500,35.39
2001-02-21,49.50,49.94,48.51,48.67,3513500,35.01
2001-02-22,48.90,48.90,47.10,48.20,6143500,34.67
2001-02-23,47.60,48.00,45.95,47.00,5185000,33.81
2001-02-26,47.40,48.84,47.03,48.68,6717800,35.01
2001-02-27,46.50,48.15,46.50,48.15,9503200,34.63
2001-02-28,48.08,48.24,45.75,46.73,9645800,33.61
2001-03-01,45.75,46.10,45.00,46.05,5193300,33.12
2001-03-02,45.70,45.80,44.54,44.79,3793600,32.22
2001-03-05,44.75,45.74,44.70,45.65,3841400,32.83
2001-03-06,46.50,47.13,46.06,46.25,4173600,33.27
2001-03-07,46.40,46.83,46.09,46.48,2735500,33.43
2001-03-08,46.55,46.85,45.51,46.33,4486200,33.32
2001-03-09,45.51,45.70,43.58,43.98,5366100,31.63
2001-03-12,43.80,43.80,38.60,40.40,8869700,29.06
2001-03-13,41.50,42.40,40.75,42.23,7347500,30.37
2001-03-14,40.50,41.97,40.00,40.65,7580900,29.24
2001-03-15,40.95,41.14,40.28,40.51,5012300,29.14
2001-03-16,40.06,41.00,39.50,39.50,9680600,28.41
2001-03-19,39.75,40.95,39.32,40.55,4994800,29.17
