Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,95.25,96.12,92.50,93.88,7913300,77.62
2000-12-13,94.88,96.62,90.69,91.25,6992600,75.45
2000-12-14,92.00,93.69,91.81,92.44,6131400,76.43
2000-12-15,90.00,90.69,87.31,87.81,14254500,72.61
2000-12-18,88.38,90.50,88.38,90.50,7693800,74.83
2000-12-19,90.19,94.44,89.81,90.12,7705300,74.52
2000-12-20,85.88,88.00,84.81,86.00,12579400,71.11
2000-12-21,85.50,87.94,80.06,81.56,12725500,67.44
2000-12-22,84.50,89.38,84.50,89.00,9514000,73.59
2000-12-26,89.00,89.56,84.25,84.81,6052300,70.13
2000-12-27,84.75,88.12,83.56,84.69,8245100,70.03
2000-12-28,83.50,88.19,82.12,85.25,9798600,70.49
2000-12-29,86.94,86.94,84.25,85.00,6943700,70.28
2001-01-02,84.50,87.50,84.12,84.81,8007200,70.13
2001-01-03,83.75,95.00,83.75,94.62,12769900,78.24
2001-01-04,94.75,99.75,92.69,93.19,15420500,77.05
2001-01-05,93.94,94.69,91.00,94.00,8043200,77.73
2001-01-08,93.50,93.94,91.56,93.56,6064800,77.36
2001-01-09,94.44,95.75,91.44,92.56,7547100,76.54
2001-01-10,92.50,94.94,91.69,93.44,7656100,77.26
2001-01-11,92.94,94.25,91.25,93.69,9635000,77.47
2001-01-12,93.69,96.44,92.38,93.81,6448000,77.57
2001-01-16,93.75,94.00,91.81,92.75,5671900,76.69
2001-01-17,95.38,97.75,94.31,96.69,9727000,79.95
2001-01-18,104.38,110.00,103.50,108.31,25244900,89.56
2001-01-19,107.50,113.94,107.25,111.25,14762200,91.99
2001-01-22,109.50,109.94,108.19,108.56,9618500,89.77
2001-01-23,109.56,109.94,107.62,109.06,9826900,90.18
2001-01-24,109.06,111.44,108.94,110.44,6760900,91.32
2001-01-25,110.12,111.12,109.44,110.75,4982100,91.58
2001-01-26,109.62,115.25,109.19,114.19,9095200,94.42
2001-01-29,112.50,115.50,112.47,114.98,5125000,95.07
2001-01-30,115.00,116.75,113.40,116.61,8242000,96.42
2001-01-31,115.75,116.75,112.00,112.00,8314200,92.61
2001-02-01,112.40,114.34,111.20,114.05,5580800,94.31
