Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,95.56,98.00,95.50,97.00,6525000,34.14
2000-12-13,98.00,99.62,97.62,98.69,7535600,34.73
2000-12-14,98.75,99.44,97.69,99.25,7001200,34.93
2000-12-15,99.25,100.00,98.56,98.56,11591600,34.69
2000-12-18,98.56,99.19,97.31,98.56,5875200,34.69
2000-12-19,98.62,99.94,98.56,99.19,4503400,34.91
2000-12-20,99.44,101.69,99.38,100.62,9601800,35.42
2000-12-21,100.25,101.94,100.00,101.00,10899600,35.55
2000-12-22,101.44,102.00,100.62,101.50,6980400,35.72
2000-12-26,101.50,102.88,101.38,102.38,3508000,36.03
2000-12-27,101.50,104.75,101.50,103.00,5949200,36.25
2000-12-28,103.25,105.50,103.25,104.75,6642200,36.87
2000-12-29,104.81,105.94,104.50,105.06,4962200,36.98
2001-01-02,104.00,104.69,101.56,102.00,8855200,35.90
2001-01-03,103.00,103.69,97.88,98.75,11326000,34.76
2001-01-04,98.06,98.12,95.12,96.62,12941200,34.01
2001-01-05,97.44,99.88,95.75,97.88,9277200,34.45
2001-01-08,97.19,99.50,97.00,97.75,5520200,34.40
2001-01-09,98.00,99.00,97.44,98.44,6376600,34.65
2001-01-10,98.94,99.00,95.38,95.88,7524200,33.74
2001-01-11,96.00,96.44,92.19,92.44,8410400,32.53
2001-01-12,93.00,94.81,93.00,94.56,6772800,33.28
2001-01-16,94.19,94.94,93.56,94.19,6100600,33.15
2001-01-17,94.06,94.12,91.25,91.69,7827200,32.27
2001-01-18,92.62,94.94,92.56,94.00,9340000,33.08
2001-01-19,92.88,94.69,92.75,94.12,7885600,33.13
2001-01-22,95.25,95.94,93.81,94.31,7377000,33.19
2001-01-23,94.31,94.88,92.50,92.69,8487200,32.62
2001-01-24,91.69,91.75,90.38,90.56,11063000,31.87
2001-01-25,90.62,92.31,90.50,91.75,7904400,32.29
2001-01-26,92.75,93.50,91.75,91.94,6638000,32.36
2001-01-29,92.50,93.00,91.51,91.60,5201200,32.24
2001-01-30,92.00,93.00,91.51,91.60,5023400,32.24
2001-01-31,92.99,93.37,90.71,93.13,8595200,32.78
2001-02-01,93.13,94.34,93.13,93.87,6213200,33.04
2001-02-02,94.50,95.61,94.49,95.10,6524600,33.47
2001-02-05,95.35,95.75,93.71,93.93,5671400,33.06
2001-02-06,93.93,94.40,93.20,93.42,5153800,32.88
2001-02-07,94.20,95.35,93.64,94.90,5433600,33.40
2001-02-08,94.70,95.30,94.25,94.63,4703000,33.31
2001-02-09,95.60,95.99,94.95,94.98,5800400,33.43
2001-02-12,96.50,98.25,96.50,98.10,8946600,34.53
2001-02-13,97.50,97.95,96.50,96.90,8246000,34.10
2001-02-14,96.90,96.95,95.00,95.65,5760200,33.66
2001-02-15,95.45,95.70,93.65,94.20,8077200,33.27
2001-02-16,93.50,94.77,93.24,94.53,7885800,33.38
2001-02-20,94.60,96.05,94.60,96.03,5354000,33.91
2001-02-21,96.83,97.85,96.36,96.91,5606800,34.22
2001-02-22,96.92,97.64,95.10,96.52,5585800,34.08
2001-02-23,95.20,95.80,94.61,95.49,5547200,33.72
2001-02-26,95.51,95.98,94.30,95.75,5122800,33.81
2001-02-27,95.75,96.45,95.40,95.95,4426600,33.88
2001-02-28,96.15,97.92,96.10,97.33,6912800,34.37
2001-03-01,97.80,99.45,97.79,99.08,10275800,34.99
2001-03-02,99.30,99.85,97.40,99.15,6963400,35.01
2001-03-05,98.25,98.75,97.35,98.48,4280400,34.78
2001-03-06,98.25,98.25,96.45,96.80,6046000,34.18
2001-03-07,96.80,96.80,94.20,94.80,6952600,33.48
2001-03-08,94.80,98.00,94.45,97.87,7897400,34.56
2001-03-09,98.00,98.25,95.42,96.70,8291600,34.15
2001-03-12,96.70,97.00,94.55,94.95,6746200,33.53
2001-03-13,94.90,94.91,92.49,94.15,9966800,33.25
2001-03-14,93.90,94.07,92.08,93.25,6944400,32.93
2001-03-15,93.00,93.35,92.01,93.35,7471800,32.96
2001-03-16,93.00,94.10,91.50,91.99,11282600,32.48
2001-03-19,91.20,92.45,90.90,91.95,5758600,32.47
2001-03-20,91.85,92.32,90.68,90.80,6389000,32.06
2001-03-21,90.50,90.55,86.35,87.23,11865800,30.80
2001-03-22,86.10,88.00,83.68,87.80,13565000,31.00
2001-03-23,87.65,88.80,86.90,88.21,11490200,31.15
2001-03-26,87.50,87.50,85.02,85.38,17008200,30.15
2001-03-27,83.00,83.30,80.50,83.25,66045400,29.40
2001-03-28,83.50,86.34,83.50,86.28,34455000,30.47
2001-03-29,86.28,88.60,86.10,88.38,19979200,31.21
2001-03-30,89.00,89.23,87.22,87.47,15620600,30.89
2001-04-02,87.50,87.60,86.01,87.32,11472600,30.84
2001-04-03,86.70,87.70,85.80,86.11,11116400,30.41
2001-04-04,86.12,87.48,85.19,86.91,12378800,30.69
2001-04-05,86.91,89.00,86.09,88.88,13455200,31.39
2001-04-06,88.70,91.50,88.51,90.39,14415200,31.92
2001-04-09,90.85,91.24,90.18,91.24,10147000,32.22
2001-04-10,92.40,92.50,90.90,92.03,16289800,32.50
2001-04-11,91.51,92.06,90.31,90.84,15299000,32.08
2001-04-12,90.15,91.40,90.13,90.95,10868200,32.12
2001-04-16,91.50,92.90,91.01,92.60,6262600,32.70
2001-04-17,92.85,94.65,92.82,94.45,10087600,33.35
2001-04-18,94.45,94.45,91.68,93.95,12834000,33.18
2001-04-19,93.26,93.27,91.72,92.85,7371600,32.79
2001-04-20,91.92,92.70,90.91,92.11,8518200,32.53
2001-04-23,92.35,93.10,90.87,91.90,6461200,32.45
2001-04-24,92.50,92.89,92.05,92.51,7869400,32.67
2001-04-25,92.52,94.18,92.50,94.00,6494000,33.19
2001-04-26,93.75,95.70,92.58,95.55,10850000,33.74
2001-04-27,95.55,95.70,94.40,95.38,8747000,33.68
2001-04-30,95.90,96.70,95.80,96.48,8663000,34.07
2001-05-01,96.60,97.59,96.25,96.80,9147400,34.18
2001-05-02,96.80,98.00,95.82,97.50,10672800,34.43
2001-05-03,97.72,97.72,96.06,96.76,6363200,34.17
2001-05-04,96.77,97.86,96.60,97.76,5647600,34.52
2001-05-07,98.20,98.40,97.36,98.10,6251200,34.64
2001-05-08,98.10,98.10,97.00,97.95,5246800,34.59
2001-05-09,97.95,98.37,97.00,98.25,9088600,34.70
2001-05-10,98.25,98.48,97.10,97.24,12467800,34.34
2001-05-11,97.52,97.82,96.98,97.26,7120800,34.35
2001-05-14,97.45,97.99,97.38,97.79,4081200,34.53
2001-05-15,97.79,97.95,96.36,97.08,9033600,34.28
2001-05-16,97.50,100.12,96.90,99.77,11319000,35.23
2001-05-17,99.60,101.19,98.90,100.68,9944800,35.55
2001-05-18,102.00,102.00,99.45,101.00,11779600,35.79
2001-05-21,100.50,100.95,99.33,100.63,8086400,35.66
2001-05-22,100.64,100.64,98.75,99.00,6592600,35.09
2001-05-23,99.55,99.75,97.40,97.73,10226200,34.64
2001-05-24,98.40,98.40,96.79,97.45,10597200,34.54
2001-05-25,97.65,97.74,96.95,97.25,4388800,34.47
2001-05-29,97.25,98.10,97.00,97.44,8487400,34.53
2001-05-30,97.85,98.10,96.50,97.10,9714400,34.41
2001-05-31,97.90,97.91,96.40,96.95,8384000,34.36
2001-06-01,96.96,98.19,96.60,98.00,7994600,34.73
2001-06-04,98.00,100.59,97.90,100.14,9182400,35.49
2001-06-05,100.48,102.47,100.48,102.19,10625200,36.22
2001-06-06,102.19,103.50,101.85,103.10,10585400,36.54
2001-06-07,103.10,103.45,102.65,103.06,9031200,36.52
2001-06-08,102.75,102.99,101.05,102.01,5463800,36.15
