Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,42.50,43.69,41.94,43.00,7843400,28.10
2000-12-13,43.94,44.69,43.62,44.50,10288900,29.08
2000-12-14,42.31,43.94,41.38,42.88,16122600,28.02
2000-12-15,42.00,43.94,41.88,43.94,11412000,28.72
2000-12-18,44.00,45.38,43.81,45.38,13271000,29.66
2000-12-19,44.75,45.94,43.94,44.81,13078000,29.29
2000-12-20,44.81,44.81,43.25,43.50,6853300,28.43
2000-12-21,43.44,45.75,43.44,45.19,8796400,29.53
2000-12-22,45.44,46.38,45.00,45.62,7098600,29.82
2000-12-26,45.62,46.25,45.19,45.75,4832200,29.90
2000-12-27,45.06,46.50,44.81,46.38,7452200,30.31
2000-12-28,46.19,47.44,45.94,46.94,6397400,30.68
2000-12-29,46.94,47.56,44.31,45.44,9657000,29.70
2001-01-02,44.62,44.81,43.31,44.00,7803200,28.76
2001-01-03,43.44,50.88,43.19,50.62,21303200,33.33
2001-01-04,51.50,54.00,50.81,52.00,26409800,34.24
2001-01-05,50.75,51.50,48.31,48.94,16215700,32.22
2001-01-08,49.00,50.12,48.31,49.25,9938300,32.43
2001-01-09,49.88,50.00,47.88,48.69,7285100,32.05
2001-01-10,49.50,51.69,48.94,50.94,10857000,33.54
2001-01-11,51.12,54.25,51.12,54.12,16077700,35.63
2001-01-12,54.00,54.06,52.38,53.31,8946800,35.10
2001-01-16,53.50,54.69,52.50,53.19,10508500,35.02
2001-01-17,52.94,54.06,52.12,53.00,10317300,34.89
2001-01-18,51.50,51.88,50.56,51.44,13565600,33.87
2001-01-19,50.75,51.69,49.81,50.56,10789100,33.29
2001-01-22,50.56,52.19,50.06,50.88,10581500,33.50
2001-01-23,50.12,52.06,50.12,51.69,8794600,34.03
2001-01-24,52.69,53.50,52.25,53.25,9316500,35.06
2001-01-25,53.00,53.88,51.75,53.06,8347100,34.94
2001-01-26,53.44,54.50,52.75,54.19,7967800,35.68
2001-01-29,54.19,56.00,54.18,55.12,9494400,36.29
2001-01-30,55.10,56.18,54.63,55.98,9452800,36.86
2001-01-31,56.49,57.33,54.50,54.99,13130800,36.20
2001-02-01,54.99,55.85,53.51,55.85,9174100,36.77
2001-02-02,55.00,55.33,54.29,54.64,7075200,35.97
2001-02-05,54.51,54.95,53.70,54.60,5273700,35.95
2001-02-06,54.01,54.46,52.00,52.28,7560200,34.42
2001-02-07,52.35,53.50,51.88,52.33,7988800,34.45
2001-02-08,52.33,53.05,51.53,51.68,5730800,34.03
2001-02-09,51.69,52.60,51.05,51.95,5490500,34.20
2001-02-12,52.47,53.10,51.68,52.55,5246300,34.60
2001-02-13,52.54,53.70,51.10,51.14,7334700,33.67
2001-02-14,51.75,51.88,50.90,51.19,6835100,33.70
2001-02-15,51.38,52.75,50.90,51.11,7408400,33.65
2001-02-16,50.40,52.00,50.25,51.99,7364800,34.23
2001-02-20,51.99,52.60,49.63,49.95,9073500,32.89
2001-02-21,48.95,50.10,47.01,47.35,9835100,31.17
2001-02-22,47.75,48.30,45.39,48.30,12409800,31.80
2001-02-23,47.05,48.25,46.20,47.05,9708100,30.98
2001-02-26,48.00,49.30,46.81,48.55,8783500,31.96
2001-02-27,48.95,49.78,46.85,47.60,11744300,31.34
2001-02-28,47.89,48.00,45.30,46.66,10510600,30.72
2001-03-01,45.60,46.25,44.78,46.11,10551800,30.36
2001-03-02,45.60,47.60,45.19,45.80,7559700,30.15
2001-03-05,45.90,46.95,45.30,46.76,5988200,30.79
2001-03-06,48.25,48.95,47.50,47.96,6844500,31.58
2001-03-07,48.40,50.45,48.02,50.25,7296600,33.08
2001-03-08,50.25,51.19,49.80,50.24,7064400,33.08
2001-03-09,49.60,49.80,47.80,48.95,6377600,32.23
2001-03-12,47.50,47.85,45.49,45.49,8549500,29.95
2001-03-13,46.75,47.80,45.60,47.40,7065900,31.21
2001-03-14,45.00,45.97,43.39,43.75,16205000,28.80
2001-03-15,44.90,45.95,44.75,45.26,8561300,29.80
2001-03-16,45.26,45.90,44.12,44.58,10739300,29.35
2001-03-19,44.40,45.40,42.65,45.15,9742500,29.73
2001-03-20,45.46,45.46,42.50,42.59,10213200,28.04
