Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,92.00,93.94,91.12,92.31,2400200,57.16
2000-12-13,92.38,93.31,90.62,91.00,3001000,56.35
2000-12-14,89.56,91.38,89.56,89.75,1928600,55.57
2000-12-15,87.81,89.94,87.81,89.25,4781700,55.26
2000-12-18,88.75,89.50,87.31,88.50,1941600,54.80
2000-12-19,88.38,90.44,88.25,89.00,2234500,55.11
2000-12-20,88.94,91.50,88.19,90.94,2701500,56.31
2000-12-21,90.19,92.00,89.69,90.75,2600700,56.19
2000-12-22,90.69,90.69,86.50,87.69,3041700,54.29
2000-12-26,87.44,91.44,87.44,89.94,1579700,55.69
2000-12-27,89.50,92.19,88.94,89.12,1769300,55.19
2000-12-28,90.25,92.50,89.62,91.62,1332700,56.73
2000-12-29,92.62,94.00,91.69,93.06,1992900,57.62
2001-01-02,93.00,95.00,90.50,91.50,4073500,56.66
2001-01-03,90.44,91.00,85.38,86.31,6617800,53.44
2001-01-04,84.06,84.81,79.31,81.12,12352700,50.23
2001-01-05,81.00,82.38,79.56,80.69,5873900,49.96
2001-01-08,81.00,81.88,79.50,80.75,3408300,50.00
2001-01-09,81.44,84.75,81.00,84.50,4146600,52.32
2001-01-10,84.50,85.25,82.38,83.38,3208100,51.62
2001-01-11,83.94,83.94,81.44,81.62,3134600,50.54
2001-01-12,81.88,83.19,80.00,80.00,3464100,49.53
2001-01-16,80.12,84.38,79.25,83.25,2910900,51.55
2001-01-17,82.50,82.75,81.00,81.56,2578100,50.50
2001-01-18,82.62,83.62,81.62,81.75,2934700,50.62
2001-01-19,81.75,82.62,80.44,80.75,3170600,50.00
2001-01-22,81.38,82.44,80.88,81.75,2305400,50.62
2001-01-23,81.81,83.50,80.69,83.12,2380600,51.47
2001-01-24,82.12,83.31,81.38,82.75,1752800,51.24
2001-01-25,81.00,83.81,80.69,83.06,3537600,51.43
2001-01-26,83.94,84.44,82.25,82.50,2890900,51.08
2001-01-29,82.50,83.70,81.00,81.10,3284700,50.22
2001-01-30,80.32,81.49,79.02,79.81,3200400,49.42
2001-01-31,79.83,79.83,78.01,78.80,5361700,48.79
2001-02-01,78.80,80.83,78.80,80.15,3037300,49.63
2001-02-02,81.20,82.14,81.01,81.90,2955800,50.71
2001-02-05,82.48,83.70,79.75,79.90,4123600,49.47
2001-02-06,77.00,78.79,77.00,77.50,8141300,47.99
2001-02-07,77.50,79.41,77.06,78.95,5436800,48.88
2001-02-08,80.00,81.50,79.55,80.99,2905400,50.15
