Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,31.20,32.20,30.38,30.50,1295900,21.78
2000-12-13,31.25,31.90,30.06,30.20,1439300,21.56
2000-12-14,30.20,31.50,30.07,30.79,1377500,21.98
2000-12-15,30.60,31.35,30.26,31.24,1919700,22.31
2000-12-18,31.25,32.55,31.25,32.03,877400,22.87
2000-12-19,31.78,32.51,30.50,31.36,1139000,22.39
2000-12-20,31.40,32.30,31.21,31.95,861100,22.81
2000-12-21,31.95,32.40,31.81,32.10,1048900,22.92
2000-12-22,32.60,33.10,32.00,32.50,1067800,23.21
2000-12-26,32.15,32.95,32.15,32.92,419700,23.51
2000-12-27,31.75,33.40,31.75,33.26,1302500,23.75
2000-12-28,33.00,34.40,33.00,34.25,1258300,24.46
2000-12-29,34.40,35.20,33.86,33.95,1787700,24.24
2001-01-02,33.95,34.75,33.71,34.10,1625000,24.35
2001-01-03,33.50,34.50,33.15,33.65,2071200,24.03
2001-01-04,33.40,33.80,32.50,33.40,2207400,23.85
2001-01-05,33.00,33.12,32.40,32.85,669000,23.46
2001-01-08,32.60,33.65,32.40,32.91,729700,23.50
2001-01-09,32.25,34.50,32.25,34.24,1046700,24.45
2001-01-10,33.60,34.19,33.00,33.77,1042000,24.11
2001-01-11,33.25,34.25,33.00,33.59,1361500,23.98
2001-01-12,33.84,34.00,32.51,33.55,1153200,23.96
2001-01-16,33.55,33.90,32.52,33.40,858300,23.85
2001-01-17,32.90,34.00,32.00,32.02,909200,22.86
2001-01-18,32.50,32.80,31.62,31.95,1684200,22.81
2001-01-19,31.00,31.95,31.00,31.73,1513900,22.66
2001-01-22,31.60,33.35,31.10,33.26,1009600,23.75
2001-01-23,32.75,33.37,32.70,33.00,764700,23.56
2001-01-24,32.75,33.00,31.20,32.00,1392000,22.85
2001-01-25,33.50,35.00,33.05,34.51,4272100,24.64
2001-01-26,34.95,35.25,34.10,34.88,4126500,24.91
2001-01-29,34.60,35.13,34.25,35.05,1589700,25.03
2001-01-30,34.85,34.95,34.30,34.74,1254900,24.81
2001-01-31,34.95,34.95,34.55,34.68,1515500,24.76
2001-02-01,34.68,36.50,34.59,36.21,2446500,25.85
2001-02-02,36.25,37.50,36.00,36.40,2566800,25.99
2001-02-05,35.65,36.90,35.40,36.30,2046900,25.92
2001-02-06,36.31,36.44,35.90,35.94,1055600,25.66
2001-02-07,36.15,36.55,35.11,36.13,1871500,25.80
2001-02-08,35.80,36.84,35.78,36.63,1301100,26.15
2001-02-09,36.95,37.09,35.75,36.13,948300,25.80
2001-02-12,36.30,36.55,34.74,34.90,2067000,24.92
2001-02-13,34.90,37.00,34.50,36.91,1776600,26.35
2001-02-14,36.85,37.65,35.50,35.82,2160100,25.58
2001-02-15,35.39,36.59,35.10,35.69,1795300,25.48
2001-02-16,35.69,37.20,35.11,36.25,4712800,25.88
2001-02-20,36.94,37.85,36.20,37.48,1796600,26.76
2001-02-21,37.65,38.25,36.65,36.85,1928000,26.31
2001-02-22,37.10,38.20,37.10,37.75,2036600,26.95
2001-02-23,37.00,37.56,36.30,36.95,1547800,26.38
2001-02-26,36.90,38.01,36.60,37.98,1776400,27.12
2001-02-27,37.65,38.00,37.42,38.00,2501900,27.13
2001-02-28,37.95,38.15,36.90,37.46,1790100,26.75
2001-03-01,37.10,37.25,35.70,36.73,1868900,26.30
2001-03-02,36.35,38.30,36.23,38.30,1910800,27.43
2001-03-05,37.90,38.64,37.71,38.44,1879900,27.53
2001-03-06,39.00,39.00,36.90,37.38,1742000,26.77
2001-03-07,37.75,39.25,37.47,39.05,3779400,27.96
2001-03-08,38.95,39.50,38.15,38.60,2303000,27.64
2001-03-09,38.70,38.90,38.01,38.56,1443400,27.61
2001-03-12,38.31,39.41,38.10,38.99,2569100,27.92
