Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,41.81,43.25,41.25,42.56,11352400,9.17
2000-12-13,42.88,43.25,42.06,42.25,7883600,9.10
2000-12-14,42.25,42.56,41.38,41.88,8133200,9.02
2000-12-15,41.00,41.75,40.12,41.06,9377600,8.84
2000-12-18,42.50,42.50,41.81,42.44,7470000,9.14
2000-12-19,41.62,43.06,41.06,41.06,9176400,8.84
2000-12-20,40.25,41.25,39.81,40.25,10445200,8.67
2000-12-21,40.12,42.38,40.00,41.81,10028800,9.00
2000-12-22,41.94,42.75,40.94,41.50,7869600,8.94
2000-12-26,41.50,41.56,40.00,40.81,5842800,8.79
2000-12-27,40.81,42.19,40.31,42.00,8888000,9.04
2000-12-28,42.00,43.00,41.56,42.69,6379200,9.19
2000-12-29,43.06,45.81,42.56,44.50,9348800,9.58
2001-01-02,45.12,45.38,44.50,44.75,5743200,9.64
2001-01-03,44.62,53.00,44.62,53.00,19596000,11.41
2001-01-04,51.62,55.50,51.12,53.62,30658800,11.55
2001-01-05,53.06,53.12,50.94,51.81,11739200,11.16
2001-01-08,51.81,51.81,48.38,49.38,11604400,10.63
2001-01-09,49.31,49.88,47.50,48.50,8467600,10.44
2001-01-10,47.12,50.50,47.12,50.38,10192800,10.85
2001-01-11,50.25,51.06,49.19,49.94,9900400,10.75
2001-01-12,49.94,50.56,49.75,50.38,6054800,10.85
2001-01-16,49.25,49.75,48.06,49.50,11900400,10.66
2001-01-17,49.44,49.44,48.06,48.12,7836400,10.37
2001-01-18,48.06,48.06,46.06,46.12,13853200,9.94
2001-01-19,46.00,46.00,43.75,44.38,17919200,9.56
2001-01-22,45.62,47.06,45.25,45.94,11980400,9.90
2001-01-23,46.38,47.88,45.75,47.88,6577600,10.32
2001-01-24,48.00,48.00,46.69,47.31,6853600,10.20
2001-01-25,47.50,49.44,46.62,48.44,6620800,10.44
2001-01-26,49.31,49.31,47.88,48.81,7066800,10.52
2001-01-29,49.29,50.05,49.18,49.80,4626000,10.73
2001-01-30,50.50,50.95,49.27,50.78,9050800,10.94
2001-01-31,51.45,54.02,51.36,53.45,18794800,11.52
2001-02-01,53.45,54.98,52.05,54.50,16895600,11.74
2001-02-02,54.60,54.84,53.70,53.84,15373200,11.60
2001-02-05,53.65,53.66,52.50,53.10,14122000,11.44
2001-02-06,53.10,53.64,52.25,52.28,11584400,11.27
2001-02-07,52.03,52.75,51.80,52.19,9973600,11.25
2001-02-08,52.30,52.35,49.57,50.00,11544000,10.77
2001-02-09,52.25,54.60,52.25,53.51,22994000,11.53
2001-02-12,52.50,54.05,52.26,54.00,21378400,11.64
2001-02-13,54.00,56.50,53.09,56.25,24401200,12.12
2001-02-14,56.25,58.00,56.08,56.41,22645200,12.16
2001-02-15,57.60,57.99,56.13,56.89,18168000,12.26
2001-02-16,56.50,57.08,55.40,56.50,21668000,12.18
2001-02-20,56.75,59.42,56.70,58.30,18081200,12.56
2001-02-21,57.60,57.93,54.26,54.31,14834800,11.70
