Date,Open,High,Low,Close,Volume,Adj Close
2006-05-25,40.30,46.05,40.20,46.00,395343000,4.47
2006-05-26,46.30,46.74,44.11,44.93,103044000,4.37
2006-05-30,44.97,44.98,42.85,44.00,49898000,4.28
2006-05-31,44.35,45.36,44.35,44.94,30002000,4.37
2006-06-01,44.93,48.10,44.90,47.51,62344000,4.62
2006-06-02,48.50,48.70,46.79,46.99,37253000,4.57
2006-06-05,47.05,49.25,47.00,49.15,37188000,4.78
2006-06-06,49.98,50.63,47.80,48.30,49045000,4.69
2006-06-07,48.33,48.40,46.75,47.60,25013000,4.63
2006-06-08,47.60,47.72,45.50,47.72,34439000,4.64
2006-06-09,48.80,48.80,47.68,47.78,13372000,4.64
2006-06-12,48.00,48.25,46.30,46.95,14546000,4.56
2006-06-13,46.20,47.35,45.30,45.50,16716000,4.42
2006-06-14,44.90,45.45,44.44,45.12,15971000,4.39
2006-06-15,45.40,46.12,45.13,45.95,16500000,4.47
2006-06-16,45.50,46.00,45.00,45.02,12280000,4.38
2006-06-19,45.45,45.45,44.10,44.34,11509000,4.31
2006-06-20,44.74,45.00,43.47,44.02,23792000,4.28
2006-06-21,44.02,45.88,44.00,45.30,18063000,4.40
2006-06-22,46.40,46.95,45.88,46.60,13038000,4.53
2006-06-23,46.99,47.93,46.87,46.95,11612000,4.56
2006-06-26,46.95,47.50,46.43,47.50,8565000,4.62
2006-06-27,47.50,48.03,47.25,47.31,9826000,4.60
2006-06-28,46.85,47.40,46.50,46.96,8756000,4.56
2006-06-29,46.95,48.09,46.95,48.00,14470000,4.67
2006-06-30,47.65,48.00,46.60,48.00,25964000,4.67
2006-07-03,47.90,48.00,46.81,47.30,7029000,4.60
2006-07-05,47.40,47.84,46.71,47.60,13266000,4.63
2006-07-06,47.25,47.35,46.79,46.80,8097000,4.55
2006-07-07,46.75,46.85,45.75,46.12,8380000,4.48
2006-07-10,46.20,46.57,46.12,46.49,4978000,4.52
