Date,Open,High,Low,Close,Volume,Adj Close
2001-06-13,31.50,32.00,31.09,31.25,69567200,14.41
2001-06-14,31.00,31.00,29.50,30.15,31979800,13.90
2001-06-15,30.00,30.75,29.95,30.60,14369300,14.11
2001-06-18,30.06,30.60,30.06,30.32,4019800,13.98
2001-06-19,30.60,30.71,30.21,30.40,5690300,14.02
2001-06-20,30.40,30.59,30.18,30.30,3791600,13.97
2001-06-21,30.35,30.35,30.00,30.00,6027200,13.83
2001-06-22,30.00,30.02,29.76,30.00,4847700,13.83
2001-06-25,30.00,30.15,29.85,30.15,2420300,13.90
2001-06-26,30.00,30.08,29.81,30.04,3333300,13.85
2001-06-27,29.95,30.00,29.81,29.94,3182300,13.81
2001-06-28,29.98,30.44,29.97,30.41,2778100,14.02
2001-06-29,30.50,31.00,30.33,31.00,5777800,14.30
2001-07-02,30.70,30.70,30.42,30.47,3167600,14.05
2001-07-03,30.46,30.64,30.42,30.56,608700,14.09
2001-07-05,30.75,31.03,30.63,30.93,2085500,14.26
2001-07-06,30.98,30.98,30.50,30.65,945300,14.13
2001-07-09,30.60,30.74,30.25,30.38,2295300,14.01
2001-07-10,30.45,30.85,30.28,30.35,3301300,14.00
2001-07-11,30.36,30.36,30.00,30.30,2023000,13.97
2001-07-12,30.65,30.90,30.20,30.90,1912500,14.25
2001-07-13,30.90,30.98,30.46,30.73,995400,14.17
2001-07-16,30.73,31.01,30.65,30.71,1198100,14.16
2001-07-17,30.89,31.45,30.85,31.45,3792700,14.50
2001-07-18,31.45,31.50,30.80,31.49,5645100,14.52
2001-07-19,31.74,31.74,30.19,31.32,3326000,14.44
2001-07-20,31.25,31.34,31.01,31.20,1390900,14.39
2001-07-23,31.10,31.19,30.92,31.00,1756000,14.30
2001-07-24,31.18,31.19,30.90,31.07,1146500,14.33
2001-07-25,31.00,31.00,30.51,30.70,860600,14.16
2001-07-26,30.95,31.19,30.62,31.12,1901900,14.35
2001-07-27,31.20,31.20,30.81,30.91,1541800,14.25
2001-07-30,31.09,31.10,30.50,30.60,1233900,14.11
2001-07-31,30.50,31.16,30.50,30.95,2020200,14.27
2001-08-01,30.90,31.01,30.58,30.78,2302200,14.19
2001-08-02,30.70,31.17,30.65,30.95,2700000,14.27
2001-08-03,30.86,30.98,30.50,30.70,456800,14.16
2001-08-06,30.71,30.84,30.25,30.35,847600,14.00
2001-08-07,30.45,30.54,30.28,30.50,991400,14.07
2001-08-08,30.70,30.70,30.00,30.01,1517200,13.84
2001-08-09,30.05,30.37,30.00,30.37,752900,14.01
2001-08-10,30.25,31.12,30.15,30.80,1119700,14.20
2001-08-13,30.96,31.19,30.92,31.10,1749200,14.34
2001-08-14,31.20,31.25,31.00,31.10,1365300,14.34
2001-08-15,31.10,31.20,30.97,30.98,2106500,14.29
2001-08-16,30.98,31.27,30.95,31.15,1351200,14.37
2001-08-17,31.15,31.35,30.91,31.35,1164200,14.46
2001-08-20,31.39,31.76,31.27,31.72,2020900,14.63
2001-08-21,31.95,32.10,31.75,32.08,2699600,14.79
2001-08-22,32.80,33.01,32.42,32.90,3184700,15.17
2001-08-23,32.89,32.94,32.57,32.89,2358900,15.17
2001-08-24,32.89,32.89,32.35,32.35,1173700,14.92
2001-08-27,32.00,32.47,32.00,32.30,866500,14.90
2001-08-28,32.50,32.58,31.75,31.90,965300,14.71
2001-08-29,31.90,32.29,31.58,32.29,1504200,14.89
2001-08-30,32.09,32.65,32.05,32.65,1569700,15.06
2001-08-31,32.65,32.98,32.19,32.25,1536500,14.87
2001-09-04,32.70,33.29,32.20,33.05,1841800,15.24
2001-09-05,33.00,33.35,32.87,33.35,1770400,15.38
2001-09-06,33.40,34.80,33.35,34.00,3816000,15.68
2001-09-07,33.50,34.20,33.44,34.00,2900700,15.68
2001-09-10,33.75,33.88,33.29,33.75,1463500,15.56
2001-09-17,33.15,34.27,32.77,32.90,3904000,15.17
2001-09-18,32.95,33.38,32.90,32.90,4516300,15.17
2001-09-19,32.95,33.05,31.93,32.40,3134900,14.94
2001-09-20,32.20,32.69,32.00,32.53,1987000,15.00
2001-09-21,31.50,32.00,31.00,32.00,2464200,14.76
2001-09-24,32.28,33.50,32.28,33.50,3665200,15.45
2001-09-25,33.50,33.50,32.69,33.30,2239500,15.36
2001-09-26,33.40,33.42,32.96,33.30,1247200,15.36
2001-09-27,33.25,33.60,33.25,33.51,1626200,15.45
2001-09-28,33.75,34.81,33.70,34.37,3542000,15.85
2001-10-01,34.60,34.62,33.72,33.92,1087400,15.64
2001-10-02,33.92,34.23,33.75,34.15,1101700,15.75
2001-10-03,34.20,34.93,34.15,34.70,1332200,16.00
2001-10-04,34.00,34.32,33.82,34.00,1311100,15.68
2001-10-05,33.85,33.90,33.50,33.73,915800,15.56
2001-10-08,33.73,34.00,33.50,33.90,625700,15.63
2001-10-09,33.70,34.00,33.60,33.95,2067500,15.66
2001-10-10,33.90,34.05,33.82,33.97,1416600,15.67
2001-10-11,33.97,33.99,32.40,33.00,3550200,15.22
2001-10-12,33.05,33.40,32.84,33.40,2580000,15.40
2001-10-15,33.15,33.77,33.13,33.35,1082200,15.38
2001-10-16,33.40,33.62,32.59,33.60,2040800,15.50
2001-10-17,34.00,34.06,33.45,34.00,1842900,15.68
2001-10-18,34.10,34.46,33.95,34.01,1197800,15.68
2001-10-19,34.00,34.70,33.96,34.52,1249500,15.92
2001-10-22,34.60,35.28,34.56,35.26,1885500,16.26
2001-10-23,35.30,35.57,35.26,35.39,1734000,16.32
2001-10-24,35.00,35.11,34.92,35.10,1493000,16.19
2001-10-25,34.75,35.00,34.61,34.90,1299300,16.09
2001-10-26,34.91,35.01,34.15,34.30,1698900,15.82
2001-10-29,34.35,34.39,33.53,33.53,1059300,15.46
2001-10-30,33.45,33.91,33.40,33.70,1203400,15.54
2001-10-31,33.85,34.19,33.63,33.75,1828000,15.56
2001-11-01,33.65,33.81,33.30,33.75,1166700,15.56
2001-11-02,33.85,34.86,33.55,34.50,1853900,15.91
2001-11-05,34.30,34.62,34.01,34.20,1252400,15.77
2001-11-06,34.10,34.68,34.08,34.68,735300,15.99
2001-11-07,34.48,35.00,34.30,34.35,874100,15.84
2001-11-08,34.55,35.10,34.37,35.03,1291800,16.15
2001-11-09,34.55,34.68,34.42,34.46,773700,15.89
2001-11-12,34.48,34.70,34.30,34.42,772000,15.87
2001-11-13,34.40,34.49,33.81,33.90,1366300,15.63
2001-11-14,33.80,34.21,33.57,33.95,1256800,15.66
2001-11-15,33.95,34.09,33.54,34.05,1264500,15.70
2001-11-16,34.10,34.15,33.75,34.00,720100,15.68
2001-11-19,34.25,34.25,33.30,33.30,1242200,15.36
2001-11-20,33.10,33.40,32.78,33.28,1880900,15.35
2001-11-21,33.25,34.04,33.21,33.90,1162200,15.63
2001-11-23,34.00,34.00,33.57,33.71,327500,15.55
2001-11-26,33.52,33.68,33.09,33.25,1736400,15.33
2001-11-27,33.00,33.10,32.68,32.86,2785400,15.15
2001-11-28,33.00,33.28,32.84,32.95,1108400,15.20
2001-11-29,33.09,33.97,32.90,33.81,1991600,15.59
2001-11-30,33.35,33.90,32.95,33.12,1680600,15.27
2001-12-03,33.15,33.68,33.06,33.60,1377700,15.50
2001-12-04,33.00,33.17,32.66,32.98,1633600,15.21
2001-12-05,33.24,33.24,32.75,33.00,1927500,15.22
2001-12-06,32.85,32.86,32.13,32.30,2151800,14.90
2001-12-07,32.30,32.30,31.50,32.00,2476900,14.76
2001-12-10,31.90,32.44,31.88,32.00,1507900,14.76
2001-12-11,32.10,32.35,31.82,32.22,1680900,14.86
2001-12-12,32.00,32.49,31.96,32.32,1652600,14.90
2001-12-13,32.50,32.95,32.31,32.50,1668800,14.99
2001-12-14,32.55,32.95,32.55,32.80,1317400,15.13
2001-12-17,32.70,33.29,32.70,33.28,1155600,15.35
2001-12-18,33.25,33.85,33.25,33.80,2071600,15.59
2001-12-19,33.75,34.05,33.51,33.98,1987200,15.67
2001-12-20,33.70,34.05,33.60,34.05,1366300,15.76
2001-12-21,33.75,34.98,33.69,34.98,2485800,16.19
2001-12-24,34.50,34.68,34.45,34.68,574000,16.05
2001-12-26,34.68,34.68,34.05,34.05,1066900,15.76
2001-12-27,34.07,34.08,33.65,33.66,1075100,15.58
2001-12-28,33.50,33.97,33.50,33.80,898100,15.65
2001-12-31,33.90,34.48,33.70,34.03,781300,15.75
2002-01-02,34.23,34.81,33.59,34.75,1637500,16.09
2002-01-03,34.95,34.95,33.80,34.08,961100,15.78
2002-01-04,33.75,33.80,32.50,33.01,2938400,15.28
2002-01-07,32.50,33.56,32.50,33.15,1192800,15.35
2002-01-08,33.50,33.59,33.30,33.49,785500,15.50
2002-01-09,33.80,34.00,33.43,33.60,1068000,15.55
2002-01-10,33.70,33.74,33.40,33.70,903900,15.60
2002-01-11,33.69,34.15,33.36,33.94,1788200,15.71
2002-01-14,33.70,34.28,33.60,33.99,2333700,15.74
2002-01-15,33.90,34.38,33.90,34.32,1149600,15.89
2002-01-16,33.96,34.33,33.95,34.21,762800,15.84
2002-01-17,34.21,34.75,34.01,34.60,1169300,16.02
2002-01-18,34.65,35.02,34.52,34.59,1745300,16.01
2002-01-22,34.84,34.84,34.35,34.65,996400,16.04
2002-01-23,34.64,34.84,34.29,34.40,1136800,15.93
2002-01-24,34.40,34.60,33.70,33.72,1714100,15.61
2002-01-25,33.98,34.00,33.55,34.00,1577200,15.74
2002-01-28,33.60,33.90,33.57,33.72,1007900,15.61
2002-01-29,33.97,34.04,33.51,34.04,886000,15.76
2002-01-30,35.50,36.37,35.18,35.50,6139100,16.43
2002-01-31,35.90,37.10,35.89,37.06,3459700,17.16
2002-02-01,37.00,37.70,36.85,36.85,1959600,17.06
2002-02-04,36.85,38.00,36.80,37.50,2120600,17.36
2002-02-05,37.20,37.50,36.81,37.10,1636900,17.17
2002-02-06,37.10,37.32,36.48,37.32,1655800,17.28
2002-02-07,37.50,37.62,37.08,37.25,1898500,17.24
2002-02-08,37.24,37.42,37.13,37.23,1924200,17.24
2002-02-11,36.98,37.15,36.70,36.70,1001400,16.99
2002-02-12,36.95,37.54,36.90,37.50,2274900,17.36
2002-02-13,37.55,37.95,37.55,37.76,1167800,17.48
2002-02-14,38.00,38.00,37.56,37.80,1159100,17.50
2002-02-15,37.98,38.25,37.65,38.15,1180800,17.66
2002-02-19,37.85,38.75,37.82,38.36,1759300,17.76
2002-02-20,38.60,38.60,37.86,38.00,1487000,17.59
2002-02-21,37.99,38.32,37.54,38.09,2215400,17.63
2002-02-22,38.19,38.84,38.06,38.55,1148600,17.85
2002-02-25,38.60,39.60,38.59,39.28,2206400,18.18
2002-02-26,39.29,39.31,38.75,39.12,1752900,18.11
2002-02-27,39.22,39.22,38.73,38.82,1322000,17.97
2002-02-28,38.95,39.20,38.92,39.10,968600,18.10
2002-03-01,39.23,39.23,38.80,38.98,911700,18.05
2002-03-04,38.90,39.01,36.35,36.45,3602500,16.87
2002-03-05,36.90,37.60,36.00,37.56,4477300,17.39
2002-03-06,37.56,37.85,37.40,37.85,1407000,17.52
2002-03-07,37.88,38.03,37.35,38.02,1548000,17.60
2002-03-08,38.05,38.20,37.58,38.01,1293800,17.60
2002-03-11,37.81,37.85,37.36,37.51,1603900,17.36
