Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,54.06,54.31,53.44,53.94,2877800,44.27
2000-12-13,54.50,57.00,54.50,56.00,3946000,45.96
2000-12-14,56.06,59.00,55.38,58.50,4401200,48.01
2000-12-15,58.00,59.44,56.19,56.44,6713700,46.32
2000-12-18,56.75,56.81,55.31,55.62,3504700,45.65
2000-12-19,55.56,55.69,54.00,55.25,3539800,45.35
2000-12-20,54.00,54.88,53.62,54.00,3881200,44.32
2000-12-21,54.00,55.50,54.00,55.38,2758300,45.45
2000-12-22,56.12,58.75,55.75,58.12,3649000,47.71
2000-12-26,58.25,59.38,58.06,59.00,1521200,48.42
2000-12-27,59.25,61.75,59.12,61.00,4152900,50.07
2000-12-28,61.38,62.00,60.75,61.00,4421700,50.07
2000-12-29,61.00,61.62,60.25,60.38,2578300,49.55
2001-01-02,60.25,60.81,59.50,59.50,3569600,48.83
2001-01-03,59.44,60.38,58.25,58.88,4704100,48.36
2001-01-04,58.50,58.50,53.94,54.75,8124400,44.97
2001-01-05,54.81,54.81,51.94,53.69,7025600,44.10
2001-01-08,53.12,54.44,52.94,53.38,3917700,43.84
2001-01-09,53.38,54.38,53.00,53.50,3930800,43.95
2001-01-10,53.50,53.56,52.00,52.62,3802700,43.23
2001-01-11,53.50,54.00,52.62,52.88,3209700,43.43
2001-01-12,53.50,54.94,53.00,54.81,4321100,45.03
2001-01-16,54.81,55.25,53.88,55.19,3387100,45.33
2001-01-17,55.25,55.69,53.94,54.00,10107100,44.36
2001-01-18,54.00,54.94,53.00,54.62,5616100,44.87
2001-01-19,54.75,55.19,54.62,54.88,3005600,45.08
2001-01-22,55.00,55.88,54.81,55.69,3186300,45.74
2001-01-23,55.75,56.88,54.69,55.06,4186700,45.23
2001-01-24,55.12,55.19,52.88,53.62,4898600,44.05
2001-01-25,53.62,54.75,53.38,54.62,3660300,44.87
2001-01-26,54.62,55.38,54.31,54.94,2764900,45.13
2001-01-29,55.25,55.72,54.50,54.60,2211700,44.85
2001-01-30,54.85,55.44,53.87,54.55,1933900,44.81
2001-01-31,54.55,54.55,53.01,54.00,3011100,44.36
2001-02-01,53.90,54.14,52.85,54.09,3639100,44.43
2001-02-02,54.15,54.70,53.41,53.59,2621400,44.02
2001-02-05,53.59,53.75,52.70,53.11,2865300,43.63
2001-02-06,53.00,53.00,51.88,51.88,2975600,42.62
2001-02-07,51.01,51.20,50.55,50.75,5853800,41.69
2001-02-08,50.75,52.50,50.75,51.78,3930100,42.53
2001-02-09,51.78,52.20,51.20,51.78,3176300,42.53
2001-02-12,52.00,53.15,51.76,52.30,2464600,42.96
2001-02-13,52.50,52.60,51.10,52.40,3153800,43.04
2001-02-14,52.44,52.83,51.73,51.76,3114700,42.52
2001-02-15,51.80,51.80,50.10,50.77,3501100,41.70
2001-02-16,50.00,51.59,49.82,51.05,2916600,41.93
2001-02-20,51.25,51.49,50.24,51.38,4837200,42.21
2001-02-21,50.80,53.00,50.44,51.50,3745900,42.30
2001-02-22,51.50,51.51,48.25,50.00,6126700,41.07
2001-02-23,49.95,50.01,48.10,48.95,3236500,40.21
2001-02-26,49.00,51.55,48.91,51.20,3464200,42.06
2001-02-27,51.85,53.00,51.60,51.93,5490800,42.66
2001-02-28,52.00,52.35,50.03,51.18,4426200,42.04
2001-03-01,51.00,51.10,47.50,49.20,6103500,40.41
2001-03-02,48.75,49.25,48.69,49.12,5945200,40.35
2001-03-05,49.25,49.54,48.52,49.20,2582100,40.41
2001-03-06,50.00,50.25,48.95,49.30,3095100,40.50
2001-03-07,49.35,49.69,47.85,48.99,3017100,40.24
2001-03-08,49.00,50.95,48.94,50.35,4643700,41.36
2001-03-09,50.35,50.70,49.91,50.50,2465500,41.48
2001-03-12,50.50,50.70,47.74,47.74,3460800,39.22
2001-03-13,47.85,47.85,45.30,46.88,4067800,38.51
2001-03-14,45.00,46.15,44.35,44.93,5091000,36.91
2001-03-15,46.50,48.49,46.35,48.02,4982300,39.45
2001-03-16,48.05,48.40,46.35,46.50,6144400,38.20
2001-03-19,47.40,47.40,45.50,46.72,4061700,38.38
2001-03-20,47.75,48.60,47.20,47.30,5589800,38.85
2001-03-21,47.30,47.30,45.44,45.95,4640400,37.75
2001-03-22,45.10,45.10,41.99,43.22,7519300,35.50
2001-03-23,44.50,44.60,43.56,44.25,4735100,36.35
2001-03-26,45.00,45.09,43.96,44.01,4263300,36.15
2001-03-27,44.75,46.50,44.28,45.44,4534600,37.33
2001-03-28,45.65,46.93,45.30,46.55,3453200,38.24
2001-03-29,46.60,48.00,46.40,46.77,3557800,38.42
2001-03-30,47.05,47.40,45.10,45.74,4021400,37.57
2001-04-02,45.70,45.71,44.00,44.17,4120500,36.28
2001-04-03,44.17,44.19,41.50,41.88,5023000,34.40
2001-04-04,41.50,41.50,39.95,40.71,7121500,33.48
2001-04-05,42.00,43.90,41.86,43.59,5666300,35.85
2001-04-06,43.59,43.60,42.00,42.51,3464900,34.96
2001-04-09,42.51,43.40,42.15,42.33,2393800,34.81
2001-04-10,43.00,43.02,41.00,41.95,4150800,34.50
2001-04-11,42.40,42.49,40.70,40.99,3353100,33.71
2001-04-12,41.00,43.09,40.91,43.00,2861900,35.36
2001-04-16,43.00,44.00,42.84,43.25,2421700,35.57
2001-04-17,43.15,45.22,43.15,45.15,4211900,37.13
2001-04-18,46.25,47.50,44.61,45.42,4277000,37.35
2001-04-19,45.80,47.50,44.99,46.97,4247200,38.63
2001-04-20,46.90,47.08,45.45,46.15,4666100,37.95
2001-04-23,45.50,46.00,45.00,45.80,3146500,37.67
2001-04-24,45.00,45.00,43.60,44.00,7523800,36.19
2001-04-25,44.00,44.88,43.90,44.29,4086100,36.43
2001-04-26,44.00,44.00,42.65,42.86,4921000,35.25
2001-04-27,42.86,44.50,42.50,44.25,3388700,36.39
2001-04-30,44.50,45.30,44.32,44.60,4121400,36.68
2001-05-01,44.85,46.00,44.30,45.12,5499900,37.11
2001-05-02,45.25,45.70,44.90,45.51,3274800,37.43
2001-05-03,45.40,45.51,44.17,44.61,3907700,36.69
2001-05-04,43.50,46.00,43.50,45.71,4960500,37.59
2001-05-07,45.65,45.70,44.40,44.79,4072600,36.84
2001-05-08,44.79,44.85,43.76,43.86,2419900,36.07
2001-05-09,43.90,44.65,43.05,43.56,3320700,35.82
2001-05-10,44.10,44.10,43.13,43.45,3473000,35.73
2001-05-11,43.50,43.74,41.80,42.64,5040600,35.07
2001-05-14,42.64,43.47,42.20,42.97,2560500,35.34
2001-05-15,43.05,43.49,42.00,43.26,3601200,35.58
2001-05-16,43.26,45.06,43.14,44.12,5052500,36.29
2001-05-17,44.65,46.40,44.55,45.82,3860100,37.68
2001-05-18,46.00,46.14,44.51,44.95,3488700,36.97
2001-05-21,45.75,45.80,43.65,43.86,4944500,36.07
2001-05-22,44.00,45.00,43.39,44.49,6995900,36.59
2001-05-23,42.93,43.95,41.25,41.76,17457300,34.34
2001-05-24,41.50,42.74,41.00,42.28,6047200,34.77
2001-05-25,42.60,42.63,41.96,42.50,4117400,34.95
2001-05-29,42.35,43.25,42.20,42.95,3387300,35.32
2001-05-30,43.30,43.60,42.70,43.00,6849000,35.36
2001-05-31,43.00,43.07,42.20,42.98,3892900,35.35
2001-06-01,42.98,43.40,42.75,43.00,2836600,35.36
2001-06-04,43.00,43.80,42.60,43.70,3918500,35.94
2001-06-05,44.50,44.64,43.75,44.48,6452500,36.58
2001-06-06,44.70,44.72,44.08,44.70,2961400,36.76
2001-06-07,44.60,45.23,44.09,44.75,3917800,36.80
2001-06-08,44.70,45.50,44.40,44.52,2732200,36.61
2001-06-11,44.77,45.10,43.76,44.92,3419400,36.94
2001-06-12,44.50,44.50,44.00,44.10,2964700,36.27
2001-06-13,44.05,45.05,43.95,44.62,2124200,36.70
2001-06-14,44.62,45.05,43.51,43.90,2584600,36.10
2001-06-15,43.30,44.12,43.30,43.72,5487800,35.96
2001-06-18,43.70,45.70,43.70,45.02,3967100,37.03
2001-06-19,45.90,46.93,45.60,46.71,5605800,38.42
2001-06-20,47.24,48.50,46.95,48.50,5344800,39.89
2001-06-21,48.60,48.91,47.85,48.15,4679900,39.60
2001-06-22,48.15,48.19,46.85,47.40,3864600,38.98
2001-06-25,47.40,47.40,46.07,47.10,2843100,38.74
2001-06-26,46.80,47.10,46.22,46.85,3238600,38.53
2001-06-27,46.60,46.80,45.60,45.88,3908800,37.73
2001-06-28,45.89,48.00,45.89,47.80,3056600,39.31
2001-06-29,47.70,47.86,45.55,46.01,4721900,37.84
2001-07-02,46.50,47.76,46.40,46.93,2697500,38.60
2001-07-03,47.00,47.22,46.84,47.09,1182300,38.78
2001-07-05,47.09,47.20,46.65,46.93,2067200,38.64
2001-07-06,46.30,46.49,45.75,46.32,1528400,38.14
2001-07-09,46.70,47.21,46.00,46.30,2716100,38.13
2001-07-10,46.30,47.97,45.55,47.75,6752100,39.32
2001-07-11,47.80,47.90,44.80,45.15,8501800,37.18
2001-07-12,46.50,46.60,45.90,45.90,7165000,37.80
2001-07-13,45.25,46.50,45.25,46.50,3214800,38.29
2001-07-16,46.50,47.00,46.25,46.87,2327400,38.59
2001-07-17,47.00,48.02,46.95,47.10,3980800,38.78
2001-07-18,47.10,47.40,46.75,47.30,3240900,38.95
2001-07-19,47.20,48.00,46.95,47.61,3211500,39.20
2001-07-20,47.61,48.80,47.40,48.58,2934600,40.00
2001-07-23,48.90,49.11,48.00,48.59,2829100,40.01
2001-07-24,48.75,48.80,46.99,47.52,2672200,39.13
2001-07-25,47.52,48.25,47.40,48.00,2198300,39.53
2001-07-26,47.80,48.48,47.50,48.17,3170000,39.67
2001-07-27,48.40,48.90,47.65,48.55,1867200,39.98
2001-07-30,48.90,49.19,48.06,48.38,1767500,39.84
