Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,114.38,114.75,113.62,113.88,4116400,41.08
2000-12-13,114.00,115.00,112.50,113.81,2852600,41.05
2000-12-14,113.06,114.38,110.19,111.00,4081200,40.04
2000-12-15,113.25,113.75,111.25,112.19,5946400,40.47
2000-12-18,113.88,114.94,113.12,114.62,4021800,41.35
2000-12-19,114.62,116.00,112.62,113.75,4642000,41.03
2000-12-20,110.25,113.69,110.25,112.94,3838800,40.74
2000-12-21,111.50,113.94,109.50,112.69,4810600,40.65
2000-12-22,112.44,113.44,110.88,112.75,3660000,40.67
2000-12-26,113.38,115.00,112.19,115.00,1999600,41.48
2000-12-27,115.88,119.38,114.38,119.19,2565600,42.99
2000-12-28,118.50,122.94,116.25,121.94,4287200,43.98
2000-12-29,121.94,122.94,119.62,120.50,2754200,43.47
2001-01-02,118.12,121.50,117.50,119.19,4651200,42.99
2001-01-03,118.00,119.88,116.38,117.81,4754400,42.50
2001-01-04,117.88,119.50,115.56,119.00,4060400,42.92
2001-01-05,117.00,117.00,110.56,114.56,8367000,41.32
2001-01-08,113.00,115.38,109.56,115.25,5486600,41.57
2001-01-09,114.94,115.19,112.12,113.44,3962800,40.92
2001-01-10,110.62,112.50,109.00,112.31,4344400,40.51
2001-01-11,112.38,113.94,109.56,112.12,4190600,40.44
2001-01-12,112.12,112.19,108.50,109.69,3655800,39.56
2001-01-16,110.62,113.50,110.06,113.50,4247400,40.94
2001-01-17,106.50,110.00,105.88,110.00,11552200,39.68
2001-01-18,110.00,110.00,107.75,109.00,5365800,39.32
2001-01-19,108.94,108.94,106.19,106.75,4061600,38.51
2001-01-22,106.56,109.00,105.44,108.88,4052400,39.27
2001-01-23,108.88,111.69,108.44,111.00,3528800,40.04
2001-01-24,109.50,110.62,105.75,107.12,3703000,38.64
2001-01-25,107.00,109.81,104.06,109.50,4224000,39.50
2001-01-26,109.56,110.56,106.88,107.31,2956000,38.71
2001-01-29,107.31,107.80,105.87,107.29,3075400,38.70
