Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,38.75,39.75,38.56,38.88,18616400,4.24
2000-12-13,39.38,40.94,39.19,40.81,14097800,4.51
2000-12-14,40.12,41.75,40.06,41.50,10924100,4.58
2000-12-15,40.81,41.81,40.06,40.06,16575600,4.43
2000-12-18,40.00,41.75,40.00,41.31,8321800,4.56
2000-12-19,41.75,43.31,41.69,43.06,10814500,4.76
2000-12-20,43.38,44.50,42.88,44.12,11389700,4.87
2000-12-21,43.94,44.50,42.69,44.12,9501400,4.87
2000-12-22,43.44,43.62,42.50,43.50,5328700,4.81
2000-12-26,43.44,44.69,43.44,44.56,4280800,4.92
2000-12-27,44.19,45.50,44.19,45.25,5562400,5.00
2000-12-28,45.12,45.25,44.50,44.62,3904800,4.93
2000-12-29,44.50,45.19,44.00,44.00,6047500,4.86
2001-01-02,44.00,46.50,43.94,46.19,10720600,5.10
2001-01-03,45.88,45.94,42.00,42.25,19989000,4.67
2001-01-04,41.75,42.00,38.75,40.50,22367600,4.47
2001-01-05,40.75,41.75,40.06,40.12,11509400,4.43
2001-01-08,40.62,42.62,40.50,42.06,11307000,4.65
2001-01-09,41.88,43.88,41.75,43.38,12072400,4.79
2001-01-10,43.19,44.62,42.94,44.12,12244400,4.87
2001-01-11,44.12,44.12,41.06,41.62,11954600,4.60
2001-01-12,41.50,42.38,41.31,42.25,7749900,4.67
2001-01-16,42.12,43.31,41.44,42.56,9390400,4.70
2001-01-17,42.00,42.94,41.94,42.81,7336300,4.73
2001-01-18,42.69,43.12,42.38,43.12,6338700,4.76
2001-01-19,43.00,43.81,42.88,43.44,7323500,4.80
2001-01-22,43.00,44.38,42.88,44.31,6951200,4.90
2001-01-23,44.19,44.50,43.88,43.94,5886500,4.85
2001-01-24,43.94,44.94,43.88,44.50,5664800,4.92
2001-01-25,44.12,45.25,43.88,44.81,7810500,4.95
2001-01-26,44.25,44.50,43.62,43.81,5613500,4.84
2001-01-29,43.50,44.87,43.41,44.41,5693500,4.91
2001-01-30,44.50,45.00,44.20,44.91,6902400,4.96
2001-01-31,45.00,45.75,43.00,44.00,11535500,4.86
2001-02-01,44.45,45.99,44.37,45.79,8228900,5.06
2001-02-02,45.85,46.00,45.41,45.41,6087900,5.02
2001-02-05,45.21,47.00,45.06,46.47,7736400,5.13
2001-02-06,46.45,46.50,45.85,46.16,5638300,5.10
2001-02-07,46.13,47.18,46.00,46.00,10167700,5.08
2001-02-08,46.00,47.15,45.80,46.94,6198900,5.19
2001-02-09,47.10,48.43,47.10,48.00,10558700,5.30
2001-02-12,48.00,48.41,47.35,47.95,8326900,5.30
2001-02-13,47.70,47.72,47.01,47.60,5302000,5.26
2001-02-14,47.60,47.94,46.00,46.03,11532300,5.09
2001-02-15,45.76,46.35,45.55,45.99,6850800,5.08
2001-02-16,45.80,47.26,45.80,46.53,8109300,5.14
2001-02-20,46.53,48.54,46.52,47.93,7990000,5.30
2001-02-21,48.00,48.90,47.86,48.06,6998200,5.31
2001-02-22,48.10,49.00,47.50,48.01,8727100,5.30
2001-02-23,48.00,48.50,46.75,47.02,8297900,5.19
2001-02-26,46.61,47.75,45.85,46.50,7895800,5.14
2001-02-27,46.80,48.57,46.80,48.26,8220000,5.33
2001-02-28,48.38,49.00,47.44,48.18,8186300,5.32
2001-03-01,48.80,49.50,48.55,48.55,9434700,5.36
2001-03-02,48.75,49.80,48.75,49.70,9034800,5.49
2001-03-05,49.40,49.98,49.26,49.33,5553700,5.45
2001-03-06,49.08,49.09,48.54,48.83,5419200,5.39
2001-03-07,48.55,50.35,48.53,50.04,9157400,5.53
2001-03-08,50.00,51.00,49.70,50.85,7776000,5.62
2001-03-09,51.40,52.04,51.00,51.75,8714500,5.72
2001-03-12,51.30,51.61,49.60,49.60,8584100,5.48
2001-03-13,48.80,49.62,47.85,49.50,9304400,5.53
2001-03-14,48.10,49.00,47.84,48.04,7595700,5.36
2001-03-15,47.90,47.91,46.88,47.26,7212300,5.28
2001-03-16,47.15,48.28,47.14,48.15,10352700,5.38
2001-03-19,48.05,48.47,47.15,47.15,6587000,5.27
2001-03-20,47.00,47.01,44.23,44.91,14757100,5.02
2001-03-21,44.30,44.50,43.51,44.30,11588000,4.95
2001-03-22,43.85,43.91,41.47,42.90,15703400,4.79
2001-03-23,43.05,43.90,42.42,43.40,13426200,4.85
2001-03-26,43.95,45.95,43.50,45.25,9261800,5.05
2001-03-27,45.15,47.40,44.50,47.23,10965100,5.27
2001-03-28,46.99,47.07,45.26,46.41,9095600,5.18
2001-03-29,46.00,47.90,45.61,46.83,7008200,5.23
2001-03-30,47.34,48.24,47.13,47.45,6706200,5.30
2001-04-02,47.70,48.23,46.08,46.19,6257500,5.16
2001-04-03,46.11,46.12,44.00,44.51,8326000,4.97
2001-04-04,44.60,45.75,44.02,45.62,7537900,5.09
2001-04-05,46.00,46.61,45.92,46.23,10428000,5.16
2001-04-06,45.50,47.47,45.45,46.75,8484200,5.22
