Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,25.56,25.56,24.94,25.12,151000,10.20
2000-12-13,25.12,25.56,25.06,25.25,223000,10.25
2000-12-14,25.25,25.38,25.19,25.38,161400,10.31
2000-12-15,25.25,25.44,25.12,25.38,142600,10.31
2000-12-18,25.38,25.62,25.19,25.62,141600,10.41
2000-12-19,25.50,25.69,25.25,25.38,75800,10.31
2000-12-20,25.12,25.19,24.81,25.06,128800,10.18
2000-12-21,24.94,24.94,23.94,23.94,127800,9.72
2000-12-22,23.69,24.25,23.50,23.69,336200,9.62
2000-12-26,23.88,24.19,23.75,24.06,170000,9.77
2000-12-27,24.06,25.31,24.06,25.19,232800,10.23
2000-12-28,25.19,26.38,25.00,26.19,297600,10.64
2000-12-29,26.25,27.38,26.12,27.06,281000,10.99
2001-01-02,27.06,29.12,26.88,28.25,217600,11.47
2001-01-03,30.12,32.62,29.00,31.38,1912400,12.74
2001-01-04,31.25,31.75,30.50,30.50,1029400,12.42
2001-01-05,30.25,30.25,29.00,29.69,358600,12.09
2001-01-08,29.69,29.81,29.31,29.69,66000,12.09
2001-01-09,29.69,29.69,29.31,29.38,48400,11.96
2001-01-10,29.62,30.12,29.44,29.62,78000,12.07
2001-01-11,29.12,29.25,28.38,29.25,754400,11.91
2001-01-12,29.00,30.00,29.00,30.00,244600,12.22
2001-01-16,30.75,31.94,30.12,30.19,339400,12.30
2001-01-17,30.50,30.94,30.12,30.50,217200,12.42
2001-01-18,30.75,31.00,30.31,30.81,197600,12.55
2001-01-19,30.81,30.81,28.88,29.12,179200,11.86
2001-01-22,29.12,29.25,28.50,28.81,295800,11.74
2001-01-23,28.75,28.88,28.12,28.50,580400,11.61
2001-01-24,28.38,29.00,28.38,28.94,110400,11.79
2001-01-25,28.69,29.31,28.50,29.31,185000,11.94
2001-01-26,29.31,30.19,29.06,30.19,227000,12.30
2001-01-29,30.40,31.50,30.20,30.85,398600,12.56
2001-01-30,31.50,31.90,30.00,31.03,599000,12.64
2001-01-31,30.78,31.60,30.51,31.51,193400,12.83
2001-02-01,31.53,31.72,31.00,31.01,117200,12.63
2001-02-02,32.00,32.00,30.00,30.00,274000,12.22
2001-02-05,30.02,30.45,29.50,30.00,193000,12.22
2001-02-06,30.30,31.30,30.29,30.71,816600,12.51
2001-02-07,30.50,31.46,30.50,31.32,307200,12.76
2001-02-08,31.75,32.05,31.35,32.00,947400,13.03
2001-02-09,33.00,33.75,32.80,33.37,1119600,13.59
2001-02-12,33.55,34.60,32.73,34.40,957800,14.01
2001-02-13,34.90,35.68,34.50,35.50,1246200,14.46
2001-02-14,35.49,35.65,33.00,33.98,779200,13.84
2001-02-15,33.98,34.00,33.44,33.73,400600,13.74
2001-02-16,33.60,33.60,31.30,31.78,549600,12.94
2001-02-20,31.78,31.80,28.50,28.75,861200,11.71
