Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,90.69,91.56,90.50,91.38,6060400,51.51
2000-12-13,90.88,92.25,90.81,92.00,7350100,51.86
2000-12-14,91.31,91.75,90.69,91.00,3592100,51.30
2000-12-15,91.00,92.00,89.88,90.38,10666400,50.95
2000-12-18,90.00,90.44,88.81,89.31,4996300,50.35
2000-12-19,88.12,92.31,88.12,91.50,5052700,51.58
2000-12-20,93.00,95.12,92.44,93.38,9651900,52.64
2000-12-21,93.00,93.62,91.00,92.50,7347300,52.14
2000-12-22,92.88,92.88,90.25,90.50,4879400,51.02
2000-12-26,90.88,93.25,90.44,92.69,3636300,52.25
2000-12-27,92.75,94.69,92.62,92.69,5028300,52.25
2000-12-28,93.62,94.75,93.44,94.75,3131600,53.41
2000-12-29,95.00,95.94,93.44,93.62,3737100,52.78
2001-01-02,93.38,95.25,92.50,93.00,6042900,52.43
2001-01-03,92.81,93.00,88.12,89.12,9836000,50.24
2001-01-04,88.44,88.56,83.75,85.00,18325900,47.92
2001-01-05,85.00,85.81,83.12,83.31,9350500,46.96
2001-01-08,84.00,84.50,82.69,83.50,4907600,47.07
2001-01-09,83.94,85.00,83.06,84.00,6097100,47.35
2001-01-10,84.06,84.81,82.06,83.19,6172900,46.89
2001-01-11,83.50,83.62,80.88,81.62,6659900,46.01
2001-01-12,81.88,83.31,81.00,81.44,5038600,45.91
2001-01-16,81.38,84.44,80.50,83.31,5500900,46.96
2001-01-17,83.00,83.31,81.00,81.25,6459000,45.80
2001-01-18,81.50,84.00,81.38,82.88,5191200,46.72
2001-01-19,82.12,83.69,82.12,82.44,5380400,46.47
2001-01-22,83.62,83.62,82.12,82.31,4398300,46.40
2001-01-23,80.88,80.88,78.56,79.56,11432900,44.85
2001-01-24,79.75,80.00,78.62,78.94,8412000,44.50
2001-01-25,79.56,82.00,79.44,81.88,7299200,46.15
2001-01-26,82.75,84.00,81.94,82.25,5292300,46.37
2001-01-29,82.30,83.45,79.80,80.31,4093500,45.27
2001-01-30,80.89,81.50,80.01,81.00,3670400,45.66
2001-01-31,80.80,83.00,79.80,82.18,5963700,46.33
2001-02-01,82.75,84.48,82.18,84.48,5037500,47.62
2001-02-02,84.50,85.32,83.55,83.97,4246000,47.34
2001-02-05,83.97,85.55,83.97,84.48,2997500,47.62
2001-02-06,84.49,84.88,84.00,84.36,3598400,47.55
2001-02-07,84.37,84.77,81.60,81.85,7800800,46.14
2001-02-08,80.85,84.00,79.76,82.97,10004900,46.77
2001-02-09,82.90,82.97,82.06,82.72,3921000,46.63
2001-02-12,82.97,83.28,82.05,82.98,3809300,46.78
2001-02-13,82.25,82.73,79.53,80.75,5801600,45.52
2001-02-14,80.30,80.73,79.62,79.63,3760500,44.89
2001-02-15,78.00,78.25,76.40,78.10,7836200,44.03
2001-02-16,77.50,78.20,76.88,77.29,5762800,43.57
2001-02-20,77.31,78.42,77.05,77.90,4336100,43.91
2001-02-21,78.69,79.60,78.48,78.71,4273700,44.37
2001-02-22,78.71,78.91,76.60,77.70,5187100,43.80
2001-02-23,77.05,77.93,76.70,77.08,5132000,43.45
2001-02-26,77.10,79.50,76.70,79.33,4205000,44.72
2001-02-27,78.00,79.99,78.00,79.91,4129500,45.05
2001-02-28,79.91,81.42,79.75,80.20,6320100,45.21
2001-03-01,80.50,81.03,79.66,79.75,4571100,44.96
2001-03-02,79.45,80.40,79.45,80.15,3483000,45.18
2001-03-05,79.50,79.90,78.20,79.53,3372100,44.83
2001-03-06,78.90,78.91,76.78,77.45,5382600,43.66
2001-03-07,76.11,76.11,73.00,74.40,8060500,42.13
2001-03-08,75.55,75.56,73.60,74.79,7748000,42.35
2001-03-09,75.70,76.26,75.09,75.69,5024700,42.86
2001-03-12,75.50,75.73,73.55,74.15,5024600,41.98
2001-03-13,73.10,73.65,71.20,72.93,8717800,41.29
2001-03-14,72.00,72.72,71.12,71.93,5597900,40.73
2001-03-15,71.93,74.05,71.49,74.05,7524200,41.93
2001-03-16,73.21,73.50,70.69,71.45,9553500,40.45
2001-03-19,71.40,72.90,71.19,72.07,4700100,40.81
2001-03-20,72.49,72.54,70.05,70.25,5297000,39.78
2001-03-21,69.55,69.85,67.52,67.96,5762500,38.48
2001-03-22,67.50,70.20,66.00,69.71,7424200,39.47
2001-03-23,68.85,70.65,67.70,68.98,8551900,39.06
2001-03-26,70.00,71.90,69.55,71.48,5351100,40.47
