Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,44.06,45.56,44.06,44.81,2572000,9.65
2000-12-13,45.56,45.62,44.62,45.06,4913200,9.70
2000-12-14,45.19,48.00,45.12,48.00,10083600,10.35
2000-12-15,47.94,47.94,46.31,47.62,7004400,10.27
2000-12-18,47.25,47.62,46.56,46.69,4674800,10.07
2000-12-19,46.56,48.69,46.44,47.56,8728000,10.25
2000-12-20,45.50,49.94,45.44,49.12,13297200,10.59
2000-12-21,48.88,49.94,47.88,49.25,9043600,10.62
2000-12-22,50.00,51.19,49.94,51.19,6048800,11.04
2000-12-26,51.06,54.19,51.06,54.06,7169600,11.66
2000-12-27,54.25,56.75,54.00,56.69,10185200,12.22
2000-12-28,56.38,56.75,55.75,56.75,6668000,12.23
2000-12-29,56.75,57.00,55.19,55.81,4386400,12.03
2001-01-02,54.75,55.50,53.62,54.12,14496800,11.67
2001-01-03,51.25,56.00,50.75,55.94,15299600,12.06
2001-01-04,55.69,57.38,55.38,57.38,14612000,12.37
2001-01-05,57.31,57.62,54.88,54.88,11458800,11.83
2001-01-08,54.94,57.88,54.06,57.62,8523200,12.42
2001-01-09,57.00,60.06,56.50,59.44,15372400,12.81
2001-01-10,59.31,59.69,57.94,58.12,7914400,12.53
2001-01-11,58.19,58.31,56.81,57.75,6030800,12.45
2001-01-12,57.12,57.25,56.12,56.44,5094400,12.17
2001-01-16,56.38,56.88,54.75,55.69,4374000,12.01
2001-01-17,55.94,57.00,55.38,55.81,6294400,12.03
2001-01-18,55.88,56.62,55.75,56.06,3402800,12.09
2001-01-19,55.50,55.94,52.00,52.44,10562400,11.30
2001-01-22,50.88,54.25,50.88,52.94,4653600,11.41
2001-01-23,53.50,53.62,52.06,53.12,4233600,11.45
2001-01-24,53.00,53.75,51.75,52.38,4773200,11.29
2001-01-25,52.00,54.44,51.94,54.19,4418400,11.68
2001-01-26,53.75,54.50,52.38,53.00,3114800,11.43
2001-01-29,53.10,53.10,51.40,52.43,2050400,11.30
2001-01-30,53.00,54.32,52.51,53.01,3479600,11.43
2001-01-31,54.00,55.35,53.39,55.01,3704000,11.86
2001-02-01,55.00,55.12,54.18,54.48,5183200,11.75
2001-02-02,54.58,55.22,54.07,54.61,2501600,11.77
2001-02-05,54.60,55.63,54.58,55.19,2743600,11.90
2001-02-06,55.19,57.00,55.19,56.54,4224000,12.19
2001-02-07,57.00,57.32,56.29,56.44,5097200,12.17
2001-02-08,56.13,56.15,54.08,55.12,5658400,11.88
2001-02-09,55.11,55.11,54.04,54.45,3391600,11.74
2001-02-12,54.00,54.57,54.00,54.31,2094400,11.71
2001-02-13,54.31,57.00,54.31,56.09,3394400,12.09
2001-02-14,56.10,56.26,54.26,55.13,2120800,11.89
2001-02-15,54.61,54.61,52.21,52.27,7383200,11.27
2001-02-16,52.32,53.10,51.52,51.52,5314800,11.11
2001-02-20,51.52,51.52,47.51,47.52,15663600,10.24
2001-02-21,48.63,49.45,47.01,47.06,8004800,10.15
2001-02-22,47.12,48.38,45.37,48.03,9236400,10.35
2001-02-23,48.08,49.08,48.03,49.00,3884400,10.56
2001-02-26,49.16,50.00,48.54,49.11,8658000,10.59
2001-02-27,40.38,41.32,38.17,39.38,48880400,8.49
2001-02-28,39.45,39.45,37.29,39.03,11643600,8.41
2001-03-01,39.06,39.22,37.58,38.13,4818400,8.22
2001-03-02,37.63,38.19,37.51,37.58,5966800,8.10
2001-03-05,38.01,38.38,37.35,37.63,7272800,8.11
2001-03-06,38.19,39.29,38.03,39.15,4574800,8.44
2001-03-07,39.58,40.32,39.48,40.26,4394000,8.68
2001-03-08,40.26,41.25,39.63,40.32,5851600,8.69
2001-03-09,40.04,40.60,39.52,40.07,3988400,8.64
2001-03-12,40.03,40.19,39.09,39.11,1976800,8.43
2001-03-13,39.00,39.01,37.34,37.53,3971600,8.09
2001-03-14,37.37,38.00,36.51,36.52,3793600,7.87
2001-03-15,36.44,36.61,35.48,36.35,4892800,7.85
2001-03-16,35.63,37.00,35.42,36.32,8056800,7.84
2001-03-19,36.06,36.20,35.32,36.19,4343600,7.81
2001-03-20,36.51,39.32,36.45,38.01,6845200,8.21
2001-03-21,40.06,40.54,39.52,40.13,13540800,8.67
2001-03-22,40.13,40.44,39.27,39.52,7703200,8.53
2001-03-23,39.45,40.37,38.32,40.30,5866800,8.70
2001-03-26,40.31,40.61,39.10,39.38,3532000,8.50
2001-03-27,39.38,40.00,38.48,39.61,4241600,8.55
2001-03-28,40.00,40.00,38.35,39.47,3181200,8.52
2001-03-29,39.51,40.37,39.51,40.15,2916400,8.67
2001-03-30,40.19,40.42,38.51,40.35,2195600,8.71
2001-04-02,40.32,42.00,40.32,41.12,3694400,8.88
2001-04-03,41.14,41.15,38.48,39.26,3246400,8.48
2001-04-04,39.26,40.19,39.13,39.63,2550000,8.56
2001-04-05,40.38,40.48,38.33,39.38,6814400,8.50
2001-04-06,39.38,39.38,38.45,39.24,3406400,8.47
2001-04-09,39.55,40.10,39.10,39.50,2015200,8.53
2001-04-10,39.75,39.98,38.04,39.42,7515200,8.51
2001-04-11,39.17,39.40,38.00,38.05,5328800,8.22
2001-04-12,37.90,38.20,36.30,37.46,6886000,8.09
2001-04-16,37.71,38.37,36.60,36.95,7276000,7.98
2001-04-17,36.60,37.70,36.58,37.20,4286800,8.03
2001-04-18,36.85,38.35,36.75,38.24,10431200,8.26
2001-04-19,38.49,40.25,38.49,39.60,8046000,8.55
2001-04-20,39.70,39.96,38.95,39.74,4566800,8.58
2001-04-23,39.62,40.15,39.04,39.80,3416000,8.59
2001-04-24,39.58,39.61,38.25,38.25,3151600,8.26
2001-04-25,38.10,39.35,38.10,38.98,2390800,8.42
2001-04-26,39.00,40.40,38.96,39.83,3590000,8.60
2001-04-27,39.95,42.05,39.91,41.62,5800400,8.99
2001-04-30,41.62,42.02,41.11,41.81,4690800,9.03
2001-05-01,41.20,41.80,40.58,40.58,3512800,8.76
2001-05-02,40.58,41.88,40.50,41.56,2389600,8.97
2001-05-03,41.05,41.05,40.06,40.94,2690800,8.84
2001-05-04,40.32,41.36,39.51,40.62,3439200,8.77
2001-05-07,40.52,40.86,40.15,40.52,2199600,8.75
2001-05-08,40.51,41.10,40.00,40.96,2185200,8.84
2001-05-09,40.10,40.40,39.91,40.02,6736400,8.64
2001-05-10,39.99,41.00,39.26,39.38,7222400,8.50
2001-05-11,39.48,39.60,38.25,38.39,7629600,8.29
2001-05-14,38.50,39.00,38.46,38.86,2647600,8.39
2001-05-15,38.90,40.10,38.90,39.60,4402400,8.55
2001-05-16,39.35,42.04,39.35,42.01,4388000,9.07
2001-05-17,41.76,42.80,41.60,42.30,8109600,9.13
2001-05-18,42.31,42.54,42.00,42.40,4308000,9.16
2001-05-21,42.50,43.74,42.34,43.68,3580000,9.43
2001-05-22,45.25,45.74,45.00,45.09,6838800,9.74
2001-05-23,44.95,44.96,42.92,43.70,5684400,9.44
2001-05-24,43.50,44.04,43.24,43.75,1988000,9.45
2001-05-25,43.50,44.10,43.40,43.48,2632800,9.39
2001-05-29,43.09,43.12,42.25,42.46,4376000,9.17
2001-05-30,41.70,41.90,40.45,41.00,8786800,8.85
2001-05-31,40.75,41.52,40.70,41.10,5595600,8.88
2001-06-01,41.20,41.35,40.67,41.31,3697600,8.92
2001-06-04,41.30,41.41,40.80,41.16,2347200,8.89
2001-06-05,41.16,41.85,41.16,41.42,3140000,8.94
2001-06-06,41.65,41.72,41.22,41.40,2493200,8.94
2001-06-07,41.40,43.94,41.40,42.34,6228800,9.14
2001-06-08,41.60,42.30,41.28,41.62,1902400,8.99
2001-06-11,41.82,41.95,41.05,41.19,2749200,8.89
2001-06-12,41.10,41.98,40.90,41.87,3390800,9.04
2001-06-13,41.70,41.75,40.90,41.35,2493200,8.94
2001-06-14,41.38,41.80,41.26,41.45,3930400,8.96
2001-06-15,41.45,41.60,40.65,40.91,6331600,8.85
2001-06-18,40.80,41.00,40.59,40.81,2578800,8.83
2001-06-19,40.83,42.85,40.75,42.61,5368800,9.21
2001-06-20,42.06,43.35,41.75,42.00,5123200,9.08
2001-06-21,41.75,44.25,41.65,43.53,8890000,9.41
2001-06-22,43.78,44.65,42.68,44.55,4041200,9.63
2001-06-25,44.65,45.00,43.26,44.00,4850000,9.52
2001-06-26,43.80,43.80,42.32,42.75,5872000,9.24
2001-06-27,42.10,44.25,42.10,42.66,3319200,9.23
2001-06-28,43.00,43.50,40.50,41.98,20263200,9.08
2001-06-29,42.10,42.50,41.91,41.99,11986400,9.08
2001-07-02,41.80,43.35,41.80,42.15,6094000,9.11
