Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,35.87,36.56,35.37,35.87,1074800,15.00
2000-12-13,36.00,37.06,35.81,36.56,2458400,15.29
2000-12-14,36.56,37.19,34.31,34.38,1996900,14.37
2000-12-15,34.87,36.13,34.38,35.50,1760900,14.85
2000-12-18,35.13,38.87,35.13,38.69,3392400,16.18
2000-12-19,38.87,39.06,38.06,38.25,2808900,16.00
2000-12-20,37.50,37.87,36.50,36.94,1319000,15.45
2000-12-21,37.19,37.25,36.50,37.06,1164000,15.50
2000-12-22,37.62,37.69,36.69,37.44,698900,15.66
2000-12-26,36.62,39.00,36.62,38.50,1453500,16.10
2000-12-27,38.75,39.19,38.00,39.13,2033500,16.36
2000-12-28,39.69,39.69,38.75,39.19,2069400,16.39
2000-12-29,39.25,39.44,38.25,38.69,801100,16.18
2001-01-02,39.25,39.69,38.00,38.25,1044200,16.00
2001-01-03,38.19,38.44,35.37,36.62,2191800,15.32
2001-01-04,36.50,36.56,34.94,35.31,1617800,14.77
2001-01-05,35.37,37.06,35.19,35.50,826600,14.85
2001-01-08,35.37,36.75,35.37,36.06,889600,15.08
2001-01-09,36.37,37.44,36.37,36.56,1105900,15.29
2001-01-10,36.62,38.06,36.62,38.06,811300,15.92
2001-01-11,37.81,38.13,37.31,37.38,571100,15.63
2001-01-12,37.19,38.19,36.94,36.94,1078600,15.45
2001-01-16,36.75,37.12,35.37,35.37,1127400,14.79
2001-01-17,36.25,36.25,35.25,35.25,800500,14.74
2001-01-18,35.37,35.50,33.13,33.81,2199100,14.14
2001-01-19,34.00,34.94,32.87,34.94,995400,14.61
2001-01-22,34.62,35.13,34.12,34.38,590400,14.37
2001-01-23,34.44,35.06,34.12,34.44,1097000,14.40
2001-01-24,34.56,34.87,34.00,34.00,1488900,14.22
2001-01-25,35.50,36.50,35.00,36.31,2226000,15.19
2001-01-26,37.75,37.81,35.81,37.00,1413500,15.47
2001-01-29,36.40,37.04,36.25,36.79,492800,15.38
2001-01-30,36.79,37.05,35.35,36.40,450500,15.22
2001-01-31,36.60,36.90,36.00,36.49,751900,15.26
2001-02-01,36.49,36.49,35.00,35.10,1252700,14.68
2001-02-02,35.23,35.55,35.15,35.24,1073700,14.74
2001-02-05,35.00,36.45,35.00,36.45,1041100,15.24
2001-02-06,36.70,38.70,36.10,38.70,1140700,16.18
2001-02-07,38.60,39.50,37.80,39.01,1304800,16.31
2001-02-08,40.00,41.24,39.03,39.10,3964200,16.35
2001-02-09,39.10,40.28,39.02,39.42,1452100,16.48
2001-02-12,39.42,39.56,38.99,39.25,807100,16.41
2001-02-13,39.35,40.07,39.01,39.94,1541300,16.70
2001-02-14,39.99,40.61,39.55,40.50,2918400,16.94
2001-02-15,40.00,40.10,39.80,39.87,2649000,16.67
2001-02-16,39.87,40.98,39.87,40.05,1491200,16.75
