Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,14.31,14.50,14.19,14.31,755900,10.88
2000-12-13,14.31,14.38,14.00,14.06,980700,10.69
2000-12-14,13.88,13.94,13.38,13.44,1326600,10.22
2000-12-15,13.31,13.62,13.12,13.12,1577400,9.98
2000-12-18,13.12,13.50,13.12,13.31,1079400,10.12
2000-12-19,13.12,13.88,13.00,13.44,1249800,10.22
2000-12-20,13.31,13.62,12.81,13.50,2029700,10.27
2000-12-21,13.44,13.94,13.44,13.62,1316300,10.36
2000-12-22,13.62,14.00,13.56,13.81,1119900,10.50
2000-12-26,13.81,13.81,13.56,13.62,849700,10.36
2000-12-27,13.62,14.00,13.62,13.94,1200000,10.60
2000-12-28,13.62,13.69,13.06,13.19,1700900,10.03
2000-12-29,13.31,13.88,13.31,13.31,1750400,10.12
2001-01-02,13.81,14.12,13.62,13.69,1032900,10.41
2001-01-03,13.75,14.31,13.69,14.12,1073600,10.74
2001-01-04,14.31,16.00,14.31,15.44,2080500,11.74
2001-01-05,15.44,15.50,15.12,15.38,1741100,11.69
2001-01-08,15.44,16.25,15.38,16.12,2145400,12.26
2001-01-09,16.12,16.31,16.12,16.12,1638000,12.26
2001-01-10,16.12,16.19,15.69,15.88,1189000,12.07
2001-01-11,15.81,15.94,15.69,15.81,917000,12.02
2001-01-12,15.62,15.62,15.38,15.44,1782600,11.74
2001-01-16,15.44,16.12,15.44,16.12,813200,12.26
2001-01-17,16.50,16.50,16.19,16.50,1001200,12.55
2001-01-18,16.50,16.69,16.44,16.56,898100,12.59
2001-01-19,16.50,16.56,16.00,16.12,2529000,12.26
2001-01-22,16.12,16.50,16.00,16.38,1587600,12.45
2001-01-23,16.50,16.62,16.12,16.31,2312400,12.40
2001-01-24,15.50,15.69,14.69,15.56,3634300,11.83
2001-01-25,15.12,15.69,14.88,15.19,1798700,11.55
2001-01-26,15.25,15.56,15.12,15.31,1007000,11.64
2001-01-29,15.31,15.64,15.31,15.56,1087400,11.83
2001-01-30,15.60,15.74,15.52,15.70,1697900,11.94
2001-01-31,15.80,16.49,15.50,16.33,1662800,12.47
2001-02-01,16.55,16.69,16.33,16.55,1126800,12.63
2001-02-02,16.55,16.74,16.07,16.40,4580700,12.52
2001-02-05,16.16,16.50,16.01,16.29,1322000,12.44
2001-02-06,16.40,16.48,16.21,16.35,1159500,12.48
2001-02-07,16.47,16.51,16.12,16.15,807800,12.33
2001-02-08,16.15,17.15,16.10,17.00,1548600,12.98
2001-02-09,17.75,17.99,17.05,17.47,2754800,13.34
2001-02-12,17.40,17.96,17.40,17.78,1168100,13.57
2001-02-13,17.90,18.50,17.80,18.16,1306300,13.86
2001-02-14,18.16,18.24,17.34,17.48,1248000,13.34
2001-02-15,17.65,17.99,17.28,17.65,1183000,13.47
2001-02-16,17.79,18.25,17.62,18.03,898900,13.76
2001-02-20,18.70,18.90,18.36,18.50,1085900,14.12
2001-02-21,18.28,18.64,18.05,18.17,1059800,13.87
2001-02-22,18.32,18.58,17.91,18.18,1107700,13.88
2001-02-23,17.94,18.26,17.51,17.77,1437900,13.56
2001-02-26,17.77,18.15,17.71,18.03,1406700,13.76
2001-02-27,18.23,18.25,17.92,18.19,607500,13.89
2001-02-28,18.39,18.40,18.02,18.09,482200,13.81
2001-03-01,17.85,17.90,17.22,17.70,1104100,13.51
2001-03-02,17.45,17.66,17.00,17.22,1642000,13.15
2001-03-05,17.25,17.50,17.01,17.41,868400,13.29
2001-03-06,17.36,17.73,17.11,17.37,477700,13.26
2001-03-07,17.30,17.97,17.25,17.58,660500,13.42
2001-03-08,17.60,18.00,17.50,17.95,633000,13.70
2001-03-09,17.77,17.95,17.43,17.73,522600,13.53
