Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,21.62,21.81,21.44,21.62,1254000,7.81
2000-12-13,21.81,22.19,21.56,21.75,1516800,7.86
2000-12-14,21.75,22.00,20.94,21.25,1950000,7.68
2000-12-15,21.12,21.81,21.12,21.19,2624600,7.65
2000-12-18,21.88,23.00,21.88,22.88,3205800,8.26
2000-12-19,22.94,23.31,22.81,22.94,2261000,8.28
2000-12-20,22.69,23.38,22.44,23.06,2074400,8.33
2000-12-21,22.56,23.62,22.56,23.38,3357400,8.44
2000-12-22,23.00,23.88,22.94,23.75,1628400,8.58
2000-12-26,23.69,25.00,23.62,25.00,2782600,9.03
2000-12-27,24.88,25.50,24.69,25.50,2609600,9.21
2000-12-28,25.12,25.56,25.06,25.38,2090800,9.16
2000-12-29,25.19,25.31,24.19,24.25,2696800,8.76
2001-01-02,24.00,25.19,23.94,24.19,2408800,8.74
2001-01-03,24.00,24.31,23.19,23.62,2224200,8.53
2001-01-04,23.44,23.75,23.09,23.50,2624600,8.49
2001-01-05,23.50,24.56,23.50,24.06,2952400,8.69
2001-01-08,23.88,24.31,23.25,23.94,1715600,8.65
2001-01-09,23.69,23.75,22.94,23.25,1661800,8.40
2001-01-10,23.25,23.62,23.25,23.44,1731200,8.47
2001-01-11,23.38,23.75,23.38,23.38,1623400,8.44
2001-01-12,23.25,23.31,22.88,23.06,1612400,8.33
2001-01-16,23.12,23.19,22.56,22.94,2052800,8.28
2001-01-17,23.06,23.19,22.31,22.56,2205000,8.15
2001-01-18,22.62,22.75,22.19,22.25,1718200,8.04
2001-01-19,22.06,22.44,21.88,22.31,2055000,8.06
2001-01-22,22.31,22.88,22.19,22.69,1770600,8.19
2001-01-23,22.94,23.06,22.50,23.00,2186400,8.31
2001-01-24,22.38,22.88,22.25,22.75,2020400,8.22
2001-01-25,22.50,22.88,22.50,22.56,3443200,8.15
2001-01-26,22.56,22.69,21.94,22.38,2731600,8.08
2001-01-29,22.38,22.58,22.15,22.35,2092800,8.07
2001-01-30,22.35,22.44,21.96,22.35,2282400,8.07
2001-01-31,22.75,22.88,22.46,22.71,2236600,8.20
2001-02-01,22.60,22.60,21.99,22.10,4368400,7.98
2001-02-02,22.30,22.74,22.25,22.61,1840400,8.17
2001-02-05,22.75,23.49,22.75,23.42,2259200,8.46
2001-02-06,23.50,23.63,23.23,23.62,1971200,8.53
2001-02-07,23.63,23.94,23.50,23.84,1585200,8.61
2001-02-08,23.99,24.29,23.82,24.09,1898400,8.70
2001-02-09,23.69,24.60,23.69,24.41,2102400,8.82
2001-02-12,24.17,24.45,23.99,24.35,2079200,8.79
2001-02-13,24.11,24.34,23.87,24.20,1753600,8.74
2001-02-14,24.03,24.50,23.96,24.18,1447800,8.73
2001-02-15,24.18,24.26,23.90,24.12,2052000,8.71
2001-02-16,24.70,24.70,23.95,24.01,2248000,8.67
2001-02-20,24.26,24.51,23.91,24.12,2426600,8.71
2001-02-21,24.20,24.35,23.73,23.76,2206200,8.58
2001-02-22,24.00,24.23,23.65,23.67,2053400,8.55
2001-02-23,24.00,24.10,23.38,23.78,1672800,8.59
2001-02-26,24.00,24.55,23.85,24.24,2792400,8.75
2001-02-27,24.45,24.59,24.00,24.08,1494400,8.70
2001-02-28,24.02,24.17,23.77,23.99,1761800,8.66
2001-03-01,23.90,24.30,23.77,23.87,1739800,8.62
2001-03-02,24.00,24.80,24.00,24.65,2368200,8.90
2001-03-05,24.90,25.14,24.75,25.14,2338200,9.08
2001-03-06,25.01,25.25,24.84,25.04,1653400,9.04
2001-03-07,25.01,25.40,25.01,25.40,2114600,9.27
2001-03-08,25.74,26.50,25.30,26.39,4818400,9.63
2001-03-09,26.50,26.50,25.23,25.96,2215800,9.47
2001-03-12,25.90,25.90,25.20,25.24,1883800,9.21
2001-03-13,25.24,25.45,24.41,24.97,2372800,9.11
2001-03-14,25.20,25.20,24.16,24.35,1903400,8.88
2001-03-15,24.60,24.60,23.70,23.88,2481000,8.71
2001-03-16,23.65,24.25,23.65,23.94,2744400,8.73
2001-03-19,23.94,24.94,23.86,24.84,2589000,9.06
2001-03-20,24.64,25.09,24.53,24.56,2249000,8.96
2001-03-21,24.10,24.45,23.93,24.09,2406800,8.79
2001-03-22,23.90,23.90,22.71,23.27,3190000,8.49
2001-03-23,23.15,23.72,22.85,23.72,1905800,8.65
2001-03-26,23.97,24.41,23.97,24.15,2605600,8.81
2001-03-27,24.15,24.50,23.82,24.08,2533800,8.78
2001-03-28,24.25,24.49,24.01,24.29,2827000,8.86
2001-03-29,24.10,24.16,23.81,23.96,1977200,8.74
2001-03-30,23.97,24.86,23.97,24.75,2550800,9.03
2001-04-02,24.81,24.88,24.25,24.59,2672800,8.97
2001-04-03,24.54,24.69,24.05,24.39,2351400,8.90
2001-04-04,24.51,25.45,24.39,25.07,2329800,9.15
2001-04-05,25.35,25.48,24.93,25.35,3005400,9.25
2001-04-06,25.45,25.50,24.40,25.43,2671800,9.28
2001-04-09,25.55,26.25,25.54,26.06,2799800,9.51
2001-04-10,26.25,26.59,26.17,26.38,3941600,9.62
2001-04-11,26.30,26.45,25.90,26.21,2697800,9.56
2001-04-12,26.25,26.60,25.94,26.11,3760600,9.53
2001-04-16,26.11,26.75,26.11,26.74,3197800,9.76
2001-04-17,26.50,27.62,26.41,27.60,3432400,10.07
2001-04-18,27.70,27.75,26.56,27.10,3973400,9.89
2001-04-19,27.10,27.30,26.81,27.07,3455000,9.88
2001-04-20,27.07,27.59,27.04,27.42,2470000,10.00
2001-04-23,27.95,28.84,27.74,28.73,6068000,10.48
2001-04-24,28.85,29.25,28.80,29.10,4919600,10.62
2001-04-25,29.25,29.90,29.10,29.75,5679200,10.85
2001-04-26,29.75,30.24,29.75,29.81,5108400,10.88
2001-04-27,29.82,29.88,29.62,29.80,2860600,10.87
2001-04-30,30.00,30.44,29.86,30.12,4148400,10.99
2001-05-01,30.12,30.13,29.20,29.50,4296200,10.76
2001-05-02,29.05,29.05,28.00,28.07,4944600,10.24
2001-05-03,28.00,28.67,27.30,28.51,3681400,10.40
2001-05-04,28.74,29.09,28.68,28.97,2661200,10.57
2001-05-07,28.91,29.22,28.50,28.88,2375400,10.54
2001-05-08,28.75,29.24,28.60,29.00,2247800,10.58
2001-05-09,29.05,29.50,29.02,29.44,2173800,10.74
2001-05-10,29.24,29.90,29.15,29.44,2063000,10.74
2001-05-11,29.35,29.50,29.05,29.50,1612400,10.76
2001-05-14,29.25,29.99,29.20,29.99,2799600,10.94
2001-05-15,29.99,30.45,29.88,30.28,3495600,11.05
2001-05-16,30.18,30.97,30.02,30.51,4002800,11.13
2001-05-17,30.33,30.65,30.14,30.55,3294800,11.15
2001-05-18,30.55,31.10,30.42,31.08,3015000,11.34
2001-05-21,31.08,31.10,30.65,30.85,2364000,11.25
2001-05-22,30.85,30.85,30.25,30.44,1942600,11.11
2001-05-23,30.19,30.40,29.91,30.08,2587800,10.97
2001-05-24,29.95,30.05,29.75,29.88,1584200,10.90
2001-05-25,30.13,30.18,29.52,29.55,1478400,10.78
2001-05-29,29.61,30.31,29.61,30.14,1997200,11.00
2001-05-30,30.30,30.49,29.79,29.91,1609000,10.91
2001-05-31,29.92,30.10,29.55,29.97,2612000,10.93
2001-06-01,30.00,30.04,29.40,29.60,2023600,10.80
2001-06-04,29.85,30.24,29.81,30.10,2451000,10.98
2001-06-05,30.05,30.75,29.83,30.62,2580600,11.17
2001-06-06,30.37,30.37,29.80,29.82,5121800,10.97
2001-06-07,29.32,29.79,29.24,29.45,2804000,10.83
2001-06-08,29.45,29.69,29.29,29.51,1576000,10.85
2001-06-11,29.95,30.06,29.55,29.64,2538600,10.90
2001-06-12,29.65,30.14,29.62,30.12,1896600,11.08
2001-06-13,30.11,30.48,29.45,29.60,2023400,10.89
2001-06-14,29.60,29.68,29.01,29.12,1575000,10.71
2001-06-15,28.51,29.71,28.51,29.35,2596800,10.80
2001-06-18,29.36,29.54,28.95,28.95,1285600,10.65
2001-06-19,28.75,29.00,28.73,28.99,1180200,10.66
2001-06-20,29.24,29.58,28.50,28.65,1789600,10.54
2001-06-21,28.65,28.85,27.55,28.00,2878400,10.30
2001-06-22,28.25,28.70,27.52,28.36,2175000,10.43
2001-06-25,28.15,28.49,27.70,27.70,3370000,10.19
2001-06-26,27.75,27.99,27.41,27.76,2071800,10.21
2001-06-27,27.70,27.70,27.10,27.34,1753400,10.06
2001-06-28,27.20,27.24,26.40,26.50,3396400,9.75
2001-06-29,26.75,27.04,26.52,26.59,3045600,9.78
2001-07-02,26.83,26.83,26.20,26.40,2570200,9.71
2001-07-03,26.50,26.64,26.22,26.43,944800,9.72
2001-07-05,26.27,27.23,26.27,26.87,2299800,9.88
2001-07-06,26.99,27.40,26.59,27.14,1936400,9.98
2001-07-09,26.89,26.93,26.45,26.50,1582000,9.75
2001-07-10,26.75,27.00,26.35,26.82,2804400,9.87
2001-07-11,26.72,26.85,26.32,26.75,2555800,9.84
2001-07-12,26.70,26.99,26.45,26.92,2092800,9.90
2001-07-13,26.90,27.40,26.62,27.00,1168600,9.93
2001-07-16,27.05,27.25,26.50,26.65,1585200,9.80
2001-07-17,26.64,26.91,26.45,26.57,2405600,9.77
2001-07-18,26.37,26.37,25.51,25.65,3310600,9.43
2001-07-19,26.25,26.39,25.87,26.07,2537600,9.59
2001-07-20,26.03,26.35,26.00,26.19,3323800,9.63
2001-07-23,26.25,26.69,26.20,26.35,1909800,9.69
2001-07-24,26.35,26.45,25.56,25.76,2210400,9.48
2001-07-25,25.90,26.90,25.77,26.76,2306400,9.84
2001-07-26,26.90,27.40,26.62,27.19,2848800,10.00
2001-07-27,27.47,27.65,26.80,27.40,2232600,10.08
2001-07-30,28.00,28.00,27.55,27.75,1789600,10.21
2001-07-31,27.75,28.10,27.52,27.64,1704200,10.17
2001-08-01,27.90,28.00,27.30,27.42,1708400,10.09
2001-08-02,27.55,27.73,27.20,27.55,1543800,10.13
2001-08-03,27.55,27.59,27.02,27.30,1011000,10.04
2001-08-06,27.32,27.52,26.98,27.09,1137600,9.96
2001-08-07,27.30,27.68,27.20,27.26,1586000,10.03
2001-08-08,27.40,27.65,26.61,26.76,1363000,9.84
2001-08-09,26.76,27.15,26.45,27.05,1635800,9.95
2001-08-10,26.90,27.72,26.82,27.44,799000,10.09
2001-08-13,27.60,27.87,27.46,27.48,1045600,10.11
2001-08-14,27.52,27.80,27.25,27.59,1243400,10.15
2001-08-15,27.69,28.85,27.69,28.55,2323800,10.50
2001-08-16,28.47,28.80,28.03,28.40,1806400,10.45
2001-08-17,28.12,28.54,28.00,28.05,1315000,10.32
2001-08-20,28.06,28.13,27.75,28.01,1065800,10.30
2001-08-21,28.03,28.29,27.75,28.00,1375000,10.30
2001-08-22,28.12,28.75,27.49,27.53,2685200,10.13
2001-08-23,27.55,27.92,27.54,27.77,1823000,10.21
2001-08-24,27.80,28.28,27.66,28.14,1418800,10.35
2001-08-27,28.15,28.45,27.88,27.88,1190400,10.25
2001-08-28,28.00,28.25,27.81,27.96,2142400,10.28
2001-08-29,28.21,28.50,27.85,27.90,1642800,10.26
2001-08-30,27.90,28.44,27.51,27.71,1635600,10.19
2001-08-31,27.55,27.86,27.40,27.52,1476000,10.12
2001-09-04,27.57,28.53,27.57,28.20,1565000,10.37
2001-09-05,28.21,28.55,27.83,28.33,2664800,10.42
2001-09-06,28.50,28.65,28.10,28.39,2555800,10.54
2001-09-07,28.64,28.64,28.15,28.41,3869600,10.54
2001-09-10,28.25,28.45,27.85,28.00,1935600,10.39
2001-09-17,27.00,27.50,26.90,27.15,3588400,10.08
2001-09-18,27.10,27.10,26.02,26.02,1901800,9.66
2001-09-19,25.65,25.85,24.11,24.66,3895800,9.15
2001-09-20,24.36,24.47,23.93,24.05,3513600,8.92
2001-09-21,22.40,24.30,22.40,23.80,4022800,8.83
2001-09-24,23.40,23.57,22.62,22.87,4711000,8.49
2001-09-25,22.70,22.88,21.90,21.90,4729200,8.13
2001-09-26,22.25,23.00,22.01,22.68,2946200,8.42
2001-09-27,22.69,23.89,22.40,23.39,1674600,8.68
2001-09-28,23.64,24.49,23.61,24.34,2839600,9.03
2001-10-01,24.34,24.34,23.20,24.05,1858200,8.92
2001-10-02,24.30,24.80,23.85,24.80,1770600,9.20
2001-10-03,24.10,24.29,23.82,24.04,2913200,8.92
2001-10-04,24.40,24.90,24.22,24.77,2901200,9.19
2001-10-05,24.80,25.34,24.35,25.30,3550400,9.39
2001-10-08,25.30,25.80,25.00,25.64,2949800,9.51
2001-10-09,25.64,25.98,25.24,25.70,1983200,9.54
2001-10-10,25.75,26.39,25.61,26.24,2826800,9.74
2001-10-11,26.24,26.55,25.78,26.49,2337800,9.83
2001-10-12,26.25,26.55,25.70,26.15,1398000,9.70
2001-10-15,26.05,26.14,25.01,25.39,1822200,9.42
2001-10-16,25.39,25.89,25.29,25.39,2605400,9.42
