Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,46.88,47.62,46.69,47.38,2542100,34.64
2000-12-13,47.31,48.69,47.31,48.44,3962700,35.42
2000-12-14,48.06,49.94,47.88,49.75,6014700,36.38
2000-12-15,48.50,49.69,48.50,48.81,9470800,35.69
2000-12-18,49.38,49.44,47.75,49.31,5112200,36.06
2000-12-19,49.25,49.75,49.00,49.19,4962600,35.97
2000-12-20,48.62,49.62,47.81,48.88,3797700,35.74
2000-12-21,49.00,49.75,48.50,48.75,3612100,35.65
2000-12-22,48.94,49.00,47.56,48.62,3374800,35.56
2000-12-26,48.81,49.25,48.25,48.88,2097600,35.74
2000-12-27,48.94,49.50,48.69,48.88,3164400,35.74
2000-12-28,48.88,48.88,47.88,48.75,3939700,35.65
2000-12-29,48.88,49.56,48.56,49.56,2625100,36.24
2001-01-02,49.38,49.50,48.75,49.38,4267800,36.10
2001-01-03,49.38,49.38,46.38,46.50,7189400,34.00
2001-01-04,46.50,46.50,43.25,44.38,12373700,32.45
2001-01-05,44.94,45.94,44.38,45.31,5041900,33.13
2001-01-08,45.31,46.50,45.25,46.06,3755700,33.68
2001-01-09,46.25,47.19,45.94,46.75,3427400,34.19
2001-01-10,46.56,46.81,45.75,46.00,4079800,33.64
2001-01-11,46.44,46.50,45.38,46.06,3499800,33.68
2001-01-12,46.06,46.12,45.38,45.69,3084900,33.41
2001-01-16,45.75,46.12,45.38,45.94,3153700,33.59
2001-01-17,46.19,46.25,45.12,45.38,4190400,33.18
2001-01-18,45.00,45.75,45.00,45.00,3635800,32.91
2001-01-19,44.50,44.88,43.62,43.81,4159100,32.04
2001-01-22,43.38,44.06,43.00,43.81,2606000,32.04
2001-01-23,43.94,44.31,42.62,43.19,6121000,31.58
2001-01-24,43.62,43.62,42.25,42.75,5642400,31.26
2001-01-25,42.25,43.94,42.25,43.75,5997200,31.99
2001-01-26,44.50,44.88,43.75,44.06,4612700,32.22
2001-01-29,43.80,44.50,43.53,43.65,3283100,31.92
2001-01-30,43.51,44.71,43.20,44.52,4041500,32.55
2001-01-31,44.77,44.85,43.53,44.07,5223500,32.23
2001-02-01,43.67,44.07,42.75,43.67,4880300,31.93
2001-02-02,43.42,45.00,43.20,44.99,5717500,32.90
2001-02-05,44.75,45.25,44.25,44.97,5261000,32.88
2001-02-06,45.35,45.65,44.90,45.26,4030300,33.10
2001-02-07,45.35,47.48,45.35,46.99,6422400,34.36
2001-02-08,46.90,47.00,46.25,46.85,4430000,34.26
2001-02-09,46.95,47.20,46.02,46.20,2423100,33.78
2001-02-12,46.70,47.10,46.05,46.95,3360200,34.33
2001-02-13,46.50,47.17,46.01,47.15,3565900,34.48
2001-02-14,47.20,47.35,46.34,46.70,3602800,34.15
2001-02-15,46.60,46.85,46.25,46.85,3755700,34.26
2001-02-16,46.95,47.44,46.86,47.32,5507700,34.60
2001-02-20,47.50,48.79,47.42,48.50,5478600,35.46
2001-02-21,47.48,47.74,46.90,47.25,7446200,34.55
2001-02-22,47.00,47.08,45.80,46.55,5337600,34.04
2001-02-23,46.30,47.01,45.40,46.38,4247700,33.91
2001-02-26,46.38,46.42,45.54,46.28,3083700,33.84
2001-02-27,45.78,46.64,45.66,46.06,3202800,33.68
2001-02-28,46.31,46.47,45.50,46.08,2251300,33.70
2001-03-01,45.50,46.15,45.08,45.81,3359900,33.50
2001-03-02,45.20,45.86,44.70,44.85,3230200,32.80
