Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,44.00,44.62,43.81,44.00,10434600,27.43
2000-12-13,44.06,46.38,44.06,45.81,19160400,28.56
2000-12-14,45.94,46.19,45.38,45.56,10375200,28.41
2000-12-15,45.25,46.44,45.06,45.44,23440200,28.33
2000-12-18,45.62,46.50,45.00,46.50,11621400,28.99
2000-12-19,46.50,48.00,46.38,47.44,18364800,29.58
2000-12-20,47.50,48.06,46.00,46.38,16844200,28.91
2000-12-21,45.81,46.33,42.50,42.50,20325100,26.50
2000-12-22,44.00,45.44,43.94,44.38,15179400,27.67
2000-12-26,44.62,45.94,44.44,44.69,7661600,27.86
2000-12-27,44.81,46.12,44.81,45.25,8682700,28.21
2000-12-28,45.94,46.31,45.25,45.75,9610900,28.52
2000-12-29,46.25,46.88,45.88,46.00,7724000,28.68
2001-01-02,45.56,46.75,45.50,46.12,10655700,28.76
2001-01-03,46.00,46.44,42.50,43.56,22539500,27.16
2001-01-04,43.88,43.94,41.00,41.81,33064500,26.07
2001-01-05,42.50,43.44,41.62,42.38,18119200,26.42
2001-01-08,43.00,43.38,41.56,41.88,13846000,26.11
2001-01-09,42.25,43.25,42.00,43.25,11225900,26.97
2001-01-10,43.12,43.75,42.25,42.31,14161100,26.38
2001-01-11,42.12,42.38,40.75,41.00,22098000,25.56
2001-01-12,41.00,41.75,40.88,41.44,18387600,25.84
2001-01-16,41.00,42.12,40.94,41.69,16295900,25.99
2001-01-17,41.38,41.38,40.50,40.75,17255700,25.41
2001-01-18,41.12,41.81,40.88,41.12,17133300,25.64
2001-01-19,41.00,41.50,40.62,41.38,16545300,25.80
2001-01-22,41.75,42.44,41.44,42.12,14709000,26.26
2001-01-23,41.75,42.94,41.62,42.88,12208900,26.73
2001-01-24,42.88,43.19,42.25,42.94,21559000,26.77
2001-01-25,43.00,44.94,42.88,44.44,14745400,27.71
2001-01-26,44.94,45.12,44.00,44.31,14351900,27.63
2001-01-29,44.32,44.90,43.09,43.30,10291000,27.00
2001-01-30,43.55,44.60,43.07,44.28,9589500,27.61
2001-01-31,44.28,45.15,43.39,45.15,13045200,28.15
2001-02-01,45.15,45.21,44.51,45.21,9538700,28.19
2001-02-02,45.19,45.24,44.66,44.90,9906100,27.99
2001-02-05,44.90,46.00,44.71,45.75,11377900,28.52
2001-02-06,46.70,46.71,45.59,45.85,15564500,28.59
2001-02-07,45.85,46.20,44.50,44.50,19117000,27.74
2001-02-08,44.70,45.28,44.02,44.75,11761800,27.90
2001-02-09,44.85,46.05,44.76,45.04,10115100,28.08
2001-02-12,45.25,46.12,45.07,46.12,10924100,28.76
2001-02-13,45.29,45.29,44.56,45.03,14356100,28.08
2001-02-14,44.65,45.48,44.26,45.20,11218000,28.25
2001-02-15,44.55,44.75,43.55,44.25,12204300,27.66
2001-02-16,43.95,45.53,43.95,45.26,14790600,28.29
2001-02-20,45.27,45.95,44.80,44.87,11025900,28.04
2001-02-21,45.10,46.00,44.75,44.81,12084500,28.01
2001-02-22,45.95,46.00,44.68,45.09,17276200,28.18
2001-02-23,45.09,45.15,44.32,44.82,9996800,28.01
2001-02-26,44.25,45.25,44.00,45.25,11181500,28.28
2001-02-27,45.07,45.44,44.91,45.21,8087800,28.26
2001-02-28,45.25,45.48,44.45,45.00,14031300,28.13
2001-03-01,44.98,44.98,43.80,44.10,14837300,27.56
2001-03-02,44.30,44.52,43.22,43.61,15909500,27.26
2001-03-05,43.54,44.07,42.89,43.83,10063100,27.39
2001-03-06,44.47,44.47,42.91,43.10,10659300,26.94
2001-03-07,42.70,42.84,41.77,41.95,15972100,26.22
2001-03-08,41.96,42.45,41.50,42.00,13707900,26.25
2001-03-09,42.37,42.83,42.13,42.45,11227300,26.53
2001-03-12,41.70,42.25,40.00,40.35,13750200,25.22
2001-03-13,40.10,40.25,38.25,39.90,21433500,24.94
2001-03-14,39.00,39.50,38.20,39.00,18618900,24.38
2001-03-15,39.00,39.20,38.00,38.55,18045500,24.09
2001-03-16,38.02,38.40,36.89,37.37,28063000,23.36
2001-03-19,37.05,37.99,37.05,37.60,14040900,23.50
2001-03-20,38.00,38.21,37.10,37.22,15353400,23.26
2001-03-21,37.35,37.50,35.71,35.98,17576100,22.49
2001-03-22,35.91,36.01,34.10,35.67,27416100,22.29
2001-03-23,36.70,37.78,36.01,37.53,20882000,23.46
2001-03-26,38.25,39.50,37.40,38.74,15798700,24.21
2001-03-27,39.00,40.00,38.54,39.98,15243100,24.99
2001-03-28,39.90,40.29,39.02,39.93,12059700,24.96
2001-03-29,39.95,41.02,39.05,39.99,15641000,24.99
2001-03-30,40.30,40.95,39.60,40.95,14502100,25.59
2001-04-02,40.75,40.87,38.50,38.95,15844200,24.34
2001-04-03,39.20,39.98,38.50,39.02,16348200,24.39
2001-04-04,38.77,40.37,38.70,39.75,13844800,24.84
2001-04-05,40.45,40.85,39.79,40.80,12532100,25.50
2001-04-06,40.20,41.08,40.00,41.08,11796900,25.68
2001-04-09,41.59,41.99,41.51,41.97,10380500,26.23
2001-04-10,42.00,42.03,40.30,41.00,14440400,25.63
2001-04-11,39.21,40.13,39.13,40.00,17350000,25.00
2001-04-12,40.00,40.81,39.68,40.70,10839300,25.44
2001-04-16,41.36,41.74,40.48,40.90,10990500,25.56
2001-04-17,40.35,42.49,40.32,42.41,12432400,26.51
2001-04-18,41.50,42.75,40.60,40.90,27480400,25.56
2001-04-19,40.30,40.69,39.80,39.80,24579400,24.88
2001-04-20,39.75,40.90,39.51,40.76,19537200,25.48
2001-04-23,40.90,41.26,40.76,41.00,11785400,25.63
2001-04-24,41.00,41.47,40.11,40.52,11114300,25.33
2001-04-25,40.55,41.25,40.42,40.91,10232900,25.57
2001-04-26,41.00,42.59,40.75,42.50,16881200,26.56
2001-04-27,42.09,43.20,41.91,43.12,13011900,26.95
2001-04-30,43.02,43.96,43.00,43.30,13977200,27.06
2001-05-01,43.30,43.75,43.01,43.62,9380000,27.26
2001-05-02,43.25,43.48,42.45,43.19,10537900,26.99
2001-05-03,43.30,43.42,41.92,42.25,12509300,26.41
2001-05-04,42.17,43.65,42.10,43.46,9231600,27.16
2001-05-07,43.30,43.89,43.21,43.77,7889000,27.36
2001-05-08,43.20,44.05,43.09,44.01,9057000,27.51
2001-05-09,44.04,44.45,43.56,44.45,11079300,27.78
2001-05-10,44.00,44.42,43.44,43.74,8316800,27.34
2001-05-11,43.73,44.24,42.80,43.00,9048100,26.88
