Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,71.25,73.50,70.50,71.94,9310400,25.30
2000-12-13,71.62,72.62,71.25,72.44,3784400,25.48
2000-12-14,71.50,74.75,71.38,73.50,6285000,25.85
2000-12-15,71.38,73.81,71.38,71.38,12218400,25.11
2000-12-18,72.62,73.38,71.94,72.62,5726600,25.55
2000-12-19,72.69,74.75,71.81,73.12,5351600,25.72
2000-12-20,72.62,74.88,71.88,72.56,8324800,25.52
2000-12-21,72.56,74.88,72.31,74.50,6419800,26.21
2000-12-22,74.50,74.50,72.50,73.75,5491800,25.94
2000-12-26,73.69,74.75,72.75,74.44,3554400,26.18
2000-12-27,74.38,79.31,74.00,76.50,14896000,26.91
2000-12-28,77.00,77.62,75.31,77.25,6080000,27.17
2000-12-29,77.50,78.94,76.38,78.44,5280000,27.59
2001-01-02,78.12,78.88,76.75,78.50,6847800,27.61
2001-01-03,78.50,79.19,74.00,74.62,11180000,26.25
2001-01-04,74.56,74.62,71.31,72.31,8341600,25.44
2001-01-05,72.25,75.44,71.62,74.94,8553800,26.36
2001-01-08,74.31,77.31,74.25,76.56,7241800,26.93
2001-01-09,75.75,75.75,73.62,74.62,9482600,26.25
2001-01-10,73.62,74.50,72.44,73.81,5750600,25.96
2001-01-11,73.81,74.12,71.75,72.75,5691800,25.59
2001-01-12,73.25,73.31,70.06,70.31,7568000,24.73
2001-01-16,70.94,72.50,70.50,71.94,4671000,25.30
2001-01-17,71.62,71.75,69.94,70.19,7610400,24.81
2001-01-18,70.12,72.25,69.75,70.81,6797400,25.03
2001-01-19,70.06,70.62,69.75,69.94,6254800,24.72
2001-01-22,69.88,70.50,68.25,69.12,6206800,24.43
2001-01-23,68.69,70.75,68.31,69.44,5566000,24.55
2001-01-24,69.88,70.12,68.12,69.94,4528200,24.72
2001-01-25,69.25,70.69,69.00,69.94,5454800,24.72
2001-01-26,70.62,71.50,68.75,69.25,6207600,24.48
2001-01-29,69.00,69.24,66.75,66.85,9223600,23.63
2001-01-30,69.50,71.40,69.25,71.10,11224800,25.13
2001-01-31,71.00,72.00,69.50,71.84,8331800,25.39
2001-02-01,72.00,74.13,71.84,73.95,7553400,26.14
2001-02-02,74.30,74.55,73.30,73.76,7393400,26.07
