Date,Open,High,Low,Close,Volume,Adj Close
2008-03-17,50.00,52.65,49.24,49.39,1988000,37.59
2008-03-18,49.85,52.00,47.75,49.60,8067600,37.75
2008-03-19,49.60,51.00,46.90,50.10,3007700,38.13
2008-03-20,50.20,50.20,48.87,49.15,3007700,37.41
2008-03-24,49.81,51.00,49.81,51.00,1437000,38.82
2008-03-25,51.40,51.75,50.60,51.75,1100800,39.39
2008-03-26,51.70,52.47,50.30,50.30,2023200,38.28
2008-03-27,50.95,52.03,50.00,50.68,8653300,38.57
2008-03-28,50.95,52.50,50.56,51.06,9961200,38.86
2008-03-31,52.40,54.70,50.00,50.58,19408900,38.50
2008-04-01,51.10,52.19,49.01,50.58,23322500,38.50
2008-04-02,51.16,52.07,50.15,51.21,12944700,38.97
2008-04-03,51.00,51.50,50.40,51.05,12439100,38.85
2008-04-04,51.48,51.48,50.80,51.37,6651000,39.10
2008-04-07,51.60,51.60,50.50,50.67,7099300,38.56
2008-04-08,50.41,51.01,50.21,50.60,8283300,38.51
2008-04-09,50.50,50.59,49.15,49.38,8916200,37.58
2008-04-10,49.49,49.91,48.50,48.66,14321900,37.03
2008-04-11,48.49,48.89,48.08,48.33,11400700,36.78
2008-04-14,48.30,48.35,47.43,48.00,11532500,36.53
2008-04-15,47.78,48.35,47.78,48.20,9603400,36.68
2008-04-16,48.41,49.61,48.35,49.46,14837600,37.64
2008-04-17,49.72,50.00,49.42,49.85,6660700,37.94
2008-04-18,50.49,50.94,49.38,49.96,9630700,38.02
2008-04-21,50.20,50.89,49.13,50.63,6528300,38.53
2008-04-22,50.60,50.90,49.92,50.07,5504900,38.11
2008-04-23,51.00,52.34,50.90,52.00,13532300,39.58
2008-04-24,52.00,52.43,51.50,52.00,5847500,39.58
2008-04-25,52.14,52.18,50.75,51.30,11399700,39.04
2008-04-28,50.94,51.30,50.75,51.07,8382500,38.87
2008-04-29,51.44,52.20,50.26,52.01,12325300,39.58
2008-04-30,51.70,52.01,50.91,51.03,8733100,38.84
2008-05-01,50.83,51.17,50.62,50.75,7120800,38.62
2008-05-02,50.90,51.10,50.40,51.02,9291100,38.83
2008-05-05,50.87,51.63,50.63,50.81,8398500,38.67
2008-05-06,50.90,51.95,50.85,51.88,7588300,39.48
2008-05-07,51.97,52.20,51.31,51.69,6391400,39.34
2008-05-08,51.65,52.21,51.50,52.20,6669700,39.73
2008-05-09,51.90,52.46,51.53,51.83,5491700,39.45
2008-05-12,51.98,52.54,51.30,52.47,5851300,39.93
2008-05-13,52.42,52.84,52.04,52.46,5986600,39.93
2008-05-14,52.51,52.85,52.40,52.67,5381500,40.09
2008-05-15,52.51,53.31,52.10,53.25,8376500,40.53
2008-05-16,53.23,53.50,52.35,53.38,7172600,40.63
2008-05-19,53.49,53.95,52.93,53.63,6580200,40.82
2008-05-20,53.30,53.94,52.82,52.91,6887400,40.27
2008-05-21,53.04,53.18,51.83,51.98,6784200,39.56
2008-05-22,51.82,52.77,51.78,52.28,5135200,39.79
2008-05-23,52.10,52.98,51.75,51.80,5197400,39.42
2008-05-27,51.92,51.94,51.12,51.63,6505400,39.29
2008-05-28,51.70,51.90,50.83,51.16,13524100,38.94
2008-05-29,50.96,52.16,50.93,52.02,7386900,39.59
2008-05-30,52.07,52.99,51.81,52.66,7047800,40.08
2008-06-02,52.15,52.70,51.92,52.11,8668100,39.66
2008-06-03,52.10,52.62,51.67,51.67,6552400,39.33
2008-06-04,51.69,52.27,51.50,51.95,6407400,39.54
2008-06-05,52.03,52.24,51.54,51.81,6407400,39.43
2008-06-06,51.50,51.51,50.40,50.50,10198500,38.43
2008-06-09,50.80,50.95,49.18,49.49,9937000,37.67
2008-06-10,49.01,49.65,48.53,49.49,8847000,37.67
2008-06-11,49.49,50.60,49.12,49.86,12367200,37.95
2008-06-12,49.87,51.38,49.87,51.29,11782900,39.04
2008-06-13,51.28,51.88,50.70,51.61,7365600,39.28
2008-06-16,51.17,51.17,50.24,50.73,8251100,38.61
2008-06-17,50.55,50.97,50.12,50.63,5633800,38.53
2008-06-18,50.22,50.56,49.82,49.90,9967500,37.98
2008-06-19,49.80,50.58,49.70,50.40,9591400,38.36
2008-06-20,50.07,50.59,49.77,50.22,11448200,38.22
2008-06-23,50.33,50.70,49.90,50.64,6625800,38.54
2008-06-24,50.25,51.54,50.05,51.17,8976600,38.94
2008-06-25,51.45,52.75,51.25,51.77,10334100,39.40
2008-06-26,51.10,51.54,50.15,50.15,12055000,38.51
2008-06-27,50.11,50.25,49.22,49.83,15397700,38.26
2008-06-30,49.80,50.17,48.84,49.39,9972600,37.93
2008-07-01,49.03,50.59,48.73,50.39,11092000,38.69
2008-07-02,50.47,51.07,49.87,50.60,7956400,38.86
2008-07-03,50.57,51.51,50.29,51.47,5151300,39.52
2008-07-07,51.47,52.33,51.10,51.85,8395000,39.82
2008-07-08,51.73,54.00,51.56,53.77,13977700,41.29
2008-07-09,53.72,54.43,53.25,54.00,10411300,41.47
2008-07-10,53.89,53.99,52.71,53.44,11581100,41.04
2008-07-11,52.93,53.84,52.25,53.37,6588500,40.98
2008-07-14,53.26,53.89,52.75,53.56,8298900,41.13
2008-07-15,52.89,53.87,52.32,53.30,8306600,40.93
