Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,98.12,99.25,89.69,89.81,42861200,38.25
2000-12-13,92.25,95.62,91.06,91.31,31667600,38.89
2000-12-14,91.06,94.50,87.75,88.06,21760400,37.51
2000-12-15,85.38,86.50,79.00,79.56,57547800,33.89
2000-12-18,81.25,86.75,81.25,85.44,31734000,36.39
2000-12-19,86.25,92.81,83.12,83.44,37262600,35.54
2000-12-20,81.88,84.00,74.25,77.12,44586200,32.85
2000-12-21,77.12,82.50,74.25,75.81,35720200,32.29
2000-12-22,78.62,85.00,78.50,85.00,32830200,36.20
2000-12-26,84.25,86.12,80.62,83.81,16418600,35.70
2000-12-27,84.31,90.12,84.00,89.88,26665200,38.28
2000-12-28,89.69,90.62,86.62,89.38,20138800,38.06
2000-12-29,89.50,91.75,81.31,82.19,23929400,35.00
2001-01-02,81.88,82.25,70.31,70.88,36380600,30.19
2001-01-03,69.12,85.75,69.06,84.06,47526000,35.80
2001-01-04,79.00,82.38,76.75,78.94,40355600,33.62
2001-01-05,79.38,79.81,72.56,73.06,31656400,31.12
2001-01-08,73.00,78.00,71.75,77.88,23359400,33.17
2001-01-09,75.12,76.31,71.69,73.25,29433000,31.20
2001-01-10,69.38,72.62,67.75,72.44,35403600,30.85
2001-01-11,70.25,74.06,69.56,70.56,25866400,30.05
2001-01-12,71.88,75.06,70.56,71.81,22619600,30.58
2001-01-16,69.62,71.12,68.44,70.94,21852600,30.21
2001-01-17,73.00,74.44,71.56,73.00,26540000,31.09
2001-01-18,73.62,74.00,71.44,73.06,23147800,31.12
2001-01-19,74.38,74.44,70.00,70.38,25167400,29.97
2001-01-22,70.44,75.72,69.31,75.44,33483800,32.13
2001-01-23,76.31,79.88,76.12,77.62,37063200,33.06
2001-01-24,78.38,78.39,72.88,74.25,28724200,31.62
2001-01-25,74.12,76.50,72.88,73.94,31479800,31.49
2001-01-26,76.94,81.38,75.75,81.00,57665400,34.50
2001-01-29,80.19,87.00,79.50,86.81,34226200,36.97
2001-01-30,85.75,86.00,83.03,85.69,22811800,36.49
2001-01-31,86.00,86.62,83.94,84.06,22513800,35.80
2001-02-01,83.12,85.50,80.94,85.25,22344000,36.31
2001-02-02,84.12,89.12,83.25,86.81,44556200,36.97
2001-02-05,85.81,88.48,85.12,86.44,21904200,36.81
2001-02-06,85.88,87.38,81.81,82.94,16467400,35.32
2001-02-07,81.56,87.75,80.94,86.62,28307600,36.89
2001-02-08,86.44,89.38,84.62,84.75,25561800,36.09
2001-02-09,84.00,86.00,77.75,79.12,25314800,33.70
2001-02-12,79.06,84.94,79.00,82.88,26479400,35.30
2001-02-13,85.50,87.12,80.44,80.50,24444800,34.28
2001-02-14,81.56,84.00,79.75,83.38,24141800,35.51
2001-02-15,84.53,87.94,84.44,85.62,25560200,36.47
2001-02-16,81.25,83.38,79.94,80.62,23395000,34.34
2001-02-20,80.44,81.88,75.38,75.52,24447400,32.16
2001-02-21,72.75,75.81,69.88,71.25,32640000,30.35
2001-02-22,69.88,70.50,63.06,66.94,51144600,28.51
2001-02-23,59.12,62.62,50.12,61.81,149932400,26.33
2001-02-26,62.88,64.19,58.75,63.06,53842800,26.86
2001-02-27,61.69,61.75,55.44,55.62,47386000,23.69
2001-02-28,56.00,58.50,52.12,54.81,57997000,23.34
2001-03-01,55.12,61.50,54.94,61.19,55642200,26.06
2001-03-02,59.69,64.75,59.50,60.50,54743000,25.77
2001-03-05,61.12,63.25,59.50,62.94,22659000,26.80
2001-03-06,64.88,66.47,58.19,59.06,41703600,25.15
2001-03-07,61.00,61.31,56.06,57.62,45456400,24.54
2001-03-08,57.69,59.25,57.19,57.25,22061200,24.38
2001-03-09,55.88,57.25,51.94,51.94,33687600,22.12
2001-03-12,51.00,54.00,47.25,48.06,48112000,20.47
2001-03-13,48.62,53.00,47.56,52.81,42182600,22.49
2001-03-14,49.89,53.56,49.00,51.31,40149000,21.85
2001-03-15,53.62,55.12,52.12,52.19,26985600,22.23
2001-03-16,50.38,51.38,49.25,50.31,30580400,21.43
2001-03-19,50.50,59.62,50.25,58.19,44608600,24.78
2001-03-20,58.00,59.50,53.38,54.00,42417400,23.00
2001-03-21,54.81,59.12,54.12,58.12,43807600,24.76
2001-03-22,58.25,59.56,53.00,56.88,59501800,24.22
2001-03-23,59.38,59.94,56.06,58.88,35733800,25.07
2001-03-26,59.38,61.12,55.12,56.62,38035000,24.12
2001-03-27,57.06,61.00,56.62,59.88,43913800,25.50
2001-03-28,58.38,58.75,53.62,54.81,39496800,23.34
2001-03-29,52.38,56.12,52.00,54.69,36864200,23.29
2001-03-30,54.94,57.69,52.56,56.62,29803400,24.12
2001-04-02,55.50,57.50,50.94,51.50,37414800,21.93
2001-04-03,52.00,52.75,45.69,45.75,49397200,19.48
