Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,29.56,29.62,28.75,29.00,1231200,20.10
2000-12-13,29.12,29.25,28.25,28.25,870200,19.58
2000-12-14,28.12,29.12,28.12,28.62,1032200,19.84
2000-12-15,28.69,29.06,28.62,28.88,1054900,20.01
2000-12-18,28.94,29.12,28.88,28.94,874200,20.06
2000-12-19,28.94,30.00,28.88,29.94,1384000,20.75
2000-12-20,30.12,30.12,29.56,29.62,776700,20.53
2000-12-21,29.62,29.81,28.94,29.25,1412900,20.27
2000-12-22,29.94,30.22,29.25,29.62,942000,20.53
2000-12-26,29.56,29.69,29.38,29.44,650400,20.40
2000-12-27,29.31,29.94,29.25,29.94,755600,20.75
2000-12-28,29.56,30.56,29.38,30.50,721000,21.28
2000-12-29,30.75,31.50,30.62,31.06,492900,21.67
2001-01-02,31.00,31.62,30.62,30.69,784100,21.41
2001-01-03,30.69,31.50,30.69,31.12,732100,21.72
2001-01-04,31.38,31.44,30.50,30.94,778500,21.59
2001-01-05,30.88,30.88,30.06,30.25,610200,21.11
2001-01-08,30.25,30.56,29.75,29.75,854400,20.76
2001-01-09,30.00,31.50,30.00,31.50,1788600,21.98
2001-01-10,31.56,33.00,31.56,32.75,1663100,22.85
2001-01-11,32.75,32.81,31.06,31.19,810600,21.76
2001-01-12,31.19,31.50,30.69,31.25,704600,21.80
2001-01-16,30.75,30.88,30.12,30.62,623800,21.37
2001-01-17,30.75,30.88,29.94,30.19,382800,21.06
2001-01-18,30.12,30.38,29.62,29.81,690900,20.80
2001-01-19,29.94,30.88,29.50,29.56,977800,20.63
2001-01-22,29.44,30.88,29.44,30.69,1064500,21.41
2001-01-23,30.94,32.56,30.94,32.12,1368200,22.41
2001-01-24,32.00,32.12,31.50,31.69,727900,22.11
2001-01-25,31.75,34.94,31.69,34.94,1446200,24.38
2001-01-26,34.75,35.19,33.50,34.31,1093100,23.94
2001-01-29,34.25,34.84,34.20,34.68,1100700,24.20
2001-01-30,34.43,35.32,33.55,35.30,969300,24.63
2001-01-31,34.90,35.67,34.90,35.19,1079800,24.55
2001-02-01,35.20,36.68,35.10,36.59,1231200,25.53
2001-02-02,36.59,36.59,35.22,35.50,3563800,24.77
2001-02-05,35.85,36.13,35.71,35.84,1352800,25.01
