Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,43.94,45.94,43.50,44.94,7048000,10.50
2000-12-13,45.25,45.62,43.94,44.06,5716800,10.30
2000-12-14,44.25,44.62,43.44,43.56,7110000,10.18
2000-12-15,43.38,43.50,41.38,41.88,16229600,9.79
2000-12-18,42.19,44.06,41.62,43.56,8323200,10.18
2000-12-19,43.69,45.94,43.62,45.12,9775600,10.55
2000-12-20,44.81,44.88,43.56,44.00,10814400,10.28
2000-12-21,44.00,46.00,43.62,44.94,8249600,10.50
2000-12-22,45.38,45.88,44.25,45.25,7167600,10.58
2000-12-26,45.31,45.50,44.25,45.00,4194400,10.52
2000-12-27,44.56,45.12,44.06,44.25,9972800,10.34
2000-12-28,44.06,44.62,43.56,44.38,7653600,10.37
2000-12-29,44.50,45.19,43.94,44.25,5623200,10.34
2001-01-02,43.92,44.19,41.31,42.06,8219200,9.83
2001-01-03,42.00,44.25,40.69,43.25,12007200,10.11
2001-01-04,42.81,42.88,40.38,41.12,12069600,9.61
2001-01-05,42.44,43.19,41.69,41.75,14024000,9.76
2001-01-08,41.25,42.94,41.25,42.44,7706000,9.92
2001-01-09,42.56,43.25,41.69,41.75,4422400,9.76
2001-01-10,41.25,44.31,41.00,44.00,10256000,10.28
2001-01-11,43.50,44.62,43.50,44.31,6018800,10.36
2001-01-12,43.69,44.75,43.56,44.75,8324000,10.46
2001-01-16,44.25,45.62,44.25,44.81,5702800,10.47
2001-01-17,44.94,45.62,44.38,44.81,5878000,10.47
2001-01-18,45.31,45.81,44.88,45.44,6207200,10.62
2001-01-19,45.06,46.75,44.88,46.31,7902400,10.83
2001-01-22,46.50,46.62,44.75,45.25,5593600,10.58
2001-01-23,45.06,46.56,45.00,46.38,4922800,10.84
2001-01-24,46.50,46.62,42.75,43.38,12396400,10.14
2001-01-25,43.56,43.94,41.81,42.81,9875600,10.01
2001-01-26,44.56,45.81,44.50,45.62,11306800,10.66
2001-01-29,45.69,49.38,45.50,49.25,23499200,11.51
2001-01-30,48.69,48.88,47.25,48.75,9238800,11.40
2001-01-31,48.69,50.06,48.69,49.94,15963600,11.67
2001-02-01,49.38,49.69,48.25,49.06,10308800,11.47
2001-02-02,48.38,48.88,47.62,47.88,11794000,11.19
