Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,73.75,74.38,72.38,73.38,6886000,30.59
2000-12-13,73.56,74.81,71.75,72.00,9114200,30.01
2000-12-14,72.31,73.81,70.44,70.50,5136000,29.39
2000-12-15,70.31,72.88,70.06,71.94,6299400,29.99
2000-12-18,72.94,77.19,72.88,77.00,8165200,32.10
2000-12-19,76.50,80.94,76.50,79.75,10096600,33.24
2000-12-20,79.31,79.62,75.19,75.38,9137200,31.42
2000-12-21,75.38,75.69,74.19,75.00,8684200,31.34
2000-12-22,75.50,76.69,75.12,76.50,6404400,31.97
2000-12-26,76.81,81.75,76.81,80.94,5614200,33.82
2000-12-27,80.94,81.94,78.69,80.25,5103200,33.54
2000-12-28,79.81,81.88,79.31,81.44,4469200,34.03
2000-12-29,81.50,82.44,79.94,79.94,3986600,33.40
2001-01-02,80.19,82.81,80.19,81.75,6675800,34.16
2001-01-03,81.44,81.50,78.75,79.75,12393800,33.33
2001-01-04,79.00,79.06,75.00,77.69,11791400,32.46
2001-01-05,77.69,79.25,76.19,76.75,6584200,32.07
2001-01-08,77.44,78.44,76.50,77.00,4615000,32.18
2001-01-09,78.56,78.88,76.38,77.19,7282400,32.26
2001-01-10,77.00,78.88,76.88,78.25,7696000,32.70
2001-01-11,79.19,80.62,78.38,80.44,9695000,33.61
2001-01-12,80.00,81.25,79.62,81.06,5219600,33.87
2001-01-16,81.06,81.75,78.88,80.56,7114000,33.67
2001-01-17,78.50,78.50,75.62,76.50,9685600,31.97
2001-01-18,76.56,77.38,72.38,72.81,10294000,30.43
2001-01-19,72.88,74.06,71.62,73.69,8969400,30.79
2001-01-22,74.00,75.12,72.94,73.62,6045400,30.77
2001-01-23,74.56,75.06,73.06,73.88,6757200,30.87
2001-01-24,75.00,76.62,73.56,75.50,5649800,31.55
2001-01-25,75.56,79.00,74.69,78.94,9040200,32.99
2001-01-26,78.88,78.94,76.56,77.31,7697000,32.31
2001-01-29,76.50,76.90,75.16,75.63,5055800,31.60
2001-01-30,76.30,76.75,74.70,75.50,5095000,31.55
2001-01-31,75.75,76.85,75.10,76.80,4706600,32.09
2001-02-01,75.80,75.81,74.64,75.51,3812400,31.55
2001-02-02,76.51,77.45,76.00,77.00,4939600,32.18
2001-02-05,77.00,78.65,77.00,78.01,6697800,32.60
2001-02-06,78.36,79.55,76.95,79.29,6371800,33.13
2001-02-07,78.95,79.91,78.00,79.16,8329200,33.08
2001-02-08,79.16,79.88,78.22,78.39,5878200,32.76
2001-02-09,79.00,79.85,77.76,78.20,4858200,32.68
2001-02-12,74.50,75.10,68.50,69.00,30477000,28.83
2001-02-13,68.00,68.40,63.80,64.02,37295200,26.75
2001-02-14,64.74,65.84,63.50,65.44,27961000,27.35
2001-02-15,65.50,65.50,63.38,64.25,15092400,26.85
2001-02-16,65.00,65.39,63.55,64.50,17278800,26.95
2001-02-20,64.95,65.70,64.50,64.98,11110000,27.23
2001-02-21,63.50,64.74,63.20,63.30,11131800,26.53
2001-02-22,64.80,65.30,62.00,62.44,11803000,26.17
2001-02-23,62.60,63.25,59.71,60.01,12068000,25.15
2001-02-26,61.90,65.00,61.53,64.65,15737800,27.10
2001-02-27,64.70,64.96,64.00,64.40,8766200,26.99
2001-02-28,64.60,64.74,62.90,63.75,7727000,26.72
2001-03-01,63.80,64.54,63.00,63.32,8348400,26.54
2001-03-02,63.60,66.00,63.17,65.40,8198600,27.41
2001-03-05,65.48,67.20,65.05,66.23,5393600,27.76
2001-03-06,66.00,67.56,65.50,67.09,5632000,28.12
2001-03-07,67.10,69.21,67.10,69.20,8284600,29.00
2001-03-08,68.75,69.56,67.50,68.96,7693200,28.90
2001-03-09,68.60,69.60,67.84,68.71,7160800,28.80
2001-03-12,68.72,69.35,66.43,67.99,6853600,28.50
2001-03-13,67.60,67.60,65.85,66.15,6283200,27.72
2001-03-14,66.00,67.45,64.66,65.10,6947200,27.28
2001-03-15,65.10,65.60,63.00,63.64,7691400,26.67
2001-03-16,62.10,63.80,61.00,61.20,12111800,25.65
2001-03-19,61.85,64.00,61.85,63.46,6448000,26.60
2001-03-20,64.15,66.30,63.73,65.06,7572400,27.27
2001-03-21,63.65,65.06,62.80,63.00,6491400,26.40
2001-03-22,62.52,62.67,59.80,60.96,10645400,25.55
2001-03-23,61.85,63.90,60.77,62.81,7771000,26.32
2001-03-26,63.40,64.75,63.40,63.80,6153000,26.74
2001-03-27,64.30,64.73,62.05,62.80,6205400,26.32
2001-03-28,62.60,62.69,60.30,60.54,6342600,25.37
2001-03-29,59.60,59.82,57.30,57.79,10501200,24.22
2001-03-30,58.00,59.49,57.52,57.61,14008800,24.14
2001-04-02,57.75,57.85,54.62,55.26,10109000,23.16
2001-04-03,55.90,56.10,52.84,53.04,12499200,22.23
2001-04-04,53.50,55.51,53.35,54.03,12803400,22.64
2001-04-05,55.37,57.35,54.82,56.99,10900200,23.88
2001-04-06,56.07,58.96,55.41,57.95,12761800,24.29
2001-04-09,59.90,60.40,59.00,60.30,9108600,25.27
2001-04-10,61.00,61.79,59.57,61.70,11152000,25.86
2001-04-11,61.50,61.69,60.18,60.18,6420800,25.22
2001-04-12,60.45,61.90,60.45,61.21,10133400,25.65
2001-04-16,61.21,62.56,60.85,62.15,4219600,26.05
2001-04-17,61.75,63.27,61.44,62.64,6406600,26.25
2001-04-18,62.85,63.99,60.76,61.12,12383600,25.62
