Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,28.94,29.19,28.69,29.06,4348300,9.24
2000-12-13,28.88,30.50,28.69,30.50,8524400,9.70
2000-12-14,30.50,30.50,29.88,30.00,4205400,9.54
2000-12-15,29.63,30.44,29.63,30.38,6685800,9.66
2000-12-18,30.50,31.19,30.38,31.19,4221900,9.92
2000-12-19,31.19,31.50,30.69,31.13,3174900,9.90
2000-12-20,31.31,32.81,30.81,32.81,4875100,10.43
2000-12-21,32.63,32.88,32.00,32.56,3591400,10.35
2000-12-22,32.13,32.94,32.00,32.94,2191100,10.47
2000-12-26,32.94,33.81,32.63,33.69,1777800,10.71
2000-12-27,33.69,33.88,33.38,33.63,1531800,10.69
2000-12-28,33.69,33.69,33.06,33.38,1487600,10.61
2000-12-29,33.44,33.50,33.06,33.25,1284400,10.57
2001-01-02,32.75,32.75,32.13,32.25,2247800,10.25
2001-01-03,32.44,33.00,30.69,31.25,4932200,9.94
2001-01-04,30.88,30.88,28.13,29.00,10274300,9.22
2001-01-05,29.06,29.75,28.50,28.50,7414400,9.06
2001-01-08,28.50,29.31,28.50,29.25,2451400,9.30
2001-01-09,29.13,29.31,28.69,29.31,2706100,9.32
2001-01-10,29.31,29.69,28.56,28.88,3286400,9.18
2001-01-11,29.00,29.00,26.75,27.31,4487100,8.68
2001-01-12,27.50,28.06,26.81,28.06,3603300,8.92
2001-01-16,27.50,27.81,26.44,27.81,4831300,8.84
2001-01-17,27.69,28.00,27.13,27.50,2977500,8.74
2001-01-18,27.69,28.00,27.00,27.63,5092600,8.78
2001-01-19,26.88,28.63,26.81,28.19,4772900,8.96
2001-01-22,28.19,28.88,28.06,28.69,2323200,9.12
2001-01-23,28.69,29.56,28.50,28.81,2871300,9.16
2001-01-24,28.81,29.56,28.81,29.25,1988300,9.30
2001-01-25,29.31,29.88,29.25,29.56,2457100,9.40
2001-01-26,29.63,29.81,28.38,29.06,2649300,9.24
2001-01-29,29.31,29.94,29.27,29.41,1544600,9.35
2001-01-30,29.25,29.65,29.05,29.46,2654200,9.37
2001-01-31,29.46,29.46,29.01,29.18,4023000,9.28
2001-02-01,28.84,28.84,28.15,28.47,4063600,9.16
2001-02-02,28.44,28.85,28.37,28.73,2658200,9.24
2001-02-05,28.73,29.25,28.73,29.05,1869300,9.34
2001-02-06,29.05,29.30,28.78,29.25,2070700,9.41
2001-02-07,29.25,29.74,29.10,29.45,2504100,9.47
2001-02-08,29.65,30.06,29.59,30.06,2499500,9.67
2001-02-09,30.12,30.50,30.00,30.19,1987300,9.71
2001-02-12,30.31,30.75,29.85,30.56,4088500,9.83
2001-02-13,30.55,30.73,29.96,30.45,3467300,9.79
2001-02-14,30.50,30.64,29.91,30.22,2382300,9.72
2001-02-15,30.21,30.22,29.40,29.60,4061700,9.52
2001-02-16,30.24,30.41,30.05,30.33,2784500,9.76
2001-02-20,30.33,30.92,30.25,30.86,2825300,9.93
2001-02-21,31.00,31.13,30.54,30.55,2847200,9.83
2001-02-22,30.65,31.40,30.09,30.58,2410700,9.84
2001-02-23,30.58,30.98,29.41,30.17,2728500,9.70
2001-02-26,30.17,30.63,30.16,30.45,2029900,9.79
2001-02-27,30.40,30.85,30.32,30.83,2328300,9.92
2001-02-28,30.80,31.08,30.25,30.95,3251700,9.96
2001-03-01,31.00,31.35,30.67,30.98,3256600,9.97
2001-03-02,31.30,31.43,30.80,31.30,3928400,10.07
2001-03-05,31.40,31.59,31.13,31.41,1588400,10.10
2001-03-06,31.42,31.45,31.11,31.25,1816800,10.05
2001-03-07,31.26,31.42,30.85,30.96,3006700,9.96
2001-03-08,31.21,31.37,30.94,31.16,2340600,10.02
2001-03-09,31.10,31.15,30.81,30.95,2413300,9.96
2001-03-12,30.60,31.15,30.57,30.80,2416900,9.91
2001-03-13,30.80,30.80,30.24,30.27,2551100,9.74
2001-03-14,30.10,30.25,29.58,29.68,2864600,9.55
2001-03-15,31.43,31.88,31.07,31.74,8449800,10.21
2001-03-16,31.74,32.28,31.66,31.77,5854600,10.22
2001-03-19,31.85,32.57,31.85,32.27,4449000,10.38
2001-03-20,32.27,33.00,32.16,32.51,4524600,10.46
2001-03-21,32.40,32.94,32.40,32.65,7507600,10.50
2001-03-22,32.65,32.87,31.31,32.00,4333100,10.29
2001-03-23,31.75,32.35,31.34,31.74,3848500,10.21
2001-03-26,31.95,33.50,31.85,33.24,3983100,10.69
2001-03-27,33.10,33.98,33.10,33.71,3619000,10.84
2001-03-28,34.00,34.43,33.90,34.27,4158900,11.02
2001-03-29,34.27,34.60,33.75,34.55,4247100,11.11
2001-03-30,34.80,35.44,34.72,35.09,4935100,11.29
2001-04-02,35.25,35.72,34.88,35.29,4317700,11.35
2001-04-03,21.95,22.24,21.65,22.10,7266200,11.64
2001-04-04,22.10,22.23,21.70,21.90,7805600,11.53
2001-04-05,21.85,22.10,21.61,22.06,2660600,11.62
2001-04-06,22.00,22.06,20.89,21.47,5118300,11.31
2001-04-09,21.47,22.35,21.47,21.99,2692700,11.58
2001-04-10,22.00,22.35,21.90,22.28,2828900,11.73
2001-04-11,22.75,22.75,22.00,22.39,3256000,11.79
2001-04-12,22.00,22.29,21.83,22.17,2127000,11.67
2001-04-16,22.26,22.75,22.10,22.60,1518900,11.90
2001-04-17,22.60,23.00,22.54,22.99,2227200,12.11
2001-04-18,23.00,23.25,22.49,22.80,3528400,12.01
2001-04-19,22.60,22.85,22.21,22.31,2583500,11.75
2001-04-20,22.56,22.80,22.00,22.36,2149000,11.77
2001-04-23,22.65,22.79,22.40,22.68,1717700,11.94
2001-04-24,23.10,23.18,22.75,23.17,2002500,12.20
2001-04-25,23.64,23.64,23.10,23.30,1949500,12.27
2001-04-26,23.50,23.75,23.30,23.33,2273400,12.28
2001-04-27,23.50,23.50,22.92,23.06,2057300,12.14
2001-04-30,23.14,23.47,23.06,23.39,1823600,12.32
2001-05-01,23.39,23.65,23.00,23.35,3418500,12.30
2001-05-02,23.20,23.21,22.80,23.08,4850500,12.15
2001-05-03,22.74,22.80,22.20,22.37,2566200,11.95
2001-05-04,22.37,22.50,22.10,22.46,1797200,12.00
2001-05-07,22.80,22.85,22.42,22.59,1387100,12.07
2001-05-08,22.59,22.59,22.18,22.45,1297900,12.00
2001-05-09,22.47,22.74,22.33,22.50,1315300,12.02
2001-05-10,22.50,22.80,22.48,22.76,1191800,12.16
2001-05-11,22.78,22.88,22.42,22.60,1102800,12.08
2001-05-14,22.68,22.85,22.55,22.68,1519600,12.12
2001-05-15,22.78,22.80,22.31,22.44,1431900,11.99
2001-05-16,22.55,22.67,22.05,22.50,2544800,12.02
2001-05-17,22.62,22.62,22.36,22.59,1577900,12.07
2001-05-18,22.59,22.60,22.36,22.50,1894700,12.02
2001-05-21,22.40,22.59,22.40,22.53,2328200,12.04
2001-05-22,22.60,22.76,22.49,22.71,1909300,12.13
2001-05-23,22.95,23.10,22.80,22.95,2437800,12.26
2001-05-24,23.10,23.23,22.90,23.08,1460700,12.33
2001-05-25,23.00,23.08,22.75,22.91,1576700,12.24
2001-05-29,22.80,22.90,22.65,22.80,2464500,12.18
2001-05-30,23.00,23.19,22.84,23.08,1629300,12.33
2001-05-31,22.90,23.57,22.90,23.54,1244600,12.58
2001-06-01,23.54,23.54,23.12,23.22,1466100,12.41
2001-06-04,23.60,23.75,23.30,23.68,1486000,12.65
2001-06-05,23.70,23.85,23.60,23.76,3546000,12.70
2001-06-06,23.77,23.88,23.25,23.29,1753000,12.44
2001-06-07,23.30,23.50,22.80,22.99,2252500,12.28
