Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,23.81,24.19,23.81,24.19,250400,12.76
2000-12-13,24.19,24.44,24.12,24.44,293300,12.90
2000-12-14,24.44,24.50,24.00,24.25,561500,12.80
2000-12-15,24.25,24.38,24.09,24.25,354600,12.80
2000-12-18,24.31,24.75,24.19,24.75,519300,13.06
2000-12-19,24.56,24.62,24.50,24.56,323500,12.96
2000-12-20,24.31,24.38,24.19,24.19,1156900,12.76
2000-12-21,24.31,24.44,24.12,24.12,377500,12.73
2000-12-22,24.19,24.25,24.00,24.06,568300,12.70
2000-12-26,24.12,24.12,23.88,23.88,151900,12.60
2000-12-27,23.94,24.94,23.88,24.69,238500,13.03
2000-12-28,24.31,24.87,24.12,24.56,379100,12.96
2000-12-29,24.38,24.75,24.00,24.00,441100,12.67
2001-01-02,24.00,24.56,23.81,24.31,276500,12.83
2001-01-03,24.44,25.00,24.31,24.87,1427100,13.13
2001-01-04,25.00,25.06,24.81,24.94,287500,13.16
2001-01-05,25.00,25.38,24.87,25.13,1093800,13.26
2001-01-08,25.13,25.50,25.00,25.00,282700,13.19
2001-01-09,24.81,25.25,24.75,25.19,839900,13.29
2001-01-10,25.13,25.38,25.06,25.31,611400,13.36
2001-01-11,25.25,25.50,25.19,25.44,267500,13.42
2001-01-12,25.44,25.50,25.19,25.38,271900,13.39
2001-01-16,25.44,25.56,25.31,25.56,515600,13.49
2001-01-17,25.56,25.56,25.38,25.56,245700,13.49
2001-01-18,25.50,25.56,25.50,25.56,142400,13.49
2001-01-19,25.44,25.56,25.44,25.56,107100,13.49
2001-01-22,25.56,25.88,25.56,25.88,331600,13.65
2001-01-23,25.75,25.88,25.62,25.81,161500,13.62
2001-01-24,25.94,26.19,25.88,26.12,365200,13.79
2001-01-25,25.94,26.37,25.88,26.37,287100,13.92
2001-01-26,26.19,26.25,26.06,26.19,662600,13.82
2001-01-29,26.19,26.30,26.14,26.24,379000,13.85
