Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,51.12,52.75,51.00,52.25,4854700,26.30
2000-12-13,52.94,53.69,52.75,53.44,4839000,26.90
2000-12-14,52.75,54.88,52.75,54.62,5163800,27.50
2000-12-15,54.69,55.00,53.69,53.69,12223600,27.02
2000-12-18,53.75,54.38,52.75,53.31,5234500,26.83
2000-12-19,46.75,48.00,45.81,46.56,23398900,23.44
2000-12-20,46.06,46.25,43.31,44.06,15006600,22.18
2000-12-21,44.06,44.94,42.62,44.88,10765700,22.59
2000-12-22,44.88,45.88,44.62,45.88,7465500,23.09
2000-12-26,45.56,46.88,45.56,46.81,4070900,23.56
2000-12-27,46.88,47.75,46.81,47.75,4553300,24.03
2000-12-28,48.19,48.19,46.88,47.12,4211200,23.72
2000-12-29,47.62,48.19,46.88,47.75,4713700,24.03
2001-01-02,47.56,50.44,47.50,50.38,8130400,25.36
2001-01-03,50.38,53.06,50.19,51.00,11303200,25.67
2001-01-04,51.12,52.75,50.94,51.75,9831400,26.05
2001-01-05,51.75,52.06,49.44,50.00,7291400,25.17
2001-01-08,49.94,50.69,48.81,50.12,6300700,25.36
2001-01-09,50.00,52.25,49.75,51.94,5476400,26.28
2001-01-10,51.00,52.50,50.62,52.38,4561800,26.50
2001-01-11,52.44,52.44,51.31,52.38,3775100,26.50
2001-01-12,52.31,52.44,49.88,50.94,5681000,25.77
2001-01-16,50.50,50.88,48.38,50.06,6019400,25.33
2001-01-17,49.94,51.00,49.69,50.31,4738700,25.45
2001-01-18,50.44,51.19,49.94,50.56,4843700,25.58
2001-01-19,50.00,50.31,49.31,49.69,5267900,25.14
2001-01-22,49.56,49.75,47.69,48.88,6288100,24.73
2001-01-23,48.94,49.69,48.81,49.31,5500800,24.95
2001-01-24,48.50,48.50,46.69,47.38,9420200,23.97
2001-01-25,47.94,48.19,46.25,47.38,7287300,23.97
2001-01-26,47.06,47.44,45.25,46.69,5372800,23.62
2001-01-29,46.75,48.35,46.68,47.90,5653200,24.23
2001-01-30,47.02,48.15,46.95,47.92,4124100,24.24
2001-01-31,48.00,48.40,47.22,48.35,5460300,24.46
2001-02-01,48.80,50.75,48.65,50.55,7119500,25.57
2001-02-02,50.99,51.24,49.27,49.80,8428600,25.19
2001-02-05,49.10,49.70,48.00,49.70,6654800,25.14
2001-02-06,49.60,49.80,48.70,49.75,4423900,25.17
2001-02-07,49.95,49.95,48.10,48.65,4579500,24.61
2001-02-08,48.45,48.68,47.80,48.22,4579900,24.39
2001-02-09,48.05,48.12,46.00,46.57,6965200,23.56
2001-02-12,46.62,48.32,46.60,47.77,5605800,24.17
2001-02-13,47.77,48.52,47.25,48.46,4858500,24.52
2001-02-14,48.45,48.50,46.80,47.00,3868100,23.78
2001-02-15,47.40,48.30,46.85,47.00,3702100,23.78
2001-02-16,47.00,48.25,46.38,47.72,5310000,24.14
2001-02-20,47.97,49.02,47.40,48.77,4855600,24.67
2001-02-21,48.25,48.57,47.20,47.50,4842800,24.03
2001-02-22,47.50,48.93,46.75,48.93,5717600,24.75
2001-02-23,48.25,50.00,47.50,49.72,6412800,25.15
2001-02-26,49.72,50.30,49.20,50.30,5063500,25.45
2001-02-27,50.30,50.79,49.97,50.58,6312900,25.59
2001-02-28,50.59,50.85,47.70,47.70,8131900,24.13
2001-03-01,48.25,48.25,45.50,45.50,8706100,23.02
2001-03-02,42.60,46.58,42.60,46.57,20610400,23.56
2001-03-05,46.10,46.10,44.90,45.41,6130800,22.97
2001-03-06,45.90,46.80,45.65,46.01,6270100,23.28
2001-03-07,45.25,45.69,43.60,43.97,7686600,22.24
2001-03-08,44.40,45.71,44.25,45.46,4639400,23.00
2001-03-09,45.21,46.19,44.55,45.00,6029300,22.77
2001-03-12,44.50,46.70,44.44,44.89,6473300,22.71
2001-03-13,44.64,45.10,43.95,44.93,5739000,22.73
2001-03-14,42.50,43.95,41.00,42.11,10311500,21.30
2001-03-15,43.00,43.05,41.85,42.82,8619000,21.66
2001-03-16,42.10,42.61,41.70,42.14,10892700,21.32
2001-03-19,41.95,43.80,41.73,43.06,5436700,21.78
2001-03-20,42.96,43.13,40.88,40.90,5541100,20.69
2001-03-21,40.20,40.84,39.50,40.12,7122900,20.30
2001-03-22,40.12,40.80,39.72,40.51,9854000,20.49
2001-03-23,40.10,41.86,39.78,41.86,7723700,21.18
2001-03-26,42.05,42.20,40.50,41.25,8647000,20.87
2001-03-27,41.45,44.30,41.24,43.90,7986700,22.21
2001-03-28,43.25,43.50,41.78,42.19,6902900,21.34
