Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,32.50,33.94,32.25,32.56,7509000,26.97
2000-12-13,32.88,33.00,31.38,32.25,3564400,26.71
2000-12-14,31.88,31.94,30.94,31.25,3617100,25.88
2000-12-15,31.75,31.75,30.94,31.25,5059300,25.88
2000-12-18,31.75,32.12,31.00,31.69,3664900,26.24
2000-12-19,31.00,31.12,27.75,28.75,9183500,23.81
2000-12-20,27.62,28.44,26.88,28.19,9464000,23.34
2000-12-21,28.88,30.38,28.31,30.00,8426200,24.84
2000-12-22,30.50,31.00,30.44,30.69,5085600,25.41
2000-12-26,30.62,31.00,30.12,30.62,3369100,25.36
2000-12-27,30.00,32.31,29.50,32.25,7342300,26.71
2000-12-28,32.25,32.25,31.62,32.00,3306400,26.50
2000-12-29,32.38,33.38,32.25,32.25,2429100,26.71
2001-01-02,32.62,33.56,32.44,33.25,4006900,27.53
2001-01-03,33.25,36.38,32.62,36.25,10653200,30.02
2001-01-04,36.00,38.00,35.50,36.94,9464000,30.59
2001-01-05,36.00,36.44,34.19,34.69,5976000,28.73
2001-01-08,34.50,35.12,33.81,34.38,4250100,28.47
2001-01-09,34.38,34.69,33.81,34.50,2973500,28.57
2001-01-10,33.88,34.62,33.56,34.44,3963300,28.52
2001-01-11,34.00,34.38,33.00,33.44,5942200,27.69
2001-01-12,33.44,35.25,33.44,34.81,6436300,28.83
2001-01-16,34.88,36.50,34.69,35.88,6592800,29.71
2001-01-17,36.00,36.44,35.62,35.81,5482700,29.66
2001-01-18,36.06,36.06,33.75,34.56,5461300,28.62
2001-01-19,34.00,34.25,32.62,32.75,4245300,27.12
2001-01-22,34.50,35.75,34.25,34.56,6471900,28.62
2001-01-23,35.25,36.81,35.06,36.00,5032800,29.81
2001-01-24,36.00,36.62,35.69,36.31,3863500,30.07
2001-01-25,35.75,37.75,35.50,36.69,5119400,30.38
2001-01-26,37.25,37.56,36.19,36.38,4115000,30.12
2001-01-29,36.37,38.00,36.28,36.85,3650300,30.52
2001-01-30,37.00,37.00,36.00,36.50,3230400,30.23
2001-01-31,36.60,38.61,36.45,37.98,7961400,31.45
2001-02-01,37.98,38.25,36.85,37.90,7483200,31.39
2001-02-02,37.90,38.25,36.55,36.97,4521100,30.62
2001-02-05,36.97,36.99,36.03,36.35,3328400,30.10
2001-02-06,36.35,37.60,36.00,36.29,3878400,30.05
2001-02-07,36.29,37.09,36.20,36.69,3093100,30.38
2001-02-08,35.75,35.95,34.50,35.36,5310400,29.28
2001-02-09,35.36,35.74,33.07,33.95,4632400,28.11
2001-02-12,33.40,36.40,33.31,36.15,6889000,29.94
2001-02-13,36.15,37.15,35.73,36.83,3284700,30.50
2001-02-14,36.90,37.10,36.30,36.61,3200200,30.32
2001-02-15,36.95,37.05,36.20,36.50,2965900,30.27
2001-02-16,36.15,37.45,35.00,35.72,3510500,29.62
2001-02-20,36.20,38.75,36.14,37.25,5313900,30.89
2001-02-21,37.00,37.00,34.50,34.80,3525400,28.86
2001-02-22,36.25,36.25,34.25,35.80,5262400,29.69
2001-02-23,35.50,36.24,34.74,35.74,4890400,29.64
2001-02-26,36.75,37.80,36.46,37.80,4013900,31.35
2001-02-27,38.25,39.07,37.76,38.37,6375500,31.82
2001-02-28,38.70,39.60,38.11,39.00,6821600,32.35
2001-03-01,37.90,38.06,36.51,37.29,4942800,30.93
2001-03-02,36.62,37.20,35.91,36.95,4605100,30.64
2001-03-05,37.20,38.00,36.00,36.40,4319700,30.19
2001-03-06,38.50,39.40,37.20,38.00,8418900,31.52
2001-03-07,38.90,39.20,37.60,38.30,7579200,31.76
2001-03-08,38.85,39.50,37.80,38.00,7917900,31.52
2001-03-09,38.00,38.16,37.50,37.60,3578200,31.18
2001-03-12,37.25,37.47,36.50,36.51,3816600,30.28
2001-03-13,36.51,36.90,34.41,35.65,5818400,29.57
2001-03-14,34.75,36.40,34.05,35.50,4887700,29.44
2001-03-15,35.80,36.30,34.55,35.57,3601900,29.50
2001-03-16,35.20,35.75,34.85,34.93,4975100,28.97
2001-03-19,35.40,35.90,34.65,35.60,2937500,29.53
2001-03-20,37.00,37.95,35.75,35.75,4562000,29.65
2001-03-21,35.75,37.25,35.15,36.87,4633000,30.58
2001-03-22,36.05,36.06,32.65,34.50,6775000,28.61
2001-03-23,34.35,35.07,33.35,34.90,4126500,28.94
2001-03-26,35.85,36.25,34.75,35.79,3585300,29.68
2001-03-27,36.10,36.99,35.50,36.88,3645700,30.59
2001-03-28,35.90,36.50,35.40,36.15,4859200,29.98
2001-03-29,35.80,36.09,34.65,35.46,4730800,29.41
2001-03-30,35.90,36.74,35.36,36.08,3963700,29.92
2001-04-02,37.00,37.44,36.05,36.30,4249100,30.11
2001-04-03,36.50,36.50,34.46,35.08,4556700,29.09
2001-04-04,35.00,35.20,34.05,34.31,4845000,28.46
2001-04-05,35.10,36.10,34.72,35.85,4139200,29.73
2001-04-06,36.50,36.50,34.90,35.60,3523600,29.53
2001-04-09,36.30,36.30,34.91,35.05,2409500,29.07
2001-04-10,35.65,36.40,35.36,35.85,3792600,29.73
2001-04-11,36.25,36.40,34.56,35.70,4068300,29.61
2001-04-12,34.90,35.99,33.50,35.85,6505100,29.73
2001-04-16,35.85,36.80,35.26,35.75,2025900,29.65
2001-04-17,35.70,35.98,35.00,35.35,2852200,29.32
2001-04-18,36.00,39.00,35.61,38.25,6222000,31.72
2001-04-19,38.00,38.20,37.30,37.48,3047800,31.08
2001-04-20,37.25,37.63,37.00,37.50,2647100,31.10
2001-04-23,37.70,37.84,36.65,36.74,2980600,30.47
2001-04-24,36.00,36.15,35.10,35.98,4172300,29.84
2001-04-25,36.45,36.53,35.90,36.27,2509500,30.08
2001-04-26,36.75,37.65,36.40,37.55,3013300,31.14
2001-04-27,37.85,39.35,37.65,39.16,3963500,32.48
2001-04-30,39.45,40.00,38.40,38.45,5184000,31.89
2001-05-01,38.46,39.15,38.26,39.09,4273200,32.42
2001-05-02,39.00,39.49,38.55,38.89,2949000,32.25
2001-05-03,38.89,39.10,38.30,39.01,3565300,32.35
2001-05-04,38.10,39.49,37.95,39.25,3563700,32.55
2001-05-07,39.15,39.15,38.72,38.94,2301000,32.30
2001-05-08,38.94,39.30,38.35,38.51,3831200,31.94
2001-05-09,38.55,38.90,38.15,38.30,3889200,31.76
2001-05-10,39.40,40.38,39.35,39.50,4699700,32.76
2001-05-11,39.65,40.40,39.50,39.93,4729800,33.12
2001-05-14,39.70,40.23,39.50,39.70,3250800,32.93
2001-05-15,40.38,40.43,37.75,38.30,6521000,31.76
2001-05-16,37.30,38.50,36.88,38.00,7142700,31.56
2001-05-17,38.15,38.80,37.82,38.37,2870400,31.87
2001-05-18,38.40,38.45,37.70,37.80,2779000,31.39
2001-05-21,37.90,38.35,36.85,37.75,6094800,31.35
2001-05-22,38.30,39.26,37.01,38.89,4657100,32.30
2001-05-23,39.20,39.20,37.10,37.69,3325200,31.30
2001-05-24,37.89,38.20,37.23,37.53,2273600,31.17
2001-05-25,37.30,37.65,37.30,37.36,1837500,31.03
2001-05-29,37.05,37.38,36.77,37.20,3017700,30.90
2001-05-30,37.00,38.10,36.82,37.78,3708200,31.38
2001-05-31,38.22,38.30,37.70,37.80,3731200,31.39
2001-06-01,38.00,38.38,37.32,37.80,2356600,31.39
2001-06-04,37.81,37.81,36.89,37.02,2994700,30.75
2001-06-05,37.02,37.80,37.02,37.61,2295800,31.24
2001-06-06,37.61,37.80,37.10,37.34,1793800,31.01
2001-06-07,36.40,38.10,36.35,37.96,3435400,31.53
2001-06-08,38.00,38.50,37.60,38.26,2334200,31.78
2001-06-11,38.01,38.21,36.60,37.25,1868500,30.94
2001-06-12,36.65,37.26,36.28,37.12,2730500,30.83
2001-06-13,37.00,37.25,36.70,36.85,1357200,30.61
2001-06-14,36.85,37.05,36.51,36.70,2085000,30.48
2001-06-15,36.00,36.15,35.00,35.62,5156300,29.58
2001-06-18,35.95,36.79,35.65,36.33,2703300,30.17
2001-06-19,36.50,36.95,36.05,36.27,2881900,30.12
2001-06-20,36.01,36.53,35.81,35.99,3834000,29.89
2001-06-21,36.05,37.70,36.05,36.31,5490100,30.16
2001-06-22,36.75,36.89,35.90,36.34,1902400,30.18
2001-06-25,36.50,36.99,36.30,36.81,3329800,30.57
2001-06-26,35.70,36.81,35.63,36.73,3196600,30.51
2001-06-27,36.74,36.74,34.84,35.26,3910600,29.29
2001-06-28,35.26,36.60,35.25,35.52,4042600,29.50
2001-06-29,35.27,36.30,34.30,34.60,5181000,28.74
2001-07-02,34.90,35.65,34.33,35.59,3126300,29.56
2001-07-03,35.59,35.99,35.30,35.99,1734600,29.89
2001-07-05,35.81,35.81,35.06,35.38,2905300,29.39
2001-07-06,35.10,35.30,33.42,33.51,3849700,27.83
2001-07-09,33.80,33.80,33.05,33.20,3762500,27.57
2001-07-10,33.20,33.55,32.49,32.74,6627000,27.19
2001-07-11,32.74,33.73,32.74,33.38,4259200,27.72
2001-07-12,33.55,36.00,33.54,35.95,5579800,29.86
2001-07-13,35.45,36.25,34.70,36.19,4068100,30.06
2001-07-16,36.17,36.45,35.69,35.85,3393600,29.78
2001-07-17,35.35,36.20,35.05,35.62,2327200,29.58
2001-07-18,35.25,35.74,35.00,35.49,4205800,29.48
2001-07-19,36.10,36.70,35.72,36.20,2932600,30.07
2001-07-20,36.20,37.59,36.10,37.25,4691800,30.94
2001-07-23,37.40,37.90,37.00,37.00,4694000,30.73
2001-07-24,37.00,37.01,36.32,36.75,4008300,30.52
2001-07-25,36.75,37.40,36.30,36.90,3797500,30.65
2001-07-26,37.10,37.40,36.03,36.85,4139100,30.61
2001-07-27,36.86,37.45,36.11,36.80,2081800,30.56
2001-07-30,36.80,37.67,36.57,37.30,1470200,30.98
2001-07-31,37.30,38.70,37.30,38.70,5119300,32.14
2001-08-01,38.50,38.51,37.36,37.70,2557000,31.31
2001-08-02,37.60,38.20,37.25,38.03,2067800,31.59
2001-08-03,37.90,38.50,37.43,38.25,2039700,31.77
2001-08-06,38.25,38.30,37.77,37.86,2772400,31.44
2001-08-07,37.86,39.10,37.51,39.03,3161200,32.42
2001-08-08,39.00,39.99,38.00,38.00,4147400,31.56
2001-08-09,38.50,39.22,37.61,38.20,4470400,31.73
2001-08-10,38.70,38.70,37.01,37.85,2679900,31.44
2001-08-13,37.80,37.85,37.02,37.61,1975300,31.24
2001-08-14,36.90,38.20,36.89,37.48,3179200,31.13
2001-08-15,37.90,38.20,37.35,37.40,1588600,31.06
2001-08-16,37.34,37.39,36.35,37.06,2785000,30.83
2001-08-17,36.50,37.36,36.15,36.62,2268400,30.46
2001-08-20,36.25,37.10,36.15,37.10,2493100,30.86
2001-08-21,37.10,37.10,34.49,35.36,9043300,29.41
2001-08-22,35.50,36.29,35.02,36.10,3242600,30.03
2001-08-23,35.68,36.16,35.32,35.89,2876700,29.85
2001-08-24,35.79,36.42,35.52,35.71,3928800,29.70
2001-08-27,36.00,36.10,35.14,35.30,2764200,29.36
2001-08-28,35.05,35.23,34.81,34.82,4249800,28.96
2001-08-29,35.27,35.30,35.00,35.05,2584100,29.15
2001-08-30,35.00,35.27,34.50,34.80,3413700,28.95
2001-08-31,34.70,35.75,34.44,34.65,2048300,28.82
2001-09-04,34.85,35.62,34.60,34.85,3168000,28.99
2001-09-05,34.65,35.49,34.11,34.98,2880900,29.10
2001-09-06,34.40,34.81,32.90,33.15,3926600,27.57
2001-09-07,33.15,33.16,31.35,31.78,4140000,26.43
2001-09-10,31.20,32.75,31.00,32.20,3313100,26.78
2001-09-17,29.88,30.80,29.00,29.66,4103400,24.67
2001-09-18,29.55,30.29,29.05,29.13,4276700,24.23
2001-09-19,29.03,29.34,27.62,28.26,6112300,23.51
2001-09-20,27.50,27.80,26.75,26.90,6064500,22.37
2001-09-21,26.00,28.00,26.00,26.68,6424100,22.19
2001-09-24,26.69,30.15,26.69,30.15,6164500,25.08
2001-09-25,30.25,31.97,30.05,31.20,6688500,25.95
2001-09-26,30.70,31.65,30.45,31.51,6316100,26.21
2001-09-27,31.35,31.55,30.93,31.36,4097100,26.08
2001-09-28,31.30,32.25,31.16,31.75,4335500,26.41
2001-10-01,31.95,31.95,31.01,31.41,3871100,26.13
2001-10-02,31.20,32.36,31.10,32.04,3609800,26.65
2001-10-03,32.10,35.00,31.58,34.40,4177100,28.61
2001-10-04,34.25,34.50,32.66,33.00,4512500,27.45
2001-10-05,33.00,33.00,31.99,32.81,3026200,27.29
2001-10-08,32.82,32.82,31.00,31.45,4381400,26.16
2001-10-09,31.55,31.55,30.65,31.05,4687800,25.83
