Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,48.00,49.10,47.40,48.65,3406500,98.02
2000-12-13,49.15,49.97,47.84,48.45,4658700,97.61
2000-12-14,48.00,50.87,47.92,50.00,5840900,100.74
2000-12-15,48.50,49.20,45.40,48.96,7051200,98.64
2000-12-18,47.00,48.00,41.52,42.24,7599600,85.10
2000-12-19,42.29,44.11,40.00,40.76,6139100,82.12
2000-12-20,37.55,39.40,35.50,37.25,11750100,75.05
2000-12-21,35.50,37.70,34.48,37.66,9313800,75.87
2000-12-22,37.80,39.70,37.63,38.28,5736600,77.12
2000-12-26,38.90,39.99,38.13,38.50,4489600,77.57
2000-12-27,37.50,37.90,35.75,35.75,5520300,72.03
2000-12-28,35.15,36.75,34.50,35.25,6807500,71.02
2000-12-29,34.50,35.00,32.75,34.80,11197300,70.11
2001-01-02,34.80,35.31,31.66,32.39,6005600,65.26
2001-01-03,32.00,38.00,31.50,37.50,12172100,75.55
2001-01-04,39.00,43.25,38.53,42.18,9578400,84.98
2001-01-05,42.00,42.00,39.90,41.29,5555600,83.19
2001-01-08,40.70,41.15,38.50,40.03,4292900,80.65
2001-01-09,41.75,43.25,41.30,42.85,4816400,86.33
2001-01-10,42.60,45.28,42.50,44.89,6208000,90.44
2001-01-11,43.90,47.60,43.89,47.23,6979500,95.15
2001-01-12,48.05,48.80,45.13,46.47,11964700,93.62
2001-01-16,46.47,48.10,45.72,46.70,5284600,94.09
2001-01-17,48.00,49.25,47.80,48.79,7655400,98.30
2001-01-18,48.86,49.91,48.00,49.77,5600100,100.27
2001-01-19,51.01,54.76,51.00,53.80,15008800,108.39
2001-01-22,53.80,55.98,53.22,53.84,12901600,108.47
2001-01-23,54.00,54.45,52.91,54.15,8743400,109.10
2001-01-24,54.25,57.10,54.15,55.75,10831700,112.32
2001-01-25,55.75,56.92,55.15,55.77,6785000,112.36
2001-01-26,54.34,54.75,53.16,54.59,6483900,109.98
2001-01-29,54.20,56.30,54.11,55.00,7511800,110.81
2001-01-30,54.90,55.00,53.25,54.31,7816300,109.42
2001-01-31,54.53,56.89,52.00,52.56,10390100,105.89
2001-02-01,51.25,52.57,48.93,49.83,11458300,100.39
2001-02-02,49.40,49.99,46.75,47.79,8415100,96.28
2001-02-05,47.95,49.91,46.90,49.37,5222800,99.47
2001-02-06,49.26,50.29,48.55,48.85,4775000,98.42
2001-02-07,48.25,49.50,48.02,48.20,3963900,97.11
2001-02-08,48.75,50.03,48.60,48.76,4300400,98.24
2001-02-09,48.15,48.48,46.60,47.25,4625700,95.19
2001-02-12,47.25,47.81,46.50,47.53,3571900,95.76
2001-02-13,47.75,49.10,47.69,48.09,3963400,96.89
2001-02-14,47.30,48.90,46.05,48.53,4537200,97.77
2001-02-15,49.50,50.30,49.30,49.95,6311800,100.63
2001-02-16,48.50,49.40,47.50,48.36,4018500,97.43
2001-02-20,48.10,48.60,44.13,44.95,5498300,90.56
2001-02-21,43.80,47.50,43.50,44.40,6886900,89.45
2001-02-22,44.42,45.75,41.50,44.90,7138300,90.46
2001-02-23,43.25,44.12,41.52,43.30,8118700,87.24
2001-02-26,43.50,46.68,43.42,46.12,5206400,92.92
2001-02-27,45.99,46.95,43.77,44.70,5260200,90.06
2001-02-28,44.90,45.50,42.25,44.03,5767600,88.71
2001-03-01,42.55,44.20,41.35,44.00,5615100,88.65
2001-03-02,41.90,43.68,41.42,42.06,5186100,84.74
2001-03-05,42.85,44.00,42.05,43.80,4661800,88.24
2001-03-06,45.10,47.70,44.70,46.54,7173100,93.76
2001-03-07,46.80,47.15,44.90,45.30,4999000,91.27
2001-03-08,44.60,46.54,44.24,44.50,7212300,89.65
2001-03-09,44.00,44.11,42.31,42.87,5234800,86.37
2001-03-12,41.60,42.00,38.40,39.27,10731200,79.12
2001-03-13,39.60,41.20,39.21,40.70,7047300,82.00
2001-03-14,39.10,41.05,38.50,40.04,6320000,80.67
2001-03-15,41.40,41.40,39.67,40.59,5042900,81.78
2001-03-16,39.75,40.20,39.20,39.35,6913300,79.28
2001-03-19,39.45,40.51,38.70,39.90,4765500,80.39
2001-03-20,40.50,41.70,38.60,38.79,7652700,78.15
2001-03-21,39.10,39.50,37.65,37.84,6603100,76.24
2001-03-22,38.05,38.15,35.12,36.77,8905800,74.08
2001-03-23,37.80,39.95,37.55,39.52,5753700,79.62
2001-03-26,40.00,41.50,40.00,40.89,5315100,82.38
2001-03-27,40.96,43.30,40.28,43.00,6131500,86.63
2001-03-28,42.05,42.25,40.66,40.76,5755800,82.12
2001-03-29,40.75,40.90,39.34,40.75,5240400,82.10
2001-03-30,40.76,40.79,38.70,40.15,4663000,80.89
2001-04-02,39.25,39.74,36.75,37.17,7148600,74.89
2001-04-03,36.75,36.75,33.46,33.90,10287900,68.30
2001-04-04,34.00,35.95,33.80,35.15,8180000,70.82
2001-04-05,37.00,40.00,36.70,39.70,7635300,79.98
2001-04-06,39.00,39.66,37.51,39.30,6443000,79.18
2001-04-09,40.20,40.50,38.54,39.47,4357800,79.52
2001-04-10,40.00,41.53,39.90,40.01,5977700,80.61
2001-04-11,41.95,41.97,40.50,41.20,5508200,83.01
2001-04-12,40.75,42.70,40.75,42.22,4372000,85.06
2001-04-16,42.55,43.74,42.25,43.31,5189800,87.26
2001-04-17,43.31,45.01,43.26,43.90,6737400,88.45
2001-04-18,46.00,50.00,45.50,49.00,15201500,98.72
2001-04-19,48.85,49.98,47.66,49.90,7963300,100.53
2001-04-20,49.20,49.89,48.25,48.69,6086700,98.10
