Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,46.94,47.88,46.94,47.81,2127600,9.42
2000-12-13,48.00,48.62,47.19,47.19,3889200,9.30
2000-12-14,47.25,47.38,46.38,46.44,2917200,9.15
2000-12-15,46.38,46.81,45.25,45.44,3776400,8.95
2000-12-18,45.44,46.88,45.44,46.31,2684800,9.12
2000-12-19,47.00,49.62,46.44,49.38,5780800,9.73
2000-12-20,48.50,48.56,47.00,47.88,4786800,9.43
2000-12-21,47.62,50.06,47.62,49.69,3888400,9.79
2000-12-22,50.00,51.94,50.00,51.00,4851200,10.05
2000-12-26,51.06,51.44,50.75,51.19,1902800,10.08
2000-12-27,51.06,52.81,51.06,52.62,2463200,10.37
2000-12-28,51.00,51.06,49.69,50.50,11078400,9.95
2000-12-29,50.75,51.31,50.50,50.75,4789600,10.00
2001-01-02,50.75,51.38,50.50,50.62,2946800,9.97
2001-01-03,50.81,51.00,49.44,50.62,4811200,9.97
2001-01-04,50.88,52.81,50.88,51.44,9191600,10.13
2001-01-05,52.38,52.38,50.62,51.50,4206400,10.15
2001-01-08,52.38,53.50,51.94,53.06,5477600,10.45
2001-01-09,53.00,53.69,52.62,53.44,8268400,10.53
2001-01-10,53.31,53.44,52.44,52.44,5927200,10.33
2001-01-11,52.19,53.31,52.19,53.19,3193200,10.48
2001-01-12,52.25,52.25,51.38,51.75,6282800,10.19
2001-01-16,51.62,52.75,51.56,52.25,3304800,10.29
2001-01-17,52.25,52.88,52.00,52.62,4496400,10.37
2001-01-18,52.50,52.88,52.38,52.56,3776800,10.35
2001-01-19,52.38,52.44,51.69,51.94,4148800,10.23
2001-01-22,51.88,53.00,51.81,52.25,5509600,10.29
2001-01-23,52.25,53.25,51.00,51.06,6960400,10.06
2001-01-24,51.00,51.06,49.00,49.94,6313600,9.84
2001-01-25,49.06,50.69,49.06,50.00,4377600,9.85
2001-01-26,50.12,50.12,48.81,49.12,3156800,9.68
2001-01-29,49.95,50.99,49.95,50.24,5813600,9.90
2001-01-30,50.30,51.90,50.17,51.81,3844000,10.21
2001-01-31,51.82,53.30,51.82,52.98,4269200,10.44
2001-02-01,53.00,53.86,52.59,53.30,3548800,10.50
2001-02-02,53.40,53.85,52.57,52.97,2673600,10.44
2001-02-05,52.72,53.10,51.80,52.45,2487600,10.33
2001-02-06,52.45,52.99,52.25,52.90,1576000,10.42
2001-02-07,52.80,52.85,52.12,52.76,4016000,10.39
2001-02-08,52.75,53.12,52.52,53.05,1875600,10.45
2001-02-09,53.70,54.00,53.52,53.94,3782800,10.63
2001-02-12,53.55,54.24,53.40,53.90,4897200,10.62
2001-02-13,54.00,54.79,53.93,54.72,2929200,10.78
2001-02-14,54.67,54.68,52.67,52.67,4944400,10.38
2001-02-15,52.75,54.13,52.70,53.85,3674400,10.61
2001-02-16,53.80,53.81,52.95,53.30,3005200,10.50
2001-02-20,53.50,54.62,53.50,53.70,3097600,10.58
2001-02-21,53.70,54.30,52.81,52.90,2367600,10.42
2001-02-22,52.90,53.89,52.39,53.78,4234000,10.59
2001-02-23,54.00,54.75,53.37,54.34,4097200,10.71
2001-02-26,54.85,55.60,54.31,55.24,4234800,10.88
2001-02-27,55.20,55.80,55.15,55.71,5602000,10.98
2001-02-28,55.71,55.99,54.90,54.94,4461600,10.82
2001-03-01,54.95,54.95,54.05,54.29,3513600,10.70
2001-03-02,54.20,55.12,54.20,55.05,3035600,10.84
2001-03-05,55.10,55.70,54.62,55.54,2294400,10.94
2001-03-06,55.30,55.40,54.70,55.00,2429600,10.84
2001-03-07,54.90,55.67,54.70,54.82,2436400,10.80
2001-03-08,54.83,56.74,54.83,56.60,4360800,11.15
2001-03-09,56.35,57.10,55.65,56.83,6578800,11.20
2001-03-12,56.63,56.90,56.13,56.15,2820800,11.10
2001-03-13,56.02,56.02,54.41,55.00,5036800,10.87
2001-03-14,54.20,54.25,52.25,53.09,4300000,10.50
2001-03-15,52.84,53.13,51.47,52.87,5174400,10.45
2001-03-16,52.25,52.80,49.80,50.28,4791200,9.94
2001-03-19,50.33,51.63,50.08,51.60,5341600,10.20
2001-03-20,51.70,52.35,51.25,51.83,2346000,10.25
2001-03-21,51.83,53.20,51.83,52.63,3531200,10.40
2001-03-22,53.00,53.20,50.97,52.35,5303600,10.35
2001-03-23,52.25,52.65,51.32,52.64,2395200,10.41
2001-03-26,52.70,53.88,52.07,53.84,2039200,10.64
2001-03-27,54.00,56.46,54.00,56.20,4610000,11.11
2001-03-28,55.80,56.12,55.12,55.95,3427600,11.06
2001-03-29,55.90,56.15,55.35,56.15,3982800,11.10
2001-03-30,56.02,57.06,55.90,56.25,4067200,11.12
2001-04-02,56.50,57.63,56.50,57.25,6849600,11.32
2001-04-03,57.35,57.40,56.93,57.35,6937200,11.34
2001-04-04,56.90,57.15,55.36,56.50,11462400,11.17
2001-04-05,56.50,56.50,55.85,56.25,7592800,11.12
2001-04-06,56.25,56.25,55.72,55.95,8170800,11.06
2001-04-09,55.90,56.50,54.84,55.01,9617600,10.88
2001-04-10,55.05,57.37,55.05,57.00,12862400,11.27
2001-04-11,57.50,57.50,56.63,56.92,6418800,11.25
2001-04-12,56.70,57.15,56.63,56.98,4310000,11.26
2001-04-16,56.75,57.60,56.63,57.10,4578800,11.29
2001-04-17,57.10,57.47,56.50,57.35,4004800,11.34
2001-04-18,57.25,59.10,57.02,59.00,4689200,11.66
2001-04-19,58.90,59.60,58.90,59.50,4638800,11.76
2001-04-20,59.50,59.50,58.80,58.85,3884400,11.63
2001-04-23,58.25,58.25,54.25,55.00,12344000,10.87
2001-04-24,54.90,56.00,54.82,55.88,4954800,11.05
2001-04-25,55.89,56.35,55.15,55.74,3046800,11.02
2001-04-26,55.60,58.10,55.60,57.42,4976000,11.35
2001-04-27,57.25,58.48,57.25,58.47,2732000,11.56
2001-04-30,58.48,58.48,56.55,56.89,3521200,11.25
2001-05-01,56.20,56.25,54.58,54.98,5627200,10.87
2001-05-02,54.83,55.50,54.67,55.29,8577600,10.93
2001-05-03,55.05,55.29,54.15,55.01,3287600,10.88
2001-05-04,54.70,56.01,53.80,55.95,2621200,11.06
2001-05-07,55.85,56.00,55.15,55.67,2354000,11.01
2001-05-08,55.00,57.32,54.90,56.70,3623200,11.21
2001-05-09,56.60,58.16,56.42,57.75,5517200,11.42
2001-05-10,57.76,58.88,57.50,58.80,4796000,11.62
2001-05-11,58.80,59.22,57.67,58.31,3667200,11.53
2001-05-14,58.16,58.81,57.70,58.65,3935600,11.60
2001-05-15,58.55,59.35,58.35,58.55,4556000,11.58
2001-05-16,58.65,60.60,58.21,60.60,9128400,11.98
2001-05-17,60.60,60.70,59.30,59.45,6068400,11.75
2001-05-18,59.70,60.60,59.52,60.37,4237200,11.94
2001-05-21,60.40,60.66,59.99,60.59,4100800,11.98
2001-05-22,60.44,60.44,58.35,58.53,4532400,11.57
2001-05-23,58.23,58.30,57.19,57.85,2995200,11.44
2001-05-24,57.86,57.86,56.20,56.48,3286000,11.17
2001-05-25,56.25,56.25,55.00,55.56,4908800,10.98
2001-05-29,55.65,55.87,55.35,55.75,2909600,11.02
2001-05-30,55.90,56.20,55.14,55.76,3441200,11.02
2001-05-31,55.90,57.50,55.67,57.50,4336400,11.37
2001-06-01,57.50,57.50,56.51,56.77,3304000,11.22
2001-06-04,56.76,57.80,56.68,57.42,2764400,11.35
2001-06-05,57.50,58.10,56.96,57.70,3397200,11.41
2001-06-06,57.45,58.19,57.45,57.63,2413600,11.39
2001-06-07,57.40,58.54,57.39,58.00,4836000,11.47
2001-06-08,57.99,57.99,56.75,56.90,2198000,11.25
2001-06-11,56.00,56.00,55.36,55.71,3065200,11.05
2001-06-12,55.51,55.52,54.83,55.03,3840800,10.92
2001-06-13,55.20,55.30,54.65,54.91,3557600,10.89
2001-06-14,54.90,54.90,51.90,52.60,4558800,10.44
2001-06-15,51.50,51.65,50.80,51.30,7903200,10.18
2001-06-18,51.25,51.85,51.25,51.64,4505600,10.25
2001-06-19,51.64,52.11,51.52,51.70,4570400,10.26
2001-06-20,51.61,52.35,51.55,52.05,4432400,10.33
2001-06-21,52.05,52.59,51.73,52.49,4540800,10.41
2001-06-22,52.30,52.46,52.00,52.27,4005200,10.37
2001-06-25,52.02,52.55,51.20,51.29,2695600,10.18
2001-06-26,50.00,51.93,50.00,51.26,5908000,10.17
2001-06-27,51.51,52.91,51.51,52.91,4131200,10.50
2001-06-28,52.97,54.30,52.97,53.79,4768800,10.67
2001-06-29,53.95,55.30,53.65,54.91,4957600,10.89
2001-07-02,54.95,55.05,54.32,55.00,4266800,10.91
2001-07-03,55.00,55.00,54.37,54.75,1402800,10.86
2001-07-05,54.80,55.10,54.50,54.72,2636800,10.86
2001-07-06,54.72,54.72,53.90,54.53,2973200,10.82
2001-07-09,54.50,54.89,53.80,54.74,2633200,10.86
2001-07-10,54.50,55.01,54.40,54.95,3754000,10.90
2001-07-11,54.95,57.65,54.93,57.65,9505200,11.44
2001-07-12,57.80,57.84,57.01,57.16,3238000,11.34
2001-07-13,57.10,58.24,56.80,57.83,1470400,11.47
2001-07-16,57.55,58.00,57.33,57.50,2418000,11.41
2001-07-17,57.49,57.77,57.25,57.70,2125200,11.45
2001-07-18,57.60,57.69,56.75,57.65,1920400,11.44
2001-07-19,57.00,57.40,56.70,57.20,5108400,11.35
2001-07-20,57.20,57.20,56.26,56.26,4223600,11.16
2001-07-23,56.80,56.90,56.45,56.50,2113200,11.21
2001-07-24,55.80,56.00,52.65,53.32,5688400,10.58
2001-07-25,52.80,53.25,51.69,53.15,6730000,10.54
2001-07-26,52.70,55.34,52.63,55.20,3464000,10.95
2001-07-27,54.95,55.00,54.25,54.60,3094000,10.83
2001-07-30,54.60,54.60,53.60,53.76,2505600,10.67
2001-07-31,53.65,54.00,53.40,53.69,2478400,10.65
2001-08-01,53.80,53.94,53.25,53.80,1790800,10.67
2001-08-02,53.69,54.90,53.44,54.88,1973200,10.89
2001-08-03,54.80,54.98,54.01,54.29,1821200,10.77
2001-08-06,53.90,54.15,53.00,53.56,2134800,10.63
2001-08-07,53.58,53.99,53.36,53.99,1438000,10.71
2001-08-08,53.80,54.25,53.40,54.00,1578800,10.71
2001-08-09,54.00,54.60,53.86,54.20,2176800,10.75
2001-08-10,54.25,55.70,53.90,54.98,5103600,10.91
2001-08-13,54.98,54.98,53.79,54.18,2687600,10.75
2001-08-14,54.19,54.84,54.05,54.52,2182000,10.82
2001-08-15,54.50,55.80,53.90,54.31,2280800,10.77
2001-08-16,54.00,55.28,54.00,54.85,1835600,10.88
2001-08-17,54.25,54.90,53.56,53.95,1944000,10.70
2001-08-20,53.95,54.15,52.45,52.86,1684400,10.49
2001-08-21,52.75,52.81,51.65,51.66,2732800,10.25
2001-08-22,51.75,52.39,51.16,51.98,3643200,10.31
2001-08-23,52.00,52.73,51.86,52.56,2296800,10.43
2001-08-24,52.65,53.04,51.80,52.78,1660000,10.47
2001-08-27,52.80,52.90,51.65,52.10,1624800,10.34
2001-08-28,52.00,53.40,51.91,52.75,1532800,10.47
2001-08-29,52.75,52.90,51.88,52.15,1881600,10.35
2001-08-30,52.20,53.05,51.39,52.65,4157200,10.45
2001-08-31,52.65,53.41,52.50,53.27,1743200,10.57
2001-09-04,53.27,55.08,52.97,54.29,2035200,10.77
2001-09-05,54.04,54.50,53.52,54.19,2429600,10.75
2001-09-06,54.30,54.59,54.04,54.20,3265200,10.75
2001-09-07,54.00,54.01,52.78,53.17,2479600,10.55
2001-09-10,52.65,52.80,52.25,52.25,3374400,10.41
2001-09-17,52.00,52.00,48.56,49.00,3838400,9.76
2001-09-18,49.00,49.70,48.65,48.90,2056400,9.74
2001-09-19,49.00,49.45,45.80,47.27,3663600,9.41
2001-09-20,47.02,47.03,43.39,44.81,6795600,8.92
2001-09-21,43.75,47.00,43.75,45.75,6953600,9.11
2001-09-24,46.00,46.92,45.83,45.90,5860800,9.14
2001-09-25,46.00,46.00,43.75,44.77,6338000,8.92
2001-09-26,44.85,45.60,44.30,45.30,5174400,9.02
2001-09-27,45.70,46.25,45.10,45.60,6342800,9.08
2001-09-28,46.10,47.50,46.03,46.90,6938800,9.34
2001-10-01,46.90,46.90,44.60,45.45,3350400,9.05
2001-10-02,45.55,46.28,45.25,45.59,5377600,9.08
2001-10-03,45.70,46.98,45.50,46.20,6534800,9.20
2001-10-04,46.30,46.30,45.25,45.50,5797200,9.06
2001-10-05,45.50,46.35,45.15,46.21,4401600,9.20
2001-10-08,46.21,46.95,45.50,46.80,3807600,9.32
2001-10-09,46.75,46.75,45.25,45.25,4031200,9.01
2001-10-10,45.25,48.20,45.25,47.84,4508400,9.53
2001-10-11,47.64,49.45,47.60,48.64,4597600,9.69
2001-10-12,48.25,48.70,46.34,47.21,3142800,9.40
2001-10-15,47.00,48.21,46.90,48.02,1926400,9.56
2001-10-16,48.03,48.70,47.61,48.63,2617600,9.68
2001-10-17,48.45,48.97,47.60,47.60,3232000,9.48
2001-10-18,48.25,50.09,48.06,49.61,6408800,9.88
2001-10-19,49.50,49.51,48.02,48.60,2606400,9.68
2001-10-22,48.60,49.27,48.35,49.18,1664800,9.79
2001-10-23,49.18,51.75,48.81,51.03,5472000,10.16
2001-10-24,51.03,51.80,50.28,50.29,6239200,10.01
2001-10-25,50.04,50.75,48.40,50.56,3476800,10.07
2001-10-26,50.40,51.95,50.32,51.43,2709200,10.24
2001-10-29,51.18,51.76,49.80,50.25,2562800,10.01
2001-10-30,49.75,50.59,49.20,50.30,3079200,10.02
2001-10-31,50.55,52.66,50.55,52.01,6036000,10.36
2001-11-01,51.91,52.87,51.21,52.04,6735200,10.36
2001-11-02,51.95,52.87,51.53,52.71,3249200,10.50
2001-11-05,53.00,53.50,52.55,53.00,4310800,10.55
2001-11-06,53.00,53.57,52.65,53.52,2883600,10.66
2001-11-07,53.25,53.88,53.21,53.84,2648000,10.72
2001-11-08,53.90,54.16,53.70,54.06,2295200,10.77
2001-11-09,54.01,54.05,53.65,53.82,1738400,10.72
2001-11-12,53.80,54.10,52.41,53.50,2450800,10.65
2001-11-13,53.55,53.75,53.12,53.72,2810000,10.70
2001-11-14,53.30,53.72,53.27,53.45,3410400,10.64
