Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,63.19,63.94,62.75,63.56,1028800,46.30
2000-12-13,63.06,63.75,62.50,62.62,1220100,45.62
2000-12-14,58.00,60.00,58.00,58.69,4803000,42.75
2000-12-15,57.50,57.62,56.12,57.44,2285200,41.84
2000-12-18,56.81,57.69,56.62,56.88,1364600,41.43
2000-12-19,55.94,56.94,55.75,55.75,1088800,40.61
2000-12-20,54.12,55.19,54.06,54.44,1515400,39.66
2000-12-21,54.06,54.50,53.12,53.50,1339900,38.97
2000-12-22,53.50,57.12,53.31,56.50,1540000,41.16
2000-12-26,56.06,57.62,55.75,57.44,628000,41.84
2000-12-27,57.00,57.69,56.75,57.31,912000,41.75
2000-12-28,57.00,59.19,56.81,59.19,1253400,43.12
2000-12-29,58.31,59.00,58.12,58.75,1096000,42.80
2001-01-02,58.00,58.38,55.88,56.38,695800,41.07
2001-01-03,56.19,60.56,55.69,60.56,2451800,44.12
2001-01-04,60.00,62.50,60.00,61.06,3776700,44.48
2001-01-05,61.00,61.00,59.62,60.62,2331200,44.16
2001-01-08,60.56,61.12,60.00,61.06,868300,44.48
2001-01-09,60.88,61.12,60.50,61.00,1372200,44.44
2001-01-10,60.00,60.50,58.00,58.50,2986400,42.61
2001-01-11,58.25,59.38,58.06,59.25,1547500,43.16
2001-01-12,59.12,59.69,58.81,58.94,2705400,42.93
2001-01-16,58.88,59.44,58.38,59.44,961400,43.30
2001-01-17,59.38,59.38,58.75,59.38,511600,43.25
2001-01-18,59.62,60.38,59.50,60.25,1202800,43.89
2001-01-19,60.25,60.44,59.81,60.00,869700,43.71
2001-01-22,60.00,60.31,59.81,60.31,943600,43.94
2001-01-23,60.38,61.00,60.00,60.94,2050800,44.39
2001-01-24,60.94,60.94,59.81,60.25,943000,43.89
2001-01-25,60.25,60.81,59.88,60.38,854600,43.98
2001-01-26,60.25,60.50,60.06,60.38,609000,43.98
2001-01-29,60.60,61.05,60.45,60.80,982900,44.29
2001-01-30,61.05,61.69,61.01,61.60,1232400,44.87
2001-01-31,61.64,62.00,60.71,61.90,2782200,45.09
2001-02-01,61.90,61.90,61.45,61.57,1891300,44.85
2001-02-02,61.50,61.68,61.01,61.10,959200,44.51
2001-02-05,61.00,61.00,60.05,60.24,1030500,43.88
2001-02-06,60.01,60.10,59.51,59.61,634500,43.42
2001-02-07,59.01,59.90,59.01,59.68,759700,43.47
2001-02-08,59.05,60.24,59.05,59.96,910400,43.68
2001-02-09,59.75,60.19,59.70,59.82,968400,43.58
2001-02-12,59.65,60.50,59.55,60.20,1396600,43.85
2001-02-13,60.00,60.35,59.94,60.03,1058400,43.73
2001-02-14,60.00,60.15,59.77,60.09,873900,43.77
2001-02-15,60.01,60.51,60.00,60.14,775600,43.81
2001-02-16,59.36,60.40,59.36,60.03,766000,43.73
2001-02-20,60.03,60.68,59.98,60.10,1672700,43.78
2001-02-21,59.80,59.83,58.81,58.90,654100,42.91
2001-02-22,58.40,58.85,58.00,58.29,952800,42.60
2001-02-23,57.80,58.26,57.25,57.60,912500,42.09
2001-02-26,57.65,57.86,57.00,57.65,631200,42.13
2001-02-27,57.25,58.40,57.25,58.11,830800,42.47
2001-02-28,58.06,58.24,56.50,56.53,850200,41.31
2001-03-01,56.54,57.00,55.69,56.00,1126000,40.93
2001-03-02,56.00,56.96,55.71,56.94,1687900,41.61
2001-03-05,56.50,57.76,56.50,57.75,537900,42.20
2001-03-06,57.99,57.99,57.17,57.37,743400,41.93
2001-03-07,57.59,58.38,57.17,58.35,1052500,42.64
2001-03-08,58.98,59.70,58.51,59.20,1049600,43.26
2001-03-09,59.00,59.00,58.66,58.83,863600,42.99
2001-03-12,58.80,58.80,57.36,57.36,857600,41.92
2001-03-13,56.91,57.46,56.51,57.40,1054600,41.95
2001-03-14,57.00,57.25,56.30,56.85,1020500,41.55
2001-03-15,56.77,57.05,56.36,56.65,901700,41.40
2001-03-16,56.55,56.64,55.74,55.75,1035000,40.74
2001-03-19,55.90,56.40,55.25,56.01,1213900,40.93
2001-03-20,56.01,56.24,55.50,55.52,936100,40.57
2001-03-21,55.52,58.36,55.19,57.70,1772200,42.17
2001-03-22,54.60,56.35,54.60,55.89,2672800,40.85
2001-03-23,55.76,56.00,54.57,55.25,1162800,40.38
2001-03-26,55.25,56.40,55.25,56.15,668900,41.04
2001-03-27,56.21,56.60,56.01,56.44,624700,41.25
2001-03-28,56.08,56.35,55.85,56.30,526200,41.14
2001-03-29,56.00,56.25,55.85,56.14,571400,41.03
2001-03-30,56.15,56.90,55.90,56.90,925700,41.58
2001-04-02,56.65,56.66,55.50,55.58,1040000,40.62
2001-04-03,55.07,55.16,53.20,53.21,1545500,38.89
2001-04-04,53.01,53.50,52.27,52.96,2005300,38.70
2001-04-05,53.49,53.49,52.00,53.32,1898400,38.97
2001-04-06,53.32,54.20,52.61,54.18,1621400,39.60
2001-04-09,54.18,54.80,53.17,53.65,848900,39.21
2001-04-10,53.65,54.97,53.60,54.61,861100,39.91
2001-04-11,54.02,54.70,53.80,54.46,558400,39.80
2001-04-12,54.21,54.45,53.85,54.21,368500,39.62
2001-04-16,54.00,54.09,53.60,53.70,603300,39.24
2001-04-17,53.20,53.89,53.20,53.89,673300,39.38
2001-04-18,53.25,55.90,53.25,54.45,1978200,39.79
2001-04-19,54.45,57.50,54.26,57.07,2309800,41.71
2001-04-20,56.75,58.25,56.40,58.23,1781700,42.56
2001-04-23,57.90,57.90,55.76,56.25,951100,41.11
2001-04-24,55.27,56.71,55.15,56.44,1598700,41.25
2001-04-25,56.25,57.10,55.87,56.92,1198400,41.60
2001-04-26,56.70,57.25,56.56,56.60,500800,41.36
2001-04-27,56.90,57.60,56.81,57.19,749000,41.80
2001-04-30,57.44,57.80,57.06,57.45,1041500,41.99
2001-05-01,57.20,58.00,57.11,57.90,1309700,42.31
2001-05-02,57.75,58.34,57.60,58.18,1131100,42.52
2001-05-03,57.75,58.17,57.65,58.07,1003300,42.44
2001-05-04,57.90,58.35,57.72,58.08,1597000,42.45
2001-05-07,57.00,57.95,57.00,57.90,1756700,42.31
2001-05-08,57.70,57.83,57.26,57.65,1509400,42.13
2001-05-09,57.60,57.79,57.28,57.63,1239600,42.12
2001-05-10,57.88,57.96,57.45,57.70,771400,42.17
2001-05-11,57.95,58.08,57.40,57.99,1225500,42.38
2001-05-14,57.75,57.98,57.21,57.60,680600,42.09
2001-05-15,57.35,57.79,57.35,57.70,727600,42.17
2001-05-16,57.55,58.23,57.45,58.07,1120500,42.44
2001-05-17,58.50,59.82,58.30,59.63,3129000,43.58
2001-05-18,59.20,59.89,59.20,59.85,1605300,43.74
2001-05-21,59.80,60.00,59.75,59.91,1399600,43.78
2001-05-22,59.95,59.95,59.60,59.76,1381700,43.67
2001-05-23,59.72,59.75,58.85,59.23,1441300,43.29
2001-05-24,58.63,59.34,58.63,59.20,909400,43.26
2001-05-25,58.90,58.99,58.58,58.83,674100,43.13
2001-05-29,58.65,58.92,58.38,58.80,533000,43.11
2001-05-30,58.80,58.80,58.09,58.80,1118600,43.11
2001-05-31,58.52,59.45,58.42,59.45,1716100,43.59
2001-06-01,59.00,59.20,58.20,58.55,861400,42.93
2001-06-04,58.10,58.44,57.89,58.30,832200,42.74
2001-06-05,58.30,58.38,57.95,58.29,855800,42.74
2001-06-06,58.80,58.80,58.00,58.07,563500,42.58
2001-06-07,58.00,58.50,58.00,58.43,699100,42.84
2001-06-08,58.23,58.25,58.00,58.09,438000,42.59
2001-06-11,58.00,58.00,57.51,57.62,699900,42.25
2001-06-12,57.40,57.67,57.07,57.66,810900,42.27
2001-06-13,57.45,57.60,57.11,57.24,852000,41.97
2001-06-14,56.85,57.25,56.76,56.78,817800,41.63
2001-06-15,56.43,56.78,56.22,56.70,880600,41.57
2001-06-18,56.25,56.97,56.15,56.55,1017100,41.46
2001-06-19,56.55,56.63,55.68,55.98,977000,41.04
2001-06-20,55.48,56.33,55.18,56.33,1389500,41.30
2001-06-21,56.20,57.49,55.90,57.29,1093100,42.00
2001-06-22,57.04,57.40,56.76,56.98,1044600,41.78
2001-06-25,56.50,56.50,55.80,56.03,913800,41.08
2001-06-26,55.68,56.19,55.46,55.80,882000,40.91
2001-06-27,55.65,56.47,55.60,56.24,1098100,41.23
2001-06-28,56.00,57.70,55.97,57.10,1887400,41.86
2001-06-29,57.35,58.20,57.06,57.80,2619300,42.38
2001-07-02,57.80,58.44,57.14,58.11,1271100,42.60
2001-07-03,58.05,58.59,58.00,58.56,709300,42.93
2001-07-05,58.48,58.75,58.26,58.56,940600,42.93
2001-07-06,58.41,58.42,57.60,57.73,597400,42.33
2001-07-09,57.97,58.00,57.81,57.90,510500,42.45
2001-07-10,58.00,58.15,57.41,57.59,503800,42.22
2001-07-11,57.44,57.60,56.80,57.47,853600,42.14
2001-07-12,57.47,57.94,57.42,57.80,632200,42.38
2001-07-13,57.80,58.50,57.40,58.34,935200,42.77
2001-07-16,58.59,58.59,58.19,58.20,808900,42.67
2001-07-17,58.10,58.38,57.82,58.28,705700,42.73
2001-07-18,57.90,58.40,57.65,58.03,768500,42.55
2001-07-19,58.04,58.28,57.30,58.19,1016700,42.66
2001-07-20,57.62,57.97,57.46,57.60,787900,42.23
2001-07-23,57.70,57.75,56.84,56.97,638100,41.77
2001-07-24,57.20,57.20,56.26,56.65,944500,41.53
2001-07-25,56.60,57.00,56.20,57.00,782300,41.79
