Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,26.75,26.94,26.25,26.56,1408300,13.40
2000-12-13,26.62,26.94,26.25,26.31,2172000,13.28
2000-12-14,25.88,26.50,25.50,26.31,2587900,13.28
2000-12-15,25.94,26.50,25.94,26.37,4171300,13.31
2000-12-18,27.00,29.00,26.81,28.63,6634900,14.44
2000-12-19,28.37,29.44,28.06,28.06,8508200,14.16
2000-12-20,27.94,29.25,27.31,29.00,5711700,14.63
2000-12-21,28.88,29.94,28.63,29.75,6064700,15.01
2000-12-22,29.94,30.00,29.19,29.50,4405800,14.88
2000-12-26,29.37,29.94,29.37,29.94,1447200,15.10
2000-12-27,29.94,30.44,29.75,30.44,2978300,15.36
2000-12-28,30.44,30.50,30.00,30.00,3483500,15.14
2000-12-29,29.75,30.13,29.13,29.19,2051800,14.73
2001-01-02,29.37,29.44,28.00,28.94,2896200,14.60
2001-01-03,29.19,30.87,28.69,30.81,5160100,15.55
2001-01-04,30.50,32.75,30.50,31.94,9091300,16.11
2001-01-05,31.62,31.62,30.25,30.69,6096400,15.48
2001-01-08,30.87,30.87,29.56,30.13,4526500,15.20
2001-01-09,30.00,30.44,29.75,30.25,3045100,15.26
2001-01-10,29.81,30.25,29.62,30.13,3075900,15.20
2001-01-11,30.38,30.75,29.62,30.06,3123500,15.17
2001-01-12,29.94,30.00,28.63,29.00,2446300,14.63
2001-01-16,29.00,30.25,28.06,28.81,4443900,14.54
2001-01-17,28.81,28.94,27.81,28.12,2871000,14.19
2001-01-18,28.37,28.37,27.13,27.31,2670600,13.78
2001-01-19,27.31,27.44,26.25,26.81,2940300,13.53
2001-01-22,26.88,27.75,26.62,27.69,3167300,13.97
2001-01-23,27.94,28.94,27.87,28.81,4066200,14.54
2001-01-24,28.50,29.00,28.19,28.94,2453300,14.60
2001-01-25,28.88,29.25,28.50,28.94,2049300,14.60
2001-01-26,28.94,29.62,28.81,29.56,2554000,14.91
2001-01-29,29.26,29.99,29.25,29.42,3222200,14.84
2001-01-30,29.17,29.84,28.64,29.55,3684500,14.91
2001-01-31,29.60,29.84,28.89,29.55,2999100,14.91
2001-02-01,29.30,29.56,29.06,29.22,1643300,14.74
2001-02-02,29.24,29.74,29.05,29.68,2214000,14.97
2001-02-05,29.40,30.21,29.35,30.18,2684900,15.23
2001-02-06,29.98,30.05,29.27,29.70,1759400,14.98
2001-02-07,29.75,30.10,29.59,29.90,1846500,15.08
2001-02-08,29.75,30.00,29.60,29.94,2528800,15.11
2001-02-09,29.96,30.24,29.83,30.02,2690400,15.15
2001-02-12,30.00,30.75,30.00,30.44,3271000,15.36
2001-02-13,30.30,30.51,30.21,30.37,2041000,15.32
2001-02-14,30.22,30.35,29.39,29.39,2559200,14.83
2001-02-15,29.50,29.65,29.08,29.45,1901500,14.86
2001-02-16,29.30,29.86,29.25,29.43,2328100,14.85
2001-02-20,29.50,29.61,28.85,28.98,1801200,14.62
