Date,Open,High,Low,Close,Volume,Adj Close
2000-12-12,72.62,74.94,72.25,73.50,5811600,28.10
2000-12-13,74.38,74.94,71.62,71.62,4061400,27.38
2000-12-14,71.75,73.00,70.00,71.19,3028800,27.22
2000-12-15,70.75,73.44,70.75,71.19,5452400,27.22
2000-12-18,72.06,74.62,71.56,73.81,3210800,28.22
2000-12-19,74.00,74.88,72.94,74.75,4123800,28.58
2000-12-20,73.00,74.50,72.75,73.31,4475800,28.03
2000-12-21,72.88,75.06,72.38,75.00,3647600,28.67
2000-12-22,74.75,76.50,74.75,76.00,4273600,29.05
2000-12-26,76.00,78.25,75.31,77.69,2935400,29.70
2000-12-27,77.44,79.75,76.00,79.75,2731200,30.49
2000-12-28,79.12,79.12,78.00,78.69,3990800,30.08
2000-12-29,79.00,79.50,78.25,78.62,2686200,30.06
2001-01-02,77.75,77.75,74.56,75.25,3390400,28.77
2001-01-03,74.75,76.25,73.19,75.12,4980800,28.72
2001-01-04,76.12,76.25,72.69,73.56,4876200,28.12
2001-01-05,74.00,74.00,71.06,71.12,4172000,27.19
2001-01-08,71.38,73.44,71.19,72.38,3778600,27.67
2001-01-09,73.56,73.69,70.25,70.62,4020400,27.00
2001-01-10,70.25,72.69,69.09,72.25,3798600,27.62
2001-01-11,73.06,74.06,72.81,73.88,3635400,28.24
2001-01-12,73.88,73.88,69.50,70.69,4717600,27.02
2001-01-16,71.00,72.00,69.31,70.94,4627400,27.12
2001-01-17,72.38,73.38,71.62,72.12,4700800,27.57
2001-01-18,72.12,73.69,72.12,73.06,11040400,27.93
2001-01-19,72.00,72.38,70.19,71.06,4991800,27.17
2001-01-22,71.75,72.00,69.75,71.88,3640600,27.48
2001-01-23,71.88,73.88,71.38,72.75,5645400,27.81
2001-01-24,73.00,73.56,72.31,73.00,3137400,27.91
2001-01-25,74.19,76.38,73.81,75.56,2904200,28.89
2001-01-26,75.62,75.62,73.00,73.12,4381000,27.96
2001-01-29,74.30,74.99,73.60,73.60,2493800,28.14
2001-01-30,74.25,74.80,73.50,74.42,3231400,28.45
2001-01-31,75.00,75.10,73.87,74.98,4252400,28.66
2001-02-01,74.98,74.98,73.04,74.15,2666600,28.35
2001-02-02,74.40,75.00,73.47,73.96,2918800,28.28
2001-02-05,74.25,74.96,73.78,74.20,3123600,28.37
2001-02-06,73.95,76.77,73.68,74.36,3809000,28.43
2001-02-07,74.36,75.60,73.87,74.26,3239800,28.39
2001-02-08,74.35,75.58,73.87,75.01,2037200,28.68
2001-02-09,76.00,76.15,74.59,74.88,3192600,28.63
2001-02-12,75.75,75.79,74.86,75.00,2596200,28.67
2001-02-13,75.05,78.05,75.00,77.40,5008800,29.59
2001-02-14,77.25,78.30,76.55,77.00,3899000,29.52
2001-02-15,77.50,79.75,77.45,79.00,4406800,30.29
2001-02-16,79.00,79.60,77.85,78.25,3787000,30.00
2001-02-20,79.00,79.55,78.75,78.75,4321800,30.19
2001-02-21,78.40,80.40,77.85,79.12,3908000,30.34
2001-02-22,79.12,79.38,77.50,78.45,5653600,30.08
2001-02-23,77.70,77.81,76.19,77.25,3859800,29.62
2001-02-26,76.40,78.50,76.12,78.45,5035000,30.08
2001-02-27,78.50,80.00,77.70,79.65,6928800,30.54
2001-02-28,79.75,79.85,76.60,77.91,4934800,29.87
2001-03-01,77.60,78.83,76.68,78.01,4533600,29.91
2001-03-02,77.76,78.92,77.00,78.05,3744400,29.93
2001-03-05,79.00,81.10,78.80,80.10,5644400,30.71
2001-03-06,80.90,81.90,80.18,80.37,5661000,30.82
2001-03-07,80.38,82.40,80.01,81.69,3747000,31.32
2001-03-08,81.95,82.50,81.01,82.08,4535000,31.47
2001-03-09,82.08,82.12,81.20,81.70,2645000,31.33
2001-03-12,81.20,81.21,78.25,78.40,4882000,30.06
2001-03-13,78.50,79.25,77.45,79.25,5033800,30.39
